start	end	text
0	9000	Hi, everyone. I'm the host for today. I'm Zhang Yanyong.
9000	18000	We're going to have our 23rd Tara Talk this year.
18000	23000	We're honored to have Dr. Wang Lingya as our speaker today.
23000	25000	She's my senior at NTU.
26000	28000	Wait a minute.
30000	34000	Lingya studied medicine at NTU.
34000	38000	After graduating from the PhD program at NTU,
38000	40000	she came to Nanyang University.
40000	42000	She's actually our neighbor.
42000	44000	We've met quite a few times.
44000	48000	After doing her PhD, Lingya majored in virology.
48000	54000	That's the topic she's going to talk about today.
54000	65000	Today's topic is Molecular Biology Study of Hepatitis C Virus and Autophagy.
65000	66000	Is that how you pronounce it?
66000	67000	Yes.
67000	70000	I don't know. If I pronounce it wrong, Lingya will correct me.
70000	72000	Without further ado, let's welcome Lingya.
72000	75000	Oh, right. Autophagy.
75000	77000	There are two things I want to remind you of.
77000	80000	First, if you don't want to speak,
80000	82000	turn off your microphone so that you won't have noise.
82000	86000	Second, when you clap, remember to turn on your microphone so that you can hear.
86000	88000	Let's welcome our speaker.
90000	92000	Hello, everyone. I'm Lingya.
92000	95000	As the host just said,
95000	97000	I'm doing my PhD in Nanyang University.
97000	100000	I'm majoring in virology.
100000	103000	When you watch a movie,
103000	107000	you'd think that you're walking around in a white gown in a lab.
107000	114000	But in fact, the most commonly used technology in our department is molecular biology.
114000	121000	So today, I'm going to talk about some methods of molecular biology
121000	125000	and how it's used to study viruses.
125000	130000	I'll talk about autophagy later.
131000	134000	Molecular biology.
134000	136000	As you can imagine,
136000	138000	biology is a big topic.
138000	141000	But molecular biology is about small molecules.
141000	144000	We learned in middle school that
144000	148000	DNA converts into RNA and converts into protein.
148000	152000	So the so-called genes are all on DNA.
152000	154000	After a series of synthesis,
154000	156000	it becomes protein.
157000	159000	When we study viruses,
159000	162000	we study almost everything.
162000	165000	It's either DNA, RNA, or protein.
165000	167000	These things are very small,
167000	169000	so you can't see them with the naked eye.
169000	173000	So our experiments are often done on
173000	176000	very small transparent objects.
176000	177000	For example,
177000	182000	a 100-microliter or even a 1-microliter object.
182000	185000	Basically, you can't see it with your eyes.
185000	187000	So if you go on a trip,
187000	190000	you might not know which one you're holding.
190000	191000	They all look the same,
191000	192000	so you don't know.
193000	195000	This is mainly about molecular biology.
195000	199000	It's about looking at the performance of DNA, RNA, or protein.
200000	202000	I just mentioned cells.
202000	204000	We also taught this in middle school.
204000	206000	Cells look like this.
206000	208000	There's a cell box, a cell paper, a cell film,
208000	210000	and there's a lot of air in it.
210000	214000	But the textbook will draw it cuter.
214000	216000	It's more like a starfish.
216000	220000	But in fact, the cells under the wire
220000	222000	are filled very slowly.
222000	224000	You can see this is the cell box,
224000	225000	and then the cell film,
225000	227000	and in the middle is the cell paper.
227000	230000	There's a lot of air in the cell paper.
230000	231000	All the so-called air
231000	234000	is actually made up of a lot of film,
234000	236000	all kinds of bubbles.
236000	238000	This is a little bit bigger.
238000	241000	You can see there's a lot of film,
241000	242000	a lot of bubbles.
242000	245000	These films and bubbles are actually all fat.
245000	247000	They're all made up of lipids.
247000	251000	Different bubbles have different functions.
251000	253000	Some are producing energy.
253000	255000	Some are making protein.
255000	258000	Some are making cyanide.
258000	261000	They're helping our cells maintain a good operation.
261000	263000	We need these cells.
265000	267000	Out of all these cells,
267000	269000	the autophagy we're going to talk about today
269000	271000	is actually a cyanide job.
271000	272000	To put it simply,
272000	274000	when our cells have
275000	277000	old bacteria,
277000	279000	or broken proteins,
279000	281000	or even when there's a virus infection,
281000	283000	or something from the outside,
283000	285000	it's all based on this cyanide
285000	289000	to get rid of these bad or old things.
289000	291000	Since it's a function of cyanide,
291000	294000	it will naturally follow the death of cells,
294000	295000	or cancer,
295000	296000	or like our immune response.
296000	297000	Because of the immune response,
297000	299000	the immune response needs to get rid of
299000	304000	some bad things from the virus or bacteria.
304000	307000	For example, neurodegenerative diseases
307000	310000	are all related to the function of this cyanide autophagy.
310000	312000	What we're going to focus on today
312000	316000	is infectious diseases.
316000	319000	Viruses are infectious diseases.
321000	324000	The function of autophagy
324000	326000	is mainly...
326000	327000	This is a cell membrane.
327000	329000	This brown one is a cell membrane.
329000	330000	We can see that
330000	333000	there are a lot of membranes in our cells.
333000	337000	It is a small membrane
337000	339000	made up of some fat
339000	341000	in a circle.
341000	343000	It will slowly get longer
343000	345000	and become a bubble.
345000	347000	Inside this bubble,
347000	349000	it will contain the bad things
349000	352000	that it will destroy later.
352000	356000	This bubble is called autophagosome.
356000	358000	I don't know how to say it in Chinese,
358000	360000	so please remember it.
360000	361000	It's called autophagosome.
361000	364000	It has a lot of enzymes
364000	366000	in this bubble.
366000	368000	These enzymes are used to
368000	371000	break down proteins.
371000	374000	When these two membranes are combined,
374000	376000	the substances in their cells
376000	377000	will be different.
377000	380000	This enzyme will
380000	384000	break down the proteins.
384000	388000	Let me talk a little bit about
388000	390000	the later process.
390000	393000	Every department has its own
393000	396000	application science or basic science.
396000	397000	The virus science I do
397000	399000	is very basic science.
399000	401000	It is purely studying
401000	404000	what protein, what gas
404000	406000	will react with the virus
406000	408000	in the cells.
408000	410000	When people ask me
410000	412000	if I'm doing medicine,
412000	414000	if I'm doing vaccines,
414000	416000	if I'm treating cancer,
416000	419000	it has nothing to do with clinical trials.
419000	421000	So when we talk about
421000	423000	basic virus science,
423000	426000	a lot of people think it's boring.
426000	428000	Today, I hope everyone
428000	430000	can understand this field.
430000	433000	How does autophagosome work?
433000	435000	From a simple membrane
435000	437000	to a circle,
437000	441000	it's easy to break down proteins.
441000	444000	As you can see in this picture,
444000	446000	this is a small membrane,
446000	447000	phagophore.
447000	449000	It will slowly become
449000	451000	a complete circle, autophagosome.
451000	453000	At the end, it's a fusion membrane.
453000	457000	The lysosome that breaks down proteins
457000	459000	is called autolysosome.
459000	463000	There are a lot of other proteins
463000	465000	that control the whole process.
465000	467000	Because the membrane doesn't
467000	469000	automatically merge together.
469000	471000	There must be a protein controlling it.
471000	473000	We can see that when phagophore
473000	475000	is still a fragment,
475000	477000	there is a protein called ATG5.
477000	479000	It will be specifically
479000	481000	combined on this membrane.
481000	483000	So when we monitor
483000	485000	the number of membranes in our cells,
485000	487000	when we specifically monitor
487000	489000	the membrane of this fragment,
489000	491000	we will look at the performance
491000	493000	of the protein ATG5.
493000	495000	If ATG5 performs well,
495000	497000	it means the membrane performs well.
497000	499000	So we call it a marker.
499000	502000	It's specifically for marking.
502000	504000	The marker on autophagosome
504000	506000	is LC3.
506000	508000	So in the experiment later,
508000	510000	if we talk about ATG5,
510000	513000	it's marking the membrane.
513000	515000	If we talk about LC3,
515000	518000	it's marking the autophagosome bubble.
518000	520000	How do we know
520000	522000	if the protein has been
522000	524000	broken down?
524000	526000	There is a protein called P62.
526000	528000	Every time it's in the autophagosome,
528000	530000	it will be wrapped inside.
530000	532000	So if it's broken down in the end,
532000	534000	we can see that
534000	536000	the performance of P62 will drop.
536000	538000	So these three things
538000	540000	are what we mainly do
540000	542000	when we do autophagosome,
542000	544000	to monitor how far it has come.
544000	546000	Why do we need to study
546000	548000	viruses and autophagosome?
548000	550000	We just mentioned that
550000	552000	autophagosome has the function
552000	554000	of cleaning the skin.
554000	556000	It can remove the protein
556000	558000	from the virus.
558000	560000	In theory,
560000	562000	autophagosome should be useful
562000	564000	to fight against viruses.
564000	566000	But many studies have found
566000	568000	that some viruses will
568000	570000	use autophagosome
570000	572000	to reproduce the virus
572000	574000	to fight against the virus.
574000	576000	This is a typical example
576000	578000	of how the virus
578000	580000	kidnaps the mechanism
580000	582000	inside the cell
582000	584000	to reproduce itself.
584000	586000	The virus is actually
586000	588000	something between
588000	590000	living and non-living.
590000	592000	Why is it non-living?
592000	594000	Because our cells
594000	596000	are made up of cell nucleus.
596000	598000	There are a lot of cells
598000	600000	that can produce energy
600000	602000	but not the virus.
602000	604000	The virus has some
604000	606000	scattered DNA and RNA
606000	608000	and a shell
608000	610000	made up of protein.
610000	612000	That's it.
612000	614000	The virus itself
614000	616000	has no biological ability.
616000	618000	But because it contains
618000	620000	DNA and RNA,
620000	622000	it is considered
622000	624000	a living organism.
624000	626000	So it is between
626000	628000	living and non-living.
628000	630000	The virus itself
630000	632000	has no biological ability.
632000	634000	It has to infect the cell.
634000	636000	So when we
636000	638000	are outside,
638000	640000	we don't see
640000	642000	the virus floating around.
642000	644000	It will die if it is outside.
644000	646000	It has to infect the cell.
648000	650000	The reproduction rate
650000	652000	of bacteria or cells
652000	654000	is 1 to 2, 2 to 4, 4 to 8.
654000	656000	If we look at
656000	658000	the reproduction rate,
658000	660000	we will find that it is a log curve.
660000	662000	When it reaches a certain level
662000	664000	of oxygen or space,
664000	666000	it will start to die.
666000	668000	This is the growth curve
668000	670000	that a normal cell should have.
670000	672000	But the virus is very different.
672000	674000	It is made up of
674000	676000	a lot of DNA and RNA
676000	678000	in our cells.
678000	680000	There are also a lot of
680000	682000	shell proteins.
682000	684000	It is a bit like a factory
684000	686000	that produces parts.
686000	688000	When it is ready to ship,
688000	690000	it will assemble everything.
690000	692000	So if we look at
692000	694000	the virus in the patient's blood,
694000	696000	we will find that
696000	698000	the virus in the patient's blood
698000	700000	will decrease at first
700000	702000	because the virus is all in the cell.
702000	704000	So we can't detect it.
704000	706000	In the second stage,
706000	708000	when the virus is in the cell
708000	710000	and it is producing these parts,
710000	712000	we will feel like
712000	714000	the virus is all in the cell.
714000	716000	When it is ready to ship,
716000	718000	it will release it all at once.
718000	720000	So it is like an explosion.
720000	722000	This is why patients
722000	724000	who are infected with the virus
724000	726000	sometimes feel like
726000	728000	they are fine and
728000	730000	there are no symptoms.
730000	732000	But suddenly,
732000	734000	they are very weak
734000	736000	because the virus
736000	738000	is all out.
738000	740000	This is the difference
740000	742000	between A, B, C, D, E, and G.
742000	744000	There are many kinds of
744000	746000	hepatitis B virus.
746000	748000	In fact,
748000	750000	most people are studying A to E.
750000	752000	A and E
752000	754000	are eating something
754000	756000	that is not clean.
756000	758000	They are eating something
758000	760000	that is contaminated by the virus.
760000	762000	A and E are all sick.
762000	764000	They will be fine after a few weeks.
764000	766000	But B, C, D,
766000	768000	they will all
768000	770000	be infected.
770000	772000	As you can see,
772000	774000	when the virus is still
774000	776000	hiding in our cells,
776000	778000	this is called the incubation period.
778000	780000	At this stage,
780000	782000	our cells
782000	784000	do not detect
784000	786000	any foreign matter inside.
786000	788000	Then it can escape our immune system.
788000	790000	This is why some
790000	792000	virus infections
792000	794000	eventually lead to hepatitis B.
794000	796000	It is hiding in our cells.
796000	798000	Hepatitis C virus
798000	800000	has an incubation period,
800000	802000	but it can also become hepatitis B.
802000	804000	Hepatitis B can eventually
804000	806000	turn into liver cancer.
806000	808000	Not every virus
808000	810000	can turn into liver cancer.
810000	812000	So,
812000	814000	the current
814000	816000	hepatitis C virus
816000	818000	is still very common
818000	820000	in the world.
820000	822000	Many researchers
822000	824000	are still studying it.
824000	826000	Hepatitis C is an RNA virus.
826000	828000	Simply put,
828000	830000	when it infects cells,
830000	832000	it will decompose.
832000	834000	Then the RNA
834000	836000	will come out.
836000	838000	The first thing it does
838000	840000	is to rob
840000	842000	the protein
842000	844000	in our cells.
844000	846000	It is called the intracranial network.
846000	848000	After it robs the protein,
848000	850000	it is like saying,
850000	852000	don't make cell proteins anymore,
852000	854000	virus proteins
854000	856000	are made in large quantities.
856000	858000	Large amounts of virus proteins
858000	860000	will help it make more virus RNA.
860000	862000	More virus RNA
862000	864000	will make more virus proteins.
864000	866000	This is how
866000	868000	a lot of RNA and protein
868000	870000	are made in our cells.
870000	872000	Finally, it is assembled
872000	874000	and released in one breath.
874000	876000	Many studies have found that
876000	878000	HCV's RNA
878000	880000	copies are on the membrane.
880000	882000	There are many kinds of RNA in our cells.
890000	892000	Sorry, I have a question.
892000	894000	Can I interrupt you?
894000	896000	Or do you want to
896000	898000	ask one question at a time?
898000	900000	You can interrupt me,
900000	902000	but there will be lag.
902000	904000	My question is
904000	906000	this.
906000	908000	My question is
910000	912000	this.
912000	914000	I see.
914000	916000	My question is
916000	918000	you said that
918000	920000	this thing will go in
920000	922000	and remove this
922000	924000	and do this.
924000	926000	It sounds very smooth
926000	928000	and like an animation.
928000	930000	I am curious
930000	932000	about this.
932000	934000	Is it from some data
934000	936000	or can it be
936000	938000	visualized?
938000	940000	Actually, there are many steps.
940000	942000	Visualizing is one of them.
942000	944000	For example, someone
944000	946000	can see that
946000	948000	the virus particles
948000	950000	are on the surface of our cells.
950000	952000	They can also see that
952000	954000	the cell membrane goes in
954000	956000	and the virus is eaten.
956000	958000	This is visualized.
958000	960000	However, in the research of
960000	962000	molecular biology,
962000	964000	we can't just see it.
964000	966000	It may be an accident.
966000	968000	We can see that
968000	970000	the surface of our cells
970000	972000	also contains some proteins.
972000	974000	The virus uses
974000	976000	its own protein to interact
976000	978000	with the protein on the surface of our cells.
978000	980000	It is like a door
980000	982000	that opens a key.
982000	984000	It goes in.
984000	986000	This is an interesting point.
986000	988000	Why does the surface of our cells
988000	990000	have proteins to let the virus
990000	992000	combine?
992000	994000	It is similar to rice.
994000	996000	After many years of evolution,
996000	998000	it has found a way
998000	1000000	to enter our cells.
1000000	1002000	The protein on the surface of the cell
1002000	1004000	is not specifically for the virus.
1004000	1006000	It also has its own function.
1006000	1008000	The virus
1008000	1010000	uses the protein function
1010000	1012000	to let it enter the cell.
1012000	1014000	Of course,
1014000	1016000	the whole process
1016000	1018000	also has a lot of proteins
1018000	1020000	in it.
1020000	1022000	If all of them are drawn,
1022000	1024000	there will be a lot of proteins in it.
1024000	1026000	This is the result of evolution.
1026000	1028000	The control proteins
1028000	1030000	are not drawn in the soil.
1030000	1032000	Does this answer your question?
1034000	1036000	I have a question.
1038000	1040000	Please ask.
1042000	1044000	Yes, thank you.
1044000	1046000	You said that
1046000	1048000	RNA
1048000	1050000	allows cells
1050000	1052000	to produce protein.
1052000	1054000	Does it also produce
1054000	1056000	more RNA?
1056000	1058000	I forgot
1058000	1060000	the name.
1060000	1062000	Can it produce
1062000	1064000	protein and RNA at the same time?
1064000	1066000	It is like this.
1066000	1068000	This is called
1068000	1070000	an intracranial network.
1070000	1072000	This function is specifically for protein.
1072000	1074000	After the protein of the virus
1074000	1076000	is produced,
1076000	1078000	the RNA of the virus
1078000	1080000	is produced on the other membrane.
1080000	1082000	What is the other membrane?
1082000	1084000	This is what everyone is studying.
1084000	1086000	Our lab found that
1086000	1088000	it is made on the
1088000	1090000	autophagy membrane.
1090000	1092000	Some membranes are responsible for protein.
1092000	1094000	Some membranes are responsible for RNA.
1094000	1096000	After making a lot of them,
1096000	1098000	we put them together
1098000	1100000	and throw them out of the cell.
1100000	1102000	The process of throwing them out of the cell
1102000	1104000	is like HCV.
1104000	1106000	It is actually
1106000	1108000	a virus that
1108000	1110000	has not broken the cell.
1110000	1112000	Some viruses
1112000	1114000	will break the cell.
1114000	1116000	It means that
1116000	1118000	when it goes out,
1118000	1120000	it will kill the cell.
1120000	1122000	This will kill the cell
1122000	1124000	and make our body weaker.
1124000	1126000	It is like your body's cells
1126000	1128000	keep dying.
1128000	1130000	Killing cells is not very powerful.
1130000	1132000	It means that once it kills
1132000	1134000	your host,
1134000	1136000	it will die.
1136000	1138000	It is like Ebola.
1138000	1140000	It will kill people.
1140000	1142000	As long as you isolate
1142000	1144000	those people,
1144000	1146000	they will be fine.
1146000	1148000	HCV or HIV
1148000	1150000	will cause AIDS.
1150000	1152000	It will lurk
1152000	1154000	and not kill you.
1154000	1156000	It can exist in the natural world
1156000	1158000	for a long time.
1158000	1160000	Does this answer your question?
1160000	1162000	Thank you.
1162000	1164000	I have a question
1164000	1166000	about that page.
1166000	1168000	This one?
1168000	1170000	Yes.
1170000	1172000	This page is...
1172000	1174000	I thought
1174000	1176000	the growth of cells
1176000	1178000	is exponential.
1178000	1180000	So it starts with
1180000	1182000	log and then becomes exponential.
1184000	1186000	It starts with lag phase
1186000	1188000	and then log phase.
1188000	1190000	Of course,
1190000	1192000	our cells cannot
1192000	1194000	keep growing
1194000	1196000	because of space and nutrients.
1196000	1198000	So when it reaches a critical point,
1198000	1200000	it will enter
1200000	1202000	the death phase.
1202000	1204000	This is how
1204000	1206000	the life cycle of cells
1206000	1208000	looks like.
1208000	1210000	If it doesn't die,
1210000	1212000	it will become cancer.
1212000	1214000	I see.
1214000	1216000	So the virus has
1216000	1218000	a mathematical
1218000	1220000	growth
1220000	1222000	or something else?
1222000	1224000	Actually, every virus
1224000	1226000	is different.
1226000	1228000	For example,
1228000	1230000	let's take a look at
1230000	1232000	the flu virus.
1232000	1234000	We have heard about
1234000	1236000	H5N1 before.
1236000	1238000	That's because
1238000	1240000	it has
1240000	1242000	9 RNAs.
1242000	1244000	Each RNA
1244000	1246000	will produce
1246000	1248000	different RNAs.
1248000	1250000	So it will produce
1250000	1252000	9 different RNAs.
1252000	1254000	For example,
1254000	1256000	the 9 RNAs must be
1256000	1258000	mass-produced.
1258000	1260000	When it is packed,
1260000	1262000	the 9 RNAs must be packed.
1262000	1264000	So it may catch the wrong 9 RNAs.
1264000	1266000	For example,
1266000	1268000	the number of RNAs
1268000	1270000	is 1, 2, 3, 4, 5, 6, 7, 8, 9.
1270000	1272000	Then the virus will die.
1272000	1274000	The number of RNAs produced
1274000	1276000	and the number of RNAs packed
1276000	1278000	are different.
1278000	1280000	So
1280000	1282000	we can't
1282000	1284000	calculate
1284000	1286000	the number of RNAs
1286000	1288000	in a mathematical way.
1288000	1290000	There are many accidents
1290000	1292000	such as mutation
1292000	1294000	or wrong packing.
1294000	1296000	But we can't
1296000	1298000	figure out the exact number.
1298000	1300000	We can only use the approximate number.
1300000	1302000	It's hard to explain.
1312000	1314000	The reason why we do
1314000	1316000	HCV and autophagy
1316000	1318000	is that
1318000	1320000	we have a cell
1320000	1322000	that is infected.
1322000	1324000	This is a cell
1324000	1326000	infected with HCV.
1326000	1328000	We found that the green bubbles
1328000	1330000	are the autophagy bubbles.
1330000	1332000	Why do we know
1332000	1334000	these green bubbles?
1334000	1336000	Because we mentioned that
1336000	1338000	the marker of autophagosome
1338000	1340000	is LC3.
1340000	1342000	So we can detect
1342000	1344000	the LC3 of the cell.
1344000	1346000	When you see LC3,
1346000	1348000	it means it is autophagosome.
1348000	1350000	So if we can see
1350000	1352000	the LC3 in the cell with HCV,
1352000	1354000	it means the cell is doing autophagy.
1354000	1356000	This is the process of infection.
1356000	1358000	I mainly want to see the lower cell.
1358000	1360000	The darker the cell color
1360000	1362000	shows that
1362000	1364000	there is more LC3.
1364000	1366000	It also means that
1366000	1368000	there is more LC3
1368000	1370000	under the HCV infection.
1370000	1372000	It means that
1372000	1374000	the bubbles in the cell
1374000	1376000	are more and more.
1376000	1378000	PCC2 is the cell
1378000	1380000	that is decomposed
1380000	1382000	in the last phase.
1382000	1384000	It means that
1384000	1386000	the process of
1386000	1388000	autophagy in the cell
1388000	1390000	will be completed.
1390000	1392000	Let me introduce
1392000	1394000	what these two methods mean.
1394000	1396000	In the cell dye,
1396000	1398000	we can design
1398000	1400000	genetic engineering.
1400000	1402000	It is a DNA
1402000	1404000	outside the body
1404000	1406000	that we can design at will.
1406000	1408000	For example,
1408000	1410000	we want to put this gene series
1410000	1412000	into the cell.
1412000	1414000	We put this DNA series
1414000	1416000	into the cell,
1416000	1418000	and then put the protein gene
1418000	1420000	that we want to show.
1420000	1422000	After the DNA RNA makes the protein,
1422000	1424000	this protein will be green.
1424000	1426000	How to make it green?
1426000	1428000	We send this DNA
1428000	1430000	from the outside of the cell
1430000	1432000	to the inside of the cell.
1432000	1434000	This DNA makes RNA
1434000	1436000	and becomes protein.
1436000	1438000	Then we can see
1438000	1440000	that the protein
1440000	1442000	that we let
1442000	1444000	to produce green light
1444000	1446000	is behind it
1446000	1448000	or in front of it.
1448000	1450000	So it will be bright.
1450000	1452000	Otherwise, the cell itself
1452000	1454000	will not be bright.
1454000	1456000	What if the protein
1456000	1458000	is not bright?
1458000	1460000	Because not every protein
1460000	1462000	we want to send from the outside of the cell.
1462000	1464000	After all, sending from the outside of the cell
1464000	1466000	is an artificial method.
1466000	1468000	We can assume that
1468000	1470000	this is a wave.
1470000	1472000	The cells on the wave
1472000	1474000	have the protein we want.
1474000	1476000	Then we can use antibodies to recognize it.
1476000	1478000	This is the first antibody.
1478000	1480000	Every antibody
1480000	1482000	will only recognize one target.
1482000	1484000	This is a very transferable thing.
1484000	1486000	So if you have an A protein now,
1486000	1488000	you have to use the A antibody to recognize it.
1488000	1490000	This Y-shaped thing
1490000	1492000	is the antibody.
1492000	1494000	Its head is the target
1494000	1496000	that we want to recognize.
1496000	1498000	It's very transferable.
1498000	1500000	But its tail
1500000	1502000	is almost the same
1502000	1504000	as everyone else's.
1504000	1506000	So we can use the second antibody
1506000	1508000	to recognize the butt.
1508000	1510000	Then the butt of the second antibody
1510000	1512000	will light up.
1512000	1514000	We use this method to detect
1514000	1516000	some non-bright proteins.
1516000	1518000	Then you might ask,
1518000	1520000	why don't you just connect
1520000	1522000	a bright thing to the butt of the first antibody?
1522000	1524000	We have tens of millions
1524000	1526000	of proteins.
1526000	1528000	If you have to design
1528000	1530000	an antibody for each protein,
1530000	1532000	and its tail has to emit green light,
1532000	1534000	red light, or blue light,
1534000	1536000	then you have to make a protein
1536000	1538000	every time.
1538000	1540000	It's a waste of money.
1540000	1542000	So you can imagine
1542000	1544000	that the second antibody
1544000	1546000	is a transferable tool.
1546000	1548000	It can recognize
1548000	1550000	the butt of the first antibody.
1550000	1552000	So if you want to study
1552000	1554000	other proteins,
1554000	1556000	you only need to change the first antibody.
1556000	1558000	You can connect the same second antibody
1558000	1560000	to make it light up.
1560000	1562000	The so-called light up
1562000	1564000	is like the cell dye we just saw.
1564000	1566000	If we want to see
1566000	1568000	how bright the protein is,
1568000	1570000	because if we look at the cell dye,
1570000	1572000	you can actually adjust the light
1572000	1574000	to make the color look bright
1574000	1576000	or dark.
1576000	1578000	In this way,
1578000	1580000	we can only see
1580000	1582000	the location of the cell.
1582000	1584000	But it's more or less.
1584000	1586000	We still have to do it in another way.
1586000	1588000	This method
1588000	1590000	is also a brief introduction.
1590000	1592000	This thing in the middle
1592000	1594000	is a cornea.
1594000	1596000	If you haven't eaten cornea when you were a kid,
1596000	1598000	it's probably something like that.
1598000	1600000	That thing
1600000	1602000	looks solid to us.
1602000	1604000	But for small molecules,
1604000	1606000	the holes in it are actually quite large.
1606000	1608000	Each protein
1608000	1610000	actually has electricity.
1610000	1612000	So after charging,
1612000	1614000	the protein we take out of the cell
1614000	1616000	is the protein of all cells.
1616000	1618000	We want to separate it.
1618000	1620000	After running the current,
1620000	1622000	the smaller protein
1622000	1624000	will run farther.
1624000	1626000	For example, if we add protein from here,
1626000	1628000	it will run to the back
1628000	1630000	after passing the current.
1630000	1632000	The larger protein will be stuck on top.
1632000	1634000	So this method
1634000	1636000	is to separate from large to small.
1636000	1638000	Because
1638000	1640000	cornea itself can't do
1640000	1642000	more advanced experiments,
1642000	1644000	so we have to run it again and lay it down.
1644000	1646000	This cornea was originally made of paper.
1646000	1648000	Then lay it down
1648000	1650000	and run it again.
1650000	1652000	Let it print to the
1652000	1654000	membrane below.
1654000	1656000	It can be imagined that it is a piece of paper.
1656000	1658000	Although its material is not paper.
1658000	1660000	Then on this piece of paper,
1660000	1662000	there will be what we just talked about.
1662000	1664000	This is the protein arranged
1664000	1666000	from large to small.
1666000	1668000	If you want to measure the protein
1668000	1670000	position here,
1670000	1672000	add it to the antigen
1672000	1674000	and then add the second antigen
1674000	1676000	to make it glow.
1676000	1678000	Then we can detect the signal.
1678000	1680000	The so-called detection signal
1680000	1682000	is a traditional method of using a film.
1682000	1684000	It's the kind of film that everyone knows.
1684000	1686000	We know that when there is light,
1686000	1688000	the film will turn black.
1688000	1690000	This means that the more protein,
1690000	1692000	the more antigen it receives.
1692000	1694000	The more light it emits,
1694000	1696000	the blacker it will be.
1696000	1698000	So if we go back to
1698000	1700000	what we just said,
1700000	1702000	this means
1702000	1704000	that there is very little protein.
1704000	1706000	Then the one on the right
1706000	1708000	means that it has a lot of protein.
1708000	1710000	So we use this method
1710000	1712000	to separate the various
1712000	1714000	proteins in the cell
1714000	1716000	from large to small.
1716000	1718000	Then use the antigen to detect
1718000	1720000	how much it performs.
1724000	1726000	Back to HCV and autophagy.
1726000	1728000	There has been research
1728000	1730000	that HCV's RNA
1730000	1732000	copy will be on the membrane.
1732000	1734000	There are so many membranes
1734000	1736000	in our cells.
1736000	1738000	What membrane will it use?
1738000	1740000	Our lab mainly found that
1740000	1742000	it will use the autophagy membrane.
1742000	1744000	So many steps in autophagy,
1744000	1746000	so many membranes,
1746000	1748000	First of all,
1748000	1750000	this is also an electromagnetic map.
1750000	1752000	Look at the curved
1752000	1754000	phagophore in the cell.
1754000	1756000	It looks like this.
1756000	1758000	Then it will be assembled
1758000	1760000	into a circle,
1760000	1762000	which is autophagosome.
1762000	1764000	I just said that
1764000	1766000	it may not be true when the eyes see it.
1766000	1768000	It may just happen to be
1768000	1770000	put together.
1770000	1772000	So we really have to prove that it will be
1772000	1774000	integrated together.
1774000	1776000	As mentioned earlier,
1776000	1778000	we put the ATG5,
1778000	1780000	which is specialized
1780000	1782000	to label the
1782000	1784000	phagophore
1784000	1786000	marker.
1786000	1788000	ATG5
1788000	1790000	means phagophore.
1790000	1792000	We send the DNA
1792000	1794000	with green light
1794000	1796000	to the cell.
1796000	1798000	It will show the ATG5
1798000	1800000	with green light.
1800000	1802000	ATG5 will run to the membrane.
1802000	1804000	So simply put,
1804000	1806000	the phagophore in this cell
1806000	1808000	will be green.
1808000	1810000	We use red light for the other cell.
1810000	1812000	So the phagophore in this cell
1812000	1814000	will be red.
1814000	1816000	If these two membranes
1816000	1818000	are combined,
1818000	1820000	it will turn yellow.
1820000	1822000	If not, you will see
1822000	1824000	red or green.
1824000	1826000	So we use this method
1826000	1828000	to see if
1828000	1830000	these two membranes
1830000	1832000	can be put together.
1834000	1836000	This diagram may be a little small.
1836000	1838000	I don't know if you can see it.
1838000	1840000	When our cells
