start	end	text
0	5000	Okay, no problem.
5000	7680	Hello everyone, I'm Dinghao.
7680	10480	I'm a postdoc at Caltech.
10480	11920	The topic I'm going to talk about
11920	15360	is mainly my research on some of my papers.
15360	19440	My research is about
19440	23320	designing an artificial system
23320	28320	and hoping to use that system to detect cell-cell contacts.
28560	32520	My ultimate goal is to use this system
32520	36360	to dissect the entire neural circuit.
39120	42800	Oh, in the field of neuroscience,
42800	47520	the most important answer that everyone wants to know
47520	50560	is how our brain functions,
50560	55040	so that we have all kinds of different emotions
55040	60040	and how reactions to the environment stimulate.
60040	61440	How to stimulate.
63560	68560	But about 100 years ago,
70200	75200	Raymond Kahar had a very elegant study.
77360	81680	And the elegant study proved that
81680	86680	our brain or neural system
88040	93040	is mainly operated by these neurons or other cells
94160	98840	to transmit all kinds of neural messages
98840	100880	and ultimately have a behavior.
100880	103920	This is a very famous neural doctrine.
106880	110520	So a lot of research now
111320	116320	is focused on how different neurons
118280	121760	communicate with each other.
121760	123840	This is a very complicated problem
123840	128800	because our brain is a huge machine.
128800	130680	Like what I'm showing in this picture,
130680	132040	it's a reward circuit.
133400	135840	This actually includes a lot of brain areas,
135840	138600	like the hippocampus, prefrontal cortex,
138600	142480	and the famous basal ganglia,
142480	145880	nucleus, convent, VTA.
145880	149120	These different brain areas connect with each other
149120	153040	and operate and calculate
153040	156160	to achieve a goal.
156160	159800	And another more complicated aspect
159800	162280	is that even in the same brain area,
162280	164120	there are different neurons
164120	166320	that receive different messages.
166320	168960	And after synchronization,
168960	170200	it's transmitted to another brain area.
170200	172160	And the calculation of the other brain area
172160	173760	may be transmitted back.
174920	178920	So these connections are what we...
178920	181880	What we want to answer right now
181880	185200	is the idea of connectome.
185200	188440	We hope that by understanding these connectome,
188440	191880	we can have a blueprint
191880	195240	of how our brain or neural system
195240	198440	is wired.
198440	201560	And then we can use this basic knowledge
201560	203600	to calculate
203600	208160	the changes in the message transmission
208160	211080	of the neural cells
211080	213120	that may lead to different behaviors.
214280	215120	Like this.
215120	217480	But in fact,
217480	219680	in addition to neural cells,
219680	222160	there are many other different cells,
222160	223800	such as glial cells.
223800	227560	Many studies have found that
227560	228720	these glial cells
228720	233080	actually affect the function of our neural neurons.
235600	236600	For example,
236600	238000	like this astrocyte,
239320	241600	the heart-shaped neural cell,
241600	242440	is...
243600	246920	It has been found that it can actually
246920	250480	clean up some of our neurotransmitters
251600	254480	and make it turn over faster.
254480	257040	And it's also found that...
258080	258960	Sorry.
258960	263040	It's found that it can actually transmit some signal
263040	268040	and affect the whole synaptic property.
269840	273560	So the connectome or microcircuit
273560	276120	that we originally thought of
276120	277440	is like this.
277440	278640	In addition to neural cells,
278640	280320	we still need to consider
280320	282960	the function of these neural glial cells
282960	285480	to have a more complete picture
285480	288240	of how our brain functions.
289360	291480	And then I mentioned earlier
291480	294720	that understanding these microcircuits
294720	298480	can help us know how our brain works.
298480	300480	Another point is that
300480	301320	many...
301320	304320	We already know that there are many neurological disorders.
304320	307600	It actually has something to do with
307600	312600	the wiring of the neural circuit.
313840	315920	Like schizophrenia,
315920	316760	phrenia,
316760	321440	or some psychological diseases.
321440	322760	It actually has something to do with it.
322760	326200	If we know how the normal brain works,
326200	329760	we can further study
329760	332400	the causes of these disorders.
332560	336520	I hope to get some answers
336520	338400	to help these patients.
339720	341640	So far,
342680	346200	there are many different tools
346200	347840	that have been developed
347840	350240	to help us understand
350240	351520	how to dissect,
351520	355360	that is, to analyze the entire brain circuit
355360	357760	or neural connection.
357760	360600	Here are some examples that are commonly used.
360600	364800	For example, Serial Electron Microscopy,
364800	366720	which is an electronic microscope.
369360	375200	There is another one called GRASP.
375200	376640	Its full name is
376640	381600	GFP Green Fluorescent Protein Reconstitution
381600	384160	Across Synaptic Partner.
384160	386680	This means that it has a fluorescent protein
386680	389640	that divides engineering into two parts.
394640	396200	I will explain this later.
396200	397280	There is also Tango.
397280	400760	There is another popular tool
400760	402840	called Rabie Virus
402840	405520	to trace neural connection.
407640	411040	These are all great tools,
411040	414320	but they all have different
415320	416560	shortcomings.
416560	418920	For example, Serial EM
418920	422240	is to take a small sample
422240	425760	and cut it into pieces.
425760	429880	Then use EM to take the whole image
429880	433880	and then reconstruct it.
433880	438240	Then look at its very fine-detailed
440120	441240	neural morphology
441480	445120	or the connection of different neural cells.
445120	450160	Usually, a small one-millimeter-cube
452040	454880	size sample
454880	458920	takes about five or six years
458920	462800	to complete its analysis.
462800	467680	It also requires a lot of human power.
467680	471000	So this is not a very efficient method.
471600	473800	Because it is not very efficient,
473800	479040	it can only analyze a small sample of an animal.
479040	483320	If you want to analyze 10 different animals,
483320	484320	different variations,
484320	486600	it may be a bit difficult
486600	489360	or require more time and more manpower.
489360	492480	Another is CRESP, a genetic tool.
492480	495880	It can be used in
495880	498320	mice or
498320	501120	I'm going to talk about Drosophila fruit flies.
501120	505800	It is mainly divided into two parts of this fluorescent protein.
505800	509040	Normally, it emits green light.
509040	510120	After dividing it into two parts,
510120	512680	they will not emit light.
512680	514960	Only when the two parts are very close,
514960	518800	they will be re-combined
521640	523280	like this.
523280	525480	So the two parts themselves do not emit light.
525480	528280	When they are re-combined, they will emit light,
528280	530120	and you can see the green light.
530120	531800	Then it can detect
533120	537880	that two cells are close to each other.
537880	542440	Its disadvantage is that
544240	545080	it...
548600	549440	Sorry.
551080	554520	It can only see where it is in contact with.
554560	558560	It can't make any further modifications
558560	560600	to affect cell poverty.
560600	561720	In addition,
561720	566720	its binding is irreversible.
566720	571360	So there is a concern that
571360	575280	it may affect the connection between the cells.
