start	end	text
0	13000	Hello everyone, I'm the host for today, Zhang Yanyong, and we're going to have our 21st Terra Talk.
14000	16000	Today's speaker is Xu Liyan.
16000	21000	Xu Liyan and I have known each other for almost two years.
21000	30000	It's really interesting because we're at Caltech, and Xu Liyan is studying astronomy at Manoa University in Hawaii.
30000	36000	In 2016, we had a year-long visit to Caltech and IPAC.
36000	38000	At that time, we met Xu Liyan.
38000	43000	Xu Liyan happens to be a senior in the Department of Physics at Caltech, but he was studying astronomy at Manoa University in Hawaii.
43000	45000	Did I say that correctly?
45000	48000	I'm from the Department of Physics.
48000	50000	Oh, you're from the Department of Physics.
50000	53000	But you're studying astronomy at Manoa University.
53000	57000	My advisor is from Manoa University.
57000	58000	I see.
58000	62000	It's interesting because he's from Hawaii, and they were surfing.
62000	65000	I was surfing, so we became good friends.
65000	70000	Of course, his main job is still doing astronomy observation research in Hawaii.
70000	79000	After returning from Caltech, in 2017, he recently obtained a Ph.D. degree, so he is a new doctor.
79000	82000	Liyan's research is mainly galaxy observation.
82000	87000	In his doctoral career, he is going to talk to us about this big topic today.
87000	94000	He published 34 papers, but today he will focus on the latest one.
94000	104000	If you are interested in learning more about the previous papers, you can contact him directly.
104000	108000	Without further ado, let's welcome Liyan to give us his speech.
108000	110000	I'll mute myself.
110000	115000	I'd like to remind everyone to mute your microphone when you speak.
115000	116000	Thank you.
116000	117000	You can start.
117000	119000	Okay, I'll start.
120000	125000	If you have any questions, please mute your microphone.
125000	128000	I'm afraid people won't understand.
130000	131000	Oh, sorry.
131000	133000	We forgot something.
133000	134000	We need to clap.
134000	137000	We need to mute our microphone when we clap.
140000	142000	Okay, you can start.
142000	143000	Okay, thank you.
144000	153000	As you can see, my title is Characterizing Faint Sub-millimeter Galaxies with Posture Lensing.
153000	161000	If you don't read astronomy, you can only understand Characterizing, Faint, and Width.
161000	164000	I'll explain what they mean.
165000	172000	In short, I'm studying a galaxy called Sub-millimeter Galaxy.
172000	182000	The wavelength detected by this galaxy is called Sub-millimeter.
182000	187000	Sub-millimeter is shorter than millimeter.
187000	189000	Millimeter is in kilometers.
190000	202000	Traditionally, people use 850 micrometers to study Sub-millimeter Galaxy.
202000	208000	Now I'll explain why I'm studying this galaxy and what I'm studying.
209000	211000	Okay.
211000	216000	Why do we study this galaxy?
216000	219000	It's related to the evolution of the universe.
219000	227000	You can google the history of the universe.
227000	229000	You'll see a similar picture.
229000	234000	The age of the universe is 13.7 billion years.
234000	235000	Maybe you've heard of it.
236000	239000	It started from the Big Bang.
239000	243000	The history of the universe is shown here.
243000	244000	It started from the Big Bang.
244000	249000	Then there was a period of time called Inflation.
249000	253000	At that time, the temperature of the universe was still very high.
253000	255000	It was all gaseous gas.
256000	259000	Until the temperature dropped to the ground.
259000	266000	The gaseous electrons in the universe were recombined with the gaseous atoms.
266000	269000	They became neutral gas atoms.
269000	274000	From then on, light can start to run freely in the universe.
274000	280000	Before that, any light would be scattered by those gaseous electrons.
281000	285000	From then on, light can run freely in the universe.
285000	290000	At that time, the universe was scattered by those gaseous electrons.
290000	291000	Okay.
291000	295000	But the temperature of the universe was still very high.
295000	299000	So there were a lot of neutral gas atoms in the universe.
299000	302000	After the temperature dropped to the ground.
302000	304000	The temperature of the gaseous atoms dropped to the ground.
304000	307000	The temperature of the universe was still very high.
307000	311000	So there were a lot of neutral gas atoms in the universe.
311000	313000	Before that, there was a period called Dark Age.
313000	314000	Okay.
314000	319000	Basically, in the Big Bang, Inflation, and Cosmic Microwave Background.
319000	324000	During this period, I basically think that this part of history belongs to physicists.
324000	327000	Like the theory of explosion, it's a physicist.
327000	329000	This is very physical.
329000	330000	And Big Bang.
331000	334000	From the beginning of the formation of gravity.
334000	336000	After the first gravity.
336000	339000	This part can be done by astronomers.
339000	341000	Astronomers can do this part.
341000	343000	I said that the temperature of the universe.
343000	345000	Because the universe is constantly expanding.
345000	347000	The temperature slowly drops.
347000	350000	And these gaseous atoms.
350000	354000	It can be further combined into gaseous atoms.
354000	356000	Gaseous atoms.
356000	358000	If it's cold enough.
358000	360000	After gravity collapses.
360000	362000	It will form a star.
362000	364000	Then the star will.
364000	366000	You should have heard of the star.
366000	367000	Just like our sun.
367000	369000	It produces a fusion reaction.
369000	370000	So it will glow.
370000	371000	Then it will produce gas.
371000	372000	Okay.
372000	375000	Then the star will not be one by one.
375000	377000	They are produced in groups.
377000	379000	That is to form the so-called galaxy.
379000	380000	Right.
380000	381000	The galaxy is.
381000	383000	A galaxy is basically.
383000	385000	More than a billion of stars.
385000	386000	Okay.
386000	388000	It is a system of galaxies.
388000	389000	So.
389000	391000	From this time on.
391000	393000	After the galaxy.
393000	394000	It is.
394000	396000	Many galaxies.
396000	397000	In this universe.
397000	399000	More and more galaxies.
399000	400000	Okay.
400000	401000	Then.
401000	402000	We study.
402000	403000	I mean.
403000	404000	This part.
404000	405000	I study the so-called.
405000	407000	Galaxy formation and evolution.
407000	409000	The formation of galaxies.
409000	410000	And evolution.
410000	411000	Then.
411000	413000	An important point is.
413000	414000	My research.
414000	415000	This research.
415000	416000	Is to study.
416000	417000	This universe.
417000	419000	The star formation.
419000	421000	The history of star formation.
421000	422000	This is the so-called.
422000	424000	Cosmic star formation.
424000	425000	Then.
425000	427000	We want to use.
427000	428000	That is to say.
428000	429000	From this.
429000	431000	From the first star to now.
431000	433000	The evolution of this universe.
433000	434000	One of them.
434000	436000	You have to understand the evolution of this universe.
436000	437000	One of them.
437000	438000	You have to understand.
438000	439000	It must be very important.
439000	441000	How to say.
441000	443000	One of the very important factors.
443000	445000	Is star formation.
445000	447000	Because.
447000	448000	If you.
448000	450000	From the perspective of astronomy.
450000	452000	No matter what you are studying.
452000	453000	No matter you are studying.
453000	455000	The evolution of galaxies.
455000	456000	Galaxy formation and evolution.
456000	457000	Or.
457000	458000	You want to study.
458000	459000	What.
459000	460000	Stars.
460000	461000	For example.
461000	462000	Like our solar system.
462000	463000	Or study.
463000	464000	What.
464000	465000	Mars.
465000	466000	Small stars.
466000	467000	In the universe.
467000	469000	No matter what kind of weather you study.
469000	470000	It must be.
470000	471000	Related to the stars.
471000	472000	Related to the stars.
472000	473000	Because.
473000	474000	You have the star.
474000	475000	You have the star formation.
475000	476000	After.
476000	477000	After the star formation.
477000	478000	These stars.
478000	479000	Merge together.
479000	480000	Becomes.
480000	481000	Galaxy.
481000	482000	So it's related to the galaxy.
482000	483000	Then.
483000	484000	You.
484000	485000	Star.
485000	486000	Star system.
486000	487000	Like our solar system.
487000	488000	Is.
488000	489000	After the star formation.
489000	490000	Then.
490000	492000	Some dust around this star.
492000	493000	Slowly.
493000	494000	Is formed.
494000	495000	Star.
495000	496000	Then the star.
496000	497000	Just go around the star.
497000	498000	Like the comet.
498000	499000	Small star.
499000	500000	This is also.
500000	501000	This is also.
501000	502000	So.
502000	503000	You can say.
503000	504000	Astronomy.
504000	505000	No matter what you study.
505000	506000	Ah.
506000	507000	I said astronomy.
507000	508000	If it's.
508000	509000	The kind of physics in cosmology.
509000	510000	It doesn't count.
510000	511000	Astronomy.
511000	512000	Basically.
512000	513000	Whatever you do.
513000	514000	No matter what you do.
514000	515000	It's related to.
515000	516000	Star formation.
516000	517000	So star formation.
517000	518000	History.
518000	519000	Star formation.
519000	520000	History.
520000	521000	So it's a very important.
521000	522000	Ah.
522000	523000	You want to understand.
523000	524000	This universe.
524000	525000	This is a very important thing.
525000	526000	OK.
526000	527000	Then.
527000	528000	So.
528000	529000	I believe I have.
529000	530000	Convinced everyone.
530000	531000	Star formation.
531000	532000	History.
532000	533000	It's a very important thing.
533000	534000	But.
