start	end	text
0	10000	Hello everyone, I am Zhang Yanyong, the host today.
10000	19000	We are very happy to invite Xie Dayang, Diane Xie, to talk to us about her field of research and her current research topic.
20000	27000	Diane's main field of research is psychology and education psychology.
27000	30000	She is currently a second-year PhD student at UC Irvine.
30000	47000	In the field of education psychology, Diane is particularly interested in how family, culture, and so on outside of school affect young people's motivation and results in school.
47000	61000	Her topic today is Educational Inequality from a Psychology Perspective, Gender Gap in STEM as a Brief Example.
61000	69000	Recently, there has been a lot of discussion about gender in the Hollywood industry.
69000	77000	Everyone has different views on gender recognition.
77000	80000	We are very happy to invite Diane to talk to us about this topic.
80000	88000	Before we start, I would like to remind everyone that if you want to applaud, you have to turn on the microphone, otherwise you won't be able to hear me.
88000	90000	Okay, you can start.
91000	93000	This is very interesting.
93000	95000	Thank you, Diane, for your introduction.
95000	97000	It seems like I am very good at introducing myself, but I am actually not that good.
97000	101000	I am very honored to share my research with everyone today.
101000	105000	I don't know if I can see six people today.
105000	107000	I will ask questions later.
107000	111000	From the introduction of everyone, it seems that almost everyone is a science major.
111000	115000	So I chose a topic that is more related to science in education psychology.
115000	121000	It is about the inequality of education in STEM, science, technology, engineering, and mathematics.
121000	127000	As Diane said, this is one of the questions that I can answer in my research direction.
127000	132000	I am currently in the second year of UCI Education College.
132000	141000	Although I am in the Education College, the main research methods that I use and the methods that our professors and lab use are mainly from development psychology.
141000	154000	In general, I study social culture, interpersonal relationships, activity experience, and other things that are greater than the individual.
154000	157000	We call them social cultural factors.
157000	161000	How to affect the psychological development of the individual, which is the second link,
161000	169000	individual psychological development, and then affect the behavior and cognition of the individual, etc.
170000	172000	So this is a big direction.
172000	175000	It sounds very mysterious and very broad.
175000	180000	This is partly because my research has just started and I can't speak very professionally.
180000	185000	Also because my research has just started, so I will be very nervous today.
185000	189000	If you find that I speak faster and faster or start to be biased,
189000	195000	you are welcome to interrupt me at any time to ask questions or tell me to speak slower or I don't make sense.
195000	197000	I won't be angry.
197000	199000	I really hope everyone will help me.
199000	203000	Okay, so let's get into today's topic.
203000	208000	To start today's topic, I actually want to start with a question.
208000	210000	So if you can turn on the microphone, that would be great.
210000	212000	I just want to ask a very philosophical question.
212000	214000	Why are you here?
214000	216000	Specifically, why did you join Tyra?
216000	224000	Why did you choose a Saturday afternoon 3 o'clock and listen to some academic sharing here?
224000	226000	Why did you choose to get a Ph.D.?
226000	231000	Why did you choose to enter the academic circle with so many potential opportunities?
231000	235000	Does anyone want to share why?
240000	242000	Does anyone want to speak first?
245000	246000	Count to 10.
246000	248000	If no one wants to speak first, I will demonstrate.
248000	251000	Okay, 1, 2, 3, 10.
251000	253000	I will demonstrate first.
254000	256000	Why did I join Tyra?
256000	264000	I think this question is more like why I decided to join Tyra.
264000	272000	I think this has to do with why I chose to get a Ph.D. and why I chose to stay in the academic circle.
272000	274000	I think there's a very important reason.
274000	276000	It's because I think...
276000	279000	I thought about the reasons behind it.
279000	281000	Why is it like this?
281000	285000	I thought about it and found new things.
285000	288000	Then I threw it back to solve the problem I was facing.
288000	291000	If I succeeded, I felt very accomplished.
291000	299000	So I hope I can continue to use this to do what I want to do in my life.
299000	300000	So I will stay in the academic circle.
300000	304000	Of course, the condition of staying in the academic circle is to get a Ph.D.
304000	311000	Also, Tyra, to a certain extent, started from this motivation.
311000	314000	How should I put it?
314000	317000	If I can communicate with others and have more ideas,
317000	323000	then I can think about the problems I'm facing and solve them.
323000	326000	Then I can get this kind of feeling.
326000	327000	Something like that.
330000	331000	Anyone else wants to speak?
331000	332000	Don't just let me speak.
332000	333000	Don't be shy.
334000	335000	Can I speak?
337000	339000	Hello, can you hear me?
340000	341000	I'm Chi Chi.
345000	346000	Can you hear me clearly?
351000	353000	Why did I join Tyra?
353000	359000	Because I'm quite interested in interdisciplinary learning.
359000	366000	In the past, most of the people I met were interdisciplinary learners.
366000	371000	So I thought it was interesting.
371000	373000	But I wasn't very active.
373000	376000	I only participated in a few programs.
376000	378000	Actually, today is the second program.
378000	386000	Because I didn't quite understand the topic.
386000	388000	So it was a bit difficult.
388000	392000	But now I'm trying to develop.
392000	396000	I think my purpose is simple.
396000	401000	I hope I can be a public intellectual.
401000	406000	So what I write and talk can be heard by people from different fields.
406000	410000	Because my learning background in the past has made me narrow.
410000	416000	Because the people I talk to are all from the same field.
416000	422000	So I don't think I have the opportunity to talk to people from different fields.
422000	424000	So I participated in this activity.
424000	429000	On the one hand, I'm curious about things in different fields.
429000	434000	On the other hand, I hope to communicate with different people.
434000	440000	I can think about how to make people from different fields understand what I'm studying.
441000	443000	Thank you very much.
443000	445000	Does anyone else want to share?
447000	449000	I'll talk about it.
449000	451000	Hello everyone, my name is Qiyun.
451000	458000	I wanted to join Taira because I thought the plan was a bit cool.
458000	463000	I can use the Internet and hear that everyone is Taiwanese.
463000	466000	And research in different fields.
467000	472000	Why do I want to get a PhD?
472000	475000	Mainly because I'm interested in my major.
475000	477000	I do math.
477000	481000	And I want to keep doing research.
481000	484000	So I have to get a PhD.
484000	486000	That's about it.
490000	492000	Thank you very much.
492000	494000	Anyone else wants to share?
497000	499000	Okay, I'll assume this is a no.
499000	505000	I started with this question because I've always been interested in this topic.
505000	507000	I just wanted to hear everyone talk about it.
507000	511000	The second is to bring everyone into the topic I'm going to talk about today.
511000	513000	Education.
513000	515000	Education.
515000	520000	From what I just heard, we give it a lot of value.
521000	527000	Like someone said, I hope what I do today will be more valuable in the future.
527000	532000	Or I hope what I do today will be more valuable in the future.
532000	535000	So I see it mainly as knowledge and strength.
535000	539000	We can see that we believe that education is a positive thing.
539000	541000	Just like what I just shared, it's almost all positive.
541000	544000	But if my question is why I want to get a PhD.
544000	547000	You can also say that I lost something in the past few years.
547000	549000	But no one said that.
549000	551000	This gives a very positive value.
551000	559000	This is a very common idea that people don't even question.
559000	561000	Education can give us a better future.
561000	563000	So we want to learn.
563000	565000	Everyone has already gotten a PhD.
565000	568000	I don't need to say that everyone is the best example.
568000	575000	So if we want to look at the value we give to education.
576000	582000	If we look at the level of education alone and the so-called successful indicators.
582000	583000	For example, income.
583000	586000	We can see a very beautiful straight line.
586000	589000	If we look at education and unemployment rate.
589000	592000	We see a beautiful inverse relationship.
592000	596000	It seems that education can really bring social mobility.
596000	598000	The so-called opportunity to climb up.
598000	601000	Just like this picture next to it.
602000	605000	This is a very strong idea.
605000	606000	Just like I just said.
606000	609000	We give education a very just value.
609000	614000	So it's not hard to see that we put a lot of resources into education.
614000	621000	For example, this year the United States allocated nearly $700 million to the Department of Education.
621000	625000	If we look at the state level.
625000	628000	Take California as an example.
628000	633000	The cost of education is actually greater than human resource health.
633000	640000	It is also far greater than the cost of judicial administration or natural resource protection.
640000	645000	So this is just a quick introduction to the topic I want to talk about today.
645000	648000	Everything sounds very reasonable at the moment.
648000	652000	Because education is a channel for everyone to climb up.
652000	657000	So society should ensure that everyone gets equal education opportunities.
657000	662000	That's why we can see the role of the state government is to invest money in education.
662000	668000	This is also a very tempting idea.
671000	674000	Since education is a chance to turn around.
674000	678000	We can say that we give education to the disadvantaged.
678000	680000	They should climb up.
680000	684000	Education has become a tool to reduce inequality in society.
685000	690000	I will talk about the topic of inequality today.
690000	693000	Although this idea is very tempting.
693000	697000	But the problem is that if education itself is inequality.
697000	700000	Then it may amplify inequality in society.
700000	702000	Instead of reducing inequality.
702000	706000	Of course, we don't want to see the reduction of inequality.
706000	710000	So the question for scholars is to ask.
710000	712000	Is education itself inequality?
713000	715000	This is a big question.
715000	717000	The short answer is yes.
717000	719000	Education is inequality.
719000	721000	But inequality is very complicated.
721000	725000	There are many reasons behind it.
725000	728000	The second reason is that they are related to each other.
728000	732000	Let me give you an example.
732000	738000	In the United States, the most discussed inequality in education is racial inequality.
738000	743000	Specifically, it is the inequality between black and white people.
743000	745000	If we look at this picture.
745000	754000	The blue line is the performance of white children in mathematics.
754000	757000	This is the performance of the ninth grade.
757000	760000	We can see that the blue line is far higher than the black line.
760000	763000	The orange line is the performance of Latin children.
763000	764000	The green line.
764000	768000	This is just one example.
768000	774000	The same achievement gap can be seen at different ages.
774000	777000	It can be seen in different subjects.
777000	781000	I put a link below.
781000	787000	This is just one of the research units tracking these data.
787000	793000	To see how much racial inequality is now.
793000	795000	To see if there is any improvement.
795000	798000	From this picture, we can see that the X axis is the time.
798000	803000	After so many years, there is still no improvement.
803000	805000	The gap is still very large.
805000	810000	Many people will start to think about the reason for this gap.
810000	817000	Of course, some people will wonder if it is because the resources of black children's schools are poor.
818000	824000	It sounds like the racial discrimination of schools is outdated.
824000	829000	It should not be abolished after the Civil Rights Movement in the 1950s.
829000	832000	Why do we still see such a big gap?
832000	836000	One of the reasons is that the reason just now is very good.
836000	842000	But if we look at the data, we will find that there is still isolation.
842000	848000	The fact is that most white children still go to schools for white children.
848000	853000	Most black children still go to schools for black children.
853000	859000	The schools that the latter go to are usually those schools that are less well-off.
859000	866000	One of the people just said that schools are different now.
866000	869000	We found that the problem of schools still exists.
869000	872000	Why does this problem still exist after so many years?
872000	877000	There are many reasons that are related to each other.
877000	882000	For example, why is there a difference in schools?
882000	886000	One of the reasons is that there is a difference in income.
886000	890000	On average, the income of black families is lower than that of white families.
890000	893000	So the places they can live in are different.
893000	897000	The places they live in are different, so the school district they go to is different.
897000	903000	So if we put the income gap and the achievement gap together,
903000	909000	we will find that this is happening at the same time, and it is probably related to each other.
909000	911000	So now things are getting more and more complicated.
911000	913000	We just said that it may be because the schools are different.
913000	916000	OK, now we find that their economic level is also different.
916000	918000	Then give another example.
918000	920000	In addition to these two, we can also look at the family.
920000	926000	If we add the family in, we will find that the parents' education level
926000	929000	also has a gap between black and white people.
929000	934000	This gap and the achievement gap just now are also affecting each other.
934000	937000	So now things are getting more and more complicated.
937000	939000	It's not just the school itself.
939000	943000	There is also a problem with the inequality of income in the whole society.
943000	947000	Now we say that the parents' education level is also problematic.
947000	952000	Sometimes I think it's a bit of a ghost gun.
952000	954000	It's a vicious cycle.
954000	957000	For example, if there is a so-called gap in the family,
957000	961000	you can imagine that the parents with a lower level of education
961000	966000	will naturally have fewer books at home.
966000	970000	Or they don't have those connections to participate in better extracurricular activities.
970000	973000	Then it leads to their next generation's poor income.
973000	977000	Then, as I said at the beginning, it's not about income, it's about education.
977000	979000	Then education is related to income.
979000	983000	Then it's like this, it's a vicious cycle.
983000	988000	So I want to stop here.
988000	991000	Because I find that I speak faster and faster.
991000	993000	It's probably because I'm getting more and more nervous.
993000	995000	And here...
995000	997000	I actually just have a question.
997000	1001000	Please say it.
1001000	1003000	My question is like this.
1003000	1008000	For example, the income gap or the education gap.
1008000	1012000	I may not have heard what you just said.
1012000	1014000	What is its definition?
1014000	1019000	At least in this picture, what is the meaning of the gap?
1019000	1023000	Because I don't quite understand why there are so many dots.
1023000	1025000	Is there no face?
1025000	1028000	The dot is a week.
1028000	1030000	Every dot is a week.
1030000	1032000	Oh, the dot is a week.
1032000	1037000	It's too exaggerated to put it on.
1037000	1039000	So this should answer your question.
1039000	1044000	As I said, the education gap is...
1044000	1046000	Back to what I said at the beginning.
1046000	1050000	Education is a tool that can help people climb up.
1050000	1054000	But this gap means that some people climb higher, some people climb lower.
1054000	1058000	And if we're talking about the racial achievement gap,
1058000	1060000	white people climb higher, black people climb lower.
1060000	1062000	And if it's the income gap,
1062000	1066000	some people climb higher, some people climb lower.
1067000	1069000	So...
1071000	1073000	Can I ask a question?
1073000	1076000	This is the first time I've seen this graph.
1076000	1078000	What does it mean?
1078000	1080000	The dots and the axis.
1080000	1082000	What does that mean?
1082000	1084000	Right.
1084000	1087000	That axis, that gap.
1087000	1092000	For example, this graph is actually a combination of many graphs.
1092000	1095000	The x-axis is talking about the income gap.
1096000	1098000	Each dot is a week.
1098000	1104000	So if the income of white people in this week is twice as high as that of black people,
1104000	1107000	then the x-axis is a 2.
1107000	1109000	If it's higher...
1109000	1111000	It starts from 0.
1111000	1115000	So 0 and above mean that white people are higher than black people.
1115000	1117000	And the achievement gap means that
1117000	1123000	the learning performance of white people is higher than that of black people.
1123000	1125000	So there's a gap like this.
1125000	1127000	This graph means that
1127000	1130000	these two gaps are related to each other.
1130000	1132000	And it's a positive relationship.
1134000	1138000	For example, if your income gap is high in the same week,
1138000	1142000	then your learning performance gap will also be high.
1143000	1145000	Does that make sense?
1145000	1147000	Or is it getting more and more confusing?
1148000	1150000	Can I ask a question?
1150000	1153000	So the circle means that each week is different.
1153000	1156000	And the diagonal line is the standard line.
1156000	1158000	The middle line.
1158000	1161000	And the x-axis is the income gap.
1161000	1163000	What is the y-axis?
1164000	1166000	The y-axis is talking about
1166000	1174000	the gap between white people and black people.
1177000	1180000	So you can see that the y-axis is all 0 and above.
1180000	1182000	It means that every week,
1182000	1185000	the average income of white people is higher than that of black people.
1186000	1189000	And how much is higher
1189000	1197000	is proportional to the gap between white people and black people.
1197000	1202000	And the middle line is a standard line.
1203000	1207000	It seems like someone wants to ask a question.
1207000	1209000	Go ahead.
1211000	1213000	No, I just want to...
1213000	1215000	Because I've seen this graph.
1215000	1217000	But what I see is that
1217000	1219000	all the cities in the U.S.
1219000	1221000	and then make a comparison.
1221000	1226000	It's also racial inequity.
1226000	1228000	And then look at the gap between them.
1228000	1233000	The gap between cities and schools is the biggest.
1233000	1235000	So the bigger the circle,
1235000	1238000	it means that the city...
1238000	1240000	But in your graph, it's a state.
1240000	1242000	That state means that
1242000	1245000	the bigger the gap between the poor and the rich,
1245000	1248000	the bigger the circle.
1248000	1250000	And the smaller the circle means that
1250000	1252000	there's not much difference.
1252000	1254000	But that's what I see in the graph.
1254000	1256000	But you just said that
1256000	1259000	there's a lot of integration.
1259000	1261000	So I don't know if it's because
1261000	1263000	American education, at least before K-12,
1263000	1266000	was defined by property tax.
1266000	1268000	So because of this,
1268000	1270000	under the foundation of funding,
1270000	1274000	there will be the difference you just mentioned.
1274000	1276000	The better the school district,
1276000	1278000	if my parents can afford it,
1278000	1280000	the better the school district.
1280000	1282000	Of course, the more resources I have here,
1282000	1284000	the more money I have,
1284000	1286000	I can attract better teachers.
1286000	1289000	But if I'm poor in this area,
1289000	1291000	I can't...
1291000	1294000	Because this is a different education system from Taiwan.
1294000	1296000	It's the funding part.
1296000	1299000	So there will be a gap like this.
1301000	1303000	Thank you for the supplement.
1303000	1305000	And then I just said...
1305000	1308000	So this graph...
1308000	1310000	Like you said,
1310000	1312000	if you want to look for it,
1312000	1314000	it's related to education
1314000	1316000	and the achievement gap.
1316000	1318000	You can find any Y-axis
1318000	1320000	or X-axis you want.
1320000	1322000	But I made this introduction
1322000	1324000	mainly to introduce
1324000	1326000	the concept of
1326000	1328000	inequality in education.
1328000	1330000	And then I want to say
1330000	1332000	that there are many reasons
1332000	1334000	behind inequality in education.
1334000	1336000	And those reasons are
1336000	1338000	the reasons that affect and interfere with each other.
1338000	1341000	So to understand inequality in education,
1341000	1344000	you have to think about many aspects.
1344000	1348000	And this is the conclusion I will come back to.
1348000	1350000	And then...
1350000	1353000	Like the example I just gave,
1353000	1355000	if we only say that inequality in education
1355000	1358000	is because of the difference in school resources,
1358000	1359000	then we can say that
1359000	1360000	we will intervene.
1360000	1361000	We take black children
1361000	1363000	and take white children to school.
1363000	1366000	This thing has indeed been done.
1366000	1368000	But we will find that this is not enough.
1368000	1370000	Because you solve the difference in school hardware.
1370000	1371000	But like we just said,
1371000	1373000	there is still an income gap.
1373000	1374000	So you have to solve
1374000	1377000	why the income gap
1377000	1379000	in this society is so big.
1379000	1381000	Of course, this is not enough.
1381000	1382000	Because we still haven't solved
1382000	1384000	the problem of parents' education level.
1384000	1386000	Do we have to give parents
1386000	1388000	some employment guidance, etc.?
1388000	1390000	This is just...
1390000	1392000	to point out that
1392000	1394000	education should be a tool
1394000	1397000	to reduce inequality in society.
1397000	1398000	If we can think of it this way,
1398000	1400000	I think it's a very tempting idea.
1400000	1403000	But if we don't carefully measure
1403000	1407000	the social factors behind it,
1407000	1409000	such as race, class, etc.,
1409000	1412000	we may accidentally
1412000	1414000	cause more inequality.
1414000	1416000	So...
1416000	1418000	I want to bring this into today's topic.
1418000	1419000	My topic is
1419000	1421000	gender inequality in education.
1421000	1423000	What kind of inequality
1423000	1425000	does gender social factors
1425000	1427000	have in education?
1427000	1429000	So...
1431000	1432000	I forgot to show this page.
1432000	1435000	I put it here.
1435000	1436000	If you are interested in
1436000	1438000	finding out the picture
1438000	1439000	and reading it,
1439000	1441000	you can pause the video
1441000	1443000	and go to the link above.
1443000	1445000	But now...
1445000	1446000	I'm going to change it to
1446000	1448000	talk about the inequality of my topic today,
1448000	1451000	which is inequality in gender and education.
1451000	1455000	If we look at the 1960s,
1455000	1457000	there was a time when
1457000	1459000	girls couldn't even go to college.
1459000	1461000	Of course, we're a long way from that time.
1461000	1463000	A lot of things have happened in history,
1463000	1465000	such as the rise of feminism, etc.
1465000	1467000	We can see that the college degrees
1467000	1469000	and higher education degrees
1469000	1471000	that girls received
1471000	1473000	have been increasing.
