start	end	text
0	29000	Ok, welcome everyone to today's Tara Talk. I'm today's host, Zhang Yanyong. We are very honored to be able to invite our speaker today, Lu Yi, which is a very special field. Because most of our Tara Talks are based on material science or science, but today we invited Lu Yi to talk about the topic of material science.
29000	42000	The topic that Lu Yi will talk about is the discussion of copyright in streaming, a comparison of the U.S. and European regimes, understanding streaming and copyright.
42000	53000	Lu Yi is currently a candidate for the doctorate of law at the University of Washington. His main field is the law of intellectual property rights, anti-Thorax and economic analysis.
53000	68000	At the same time, he also served as a legal advisor to the 2H online store during his time at school. He is now in the doctoral class. Before he was in the doctoral class, he was an intern at the U.S. and European law firms in Washington.
69000	79000	He is also very interested in the spirit of entrepreneurs, so he joined the China Entrepreneurship Interaction Association to serve as a counselor.
80000	92000	He regularly holds meetings and talks to promote the spirit of entrepreneurs in Taiwan. Before he came to the United States, he was an intern at the U.S. Department of Justice.
92000	104000	During his time at school, he represented Taiwan in the international business dialogue in Germany and the Harvard-Asia International Relations Conference.
105000	110000	He also has a very handsome photo on my bio. If you are interested, please take a look.
110000	124000	During his time at school, he represented Taiwan in the international business dialogue in Germany and the Harvard-Asia International Relations Conference. He also has a very handsome photo on my bio. If you are interested, please take a look.
124000	129000	If you are interested, please take a look.
154000	172000	The online streaming service we use now is also part of the online streaming service. In fact, the online streaming service has changed a lot of human privacy habits, including YouTube and Hulu.
172000	190000	In fact, the online streaming service has changed a lot of human privacy habits, including YouTube and Hulu.
191000	195000	This is my outline today. I will briefly share with you.
196000	205000	Because today's PowerPoint is shared by me in the seminar at the Department of Justice, so the content may be a bit deep for everyone.
206000	208000	First, if you have any questions, please feel free to interrupt me.
209000	216000	Second, because I am thinking about everyone's state, I will not talk so deeply in each session.
217000	224000	If you have any more detailed questions, you can ask me in person or leave a message to ask me.
225000	231000	This is the order of my speech today.
232000	236000	First, I will tell you why I am doing this research and how I do it.
237000	240000	Next, I will start with a little bit of technology.
241000	244000	But this technology is not as much data as Li Gong-ge.
245000	250000	I will only briefly talk about the background structure of the streaming service.
250000	257000	Fourth, I will take some European and American cases related to streaming and compare them.
258000	260000	In the end, I will find something in this comparison.
261000	268000	I can say that if future companies want to do this, they often ignore some things.
269000	271000	I hope to make some suggestions.
272000	279000	If the audience here is interested in this area in the future, you can listen to it and refer to my thoughts.
280000	283000	This is the online streaming service.
284000	293000	There are many services, including music, video, audio, and news.
294000	299000	Amazon, Spotify, Hulu, and Netflix.
300000	302000	This is the background.
302000	308000	Traditional media, in addition to doing wireless TV, are now jumping in to do streaming.
309000	314000	For example, NBC and ABC are also actively jumping in to do this.
315000	320000	Next, why do we need to pay attention to streaming?
321000	324000	There is a name in the lower right corner, which is Cleaning Perkins.
324000	328000	Cleaning Perkins is a well-known startup in the U.S.
329000	333000	It specializes in online business.
334000	338000	At the beginning of this year, it published a research report.
339000	347000	It shows that consumers use the internet, and companies invest in it.
348000	350000	This is a very interesting intersection.
351000	353000	This shows the perspective of corporate investment.
354000	365000	In the past, corporate investment was mostly in traditional media, such as TV or large-screen advertising.
366000	373000	This year, the data shows that at the end of this year,
374000	381000	the investment of online investment will exceed the investment of traditional media.
381000	383000	What does this show?
384000	393000	It shows that companies are starting to shift from traditional media to the internet.
394000	402000	At the end of this year, the investment of online investment will exceed the investment of traditional media.
403000	412000	Let's talk about corporate investment first.
413000	415000	Let's look at it from the perspective of the market.
416000	420000	In 2017, when we estimated the market,
421000	426000	this report is from McKinsey, a well-known management company.
426000	444000	McKinsey predicts that the annual growth rate of streaming will continue to rise compared to 2014.
444000	455000	If you look at the three numbers, North America, Western Europe, and Central Eastern Europe,
456000	465000	in 2017, they still accounted for about 1 to 1.5 percent of the total number.
466000	470000	This is why I chose to compare the European and American systems.
471000	474000	Let's look at it from the perspective of per capita consumption.
475000	481000	From the perspective of the company, the investment is slowly increasing,
482000	485000	and the per capita consumption is increasing.
486000	491000	The market is still concentrated in the North American and European markets.
492000	496000	This is one of the main reasons why I want to study.
496000	501000	This is one of the main reasons why I want to study.
502000	507000	Next, let's talk about the core research.
508000	511000	First, let's talk about the structure.
512000	514000	The structure of streaming is mainly divided into three parts.
515000	518000	The first part is the aggregation on the far left.
519000	526000	Basically, if you use a TV as a metaphor,
527000	536000	streaming only changes the signal from wireless or wired to the Internet.
537000	542000	To put it simply, the structure in the background is actually divided into three parts.
542000	543000	The first part is the aggregation.
544000	552000	The aggregation is the content created by TV or major media companies.
553000	559000	These streaming will collect these signals and put them on the cloud.
560000	563000	I think everyone has heard of the storage format on the cloud,
564000	565000	the so-called MP4.
566000	569000	It compresses the storage process.
569000	570000	It compresses the storage process.
571000	572000	During the compression process,
573000	578000	the original wireless or wired signal will be transformed into the cloud storage format.
579000	580000	From signal to format.
581000	592000	Under this format, MP4 allows the streaming process to be relatively stable.
593000	596000	It is also a technology standard that has been in progress.
596000	599000	Maybe in a few years, it won't be MP4 anymore.
600000	601000	It may be faster and more fluid.
602000	608000	Of course, there may be many reasons why the Internet media is lagging.
609000	611000	Storage format is one of them.
612000	620000	MP4 becomes a very important part of the entire streaming structure in the second stage of storage.
621000	623000	After storage, it is sent.
623000	629000	In fact, in the part of sending, it will also be converted from the storage format to the format of sending.
630000	632000	I won't go into detail about the format of sending.
633000	635000	If you are interested, you can check on the Internet.
636000	637000	What is HLS?
638000	639000	What is MPEG-DASH?
640000	641000	What is Smooth Streaming?
642000	643000	These are the technical terms.
644000	648000	Basically, it is converted from the storage format to the format of sending.
649000	651000	There is something called Streaming Endpoint in the middle.
652000	658000	Streaming Endpoint is a bit like the concept of a middle book.
659000	661000	When it is converted from storage to sending,
662000	670000	Streaming Endpoint allows consumers at the back end to see the videos without the sense of lag.
671000	673000	This is the main structure of streaming.
673000	678000	I converted the original signal into a storage format and then sent it out.
679000	681000	It is smooth in this process.
682000	683000	But there is a storage in the middle.
684000	686000	And the so-called gathering function.
687000	688000	Gathering process.
689000	692000	The problem will appear at the very beginning.
693000	698000	Why is gathering a common problem in streaming?
699000	703000	Let's go back to the paper itself.
704000	705000	Excuse me.
706000	707000	Okay.
708000	711000	There is a question about this page.
712000	717000	The feature of streaming is that it can store the data in the cloud.
718000	719000	Then there is a distribution.
720000	723000	You mentioned today that you want to focus on the region.
724000	726000	That is, the United States, Europe, and so on.
726000	730000	But if today you can imagine that someone is in Asia.
731000	734000	Then he can somehow use VPN or something to watch Netflix.
735000	737000	The data is not in the Asian region.
738000	741000	In this case, where should we focus on the legal discussion?
742000	745000	Or how do you define the region itself?
746000	747000	This question is quite interesting.
748000	749000	OK.
750000	752000	From my perspective.
752000	756000	From my perspective, if the storage is in another country.
757000	759000	But from the legal point of view.
760000	762000	You always have to choose a country to sue him.
763000	764000	Right?
765000	767000	You always have to choose a country to sue him.
768000	771000	If the storage is in another country today.
772000	774000	Suppose your storage is in Taiwan.
775000	776000	OK.
777000	778000	But you sue him in the United States.
778000	782000	This problem will appear in the issue of evidence collection.
783000	785000	It's not about what's in the law.
786000	787000	You can sue someone.
788000	789000	But if your storage is abroad.
790000	792000	Then there will be an issue of evidence collection.
793000	794000	The so-called issue of evidence collection is that.
795000	798000	For example, we may have heard of it before.
799000	800000	Very famous case.
801000	804000	That is, Mega Upload was bought by the United States.
805000	808000	I don't know if you know the case of Mega Upload.
809000	811000	Mega Upload is a network sharing.
812000	814000	It's a bit like P2P file sharing.
815000	816000	It's like Grogs.
817000	819000	After he was bought in the United States.
820000	822000	He moved his server to Australia.
823000	825000	Then you can't catch him in the United States.
826000	827000	You know what I mean?
828000	829000	The United States has no right to catch him.
830000	831000	Only Australia can catch him.
832000	834000	So that's Mega Upload.
835000	840000	I think the interesting thing about streaming is.
841000	842000	Aggregation part.
843000	844000	I'll talk about it later.
845000	848000	Sometimes it will use different methods to collect signals.
849000	852000	I don't know if this answers your question.
853000	854000	Because this question is quite interesting.
858000	859000	I don't know.
859000	860000	Because of his understanding of the question.
861000	862000	My question has been answered.
863000	865000	But I don't know what he thinks now.
866000	867000	Let me see.
868000	869000	He said yes.
870000	871000	OK, thank you.
872000	873000	I guess I'll talk more later.
874000	875000	Right?
876000	878000	But I think this question is interesting.
879000	880000	That is.
881000	883000	If you put it in another country.
884000	885000	By the way.
