start	end	text
0	2000	Can you see me now?
2000	4000	Ok
4000	6000	Can you see my screen now?
6000	8000	Yes?
8000	10000	Yes, yes, yes
10000	12000	I will turn off my camera
12000	14000	So it will be smoother
14000	16000	Ok
16000	18000	Let me tell you
18000	20000	There are two more people here
20000	22000	One is here
22000	24000	One is over there
24000	26000	The camera may not be able to see
26000	28000	There are three people here
28000	30000	If they have any questions
30000	32000	Don't be surprised if they are real people
34000	36000	Sorry
36000	38000	There were some microphone issues
38000	40000	That's why we are delaying
40000	42000	The topic I am going to talk about
42000	44000	looks a bit
44000	46000	difficult to understand
46000	48000	Functional connectivity and dynamics
48000	50000	and burn organization
50000	52000	In short
52000	54000	The main purpose of my research
54000	56000	is to look at the functional connections
56000	58000	between neural networks
58000	60000	The so-called functional connections
60000	62000	are the neural signals
62000	64000	generated by neurons
64000	66000	during activation
66000	68000	How these neural signals
68000	70000	are transmitted between different brains
70000	72000	This is the main thing
72000	74000	I am going to talk about today
74000	76000	I will divide it into two parts
76000	78000	The first part is introduction
78000	80000	Introduction is a general
80000	82000	background idea
82000	84000	If you are not a neurologist
84000	86000	You need to know something
86000	88000	to make it easier for us to explain
90000	92000	This is one of the main research
92000	94000	The second part is
94000	96000	the current message
96000	98000	It is about a
98000	100000	special project
100000	102000	The last part is all about that project
102000	104000	The first part is
104000	106000	a little bit
106000	108000	scientific
108000	110000	The second part is more about
110000	112000	that research
112000	114000	I have seen
114000	116000	the comments
116000	118000	Some people are just
118000	120000	talking about science
120000	122000	So I want to talk about
122000	124000	what is neuroscience
124000	126000	I have seen
126000	128000	on the internet
128000	130000	Neuroscience is a
130000	132000	comprehensive research
132000	134000	It includes chemistry,
134000	136000	medicine, physiology, medicine
136000	138000	even computer science and engineering
138000	140000	There are a lot of subjects
140000	142000	From the perspective of
142000	144000	modern neuroscience
144000	146000	There are
146000	148000	cells
148000	150000	and neurons
152000	154000	If you
154000	156000	enlarge the scale
156000	158000	There are cognitive science
158000	160000	and behavioral science
160000	162000	Finally, there is transfer medicine
162000	164000	It is to apply the research
164000	166000	in the lab to clinical
166000	168000	If you want to
168000	170000	There are micro scale,
170000	172000	mesoscale and macroscale
172000	174000	The last part is
174000	176000	about the research
176000	178000	The first part is
178000	180000	between neurons
180000	182000	The research topic is
182000	184000	between neurons
184000	186000	Let me correct
186000	188000	The first part is
188000	190000	about single neurons
190000	192000	The second part is
192000	194000	between neurons
194000	196000	The last part is
196000	198000	between neurons
198000	200000	The biggest part
200000	202000	is what I have done
202000	204000	At the same time
204000	206000	What I have done
206000	208000	will cover the last part
208000	210000	I will use
210000	212000	a simple sentence
212000	214000	It is about
214000	216000	neural connectivity
216000	218000	You will hear
218000	220000	functional connectivity
220000	222000	It is about
222000	224000	the connectivity
224000	226000	of neurons
226000	228000	There is another point
228000	230000	We want to see
230000	232000	the connection of
232000	234000	human behavior
234000	236000	For example,
236000	238000	their behavior
238000	240000	in clinical
240000	242000	or in cognitive science
244000	246000	I will talk about
246000	248000	functional connectivity later
248000	250000	I will talk about
250000	252000	functional connectivity later
252000	254000	Some people
254000	256000	have studied
256000	258000	psychology or
258000	260000	cognitive science
260000	262000	They have heard about
262000	264000	some theories
264000	266000	I will give you examples
266000	268000	The left one is
268000	270000	Localization
270000	272000	Scientists
272000	274000	are studying
274000	276000	brain function
276000	278000	or human behavior
278000	280000	They want to
280000	282000	find out which part of the brain
282000	284000	is responsible for which function
284000	286000	This is a result of
286000	288000	FMRI
288000	290000	You can see
290000	292000	the three colored areas
292000	294000	This means that
294000	296000	when the subject is doing something
296000	298000	the neurons in these three areas are active
298000	300000	This is a more
300000	302000	traditional theory
302000	304000	They think
304000	306000	they need to
306000	308000	classify
308000	310000	which part of the brain
310000	312000	is responsible for which function
312000	314000	Another one is called
314000	316000	Distributed Brain Network
316000	318000	These two schools
318000	320000	have been fighting for a long time
320000	322000	But recently
322000	324000	because of some new research methods
324000	326000	Most people think
326000	328000	this is more like the human brain we expect
328000	330000	In this new school
330000	332000	their focus
332000	334000	is not on studying
334000	336000	a single brain area
336000	338000	but on the functionalities of the brain areas
338000	340000	This yellow arrow
340000	342000	For example, this brain area
342000	344000	may send a message to this area
344000	346000	and this area
346000	348000	may send a message to this area
348000	350000	So the brain area
350000	352000	receives feedback
352000	354000	and sends the signal
354000	356000	to this area
356000	358000	The picture on the right
358000	360000	is more like what I am doing now
360000	362000	This is the so-called
362000	364000	Functional Connectivity
364000	366000	This is the so-called
366000	368000	Functional Connectivity
368000	370000	This is the so-called
370000	372000	Functional Connectivity
372000	374000	So how do we
374000	376000	study it?
376000	378000	How can we measure
378000	380000	the so-called Functional Connectivity?
380000	382000	In statistics
382000	384000	or basic definition
384000	386000	Functional Connectivity
386000	388000	is like
388000	390000	describing two brain areas
390000	392000	or two different areas
392000	394000	in the same area
394000	396000	For example,
396000	398000	the picture on the right
398000	400000	is a brain
400000	402000	Let's say there are three areas
402000	404000	we call region of interest
404000	406000	1, 2, 3, 3
406000	408000	The blue, red, and green lines
408000	410000	refer to
410000	412000	the time course
412000	414000	I am using the example of FMRI
414000	416000	This is the signal change
416000	418000	caused by the activation of neurons
418000	420000	This is the signal change
420000	422000	We use these signals
422000	424000	as the basic research
424000	426000	It's a bit like the ingredients
426000	428000	of cooking
428000	430000	After you get these things
430000	432000	you start to use different methods
432000	434000	to see the relationship between them
434000	436000	Of course, you don't have to use FMRI
436000	438000	You can use many different machines
438000	440000	For example, the EEG of the brain
440000	442000	or the MEG of the brain
442000	444000	But I am using FMRI
444000	446000	for my research
446000	448000	So any so-called Functional Connectivity
448000	450000	based on FMRI
450000	452000	We call it
452000	454000	time course or time series
454000	456000	We use this data to do the research
456000	458000	Let's say you have three areas
458000	460000	of interest
460000	462000	The first thing you need to do
462000	464000	is to extract their signals
464000	466000	Then
466000	468000	what you need to do is
468000	470000	to use different methods
470000	472000	to calculate the relationship
472000	474000	between two brain areas
474000	476000	The most common is
476000	478000	Pairwise Correlation
478000	480000	If you use Pairwise Correlation
480000	482000	you will see a lot of values
482000	484000	For example
484000	486000	This is the relationship
486000	488000	between RI2 and RI1
488000	490000	If they are positive
490000	492000	For example, this is
492000	494000	about 0.5
494000	496000	This means that
496000	498000	this area and this area
498000	500000	are connected
500000	502000	Don't look at the
502000	504000	diagonal one
504000	506000	It means that
506000	508000	they are connected
508000	510000	But this is not a normal situation
510000	512000	This is because we are calculating
512000	514000	So usually after we calculate
514000	516000	and get this evidence
516000	518000	We will force the diagonal line
518000	520000	to become 0
520000	522000	This is mainly
522000	524000	the way we use
524000	526000	Of course, in this part
526000	528000	you shouldn't use Pairwise Correlation
528000	530000	Many people use different methods
530000	532000	For example, Partial Correlation
532000	534000	There are many ways to use
534000	536000	It doesn't mean which method is better
536000	538000	It depends on
538000	540000	what you want to observe
542000	544000	After that
544000	546000	After we get
546000	548000	this evidence
548000	550000	we will be curious
550000	552000	what we are going to do next
552000	554000	Many people
554000	556000	find a big problem
556000	558000	There are too many signals
558000	560000	and too much information
560000	562000	So
562000	564000	what I'm going to talk about next
564000	566000	is to use some new methods
566000	568000	so that you
568000	570000	can
570000	572000	report some data
572000	574000	to let everyone know
574000	576000	how different these numbers
576000	578000	represent the whole matrix
580000	582000	Wait a minute
582000	584000	Ok
584000	586000	So just now we have
586000	588000	got the evidence
588000	590000	What I'm going to talk about
590000	592000	today is
592000	594000	Graph Theory
594000	596000	and Dynamic Functional Connectivity
596000	598000	Sorry
598000	600000	Let me interrupt
600000	602000	Ok
602000	604000	I just want to tell you
604000	606000	If you have any questions
606000	608000	you can
608000	610000	put them in the chat
610000	612000	and I will
612000	614000	find the time to ask
614000	616000	Or if you have any questions
616000	618000	you can also ask
618000	620000	and I will answer
620000	622000	the questions
622000	624000	I can't see the chat
624000	626000	so I don't know what you are asking
626000	628000	If you have any questions
628000	630000	you can ask
630000	632000	Ok
632000	634000	Before we talk about Graph Theory
634000	636000	do you have any questions?
640000	642000	If not, let's continue
642000	644000	Here we have a little bit
644000	646000	of abstract
646000	648000	I will try my best
648000	650000	If you have any questions
650000	652000	we can continue later
652000	654000	If you have studied Maths
654000	656000	you will know that Graph Theory
656000	658000	is a part of Maths
658000	660000	Its purpose is
660000	662000	to describe the relationship
662000	664000	between two points
664000	666000	to describe the relationship
666000	668000	between two points
668000	670000	In Neuroscience
670000	672000	Graph Theory is a good tool
672000	674000	In Graph Theory
674000	676000	you can get a lot of different values
676000	678000	Each value
678000	680000	represents a feature of the network
680000	682000	For example
682000	684000	we will talk about
684000	686000	some different values later
686000	688000	Some values may represent
688000	690000	how well the signal is integrated
690000	692000	in the brain
692000	694000	or how well it is integrated
694000	696000	in a single system
696000	698000	So there will be some different messages
698000	700000	When you are doing
700000	702000	Graph Theory
702000	704000	there are two important things
704000	706000	that you must get
706000	708000	The first one is Node
708000	710000	The other one is Edge
710000	712000	Node is the region of interest
712000	714000	On the right side
714000	716000	this is the information
