start	end	text
0	3000	If you have any questions, you can just type them in the chat box.
4000	6000	No, he just said to start recording.
7000	9000	Because when I pressed it, he told me that my memory was full.
9000	11000	Okay, I'm going to turn off the microphone now.
11000	12000	Okay, bye bye.
15000	20000	Yeah, so if you have any questions later, you can just type them in the chat box.
20000	23000	Or you can just turn on your microphone and ask questions.
23000	24000	It doesn't matter.
24000	31000	Because in fact, this video, if I were to talk to a person who does biological math, it would be about 20 minutes.
32000	35000	But in fact, I think it should be far more than that.
35000	43000	Because I hope to let everyone, even if it's not a biological math background, to get a little bit of an idea of what I'm doing.
43000	44000	At least have a concept.
45000	47000	Okay, I'm going to start.
47000	56000	My topic today is mainly to discuss how a cell decides to extend itself in one direction.
57000	63000	As you can see, the nerve cell on the left side of the projection film, it only extends in one direction.
64000	66000	Or it extends in many directions.
66000	69000	Like the nerve cell on the right, it extends in many directions.
70000	73000	So how does it control such a mechanism?
74000	76000	This is actually a very, very big problem.
76000	81000	And in different biological systems, they may use different methods to control it.
81000	87000	But no one has actually asked this question yet.
88000	98000	So today I'm going to use the mechanism that we already know, the mechanism that the organism extends in a certain direction.
98000	108000	Let's understand this mechanism and then study what kind of nature it has to decide whether it extends in one direction or in many directions.
109000	116000	So my topic today is Principles that Govern Competition or Coexistence in Rho-GTPase Driven Polarization.
117000	120000	Rho-GTPase is a protein.
121000	122000	It's a very interesting protein.
122000	124000	We're going to go all over it today.
124000	127000	What does polarization mean?
127000	129000	Let me explain it to you now.
130000	132000	First of all, for a cell,
133000	137000	Modeling people often think about how to model a cell.
140000	144000	Generally, you would imagine that you have a cell membrane.
145000	146000	There's a cell tissue inside.
147000	148000	There's a cell box inside.
149000	151000	There's DNA in the cell box.
151000	152000	We don't care about DNA.
152000	156000	All the protein is floating in your cell tissue.
158000	164000	If someone asks me how much of the protein in the cell tissue is dense,
167000	168000	Different proteins are different.
169000	175000	For example, I'll tell you that the density of the protein in the cell tissue is about this much, a fixed number.
176000	177000	Let's make an assumption.
178000	180000	The whole cell is uniform.
181000	186000	The density of the same protein in the cell tissue is basically the same.
188000	194000	In this situation, a cell can't tell which side is the head and which side is the tail.
195000	200000	For a person, it is very important to distinguish between the head and the tail.
200000	202000	Because first of all, you need to know where your head is.
203000	206000	You even need to distinguish between the front and the back.
207000	208000	Front and back.
208000	209000	Back and side.
209000	210000	Left and right.
211000	215000	So a lot of this kind of asymmetry is very important to the cell.
216000	219000	It's not just a whole individual thing for humans.
220000	222000	For a cell, it's the same thing.
223000	226000	For example, if this is a mobile cell,
227000	228000	For example, if this is a tissue,
229000	230000	It needs to know where it's going.
232000	233000	It needs to know which side is the head and which side is the tail.
233000	235000	The tail will shake and it will swim to the other side.
237000	239000	Even if it's not a mobile cell,
240000	245000	It could be, for example, your intestinal mucosa cell.
246000	252000	It needs to know which side is the side with food or poop.
253000	254000	And which side is the side with blood vessels.
255000	258000	Because it's trying to get nutrients from one side to the other.
258000	261000	So it needs to know which side is the head and which side is the tail.
262000	264000	It needs to know which side is the head and which side is the tail.
265000	267000	So for biological cells,
268000	273000	It's very important to establish this front and back axis.
274000	277000	Usually, the way this is done is
278000	283000	A certain protein may have a completely uniform distribution in the cell.
284000	286000	It needs to go through a certain process.
286000	288000	It needs to gather at the same end of the cell.
289000	291000	And then from that end,
292000	294000	For example, it starts from that end.
295000	297000	The skeleton of the cell grows from there.
298000	301000	For example, if it wants to secrete protein,
302000	305000	The secretion ball will move forward along the cell skeleton.
306000	307000	So it needs to gather the protein to that side first.
308000	310000	After the cell skeleton, it will let everyone go that way.
311000	313000	If this is a long-term cell,
313000	315000	It obviously needs to grow a cell skeleton first.
316000	318000	After the direction of this axis, it needs to go.
319000	324000	The source of all this is that we need to polarize a certain protein.
325000	327000	That's what we call polarization.
328000	330000	It needs to be gathered to the same end.
334000	336000	In the process of polarization,
337000	339000	In fact, it's not just a problem of building an axis.
339000	341000	Another problem is,
342000	344000	Do you want to build an axis, or do you want to build a lot of axes?
345000	347000	Let's say you want to transport something out.
348000	350000	Do you want to transport it to one place at a time,
351000	353000	Or do you want to transport it to a lot of places at a time?
354000	356000	For example, what you see now is
357000	359000	The nerve cells of the hippocampus.
360000	361000	In fact, no matter what nerve cells,
362000	363000	That's pretty much how it grows.
364000	366000	In the beginning, it only grew to one end.
367000	368000	It only grew to one end when it was very small.
369000	371000	Then it started to grow to a lot of places.
372000	374000	These things that grow to a lot of ends,
375000	377000	Things like trees, we call them trees.
378000	382000	The tree is the place where the nerve cells receive information.
383000	386000	After the tree grows, it starts to grow the axis.
387000	388000	It only grows to one end.
389000	391000	A nerve cell has a lot of trees, but it only has one axis.
392000	395000	So it needs to switch from growing to a lot of ends to only one end.
396000	398000	Then the axis will grow very, very long.
399000	400000	So the information that the nerve cells receive
401000	404000	The same information is passed to the same axis.
406000	407000	So obviously, for the nerve cells,
408000	409000	When it grows to one end, when it grows to a lot of ends,
410000	411000	It's a very important thing.
412000	413000	This is the main problem I have today.
414000	416000	Our lab is not actually doing nerve cells.
417000	418000	Our lab is doing hemoglobin.
419000	423000	Hemoglobin is the only thing on top.
424000	427000	It's called Saccharomyces cerevisiae.
428000	429000	In short, hemoglobin,
430000	431000	Hemoglobin is what we brew beer,
432000	433000	Or beer yeast,
434000	436000	Or yeast for making bread.
437000	438000	We often encounter it because
439000	440000	If you put it in a non-oxidative space,
441000	445000	When it eats sugar, it will dilute it into alcohol.
446000	447000	People are a kind of wild creature,
448000	449000	So they love to drink.
450000	451000	So we like hemoglobin very much.
452000	453000	In addition, we often use hemoglobin
454000	455000	It produces a lot of carbon dioxide.
455000	457000	Then it will make the bread fluffy.
458000	459000	Anyway, this is cold knowledge.
460000	461000	I just want to tell you what is hemoglobin.
462000	463000	Hemoglobin is the one we see above.
464000	465000	What hemoglobin does is it will sprout.
466000	467000	If you have read biology in high school,
468000	471000	You will learn the name of sprout growth.
472000	473000	That is to say,
474000	475000	The way hemoglobin gives birth to children is
476000	479000	It will first try to gather a certain protein to one end.
480000	481000	That end will become its head.
482000	484000	It will grow a tooth from the head.
485000	487000	The tooth will become its baby.
488000	489000	Then the tooth will split out again.
490000	491000	It will become a baby.
