start	end	text
0	1160	Okay, I'll start now.
4160	5360	I was scared.
5360	9000	So what I'm going to talk about today is
10760	13920	I'm going to describe fluid mechanics,
13920	16800	but I'm going to use quantum mechanics
16800	19760	to describe fluid mechanics.
19760	23520	Before I start, I'm going to talk about
23520	25840	why fluid mechanics,
25840	28360	usually the Navier-Stokes equation or Euler equation,
28360	30360	is very non-linear.
30360	35360	How could it be related to this linear equation?
35360	37360	In fact, this is not a discovery.
37360	39360	As early as 1926,
39360	42360	Magnum had already discovered
42360	45360	that these two equations are closely related.
45360	47360	I usually think like this.
47360	50360	The Euler equation,
50360	52360	the physics behind it is like this.
52360	55360	It has a few postulates.
55360	57360	The first one is that there is inertia.
57360	59360	That is to say, if the particle has no force,
59360	62360	the speed is just following the speed of the particle.
62360	65360	So the speed of the fluid is
65360	67360	the speed of the vector.
69360	71360	But in fact, there is an inner force in the fluid,
71360	73360	which is the pressure.
73360	76360	And Euler's assumption is that
76360	78360	this is a conservative field,
78360	80360	so it is already a gradient of function.
81360	83360	And finally, this gradient of function,
83360	85360	which is the pressure force,
85360	88360	is the only constraint.
88360	91360	In fact, it is an incompressible flow.
91360	94360	And these assumptions are combined
94360	98360	to write the incompressible Euler equation.
98360	101360	And the most difficult part in this equation
101360	104360	is actually the inertia part.
104360	108360	Because it has a non-linear effect in the equation.
108360	110360	That is, U dot gradient U.
111360	114360	When you say P-lemming,
114360	118360	I also want to use these non-linear equations.
118360	120360	Yes, just like dust.
120360	122360	Do you know why?
122360	124360	If I have the first equation on the right,
124360	126360	will it be very simple?
132360	134360	It can be said to be simple or not simple.
134360	136360	It is not so direct.
136360	138360	It is also a non-linear method.
138360	140360	It is a Berger's equation.
144360	146360	If you want to simulate,
146360	148360	you can just throw a lot of particles
148360	150360	and let it fly.
150360	152360	But in the end, you have to predict
152360	154360	what the final density is.
154360	156360	In fact, it can be clearly written down.
156360	158360	Especially when it is Euler,
158360	160360	it can be clearly written down.
160360	162360	In fact, there are some interesting phenomena.
162360	164360	It is not very direct.
164360	166360	And those are all non-linear phenomena.
166360	168360	It looks like a very simple physics.
168360	170360	But in fact, because it is non-linear,
170360	172360	it just runs out of phenomena.
172360	174360	Many non-linear phenomena,
174360	176360	such as shock wave and reflection wave,
176360	178360	will appear.
178360	180360	Yes, it's a simple version,
180360	182360	but it's not so direct.
186360	188360	This non-linear phenomenon
188360	190360	can be written in different ways.
190360	192360	Like Lagrange and Helmholtz.
192360	194360	A lot of people
194360	196360	write Euler's equation in the same way.
196360	198360	But the non-linear phenomenon
198360	200360	is always there.
200360	202360	It's all because of the law of inertia.
202360	204360	But in fact, there is a linear equation.
204360	206360	Schrodinger's equation
206360	208360	is built into the law of inertia.
212360	214360	Schrodinger's equation
214360	216360	for complex value wave function
216360	218360	is written like this.
220360	222360	I will throw away the potential term.
222360	224360	This looks like a heat equation.
224360	226360	Yes, the mathematical convention
226360	228360	is that delta is the Laplacian.
228360	230360	It's usually a gradient equation.
230360	232360	It looks like a heat equation,
232360	234360	but there is an i.
236360	238360	h bar is a function
238360	240360	in my entire talk.
242360	244360	But this Schrodinger's equation
244360	246360	shouldn't be regarded as a heat equation.
246360	248360	It's actually a wave equation.
248360	250360	And it's a dispersive wave equation.
250360	252360	It has a dispersion phenomenon.
252360	254360	That is, different waves
254360	256360	travel at different speeds.
258360	260360	If I look at the group velocity
260360	262360	of this wave,
262360	264360	you can see the dispersion relation.
264360	266360	The group velocity is actually
266360	268360	equal to the wave number.
268360	270360	The wave number
270360	272360	is usually measured by
272360	274360	the IC time of the E2 wave.
274360	276360	It will show
276360	278360	the wave number
278360	280360	and
280360	282360	the point is that
282360	284360	the wave number and the
284360	286360	wave number of the wave
286360	288360	are actually all
288360	290360	measured by the group velocity.
290360	292360	The wave number itself is
292360	294360	the group velocity.
294360	296360	So you will get a
296360	298360	velocity-advected-by-velocity phenomenon.
298360	300360	That is, it only has
300360	302360	an internal
302360	304360	flying phenomenon.
304360	306360	Because the speed is written as
306360	308360	So based on this variable
308360	310360	change, you can see that
310360	312360	the original non-linear things
312360	314360	may become linear, or the linear
314360	316360	may become non-linear.
316360	318360	After the Schrodinger equation
318360	320360	is logged, what you get
320360	322360	will be this
322360	324360	functional phenomenon.
324360	326360	This was actually done by
326360	328360	Madelung in 1926.
328360	330360	In 1925, Schrodinger
330360	332360	just wrote the Schrodinger equation.
332360	334360	The next year, Madelung said
334360	336360	amplitude squared
336360	338360	is the density of the fluid.
338360	340360	That can be regarded as the probability
340360	342360	density of the particle.
342360	344360	Then you
344360	346360	treat the whole system as a fluid.
346360	348360	The speed of the fluid is
348360	350360	gradient of theta, which is
350360	352360	the group velocity.
352360	354360	If you do this,
354360	356360	you bring these things in
356360	358360	and separate the actual area.
358360	360360	Then it will be a
360360	362360	If you have seen fluid,
362360	364360	you will find that
364360	366360	this is the compressible Euler equation.
366360	368360	The first method is
368360	370360	conservation of mass.
370360	372360	The second is conservation of momentum.
372360	374360	The only difference between
374360	376360	compressible and classical fluid
376360	378360	is the bone potential.
378360	380360	In the end, this is also the key
380360	382360	to evolving into bone mechanics.
384360	386360	But this
386360	388360	won't appear later.
388360	390360	Because you can know
390360	392360	I will add a
392360	394360	compressible Euler equation
394360	396360	to make it incompressible.
396360	398360	In that case,
398360	400360	the density will become constant
400360	402360	and the bone potential will disappear.
402360	404360	So we don't have to worry about it later.
406360	408360	What I just said
408360	410360	is that these two
410360	412360	actually have a point of view.
412360	414360	The first one is
414360	416360	The first one is
418360	420360	The first one is
420360	422360	the continuity equation.
422360	424360	q is the density.
426360	428360	So this is
428360	430360	the quality conservation.
430360	432360	So when you say h bar equals 0,
432360	434360	it's completely true.
434360	436360	h bar equals 0.
438360	440360	If your h bar equals 0,
440360	442360	it looks very similar.
442360	444360	But the
444360	446360	fluid velocity
446360	448360	h bar equals 0,
448360	450360	the flow velocity disappears.
450360	452360	Unless your theta
452360	454360	is infinitely large.
458360	460360	Look at the third line.
460360	462360	The fluid velocity is u times h bar times the gradient.
464360	466360	If your h bar equals 0,
466360	468360	your theta will...
468360	470360	You can make h bar very small.
470360	472360	It will become
472360	474360	semi-classic continuity.
474360	476360	It will become very close to the fluid velocity.
476360	478360	But you can't measure it directly.
478360	480360	Just treat it as a variable.
480360	482360	I only have u and theta left.
484360	486360	Under this new variable,
486360	488360	I already have
488360	490360	q bar, q bar,
490360	492360	h bar equals 0.
492360	494360	But this implies that your theta
494360	496360	must be an infinite positive function.
496360	498360	So...
498360	500360	Just treat it as...
500360	502360	Let's say...
502360	504360	Okay, that's it.
510360	512360	So my
512360	514360	overview is...
514360	516360	At the beginning,
516360	518360	I just simulated
518360	520360	to show you the simulation result.
520360	522360	And then...
522360	524360	Next, I want to talk about
524360	526360	a theory that is
526360	528360	more advanced than the variable variation.
528360	530360	It's called Geometric Clutch Variables.
530360	532360	I don't know how much I can talk about it.
532360	534360	For the dynamics part,
534360	536360	I will talk about the result.
536360	538360	But
538360	540360	there may be some parts in the middle.
540360	542360	I will try to talk about it.
542360	544360	If you have any questions,
544360	546360	please feel free to ask.
548360	550360	I will use some
550360	552360	more complicated math.
552360	554360	And then...
554360	556360	We published a paper
556360	558360	called Schrodinger's Smoke.
558360	560360	It's about cat when smoke.
560360	562360	It's about
562360	564360	doing some
564360	566360	utility simulation.
566360	568360	So if you google
568360	570360	Schrodinger's Smoke, you will see our paper.
570360	572360	We use
572360	574360	Madelung's idea.
574360	576360	We want to
576360	578360	treat fluid density...
578360	580360	Instead of using
580360	582360	density and velocity.
582360	584360	We use the complex value
584360	586360	wave function.
586360	588360	And then use Madelung's variable variation.
588360	590360	And this fluid velocity
590360	592360	actually has this...
592360	594360	You can write gradient theta
594360	596360	as the square on the right.
596360	598360	If you
598360	600360	write it like this,
600360	602360	you will find that
602360	604360	minus i gradient is
604360	606360	the momentum operator.
606360	608360	So it just evaluates the momentum operator.
608360	610360	But
610360	612360	the point is
612360	614360	even though it looks great,
614360	616360	but velocity is just
616360	618360	a function of function.
618360	620360	It means that you don't have any vorticity.
620360	622360	When you take
622360	624360	velocity and curl,
624360	626360	look at the angular momentum,
626360	628360	you will find that it's zero.
628360	630360	Your velocity
630360	632360	can only be this kind of potential flow.
632360	634360	Or this kind of
634360	636360	no vortex fluid.
636360	638360	It's not interesting.
638360	640360	To solve this problem,
640360	642360	we consider
642360	644360	two components Schrodinger equation.
644360	646360	You can think of this
646360	648360	as spin half particle.
648360	650360	Or you can think of it as
650360	652360	two components.
652360	654360	Its Schrodinger equation is still the same.
654360	656360	It's component wise.
656360	658360	It's still the same
658360	660360	one component Schrodinger equation.
660360	662360	The variable variation
662360	664360	is the density of the fluid.
664360	666360	It's still the same.
666360	668360	Amplitude squared.
668360	670360	But in this case,
670360	672360	it's the sum of
672360	674360	the density of two channels.
674360	676360	And
676360	678360	for velocity,
678360	680360	it's the same as the momentum operator.
680360	682360	If you write this down,
682360	684360	it will become
684360	686360	the velocity of two components.
686360	688360	But
688360	690360	it's a linear combination.
690360	692360	It depends on their density.
692360	694360	In this case,
694360	696360	you don't have to worry about curl.
696360	698360	It can
698360	700360	describe
700360	702360	more interesting
702360	704360	fluid states.
704360	706360	So we use one component
706360	708360	and two components
708360	710360	to describe the fluid.
710360	712360	Now,
714360	716360	to describe the fluid,
716360	718360	we need to describe incompressible fluid.
718360	720360	We already have the inertial motion.
720360	722360	To describe
722360	724360	incompressible fluid,
724360	726360	we add a potential term
726360	728360	to make it correspond to the velocity.
728360	730360	It's the divergence tree.
730360	732360	It's like the Euler equation.
732360	734360	When you add the pressure,
734360	736360	the fluid becomes incompressible fluid.
738360	740360	Then we
740360	742360	use the constraint Schrodinger equation
742360	744360	to describe the incompressible Schrodinger equation.
744360	746360	The solution is
746360	748360	the incompressible Schrodinger flow.
750360	752360	Then
752360	754360	it's the same as
754360	756360	other incompressible flow.
756360	758360	As long as you have
758360	760360	continuity equation,
760360	762360	that is, the quality is constant,
762360	764360	and
764360	766360	it's incompressible fluid.
766360	768360	The volume will not change over time.
768360	770360	The density
770360	772360	will not change
772360	774360	over time.
774360	776360	Initially, if density is constant,
776360	778360	it will always be constant.
778360	780360	My question is
780360	782360	you
784360	786360	turn it into
786360	788360	a two-component
788360	790360	vector.
790360	792360	Are you a two-component?
