start	end	text
0	13000	Q&A
13000	25000	Today's speaker is Dr. Wu Xinmei, a Ph.D. student at the University of Utah, majoring in geoscience.
25000	31000	Before coming to the U.S., she was a graduate student of the Department of Geosciences at NTU.
31000	40000	Xinmei and I have met in many areas that are not overlapping.
40000	45000	I met Xinmei when she was a Ph.D. student at the University of Utah.
45000	52000	My wife and Xinmei were classmates in college.
52000	64000	After coming to Caltech, she met another Taiwanese friend in the Department of Physics, and turned out to be Xinmei's classmate.
64000	71000	She will be talking about Anatomy of Ophethal in Yellowstone from Seismic Observation.
71000	74000	Let's give her a round of applause.
74000	79000	Oh, by the way, you have to turn on the microphone to hear the applause.
80000	83000	Thank you for the introduction.
83000	88000	Today's presentation is a relatively easy one.
88000	91000	There won't be a lot of formalities.
91000	94000	I will focus on the concepts.
94000	100000	Because people are not familiar with geoscience or geophysics,
100000	108000	I will focus on the concepts and focus on Ophethal Geyser.
108000	117000	Ophethal is a very famous geyser in the U.S.
117000	126000	If you go sightseeing in Yellowstone Park, you will definitely go to Ophethal.
126000	131000	I hope you will find this topic more interesting.
131000	138000	First, let's talk about Yellowstone.
138000	154000	Yellowstone is on the left of Wyoming, Montana, and Idaho.
154000	156000	This is the intersection of the three states.
156000	159000	This is the area of the National Park.
159000	162000	Ophethal is on the right of Wyoming.
162000	164000	Let me introduce Ophethal first.
164000	171000	Ophethal is a place where people rarely go to sightseeing.
171000	174000	People usually go sightseeing to Ophethal.
174000	178000	Because it takes about five hours to get to many national parks.
178000	182000	So if you drive from Ophethal to Yellowstone, it will take about five hours.
182000	186000	If you have a chance to visit, you can come and visit.
187000	191000	Yellowstone is famous for its volcanic activity.
191000	193000	People have heard of Ophethal.
193000	195000	But if you come to the National Park to sightsee,
195000	198000	what you see is not volcanic activity.
198000	206000	It's more like a geyser, a hot spring, or a hydrothermal feature.
206000	211000	I'll go into more detail later.
211000	216000	If you drive from West Yellowstone to Ophethal,
216000	221000	it will take about 30 to 40 minutes to get to Ophethal.
221000	226000	So, after you drive in,
226000	231000	you will see the National Park,
231000	236000	and then you will see Ophethal.
236000	241000	So, after you drive in,
241000	246000	you will see parking lots,
246000	251000	and then you will see the Visitor Center.
251000	256000	And then you will see Ophethal.
256000	261000	And then you will see Ophethal.
261000	265000	And then you will see Ophethal.
265000	268000	You can sit here and wait for it to erupt.
268000	272000	You can find the pathway up here,
272000	275000	and the upper part is called the Geyser Hill.
275000	278000	It's called the Geyser Hill because this is the place
278000	281000	with the highest density in the world,
281000	284000	and it has the hydrothermal feature.
284000	289000	So, you can see a lot of things smoked or hot water,
289000	292000	hot springs, and some geysers.
292000	295000	So, if you come to Yellowstone,
295000	298000	you will definitely come here for a walk.
298000	301000	So, you can see things like this.
301000	304000	It's very colorful.
304000	307000	A lot of colors.
307000	310000	These colors are usually some biological,
310000	313000	microorganisms here.
313000	316000	There are a lot of microorganisms here,
316000	319000	so the colors you see are mainly caused by
320000	323000	the impact of the geysers.
323000	326000	So, this is the map from the north to the south.
326000	329000	This is the Geyser Hill,
329000	332000	and there are a lot of hydrothermal features
332000	335000	around it.
335000	338000	This is Old Faithful,
338000	341000	and it's just over there.
341000	344000	There's a video on the right,
344000	347000	because we go out there every year.
347000	350000	So, this is the video.
362000	365000	So, I thought Americans knew,
365000	368000	but a lot of Americans have never been here,
368000	371000	so they wouldn't be surprised.
371000	374000	Old Faithful has a lot of features.
374000	377000	First of all, it's spectacular when it erupts.
377000	380000	Second, it can be predicted.
380000	383000	It can predict when it will erupt next time.
383000	386000	And if you go to the tourist center,
386000	389000	they will put up a sign
389000	392000	to tell you when it will erupt next time,
392000	395000	so you can sit there and wait.
395000	398000	But there's usually a 10-minute error.
398000	401000	If you Google Old Faithful Webcam,
401000	404000	you can see that there's a real-time camera
404000	407000	looking at Old Faithful.
407000	410000	I heard that a lot of people who like geysers
410000	413000	watch Old Faithful Webcam every day.
413000	416000	If you're interested, you can Google it.
416000	419000	Old Faithful can predict,
419000	422000	which means that the eruption
422000	425000	from this time to the next time
425000	428000	is very stable.
428000	431000	So the graph on the right
431000	434000	shows all the statistics
434000	437000	from 2000 to 2011.
437000	440000	This is the probability.
440000	443000	The horizontal axis is the eruption interval,
443000	446000	which is how long it takes
446000	449000	from the first eruption to the next eruption.
449000	452000	And it has a peak value of about 92 minutes.
452000	455000	So this is the prediction
455000	458000	for the last 10 to 20 years.
458000	461000	But if we look at the longer period,
461000	464000	from 1878 to now,
464000	467000	the eruption cycle is about 60 minutes
467000	470000	to the present 90 minutes.
470000	473000	And then there's another one.
473000	476000	You can see there's a little peak here.
476000	479000	It's not very obvious.
479000	482000	It's divided into long eruption intervals
482000	485000	and short eruption intervals.
485000	488000	The short one is about 60 to 65 minutes.
488000	491000	And then the long one and the short one,
491000	494000	you can...
494000	497000	I don't know what it's called in Chinese.
497000	500000	Anyway, a lot of park rangers
500000	503000	will do all kinds of things
503000	506000	in the National Park,
506000	509000	or they'll do a lot of things.
509000	512000	For example, look at the length of the eruption.
512000	515000	The eruption time is about 2 to 5 minutes.
515000	518000	If it's a long eruption,
518000	521000	the next eruption will be 90 minutes later.
521000	524000	But if it's an eruption
524000	527000	that feels like it's going to be gone in two minutes,
527000	530000	the next one will be about 60 minutes later.
530000	533000	So all the predictions
533000	536000	for the Old Faithful eruption
536000	539000	are based on what you can see on the surface.
539000	542000	But the National Park
542000	545000	is a very protected environment.
545000	548000	So even if there are a lot of geologists
548000	551000	and geophysicists
551000	554000	and geophysicists
554000	557000	doing research here,
557000	560000	they can't do research for a long time.
560000	563000	They might come for a few hours
563000	566000	or a few days.
566000	569000	Although the Old Faithful eruption
569000	572000	has been recorded
572000	575000	about 100 years ago,
575000	578000	it is still possible
578000	581000	to make the next prediction
581000	584000	based on the data from the eruption.
584000	587000	So why is there a long-term change
587000	590000	or why is there a short-term change
590000	593000	or why is there a short-term change
593000	596000	or why is there a long-term change?
596000	599000	The real mechanism is still unclear.
599000	602000	If you have any questions,
602000	605000	you can ask at any time.
605000	608000	Let me talk about
608000	611000	how we use geophysics
611000	614000	or geophysics
614000	617000	to study the structure of the fountain.
617000	620000	People are usually unfamiliar
620000	623000	with seismology.
623000	626000	Although seismology is traditionally
626000	629000	known as earthquake science,
629000	632000	it mainly uses some relatively large energy,
632000	635000	such as very large earthquake energy,
635000	638000	to understand the information
638000	641000	from the source
641000	644000	to the process in which you receive it.
644000	647000	So why do we want to study the fountain
647000	650000	or the interstitial fountain?
650000	653000	First of all,
653000	656000	it has a very important indicator.
656000	659000	In fact, all the structures
659000	662000	under the ground
662000	665000	or some physical mechanisms
665000	668000	are quite similar to volcanoes.
668000	671000	So you need a lot of water
671000	674000	to get to the bottom of the fountain.
674000	677000	There is a narrow channel
677000	680000	called the conduit,
680000	683000	and there is a reservoir
683000	686000	below it.
686000	689000	There is also a volcano,
689000	692000	which you may have heard of.
692000	695000	In the process of temperature pressure
695000	698000	or building,
698000	701000	they move forward.
701000	704000	You can see the animation here.
704000	707000	These are the lava,
707000	710000	because of the temperature
710000	713000	and pressure below,
713000	716000	and some mass.
716000	719000	The lava is mass,
719000	722000	and then it moves forward
722000	725000	to a critical value,
725000	728000	and then it moves back.
728000	731000	The lava is a mass,
731000	734000	and it moves forward to a critical value,
734000	737000	and then it moves back.
737000	740000	Most of the volcanic prediction
740000	743000	is to use the mass movement
743000	746000	to generate signals
746000	749000	and contact delays.
749000	752000	If you have an earthquake
752000	755000	near the volcano,
755000	758000	you can get some earthquake signals.
758000	761000	So geysers have similar principles.
761000	764000	But when it comes to studying volcanoes,
764000	767000	a lot of them erupt every few million years
767000	770000	or every volcano grows differently.
770000	773000	And it's dangerous to study volcanoes.
773000	776000	A lot of people don't want to die
776000	779000	because of studying volcanoes.
