start	end	text
0	10000	I'm very happy to have you all here today for Lin Bo-xuan's talk.
10000	14000	Let me first introduce our speaker, Lin Bo-xuan.
14000	20000	She studied economics at NTU, and is now a sophomore at NTU Economics.
20000	29000	Currently, she is an intern at a startup company called ModLab in Pasadena, California.
29000	35000	Her main topic is game-related data analysis.
35000	39000	Today, we are very happy to invite Lin Bo-xuan to give a talk
39000	43000	about how to use class experiment data to test the stability of the final window match
43000	46000	and the results of the double-sided auction experiment.
46000	50000	Let's welcome Lin Bo-xuan to start her talk.
50000	52000	Thank you, Director Lin.
52000	55000	Without further ado, I'll get started.
55000	57000	Today's topic is very simple.
57000	59000	I'll just ask one question.
59000	65000	Are the results of the economic experiment we see on paper stable?
65000	68000	To be honest, in the field of economic experiments,
68000	70000	people are the ones doing the research.
70000	73000	So, if you want to say that a result is stable,
73000	75000	you can't just say,
75000	78000	if I were in Taiwan, I'd do this result.
78000	80000	Or, if I were in a victim group, I'd do that.
80000	84000	Often, we need to do a lot of different victim groups.
84000	87000	If we were to say that this result is right for all humans,
87000	90000	then it should be right to take the same result
90000	93000	and do the same experiment in every place.
93000	96000	But in fact, we often know that
96000	98000	this situation is often not necessarily right.
98000	102000	For example, let's say we measure the risk.
102000	104000	In Taiwan alone,
104000	106000	if you only measure the risk for men or women,
106000	108000	the set of risks may be different.
108000	111000	So, in fact, if we want to measure stability,
111000	113000	that is, if we want to do the same experiment
113000	116000	in many places, the result is wrong.
116000	118000	But often,
118000	120000	what we want to do
120000	123000	is actually very difficult in the experiment.
123000	125000	First, because economists know
125000	127000	that our research funds are limited.
127000	129000	Second, our time is limited.
129000	131000	So, often, it's hard for us to think about
131000	133000	whether we can do the same experiment
133000	134000	in every corner of the world.
134000	136000	So, this is a very difficult thing.
136000	138000	Because, mainly, there is a big limitation in economic experiments.
138000	141000	In fact, we hope to provide real benefits to consumers.
141000	143000	Because of this,
143000	146000	we need a lot of money and a lot of time.
146000	148000	We need to have a good enough time design.
148000	151000	Basically, it will be impossible to measure in every place in the world.
151000	153000	So, because of this,
153000	155000	we did not give up
155000	157000	to test whether our experiment results are stable or not.
157000	159000	So, there are two main ways
159000	161000	to do this on our website.
161000	163000	First,
163000	165000	for example,
165000	167000	in the case of Ultraman Game,
167000	169000	in fact, in the past 50 years,
169000	171000	there have been a lot of studies on the series of Ultraman Game.
171000	173000	So, basically,
173000	175000	there is a method
175000	177000	that we take the previous experimental data
177000	179000	and break it into a very large database
179000	181000	to do some meta-analysis here.
181000	183000	Just like what Usterbeck did in 2004.
183000	185000	But, like this,
185000	187000	there is a problem.
187000	189000	In fact, many times,
189000	191000	all the previous studies of Ultraman Game
191000	193000	are the same game,
193000	195000	but their context is a bit different.
195000	197000	So, in practice,
197000	199000	many times, your usage is different,
199000	201000	or your context is different,
201000	203000	which may affect the result of the experiment.
203000	205000	So, when we use this method,
205000	207000	we have already lost the control
207000	209000	of our experimental design.
209000	211000	Although this method
211000	213000	can make our database very rich.
213000	215000	The other way is that
215000	217000	we control the same experimental design,
217000	219000	but go to other places
219000	221000	to do the same experiment.
221000	223000	Just like Roth,
223000	225000	he has been to four countries in the world.
225000	227000	One is the United States,
227000	229000	one is Slovenia,
229000	231000	one is Israel,
231000	233000	and the other is Japan.
233000	235000	He went to these four countries
235000	237000	to do the same final analysis
237000	239000	and market game
239000	241000	to see if the results of these four countries
241000	243000	were stable or not.
243000	245000	This is the largest experiment
245000	247000	so far.
247000	249000	But, from this point of view,
249000	251000	even so,
251000	253000	we can only do it in a small number of places.
253000	255000	So, in this way,
255000	257000	although you can
257000	259000	control your experimental design,
259000	261000	but you can't make
261000	263000	your database very large.
263000	265000	So, today,
265000	267000	what we are doing is
267000	269000	using the third method.
269000	271000	It's like
271000	273000	you want to test the stability
273000	275000	of a result of an experiment.
275000	277000	There are three things to do.
277000	279000	One is the real sound,
279000	281000	and the third is to have a large enough sample.
281000	283000	The first two methods
283000	285000	are to give up
285000	287000	and control the experimental design.
287000	289000	The other is to give up a large enough database.
289000	291000	But what we are going to do today
291000	293000	is to have a large enough database,
293000	295000	and the design
295000	297000	is exactly the same.
297000	299000	But what we give up today is to give up
299000	301000	and control the sound.
301000	303000	In this case,
303000	305000	I can only say that we are the first article
305000	307000	to do this.
307000	309000	We have a lot of data.
309000	311000	But when we give up
311000	313000	and control the sound,
313000	315000	our experiment
315000	317000	will be done in a very
317000	319000	no-easy situation.
319000	321000	So, if we can
321000	323000	reproduce
323000	325000	all the experimental results
325000	327000	in the lab,
327000	329000	it means that the experimental results
329000	331000	are very stable.
331000	333000	As I said,
333000	335000	what we are going to use today
335000	337000	is MobLab.
337000	339000	MobLab is an experimental platform
339000	341000	for all class economics experiments.
341000	343000	If we take all the data from the class,
343000	345000	it is actually good and bad.
345000	347000	Of course, the two biggest concerns are
347000	349000	that all the students in the class
349000	351000	do not use money
351000	353000	to provide their sound.
353000	355000	Most of the time, they just use
355000	357000	the grade of the course
357000	359000	or other random numbers
359000	361000	to provide their sound.
361000	363000	This is what we have lost control of.
363000	365000	The two biggest concerns are
365000	367000	that many students in class
367000	369000	may not necessarily be
369000	371000	the representative sample
371000	373000	of the culture.
373000	375000	However, there are still
375000	377000	a lot of benefits
377000	379000	for us to try this method.
379000	381000	First of all,
381000	383000	there is no publication bias
383000	385000	in our database.
385000	387000	For example,
387000	389000	if you take the results
389000	391000	of the previous article
391000	393000	as a meta-analysis,
393000	395000	you may get too good results.
395000	397000	This is called publication bias.
397000	399000	However,
399000	401000	all the results, good or bad,
401000	403000	are recorded in our database.
403000	405000	Another thing is that
405000	407000	our company is
407000	409000	at least in the class of
409000	411000	experimental economics.
411000	413000	If you want to do a class experiment
413000	415000	in the world,
415000	417000	you basically use our company.
417000	419000	In fact, our sample is very diverse.
419000	421000	There are many different areas.
421000	423000	This gives us a lot of
423000	425000	variation to test.
425000	427000	Thirdly,
427000	429000	the environment in which our data is generated
429000	431000	is exactly the same.
431000	433000	The interface, language,
433000	435000	and the entire experiment process
435000	437000	are exactly the same.
437000	439000	This means that we have
439000	441000	completely controlled
441000	443000	the process of their game.
443000	445000	These are the three advantages
445000	447000	that we think
447000	449000	are very important.
449000	451000	Before talking about these two areas,
451000	453000	I would like to talk about
453000	455000	how big our dataset is.
455000	457000	First of all,
457000	459000	we can see that
459000	461000	this table is a total of
461000	463000	10 areas in our dataset.
463000	465000	You can see that
465000	467000	this data is across North America,
467000	469000	Europe, and Asia.
469000	471000	In Ultraman Game,
471000	473000	we have more than
473000	475000	15,000 sample points.
475000	477000	For those of you who do not know
477000	479000	the economics of time,
479000	481000	the data in Ultraman Game
481000	483000	is about 10 times more than
483000	485000	a normal article,
485000	487000	or 0 to 2.0.
487000	489000	In DoubleAction,
489000	491000	there are basically 2.0 more.
491000	493000	This is a very large sample
493000	495000	that we can test.
495000	497000	Next,
497000	499000	I will talk about these two areas.
499000	501000	These two areas are actually very simple.
501000	503000	The first is Ultraman Game.
503000	505000	In addition,
505000	507000	why do we choose these two areas?
507000	509000	The first is because these two areas
509000	511000	are the most abundant in our database.
511000	513000	The second is that these two areas
513000	515000	are basically the origin of
515000	517000	the economics of time.
517000	519000	In Ultraman Game,
519000	521000	there are two people in this game.
521000	523000	One is Proposer,
523000	525000	the other is Responder.
525000	527000	Proposer can decide
527000	529000	how much to give to the other party.
529000	531000	This game is very simple.
531000	533000	There is a ball in the middle.
533000	535000	You can decide how much to give to the other party.
535000	537000	You can pull the ball
537000	539000	and decide how much to give to the other party.
539000	541000	If you decide,
541000	543000	you can press Submit.
543000	545000	In this way, the other party can see
545000	547000	how much you gave to the other party.
547000	549000	Next,
549000	551000	suppose I decide to give the other party $45.
551000	553000	In this way,
553000	555000	the other party can see
555000	557000	that this is
557000	559000	a Proposer you have provided.
559000	561000	Proposer is
561000	563000	I take $55, you take $45.
563000	565000	Do you want to accept it?
565000	567000	If you are Responder,
567000	569000	if you decide to accept it,
569000	571000	you take $45, he takes $55.
571000	573000	If you refuse,
573000	575000	you both take $0.
575000	577000	This is a very simple environment.
577000	579000	It's like the simplest negotiation
579000	581000	in simulation life.
581000	583000	For example, when you go to the night market to buy vegetables,
