start	end	text
0	9000	Hello everyone, I am today's host, Zhang Yanyong. Welcome everyone to today's TerraTalk.
9000	23000	We are very honored to invite Zhang Fengxun today. He is currently a fifth-year doctoral candidate at Michigan University.
23000	30000	His current major is Natural Resources and Environmental Sciences, and has recently been renamed Sustainable Development Studies.
30000	39000	Before coming to the United States as a doctoral candidate, Fengxun studied in the Department of Insectology at the University of Taiwan.
39000	60000	He wrote a small paragraph about his own self-introduction. He is a community ecologist.
60000	76000	What he wants to understand is the interaction between species and the environment in which we humans exist.
76000	86000	In addition to ecology, he likes comedy, baseball, his home, and Taiwan.
86000	105000	Today's speech is different from the past, because we think that in addition to sharing his own research points and results, we hope that he can share more information.
105000	116000	Of course, we are very fortunate that Fengxun attended this year's annual meeting of the American Ecological Association a few weeks ago.
116000	121000	The annual meeting of the American Ecological Association is one of the largest in the world and attended by many people.
121000	135000	From his point of view, what important information is there at this year's annual meeting, and what breakthroughs are there in this area that are worth highlighting?
135000	148000	Let's welcome Fengxun with a round of applause.
165000	174000	Fengxun is not a formal Chinese name, but deals with issues such as sustainable development.
174000	183000	What is special about our association is that it is not the same as the ecological association we are familiar with.
183000	194000	Generally, the ecological association is based on basic science. We want to know the cause of a phenomenon, the evolution of species, and so on.
194000	201000	However, our association now thinks that we only understand these things, which is like being in an academic ivory tower.
201000	209000	In fact, this is not helpful for the development of ecology, so they think we should solve the problem more actively.
209000	220000	That is to say, how do we solve the problem of applying the ecological theory we already know to the major changes in the environment that we humans are facing now?
220000	232000	Or how do we make these relatively terrible extreme climates and other phenomena less common or milder?
233000	256000	This is my background, and what I want to share with you today is that I went to the US Ecological Annual Conference two weeks ago to participate in the conference.
256000	271000	I would like to share with you what I have seen, what I have played, and what I have thought.
271000	278000	I would like to introduce ESA, which stands for Ecology Society of America.
278000	284000	In fact, each country has its own ecological association, and Taiwan also has one.
284000	289000	However, ESA's annual meeting should be the largest in the world.
289000	297000	This year, more than 4,000 people participated in the conference.
297000	303000	I also went to talk to people after the conference.
303000	305000	I asked them about the situation in Europe.
305000	309000	They said it was much smaller, maybe less than 2,000 people.
309000	318000	This is the biggest conference in the world, and I think it is also the most complete conference in terms of discussion issues.
318000	329000	The disadvantage is that there are too many people, and you can't get to know everyone, and you can't have a very in-depth conversation with everyone.
329000	337000	So if your social skills are not good, you will be like me for a long time and don't know what to do.
337000	339000	I can only find someone to talk to.
339000	342000	So it's a good opportunity to practice talking to people.
342000	344000	This is a side effect.
344000	349000	Anyway, this is ESA's brief introduction.
349000	353000	I went to the conference two weeks ago.
354000	363000	Because I don't really know what everyone's background is, I will first introduce what ecology is.
363000	383000	If you google ecology or go directly to wiki, they will tell you that this is a choice between biological interaction and biological organism interaction with the environment.
383000	396000	In short, I want to learn how two organisms interact, including how we grab food, how we eat each other, how we help each other, and how the environment affects our relationship with each other.
396000	401000	All the discussions about this are ecological issues.
401000	406000	I don't think anyone will know what I'm talking about, because it's too abstract.
406000	419000	So when we talk about ecology, we immediately think of the existence of hierarchy.
419000	434000	Just like when we were in high school, we learned that the human body is made up of cells, and the cells make up the tissues, and the tissues make up the organs, the circulatory system, and the individual.
434000	440000	So in fact, ecology has a similar hierarchy.
440000	448000	From the smallest organism, which is a biological individual, to the vast majority of these biological organisms, which you can see in the picture below.
448000	452000	This should be a geoduck, I don't know what to draw.
452000	457000	Then with a group of geoducks, they are all the same, a group of geoducks.
457000	463000	Then it becomes a population ecology.
463000	471000	Then if you go up, in addition to this geoduck, there may be geoducks, snakes, eagles, other animals, trees, grass.
471000	475000	There are different kinds of animals living in the same time and space.
475000	480000	This forms a community, a group.
480000	486000	In short, many kinds of animals live in the same place.
486000	488000	This is called a community ecology.
488000	499000	If we enlarge the scope a little more, for example, we want to know that in addition to so many kinds of animals, where do they get the energy they need?
499000	502000	Where do their excrements go?
502000	507000	What kind of changes did their excrements make to the non-biological environment?
507000	512000	Then it becomes an ecosystem.
512000	516000	An ecosystem is a system.
516000	521000	The whole thing, biological and non-biological, all come together and become an ecosystem.
521000	524000	Then there are people studying ecosystem ecology.
524000	527000	Then to a bigger point is the biosphere.
527000	532000	I think this is a whole planet.
533000	537000	It's not a very meaningful classification.
537000	540000	But if you insist on expanding, it becomes a whole planet.
540000	549000	Then these levels, each level has its own questions to explore.
549000	558000	For example, people who study individual creatures will want to know how a creature grows.
558000	564000	How do I react to the environment and so on?
564000	573000	Then the population ecology of the ecosystem is that I want to know why this species is sometimes more and sometimes less.
573000	582000	For example, the evaluation of fish resources is one of the important parts of the population ecology.
582000	588000	For example, in Taiwan, I want to know how many fish I can catch this year.
588000	591000	When should I catch it? When should I not catch it?
591000	596000	This is the question that the population ecology has to answer.
596000	601000	The community ecology is like I just said.
601000	604000	Different interactions between different species.
604000	610000	So the most critical question is why there are so many species in the world.
610000	615000	How do so many species live together in this world?
615000	617000	Then it becomes so many species on the Internet.
617000	621000	What impact does the environment of non-living things in this world have?
621000	624000	This is the ecosystem ecology.
624000	628000	This is roughly the hierarchy in ecology.
628000	635000	I identify myself as a community slash a little ecosystem ecologist.
636000	643000	What I'm interested in is that I want to know how each species interacts with each other.
643000	646000	What impact do they have on the environment?
646000	649000	Or to be more direct with people.
649000	654000	There are many species in this system or in this natural environment.
654000	656000	What impact does it have on me?
656000	658000	What does it matter to me?
659000	664000	Then talk about community ecology or ecosystem ecology.
664000	671000	A question that everyone will ask is why there are so many species in this world.
671000	674000	This is a very, very old question.
674000	678000	It's also very old and very important.
678000	682000	It's also a question that we haven't answered in 100 years.
683000	687000	Because from the very beginning of 19
687000	691000	I want to explain why there are so many species of people.
691000	696000	I have written here that it is Brunel.
696000	700000	Then I put a table on the right for everyone to see.
700000	703000	When we want to answer this question,
703000	707000	I want to know why there are so many species.
707000	713000	What is the evolution of ecologists' ideas from the past to the present?
713000	721000	In short, I think it can be divided into two periods.
721000	722000	The first period.
722000	728000	The reason I'm talking about this now is because this question is very difficult to answer.
728000	729000	And it's also very important.
729000	733000	So now a lot of ecological research is actually inseparable from
733000	735000	The most fundamental question I'm asking now.
735000	738000	Why are there so many species?
738000	741000	Then when we answer this question,
741000	745000	For ancient ecologists,
745000	749000	The way we try to answer is
749000	752000	I think it's a turnip, a pit, this method.
752000	755000	In other words, how many resources can be used in the world?
755000	762000	Or how many niches can be occupied by species?
