start	end	text
0	9000	Hello, everyone.
9000	15000	I am honored to be able to introduce Dr. Sun today.
15000	23000	Dr. Sun completed her bachelor's degree from 1999 to 2013
23000	28000	in Plant Pathology and Microbiology at Taiwan University.
28000	35000	After completing her bachelor's degree from 2003 to 2005,
35000	43000	she completed her master's degree in Plant Pathology and Microbiology at the same university in Taiwan.
43000	51000	She then completed her Ph.D. degree from 2005 to 2010 at Purdue University.
51000	54000	Her major is Chemical Biology.
54000	58000	After completing her Ph.D. degree, she went to MIT to do her postdoc.
58000	68000	After four years, she went to UCSF to do her second postdoc and assistant researcher.
68000	75000	This year, she started her new job as a Senior Scientific Researcher at Genentech.
76000	80000	Today, Dr. Sun is going to talk about
80000	85000	Use Single-Cell RNA-Seq to Tackle Complex Biology.
85000	89000	Now, let's welcome Dr. Sun to give her presentation.
94000	97000	Hello, everyone. I am Dr. Sun.
97000	104000	Sorry, my voice is a bit hoarse due to my cold.
104000	111000	Today, I am going to talk in a simple and easy-to-understand way.
111000	115000	Just in case, some of you may not have a background in biology.
115000	121000	I hope you can at least learn about Single-Cell RNA-Seq.
122000	128000	Here is my personal email and LinkedIn account.
128000	132000	Although my LinkedIn account is not up to date,
132000	135000	please feel free to connect with me.
138000	143000	I will be speaking in Chinese today,
143000	148000	but I am not sure what the term is in Chinese.
149000	157000	If you have any questions, please feel free to contact me.
159000	165000	I don't want to make it too complicated.
165000	168000	I will be focusing on technology.
168000	171000	I am currently working at a company,
171000	176000	so I can't really talk about research projects here.
176000	182000	I will try my best to talk about the applications of this technology,
182000	184000	and the principles behind it.
184000	189000	I hope this will be helpful to those who are interested.
190000	193000	Before we get into the technology,
193000	197000	I will briefly review the biology of NTU.
199000	203000	As you may already know, our body is made up of cells.
204000	207000	Many cells form organs,
207000	211000	and eventually form organs in our body,
211000	214000	becoming a functional human body.
214000	224000	An interesting fact is that our body is composed of over 20 different types of cells.
224000	229000	You can see that their forms and functions are very different.
230000	235000	For example, there are nerve cells, blood cells, muscle cells,
235000	241000	and even different types of cells in different organs.
241000	246000	Their functions and forms are very different.
248000	251000	Let's take a deeper look.
251000	255000	As you can see, our body is made up of cells.
255000	259000	Each cell has a nucleus,
259000	261000	which is a red dot.
261000	263000	In English, it's called a nucleus.
263000	265000	In Chinese, it's called a cell nucleus.
265000	269000	In this cell nucleus, there is a chromosome.
269000	274000	This chromosome is made up of our genes.
274000	278000	I think everyone has a concept of genes.
278000	281000	Genes are our genetic material.
281000	284000	Genes are our genetic material.
284000	287000	They are our genetic material.
287000	290000	Genes are our genetic material.
290000	293000	Genes are our genetic material.
293000	299000	In this definition, genes are a DNA segment.
299000	304000	They can be converted into a useful molecule.
304000	309000	They can perform the functions and functions that they need.
309000	322000	The reason for the general description of gene code is that DNA is a so-called ATCG.
322000	327000	DNA is a so-called ATCG.
327000	330000	So, if we talk about genes,
330000	338000	the sequence obtained may be composed of these four ATCGs.
338000	342000	This is our so-called gene code.
342000	351000	In molecular biology, there is a so-called central dogma.
351000	357000	The principle is that we have this genetic material.
357000	359000	Its main structure is DNA.
359000	363000	It will be transcribed into RNA.
363000	367000	RNA will be further transcribed into protein.
367000	373000	This protein can perform various biological functions.
373000	382000	As time goes by, the central dogma is gradually extended to more different forms.
382000	392000	We can even find more different directions from the virus or other systems.
392000	397000	Today's technology involves a discovery.
397000	402000	In the past, we thought that DNA was transcribed into RNA.
402000	411000	But later, scientists found another enzyme that can reverse transcribe RNA back to DNA.
412000	423000	With the help of this enzyme, many related extension technologies can be built on this basis.
423000	429000	Today, we will mainly talk about RNA-seq.
429000	439000	Another way to talk about it is transcriptional analysis or gene expression profiling.
439000	446000	Basically, we can use gene expression to understand human physiology.
446000	457000	This picture shows a major timeline and milestone in molecular biology and sequencing technology.
457000	463000	As many of you know, the first discovery was in 1953.
463000	469000	In 1977, Sanger's DNA sequencing was developed.
469000	473000	Later, PCR technology was also developed.
473000	480000	PCR technology allows us to rapidly increase our DNA in the laboratory.
480000	488000	Many related technologies can be built on this basis.
488000	492000	In 1990, the Human Genome Project was launched.
492000	497000	After 13 years, the Human Genome Project was established.
497000	505000	At this stage, sequencing costs are still very high.
505000	513000	It is difficult to operate a sequencing project in a lab.
513000	529000	In 2005, the next-generation sequencing technology was introduced.
529000	535000	This technology has greatly reduced the cost of sequencing.
535000	547000	The next-generation sequencing technology is still widely used.
547000	556000	In recent years, the third-generation sequencing technology was introduced.
556000	562000	When was single-cell RNA-seq developed?
562000	570000	The first report on single-cell RNA-seq was made in 2009.
570000	575000	Because of the gradual maturation of the technology,
575000	579000	especially the rapid reduction of sequencing costs,
579000	583000	single-cell RNA-seq can be operated more widely.
583000	592000	Now, many extended protocols, technologies, and companies continue to develop rapidly in this field.
592000	600000	Why do we need to do single-cell RNA-seq?
600000	608000	Before single-cell RNA-seq, we can look at gene profiling.
609000	621000	For example, what is the difference between a cancer cell and a normal cell?
621000	629000	For example, we have a healthy sample and a diseased sample.
629000	645000	After sequencing, we can compare the gene profiling of these two cells.
645000	648000	Then we can find out the disease gene.
648000	657000	Or we can find out which signaling pathway is further activated or inhibited.
658000	662000	But there is a problem.
662000	670000	For example, a tumor may contain a variety of different cells.
670000	676000	There may be immune cells, tumor cells, fibroblasts, and so on.
677000	683000	If the tumor is broken down and the RNA-seq is obtained,
683000	688000	the result is a variety of different cells.
688000	691000	From this heat map,
691000	701000	we can still see that some genes are inhibited or activated in the diseased sample.
701000	716000	It is difficult to determine if the disease is caused by immune cells, fibroblasts, or unknown gene cells.
716000	725000	At this time, if we can do transcriptome profiling at single-cell resolution,
725000	737000	we can have a deeper understanding of each cell in a tumor tissue.
738000	744000	Here are some interesting graphs that I saw on the Internet.
744000	752000	It can give you an idea of why the so-called Bok analysis may cause some misjudgment.
752000	755000	For example, in this graph,
755000	760000	each point here has the so-called x-value and y-value.
760000	762000	Then you can do various calculations.
762000	765000	For example, the x-value is like this,
765000	767000	the y-value is like this,
767000	769000	the x-deviation is like this,
769000	771000	and the y-deviation is like this.
771000	774000	But even if you calculate all these values,
774000	776000	what about the relationship between x and y?
776000	779000	So if you just do a Bok analysis,
779000	786000	you may not be able to express the so-called structure behind it.
787000	790000	Another interesting graph is that
790000	793000	sometimes if you do a Bok analysis,
793000	798000	you may get a conclusion that leads you to a wrong direction.
798000	801000	For example, suppose this is your sample.
801000	805000	So your sample contains a lot of different animals.
805000	809000	Then you do a Bok analysis to see what this creature might look like.
809000	814000	Then you may come to a conclusion that this is what this creature should look like.
814000	819000	Then you will find that it is very different from the so-called real state.
819000	823000	The so-called single-celled analysis basically has different methods.
823000	826000	That is to say, under this technology,
826000	830000	you can analyze each animal separately
830000	833000	and find a lot of different features.
833000	836000	Then based on the features you find,
836000	839000	you start to do the so-called clustering.
839000	841000	For example, this graph shows that
841000	843000	you have already found two features.
843000	845000	One is Firm and the other is Venom.
845000	848000	Then even if you just add two features like this,
848000	854000	you can already cluster a lot of animals into at least two subsets.
854000	858000	One big subset will be the snakes,
858000	861000	which has the Venom but doesn't have Firm.
861000	865000	Then the other big subset may be the so-called
865000	868000	it doesn't have Venom, but it has Firm.
868000	871000	When you can add more and more features,
871000	874000	hopefully, finally, you will be able to
874000	878000	one individual item will be clustered into one group.
878000	884000	So this is the whole idea about why you need to do profiling at a single-cell level.
886000	889000	Then generally in this single-cell field,
889000	892000	one of their favorite metaphors is
892000	897000	the so-called fruit smoothie and the so-called fruit salad.
897000	900000	When you make a Borg RNC asset,
900000	904000	it's very similar to the so-called fruit smoothie.
904000	908000	Basically, you put all kinds of fruit and vegetables together.
908000	910000	The taste you drink is basically
910000	914000	an average taste of all ingredients.
914000	918000	So you may not be able to know
918000	921000	what ingredients are in this.
921000	924000	Then maybe the ingredients you taste
924000	927000	are some special strong ingredients.
927000	930000	Maybe it's an apple, maybe it's a strawberry.
930000	932000	But you can't know that
932000	936000	maybe there's some cabbage in it or something else.
936000	942000	Single-cell is like you're eating a fruit salad.
942000	950000	Basically, you can taste each individual piece of the fruit.
950000	952000	So somehow you'll know
952000	956000	what kind of composition the fruit should be made of.
957000	963000	So this so-called fruit smoothie to the fruit salad,
963000	969000	basically what single-cell RNC wants to achieve
969000	973000	is that you can show the individual cell type
973000	976000	that causes the biological response or disease.
977000	984000	Then this summary is a more scientific statement.
984000	987000	So basically, the so-called Borg RNC
987000	991000	measures the so-called average expression level
991000	994000	for each cell across a population of cells.
994000	996000	Basically, like I just said,
996000	998000	if you're doing a cancer study,
998000	1000000	you have two samples.
1000000	1002000	One is from healthy tissue,
1002000	1004000	the other is from diseased tissue.
1004000	1008000	Then you grind it up and compare the two samples.
1008000	1011000	Its limitation is basically that
1011000	1017000	if you want to study a more complex system today,
1017000	1020000	for example, you want to study people's brains
1020000	1023000	or some more complex organs,
1023000	1025000	then this technology
1025000	1028000	I'm afraid I can't give you a very clear result.
1029000	1031000	Basically, what single-cell does,
1031000	1034000	it measures the distribution of expression level
1034000	1038000	for each gene across a population of the cells.
1038000	1040000	So using this technology,
1040000	1043000	every cell has a specific change
1043000	1047000	that can be shown.
1048000	1052000	Basically, now there are already a lot of
1052000	1057000	so-called commercially available single-cell platforms on the market.
1057000	1060000	Of course, they all have their own advantages and disadvantages.
1060000	1063000	From my personal experience,
1063000	1065000	I have two platforms of experience.
1065000	1067000	One is the so-called Fluidigm C1.
1067000	1072000	The other is called 10x Genomics.
1074000	1078000	Now I'm going to quickly introduce
1078000	1083000	the two single-cell platforms I've used before.
1084000	1086000	Basically, in general,
1086000	1088000	the so-called workflow of the single cell,
1088000	1090000	its concept is basically the same.
1090000	1094000	First of all, you have the so-called tissue of interest,
1094000	1097000	either patient tissue or cells,
1097000	1100000	which are some of the cells that you are interested in.
1100000	1105000	Then, before doing single-cell RIC,
1105000	1108000	the most important step is that you have to
1108000	1110000	prepare in your own way
1110000	1114000	the so-called single-cell suspension.
1115000	1118000	Each person may have different approaches.
1118000	1120000	For example,
1120000	1123000	the so-called FACS to do the single-cell selection,
1123000	1128000	or to do some so-called micro-dissection,
1128000	1133000	to sort out the cells one by one.
1133000	1137000	Then, when you can successfully complete
1137000	1139000	your single-cell suspension,
1139000	1141000	you basically inject it
1141000	1144000	into either single-cell platform.
1144000	1146000	Then, in the single-cell platform,
1146000	1148000	what it does is basically
1148000	1150000	to lyse the cell
1150000	1152000	and extract the RNA in it.
1152000	1154000	Then, this RNA is
1154000	1156000	reverse transcribed
1156000	1160000	into the cDNA.
1160000	1163000	Then, this cDNA can be amplified
1163000	1165000	through PCR.
1165000	1167000	After the amplification,
1168000	1171000	we build a library.
1171000	1174000	Then, these libraries can be sent for sequencing.
1174000	1176000	Like I said,
1176000	1179000	this is the so-called sequencing result.
1179000	1183000	You get the so-called sequence.
1183000	1185000	This sequence is basically
1185000	1187000	the sequence of A, T, C, and G.
1187000	1189000	Then, you may be mapping.
1189000	1193000	Because now many genes have been decoded,
1193000	1195000	including human, mouse,
1195000	1197000	and some species.
1197000	1201000	So, according to the source of your sample,
1201000	1204000	you can map it to the reference genome.
1204000	1207000	Then, you can know
1207000	1212000	what the expression of each gene is.
1212000	1214000	Then, the last step is
1214000	1217000	the so-called computational analysis.
1217000	1219000	Because this single-cell RNAC technology
1219000	1221000	is relatively new,
1221000	1224000	the computational analysis
1224000	1228000	is still under development.
1228000	1232000	This is basically the same concept.
1232000	1235000	You have a tissue that you are interested in.
1235000	1237000	First, you have to be able to
1237000	1240000	dissociate it into the so-called single-cell suspend.
1240000	1244000	Then, there are all kinds of different systems
1244000	1247000	that can make the single-cell suspension
1247000	1249000	that you need.
1249000	1251000	Then, you can further
1251000	1255000	dissociate it into the single-cell platform.
1255000	1262000	This picture is from a recent review paper.
1262000	1265000	So, what you can see here is that
1265000	1267000	the single-cell RNAC technology
1267000	1270000	has developed very rapidly in recent years.
1270000	1273000	It started with the first single-cell paper
1273000	1275000	around 2009.
1275000	1277000	At that time, the single-cell technology
1277000	1279000	was still a very difficult technology.
1279000	1281000	It was not possible to operate smoothly
1281000	1283000	at every level.
1283000	1287000	Then, the number of times you do it
1287000	1293000	may be accumulated from dozens of times.
1293000	1295000	However, as time goes by,
1295000	1297000	there are more and more different types of
1297000	1299000	different technologies,
1299000	1303000	including the droplet method.
1303000	1305000	There are also some
1305000	1308000	random capture technologies,
1308000	1311000	such as in-tube barcoding,
1311000	1315000	and so on.
1315000	1318000	Now, you can see that
1318000	1320000	basically,
1320000	1323000	the single-cell technology
1323000	1327000	can already get a lot of cells
1327000	1331000	in one experiment.
1331000	1335000	Of course, there are many technologies
1336000	1339000	that continue to develop
1339000	1345000	to get more and more cells.
1345000	1349000	Now, I would like to introduce
1349000	1351000	two single-cell platforms
1351000	1354000	that I have had hands-on experience with.
1354000	1356000	The first one is FluDyn.
1356000	1360000	FluDyn is probably the first single-cell
1360000	1366000	RNA-seq technology in the market.
1366000	1370000	Its basic process is very similar to what I just said.
1370000	1373000	First, you need to be able to successfully
1373000	1375000	dissociate your tissue.
1375000	1378000	Basically, this technology
1378000	1381000	captures cells to 96 well plate.
1381000	1387000	Basically, all the so-called cell lysing,
1387000	1390000	RT, and cDNA amplification
1390000	1393000	happen in this machine.
1393000	1396000	Its output is basically
1396000	1401000	the cDNA after the amplification.
1401000	1407000	Then you can make a barcode library
1407000	1410000	and send for sequencing.
1411000	1419000	This is the real situation of the C1 chip.
1419000	1423000	This is an image under the microscope.
1423000	1425000	You can see that
1425000	1428000	this cell basically has a fluorescent label.
1428000	1431000	So you can see that
1431000	1434000	after running this chip,
1434000	1440000	this cell is basically captured in this chip.
1440000	1443000	Then all the reactions
1443000	1448000	will happen in this reaction.
1448000	1452000	Finally, when this reaction is completed,
1452000	1456000	you get the cDNA after the amplification.
1456000	1459000	Then you can further build your library
1459000	1460000	and send for sequencing.
1460000	1463000	Then you will get your data.
1463000	1466000	According to my personal experience,
1466000	1469000	the C1 chip has some advantages
1469000	1471000	but also some disadvantages.
1471000	1475000	Its advantages are...
1475000	1478000	Oh, I may have made a mistake here.
1478000	1481000	The first one is relatively long prep time.
1481000	1482000	This should be its disadvantage.
1482000	1485000	Its prep time is actually very long.
1485000	1489000	Of course, if you let your sample
1489000	1492000	sit on the ice all the time,
1492000	1494000	you may worry that
1494000	1496000	its gene expression profile
1496000	1498000	may change during that time.
1498000	1501000	So basically, we hope that
1501000	1505000	before we get the so-called
1505000	1507000	light cell,
1507000	1513000	the prep time can be as short as possible.
1513000	1515000	But this C1 chip
1515000	1517000	still has some very good advantages.
1517000	1520000	For example, this set of technologies
1520000	1524000	allows you to capture single cells
1524000	1527000	under the microscope
1527000	1529000	one by one.
1529000	1531000	For example, this picture shows
1531000	1533000	a very beautiful single cell.
1533000	1536000	Some wells may not have single cells at all.
1536000	1540000	Some wells may have multiple samples.
1540000	1541000	Maybe later on,
1541000	1543000	when you are building your library,
1543000	1546000	you may ignore such samples.
1546000	1548000	Because in the subsequent data analysis,
1548000	1552000	you may not be able to judge
1552000	1554000	whether the data you get is from one cell
1554000	1556000	or multiple cells.
1556000	1560000	Basically, its biggest disadvantage
1560000	1564000	is the so-called throughput.
1564000	1565000	Because basically,
1565000	1566000	in the most primitive C1 chip,
1566000	1569000	it can only capture 96 cells at a time.
1569000	1571000	In the later version,
1571000	1573000	it may be able to capture 800 at a time.
1573000	1576000	But in fact, in reality,
1576000	1578000	its efficiency is very poor.
1578000	1582000	Maybe only 60% to 70% of the wells
