start	end	text
0	4000	Q&A SESSION
4000	8000	Hello everyone, welcome to today's TAIRA speech.
8000	13000	Today's speech topic is very special and I like it very much.
13000	16000	The speaker is Liu Junlin.
16000	20000	He is going to talk about LATEX and DINNER today.
20000	22000	I will briefly introduce the speaker today.
22000	29000	The speaker got a doctorate in electrical engineering from Caltech this year.
29000	36000	His main field of research is digital signal processing and statistical signal processing.
36000	38000	This is a brief introduction of the speaker.
38000	46000	Without further ado, let's welcome the speaker to talk about today's speech tool.
46000	54000	Please turn on the microphone and let's clap together.
54000	56000	Let's start the speech.
56000	58000	We'll leave the time to Junlin.
58000	60000	Thank you.
60000	62000	I need to turn on the microphone.
62000	64000	You can turn it on, I'll turn it off.
64000	66000	Then I'll turn it on here.
70000	73000	Okay, thank you.
73000	76000	Thank you for the invitation from TAIRA.
76000	82000	I am honored to give a special academic speech today.
82000	87000	Today's speech topic is mainly about LATEX.
87000	91000	Another tool called TIKZ and DINNER.
91000	96000	How to use these three tools in academic reports.
96000	104000	Before talking about this topic, I want to mention why I want to talk about this topic.
104000	110000	First of all, when I received the invitation, I also thought about whether to talk about my special research topic.
110000	114000	Thinking about it later, I think it's too professional.
114000	117000	It may not be useful to everyone.
117000	124000	Then I turned to talk about some tools in the academic world that I have a little experience with.
124000	126000	These three tools.
126000	129000	By the way, let me share my experience with these tools.
129000	132000	Next is my speaker.
132000	136000	The speaker will first do a brief introduction.
136000	139000	Then I will focus on these three tools.
139000	144000	Then show some of the presentations I made.
144000	147000	Presentations made with these three tools.
147000	150000	Finally, a little summary.
150000	156000	Before starting the whole talk, I want to show you a picture.
156000	161000	I believe everyone should have at least a little experience in academic research.
162000	170000	In fact, academic research can be divided into several stages.
170000	171000	Suppose you want to do academic research.
171000	175000	First of all, you need to have the most primitive research idea.
175000	178000	According to this idea, you have to make a corresponding plan.
178000	184000	For example, how much funding to apply for, how many students to receive, and how large your lab needs.
184000	190000	After these things, you are responsible for managing people or managing the progress of the plan.
190000	195000	After having people or progress, you may need to design experiments and collect data.
195000	198000	Then make a corresponding conclusion based on your data.
198000	202000	The last step, I personally think it is a very important step.
202000	205000	When you have the results of your research,
205000	210000	You may have to publish it to the appropriate conference and magazine.
210000	215000	Make the right oral report and promote your results to let others know.
215000	222000	I believe that many research topics are related to this research cycle.
222000	226000	The topic of my report today is related to this research cycle.
226000	230000	But I'm not going to share with you how to find new research topics.
230000	233000	I'm not going to teach you how to do research.
233000	239000	Of course, it has nothing to do with the following topics.
239000	242000	Of course, it has nothing to do with my research topics.
243000	247000	The topic of my report today is related to the sixth topic,
247000	251000	Publication and Presentation.
251000	255000	It has a little bit to do with these two topics.
255000	261000	But I'm not going to teach you how to write a paper or how to do oral expression.
261000	263000	This is another topic.
263000	268000	My main focus today is to show you a picture.
269000	270000	This picture...
270000	273000	Because of copyright issues, I didn't put the original picture on the screen.
273000	277000	I'll just put a copy and I'll show it to you.
277000	281000	After I click on it, I have to change to share, right?
288000	290000	This one.
292000	295000	I don't know if you can see this picture.
295000	299000	If you know Ph.D. Comics, it's actually a...
299000	303000	When you read the textbook, you can draw a picture like this.
303000	305000	I'll show you.
305000	310000	This is a pretty close ecology in the academic world.
310000	313000	When you finish writing the paper, you show it to the boss.
313000	317000	The boss will change it for you for the first, second, and sixth time.
317000	319000	Or later...
319000	321000	According to what he wrote, I don't know how many times.
321000	323000	49 times, right?
323000	325000	Okay.
325000	329000	This is actually something that happens quite often in the academic world.
329000	334000	Because everyone wants to adjust the quality of the paper to be very perfect.
334000	338000	After it's very perfect, it will be sent to the magazine
338000	342000	or find a way to try to publish it.
342000	348000	In this case, you can see that this student is in great pain.
348000	350000	The reason for the pain is actually...
350000	351000	There are several reasons.
351000	354000	The first one is that he changed it back and forth many times.
354000	358000	You can see that the file name is different every time.
358000	361000	Suppose you look at this Revision 8, Common File.
361000	363000	Do you know what the boss changed?
363000	364000	You probably can't tell.
364000	368000	You don't know what the boss did just by looking at the file name.
368000	369000	There's another one. You can look at the photo.
369000	371000	He also wrote a track change.
371000	374000	After you open the file, he might say,
374000	377000	Oh, what did he change in this file?
