start	end	text
0	9000	First of all, I would like to welcome everyone to our Chira Talk on August 4th.
9000	17000	We are honored to have Jason Hong, a student from Hong Shi An University, to give a speech on his latest research.
17000	23000	Today's topic is Coherent Exotonic Effects in 2D Materials.
23000	27000	Before we start, let me briefly introduce Jason.
27000	31000	Jason graduated from the University of Taiwan in the Department of Physics.
31000	36000	He did his Ph.D. at UC Berkeley and the Lawrence Berkeley National Lab.
36000	39000	He is currently working as a postdoc in Michigan.
39000	45000	His current field of expertise is the application of super fast light in solid matter.
45000	50000	His main research topics include graphene optical sensors,
50000	61000	coherent exotonic effects in 2D materials, and cavity exotonic polaroids.
61000	66000	In today's talk, he will introduce some basic principles and applications of super fast light.
66000	78000	He will use super fast light and light-matter interactions to understand the dynamics of electrons in solid state physics.
78000	87000	He will also discuss related research in super fast light and exotonic effects.
87000	93000	If there are no further questions, let's welcome Jason to start his talk.
93000	96000	Hello everyone.
96000	100000	I am very happy to be invited to Chira Talk.
100000	105000	Today's topic is Coherent Exotonic Effects in 2D Materials.
105000	116000	Today's topic is Coherent Exotonic Effects in 2D Materials.
124000	126000	This is today's outline.
126000	144000	In the beginning, I will talk about what super fast light is, the history of super fast light, and a very important technique called pump probe measurement.
144000	164000	On the other hand, I will briefly explain what is special about the acetone in the coherent exotonic materials.
164000	168000	Finally, I will talk about my recent research.
168000	175000	In the coherent exotonic materials, there are not only acetone, but also biacetone effects.
175000	180000	I will start with super fast light.
180000	188000	The so-called super fast light is actually a super fast phenomenon that uses light to study the extremity of time.
188000	198000	Generally speaking, the definition of a super fast phenomenon is the phenomenon between a femtosecond and a picosecond.
198000	203000	We call it a super fast phenomenon, but there is no clear definition.
203000	209000	Femtosecond is 10 to the power of negative 50 square seconds, and picosecond is 10 to the power of negative 20 square seconds.
209000	214000	However, we will briefly introduce the extent of time later.
215000	225000	The main reason why we use light to study these super fast phenomena is that there are many super fast phenomena that cannot be observed in other ways.
225000	228000	For example, the general method of electrolysis.
228000	235000	Everyone knows that electrolysis is basically to charge.
235000	241000	The charging time is actually around nanoseconds.
241000	256000	For example, the switch speed of these computers is about gigahertz, and gigahertz is about nanoseconds.
256000	268000	Even if the electrolysis is done well, the time you can observe is only about nanoseconds.
268000	271000	There is no way to do better.
271000	280000	If you want to observe these super fast phenomena with a shorter time period, you have to use light.
281000	290000	At this time, we have a technique called pump-up technique, and we can use it to observe these super fast phenomena.
290000	301000	Basically, in my own concept, light is basically photography, which is the art of capturing light.
301000	309000	For example, when we usually shoot small objects, this is called micro light.
309000	319000	When we turn a black and white camera into a color camera, what we are actually doing is photography.
319000	329000	We can study the reaction of a object to a different amount of light with different energy.
329000	331000	This is called photography.
331000	335000	The meaning of super fast photography is actually high-speed photography.
335000	344000	For example, when we watch TV, when a baseball player throws a ball, he basically uses high-speed photography to do these things.
344000	349000	Super fast photography basically uses high-speed photography to the extreme.
349000	351000	What is photography?
351000	353000	There is a picture here.
353000	360000	Basically, photography is that you have a light source, and the light source shines on your object, on your model.
360000	363000	The model will reflect light or penetrate light.
363000	367000	People don't penetrate light, so this is reflected light.
367000	377000	In the end, the reflected light is taken down by the photographer with these cameras.
377000	379000	This is called photography.
379000	383000	Sometimes you need something else.
383000	389000	For example, you need another assistant to remind your model to remember to smile.
389000	394000	When you add all these things together, this is called photography.
394000	401000	When it comes to super fast photography, I have to talk about the interesting history.
402000	406000	A long time ago, people had a question.
406000	419000	When a horse is running, is it possible that when the horse is running, the four legs will float in the air for a moment?
419000	428000	It may not seem like a problem now, but you may think it's not useful at all.
428000	434000	This was in the 1870s.
434000	438000	These people were very passionate about racing horses.
438000	441000	This was a very interesting question at the time.
441000	445000	People wanted to know how the horse ran.
445000	450000	But you can't see it with your eyes.
450000	455000	You can't record it and tell everyone how the horse ran.
456000	462000	At that time, there was a man named Leland Stanford.
462000	467000	He was the governor of California.
