start	end	text
0	20000	Hello, everyone. I'm the host for today. I'm Lin Yuwei from UC Irvine.
20000	30000	Our guest for today's TerraTalk is Lu Kefan, a Ph.D. student at Fairbanks University of Alaska.
30000	36000	His field of research is very interesting. It's about Arctic Ocean Sea Ice.
36000	48000	He also worked as an intern at the Department of R&D at Fairbanks University of Alaska.
48000	52000	He also taught for 3 and a half years.
52000	56000	He is expected to graduate next spring.
56000	61000	You can visit his defense course and watch the aurora.
61000	65000	Let's welcome Lu Kefan.
65000	69000	Thank you, everyone.
69000	73000	I don't want to bore you.
73000	77000	Plus, no one knows about this field.
77000	85000	So, I'll introduce the Arctic Ocean Sea Ice.
85000	99000	I'll talk about my field of research.
99000	103000	I'll also talk about my field of research.
103000	111000	I'll also talk about my field of research.
111000	127000	At the beginning, we saw a video.
127000	135000	It's a popular video on social media.
135000	139000	It tells us how to reduce this year's sea ice.
139000	145000	It's about how to save the Arctic, the Earth, and the environment.
145000	147000	It's a similar title.
147000	155000	For me, the video's demand is correct.
155000	161000	But every time I see a similar video, I have to be careful.
161000	165000	What does the color in the video represent?
165000	173000	You may think that the white part is the size of the ice.
173000	181000	But in fact, this video is from NASA's Scientific Visualization Studio.
181000	185000	It calculates the age of the ice.
185000	189000	That is, the length of time the ice stays in the ocean.
189000	197000	Why do we look at the age of the ice?
197000	205000	Generally speaking, we will divide the ice into one-year ice or multi-year ice.
205000	207000	One-year ice is the gray part.
207000	211000	You can see that it fluctuates a lot every year.
211000	215000	Because it melts in summer.
215000	221000	When the sea water reaches the freezing point, it freezes again.
221000	227000	In fact, the thickness of the sea ice has nothing to do with its age.
227000	231000	The average thickness of one-year ice is about 2 to 3 meters.
231000	235000	Multi-year ice is the ice that has not completely melted in summer for more than a year.
235000	239000	Its thickness is actually about 3 meters.
239000	251000	The thickness of one-year ice or multi-year ice may be more than 5 meters.
251000	255000	So when you see a video like this, especially a large-scale video,
255000	261000	Because the thickness of the sea ice is very difficult to measure in the air.
261000	263000	So if you see such a large-scale video,
263000	267000	It is usually not discussing the thickness of the sea ice or its size or volume.
267000	273000	Next, let's look at the winter of 2016.
273000	275000	Take a closer look at the gray part.
275000	277000	For example, as I just said,
277000	279000	One-year ice is also 3 meters.
279000	281000	Multi-year ice is also 3 meters.
281000	285000	Then you will see that the whole piece is white.
285000	289000	Even the east coast of the United States still has sea ice.
289000	295000	Then visually, you will not feel so deeply that our sea ice is declining.
295000	297000	You will not feel that terrible.
297000	303000	But NASA made this video is not to intimidate everyone.
303000	307000	This video has several points.
307000	319000	The first is that we can see that most of the sea ice will flow out of the Atlantic coast.
319000	321000	This is the first point.
321000	327000	The second point is that if we look closely at the gray area,
327000	329000	Or look at the statistics next to it,
329000	337000	In the summer, the gray area is the part of one-year ice.
337000	339000	Indeed, there is a gradual decrease in the trend.
339000	341000	I will say that it is a decrease in the trend,
341000	345000	It's not that it's really decreasing every year.
345000	349000	It's because it's really decreasing every summer.
349000	353000	But overall, it has been gradually decreasing in the past 40 years.
353000	357000	The countries that are concerned about the research of the Arctic Ocean
357000	363000	There are mainly neighboring eight countries, including the United States, Greenland, Iceland,
363000	367000	Then the Nordic countries and Russia.
367000	369000	In addition to these neighboring eight countries,
369000	377000	There are some countries such as Europe, Germany, France, East Asia, Japan, South Korea, and China.
377000	381000	The reason why they are so concerned about the research of the Arctic Ocean is because
381000	385000	Everyone wants to take advantage of the summer when there is no ice.
385000	389000	Take advantage of the fishing rights and navigation rights in the Arctic Ocean.
389000	393000	So these distant East Asian countries,
393000	395000	Once they can use this red line,
395000	399000	This red line is the Arctic Ocean's North East Line.
399000	401000	It is now being used.
401000	407000	If East Asian countries use the North East Line to travel by sea,
407000	409000	If you send something to Europe,
409000	413000	Its navigation will be about one-third of the way to the south.
413000	417000	So for them, the melting of the summer ice,
417000	421000	Or the gradual decrease in the area of ​​ice,
421000	427000	For some countries, it's not entirely a disaster or a bad thing.
427000	429000	Or something you want to avoid.
429000	433000	Not to mention the United States, Norway, and Russia.
433000	441000	There are very large drilling projects along the coast of the Arctic Ocean.
441000	445000	Or mining natural resources.
445000	447000	It's not like what you see.
447000	455000	Greenpeace has tried to ban drilling in the Arctic Ocean.
455000	457000	And then they won.
457000	459000	It's not like that.
459000	461000	The reason why Shell stopped drilling in the Arctic Ocean
461000	465000	It's because they hired a lot of scientists to do research.
465000	469000	And then they found out that if they were to deal with the subsequent oil and gas problems,
469000	471000	And to strengthen the ecological balance,
471000	477000	They didn't lose any profits.
477000	479000	That's why they decided to withdraw.
479000	481000	But in addition to Shell,
481000	483000	There are a lot of oil companies in the United States.
483000	485000	Like ConocoFlips or BP.
485000	489000	They continue to drill along the coast of the Arctic Ocean.
489000	493000	Not to mention that the entire north coast of Norway is a drilling platform.
493000	495000	What about these countries?
495000	501000	Their attitude towards the reduction of sea ice is
501000	511000	Treat it as a natural phenomenon that is already happening and is almost impossible to reverse.
511000	517000	Their research focuses on how to deal with what has already happened.
517000	531000	For example, researchers from Alaska and Norway are now working on improving the shape of the oil platform.
531000	535000	Because we see that if there is less sea ice, the flow of the sea will be strengthened.
535000	537000	But there will still be some floating ice stuck on the coast.
537000	541000	These floating ice will be affected by the strong flow of the sea.
541000	543000	And then it will hit the oil platform.
543000	545000	And then it could cause a public safety accident.
545000	551000	So they want to improve the oil platform to reduce the slowdown of floating ice collision.
551000	553000	Or like the East Asian countries I just mentioned,
553000	559000	They are constantly studying when to enter the Arctic Ocean.
559000	567000	Which route to take to avoid aftershocks and shipwrecks.
567000	575000	For example, Alaska's King Crab is very famous.
575000	579000	As the sea ice retreats, the water temperature will change.
579000	583000	So we find that the King Crab is gradually moving north.
583000	591000	At this time, they have to consider whether to change the target species or change the area and timing of the King Crab.
591000	597000	These are all countries that are now working on Arctic research.
597000	611000	They are not completely treating it as a disaster to avoid.
611000	617000	Or try to recover to the original sea ice situation.
617000	627000	From this animation, we can get a lot of information.
627000	641000	A lot of sea ice is flowing out of the Atlantic Ocean.
641000	651000	This can be seen from the ocean flow cycle of the Arctic Ocean.
651000	661000	There is a lot of Atlantic Ocean water flowing from the Atlantic Ocean of the Arctic Ocean.
661000	669000	Because of the force of gravity, the King Crab will move along the right bank of the Arctic Ocean.
669000	673000	The Atlantic Ocean has an opening, and the Pacific Ocean also has an opening.
673000	677000	Why didn't the King Crab flow out of the Pacific Ocean?
677000	683000	This is because the opening of the Pacific Ocean is very narrow.
683000	689000	The width of the opening is about 100 to 200 kilometers.
689000	695000	The depth of the opening is about 30 to 50 meters.
695000	703000	The depth of the opening of the Atlantic Ocean is about 200 to 300 meters.
703000	709000	So once the Atlantic Ocean enters the Arctic Ocean, it is difficult to flow out of the Pacific Ocean again.
709000	715000	At the same time, there is also water flowing from the Pacific Ocean.
715000	721000	So the King Crab will continue to move along the right bank of the Atlantic Ocean.
721000	731000	The King Crab will continue to move along the right bank of the Atlantic Ocean.
731000	733000	This is the first reason.
733000	737000	The second reason is that we can see the picture of the King Crab.
737000	743000	The second reason is that we can see the picture of the King Crab.
743000	749000	The first reason is that we can see the picture of the King Crab.
749000	755000	Continue to the third reason.
755000	761000	The third reason is that the King Crab became very wet from the air.
761000	767000	Continue to the fourth reason.
767000	773000	Continue to the fifth reason.
773000	779000	Continue to the sixth reason.
779000	785000	Continue to the seventh reason.
785000	791000	Continue to the eighth reason.
791000	797000	Continue to the ninth reason.
797000	803000	Continue to the tenth reason.
803000	809000	Continue to the eleventh reason.
809000	815000	Continue to the twelfth reason.
815000	821000	Continue to the thirteenth reason.
821000	827000	Continue to the fourteenth reason.
827000	833000	Continue to the fifteenth reason.
833000	839000	Continue to the sixteenth reason.
839000	845000	Continue to the 17th reason.
845000	851000	Continue to the 18th reason.
851000	857000	Continue to the 19th reason.
857000	863000	Continue to the 20th reason.
863000	869000	Continue to the 21st reason.
869000	875000	Continue to the 22nd reason.
875000	881000	Continue to the 23rd reason.
881000	887000	Continue to the 24th reason.
887000	893000	Continue to the 25th reason.
893000	899000	Continue to the 26th reason.
899000	905000	Continue to the 27th reason.
905000	911000	Continue to the 28th reason.
911000	917000	Continue to the 29th reason.
917000	923000	Continue to the 30th reason.
923000	929000	Continue to the 31st reason.
929000	935000	Continue to the 32nd reason.
935000	941000	Continue to the 33rd reason.
941000	947000	Continue to the 34th reason.
947000	953000	Continue to the 35th reason.
953000	959000	Continue to the 36th reason.
959000	965000	Continue to the 37th reason.
965000	971000	Continue to the 38th reason.
971000	977000	Continue to the 39th reason.
977000	983000	Continue to the 40th reason.
983000	989000	Continue to the 41st reason.
989000	995000	Continue to the 42nd reason.
995000	1001000	Continue to the 43rd reason.
1001000	1007000	Continue to the 44th reason.
1007000	1013000	Continue to the 45th reason.
1013000	1019000	Continue to the 46th reason.
1019000	1025000	Continue to the 47th reason.
1025000	1031000	Continue to the 48th reason.
1031000	1037000	Continue to the 49th reason.
1037000	1043000	Continue to the 50th reason.
1043000	1049000	Continue to the 51st reason.
1049000	1055000	Continue to the 52nd reason.
1055000	1061000	Continue to the 53rd reason.
1061000	1067000	Continue to the 54th reason.
1067000	1073000	Continue to the 55th reason.
1073000	1079000	Continue to the 56th reason.
1079000	1085000	Continue to the 57th reason.
1085000	1091000	Continue to the 58th reason.
1091000	1097000	Continue to the 59th reason.
1097000	1103000	Continue to the 60th reason.
1103000	1109000	Continue to the 70th reason.
1109000	1115000	Continue to the 80th reason.
1115000	1121000	Continue to the 90th reason.
1121000	1127000	Continue to the 91st reason.
1127000	1133000	Continue to the 92nd reason.
1133000	1139000	Continue to the 93rd reason.
1139000	1145000	Continue to the 94th reason.
1145000	1151000	Continue to the 95th reason.
1151000	1157000	Continue to the 96th reason.
1157000	1163000	Continue to the 97th reason.
1163000	1169000	Continue to the 98th reason.
1169000	1175000	Continue to the 10th reason.
1175000	1181000	Continue to the 11th reason.
1181000	1187000	Continue to the 12th reason.
1187000	1193000	Continue to the 13th reason.
1193000	1199000	Continue to the 14th reason.
1199000	1205000	Continue to the 15th reason.
1205000	1211000	Continue to the 16th reason.
1211000	1217000	Continue to the 17th reason.
1217000	1223000	Continue to the 18th reason.
1223000	1229000	Continue to the 19th reason.
1229000	1235000	Continue to the 20th reason.
1235000	1241000	Continue to the 21st reason.
1241000	1247000	Continue to the 22nd reason.
1247000	1253000	Continue to the 23rd reason.
1253000	1259000	Continue to the 24th reason.
1259000	1265000	Continue to the 25th reason.
1265000	1271000	Continue to the 26th reason.
1271000	1277000	Continue to the 27th reason.
1277000	1283000	Continue to the 28th reason.
1283000	1289000	Continue to the 29th reason.
1289000	1295000	Continue to the 30th reason.
1295000	1301000	Continue to the 31st reason.
1301000	1307000	Continue to the 32nd reason.
1307000	1313000	Continue to the 33rd reason.
1313000	1319000	Continue to the 34th reason.
1319000	1325000	Continue to the 35th reason.
1325000	1331000	Continue to the 36th reason.
1331000	1337000	Continue to the 37th reason.
1337000	1343000	Continue to the 38th reason.
1343000	1349000	Continue to the 39th reason.
1349000	1355000	Continue to the 40th reason.
1355000	1361000	Continue to the 41st reason.
1361000	1367000	Continue to the 42nd reason.
1367000	1373000	Continue to the 43rd reason.
1373000	1379000	Continue to the 44th reason.
1379000	1385000	Continue to the 45th reason.
1385000	1391000	Continue to the 46th reason.
1391000	1397000	Continue to the 47th reason.
1397000	1403000	Continue to the 48th reason.
1403000	1409000	Continue to the 49th reason.
1409000	1415000	Continue to the 50th reason.
1415000	1421000	Continue to the 51st reason.
1421000	1427000	Continue to the 52nd reason.
1427000	1433000	Continue to the 53rd reason.
1433000	1439000	Continue to the 54th reason.
1439000	1445000	Continue to the 55th reason.
1445000	1451000	Continue to the 56th reason.
1451000	1457000	Continue to the 57th reason.
1457000	1463000	Continue to the 58th reason.
1463000	1469000	Continue to the 59th reason.
1469000	1475000	Continue to the 60th reason.
1475000	1481000	Continue to the 70th reason.
1481000	1487000	Continue to the 71st reason.
1487000	1493000	Continue to the 78th reason.
1493000	1499000	Continue to the 79th reason.
1499000	1505000	Continue to the 80th reason.
1505000	1511000	Continue to the 79th reason.
1511000	1517000	Continue to the 80th reason.
1517000	1523000	Continue to the 71st reason.
1523000	1529000	Continue to the 80th reason.
1529000	1535000	Continue to the 87th reason.
1535000	1541000	Continue to the 88th reason.
1541000	1547000	Continue to the 88th reason.
1547000	1553000	Cause of IncidentEu regrowth.
1553000	1557000	Continue to the 84th reason.
1557000	1561000	Continue to the 84th reason.
1561000	1565000	Continue to the 85th reason.
1565000	1569000	The 37th reason.
1569000	1573000	Continue to the 87th reason.
1573000	1577000	3rd Reason.
1577000	1581000	3rd Reason.
1581000	1585000	Continue to the 87th reason.
1585000	1589000	Continue to the 87th reason.
1589000	1593000	3rd Reason.
1593000	1597000	Continue to the 87th reason.
1597000	1601000	3rd Reason.
1601000	1605000	3rd Reason.
1605000	1609000	3rd Reason.
1609000	1613000	3rd Reason.
1613000	1617000	Continue to the 87th reason.
1617000	1621000	3rd Reason.
1621000	1625000	Continue to the 87th reason.
1625000	1629000	3rd Reason.
1629000	1633000	Continue to the 87th reason.
1633000	1637000	3rd Reason.
1637000	1649000	The bottom of the ice water is a large layer of ice with a very high salinity of about 33 degrees.
1649000	1656000	The reason why it is called winter water is because when the sea water freezes, it releases a lot of salt.
1656000	1662000	After the salt has melted, it enters the sea water, which makes the sea water very heavy.
1662000	1668000	After the sea water freezes, it sinks to the bottom, leaving a large amount of high salinity and very cold water.
1668000	1675000	The water temperature is close to 1.8 degrees in the sea water.
1675000	1681000	This winter water stays at the bottom of the Arctic Ocean for a long time this year.
1681000	1691000	The bottom of the ice water is a very salty water with a very low salinity.
1691000	1699000	The bottom of the ice water is a very salty water with a very low salinity.
1699000	1709000	The bottom of the ice water is a very salty water with a very low salinity.
1709000	1719000	The bottom of the ice water is a very salty water with a very low salinity.
1749000	1759000	The bottom of the ice water is a very salty water with a very low salinity.
1759000	1769000	The bottom of the ice water is a very salty water with a very low salinity.
1769000	1779000	The bottom of the ice water is a very salty water with a very low salinity.
1779000	1789000	The bottom of the ice water is a very salty water with a very low salinity.
1789000	1799000	The bottom of the ice water is a very salty water with a very low salinity.
1799000	1809000	The bottom of the ice water is a very salty water with a very low salinity.
1809000	1819000	The bottom of the ice water is a very salty water with a very low salinity.
1819000	1829000	The bottom of the ice water is a very salty water with a very low salinity.
1829000	1839000	The bottom of the ice water is a very salty water with a very low salinity.
1839000	1849000	The bottom of the ice water is a very salty water with a very low salinity.
1849000	1859000	The bottom of the ice water is a very salty water with a very low salinity.
1859000	1869000	The bottom of the ice water is a very salty water with a very low salinity.
1869000	1879000	The bottom of the ice water is a very salty water with a very low salinity.
1879000	1889000	The bottom of the ice water is a very salty water with a very low salinity.
1889000	1899000	The bottom of the ice water is a very salty water with a very low salinity.
1899000	1909000	The bottom of the ice water is a very salty water with a very low salinity.
1909000	1919000	The bottom of the ice water is a very salty water with a very low salinity.
1919000	1929000	The bottom of the ice water is a very salty water with a very low salinity.
1929000	1939000	The bottom of the ice water is a very salty water with a very low salinity.
1939000	1949000	The bottom of the ice water is a very salty water with a very low salinity.
1949000	1959000	The bottom of the ice water is a very salty water with a very low salinity.
1959000	1969000	The bottom of the ice water is a very salty water with a very low salinity.
1969000	1979000	The bottom of the ice water is a very salty water with a very low salinity.
1979000	1989000	The bottom of the ice water is a very salty water with a very low salinity.
1989000	1999000	The bottom of the ice water is a very salty water with a very low salinity.
1999000	2009000	The bottom of the ice water is a very salty water with a very low salinity.
2009000	2019000	The bottom of the ice water is a very salty water with a very low salinity.
2019000	2029000	The bottom of the ice water is a very salty water with a very low salinity.
2029000	2039000	The bottom of the ice water is a very salty water with a very low salinity.
2039000	2049000	The bottom of the ice water is a very salty water with a very low salinity.
2049000	2059000	The bottom of the ice water is a very salty water with a very low salinity.
2059000	2069000	The bottom of the ice water is a very salty water with a very low salinity.
2069160	2079160	The bottom of the ice water is a very salty water with a very low salinity.
2079160	2089160	The bottom of the ice water is a very salty water with a very low salinity.
2089160	2099160	The bottom of the ice water is a very salty water with a very low salinity.
2099160	2109160	The bottom of the ice water is a very salty water with a very low salinity.
2109160	2119160	The bottom of the ice water is a very salty water with a very low salinity.
2119160	2129160	The bottom of the ice water is a very salty water with a very low salinity.
2129160	2139160	The bottom of the ice water is a very salty water with a very low salinity.
2139160	2149160	The bottom of the ice water is a very salty water with a very low salinity.
2149160	2159160	The bottom of the ice water is a very salty water with a very low salinity.
2159160	2169160	The bottom of the ice water is a very salty water with a very low salinity.
2169160	2179160	The bottom of the ice water is a very salty water with a very low salinity.
2179160	2189160	The bottom of the ice water is a very salty water with a very low salinity.
2189160	2199160	The bottom of the ice water is a very salty water with a very low salinity.
2199160	2209160	The bottom of the ice water is a very salty water with a very low salinity.
2209160	2219160	The bottom of the ice water is a very salty water with a very low salinity.
2219160	2229160	The bottom of the ice water is a very salty water with a very low salinity.
2229160	2239160	The bottom of the ice water is a very salty water with a very low salinity.
2239160	2249160	The bottom of the ice water is a very salty water with a very low salinity.
