start	end	text
0	24000	Welcome everyone to today's Taira speech, and I am the host today, Bo Xuan, and I am very happy that this is the first Taira history speech today, and the speaker today is Hong Qi Ting, who is currently a doctoral candidate for the history of Santa Barbara.
24000	33000	And now the main focus is American history, Asian American research, as well as the Cold War and Taiwan-US relations. I think these studies are quite important.
33000	42000	And today Qiqi is going to talk about the traditional Taira people, so let's not talk too much and let Qiqi start the speech.
43000	54000	Hello everyone, it's an honor to be here for the first time, and I feel a little sorry for everyone, because I didn't do much.
54000	61000	And my position today is that I personally hope that everyone can give me some feedback.
61000	75000	In fact, the topic I am going to talk about today is a part of my paper, because my paper mainly wants to study the role and importance of Taiwanese Americans in Taiwan's democratization and current Taiwan-US relations.
76000	82000	This topic is about the traditional Taira people, and I think it is a very important part of my paper.
82000	94000	The reason is that the traditional Taira people are in May, the whole month is a day to commemorate the multi-ethnicity of the United States.
94000	111000	And every May, it seems that the Jews and the Asians are all in May, and there will be a lot of commemorative activities related to the culture of the Taira people throughout the month.
111000	119000	This event can be said to be the most important event in the year of the Taira community, so I think this topic is very important to my paper.
119000	131000	It can be seen as a small fragment of how the Taira community mobilizes, organizes, and designs such activities to promote themselves internally and externally.
131000	139000	From this process, we can understand how the community of Taira people is formed, so it is a very important part of my paper.
139000	154000	Before I get to that point, I would like to mention that there is a national newspaper in the United States called the Pacific Times, which has a history of about 30 years.
154000	163000	It is the most influential Chinese newspaper in the United States or the entire North American region.
163000	169000	Their editor-in-chief asked me to write a topic like this, so I think this opportunity is very rare.
169000	177000	After I finish sorting out the information, I will publish it in the Pacific Times.
177000	183000	If I have time, I might turn it into English and see if I can post it in other newspapers.
183000	201000	For example, in May, when many Taira people started to promote traditional Chinese activities, they could take this information and introduce it to members of Congress in the United States or local communities, such as high school students.
201000	209000	If the audience of the article is different, the angle of discussion will be different.
209000	235000	So my current position is that how can I get the Taira people who are organizing this event and the Taiwan Committee to review the history and think about how we can improve in the future.
235000	255000	I have participated in two presentations as an audience, and the speaker has been talking about a very complete topic, which is his own research.
255000	271000	I'm not sure what my argument is, so I hope that if you have any questions, you can always ask me.
271000	279000	Because I think that way I can make my own thoughts clearer and I will know what is important and what is interesting.
279000	291000	This way, my article will be better written, so I hope to interact more and I hope to have a lot of questions, which can be a variety of questions.
291000	293000	Hello, I have a question.
293000	294000	Zhang Yan has a question.
294000	295000	Okay, go ahead.
295000	304000	So about this, I will ask a very basic question. What is the definition of Taipei people?
305000	308000	That's a very good question.
308000	328000	The definition of Taipei people is that you are a descendant of Taiwan, your parents are Taiwanese, or you are a Taiwanese immigrant.
328000	342000	Then you have an American nationality, and your wife is American, and she marries you, and she becomes half Taiwanese American.
342000	350000	Or you are the fourth generation, and your grandfather is Taiwanese.
350000	352000	They are all considered Taiwanese American.
352000	356000	Anyway, you are the same as the black man, as long as you have a drop of blood, you are Taiwanese.
356000	357000	They all count.
357000	362000	Then you have the right to be an American citizen, and you can be praised as a Taiwanese American.
362000	370000	But there is one thing that I think must be included in it, which is your own identity.
370000	373000	Because this thing is also related to Taiwan's history.
373000	381000	Although Taiwan is not mainstream, but some people think it is Chinese, it is not Taiwanese.
381000	386000	And I'm talking about the Chinese, it's not that I'm Chinese, I'm Taiwanese.
386000	389000	Some people think he is a member of the People's Republic of China.
389000	396000	I will not draw that kind of person in the range of Taiwanese American.
397000	400000	And the other thing I want to talk about is this holiday.
400000	407000	In fact, he has, I think, behind my own research, more and more, I found that he was behind the politics with the Taiwan government.
407000	415000	The political component of the US government-Taiwan-US relationship is actually there.
415000	424000	For example, in the eight years of Ma Ying-jeou's administration, the Taiwanese American society in the United States.
424000	427000	Basically, they hold a traditional week every year.
427000	431000	But they didn't take money from the Taiwanese government, and they didn't ask the Standing Committee for help.
431000	437000	Many of the elders I'm visiting now, they just say that we don't need to take the money from the Kuomintang.
437000	447000	Yes, and now that Tsai Ing-wen is in power, some people think, ah, forget it, we can still work with the government.
447000	453000	So I think behind this, he's actually not just a very pure cultural thing.
453000	456000	He also has some political identity of Taiwanese people.
456000	459000	And the Taiwanese American as a very special group of people.
459000	465000	When I talk about Taiwanese American, I think of Taiwanese American.
465000	475000	Because from my research, from 1950 to 19, there are a lot of people coming from Taiwan to the United States.
475000	478000	But not everyone thinks they are Taiwanese American.
478000	482000	About half of the people think they are Chinese American.
482000	486000	So this thing is a very important difference.
486000	494000	So to answer your question, I would say that the first thing is related to blood.
494000	504000	Your family, your gene, there is such a link between Taiwanese people.
504000	507000	Then you are now an American citizen.
507000	510000	Then another thing is identity.
510000	513000	I think it must also be considered.
513000	521000	So in other words, if you are actually in the Taiwanese American, identity can also be allowed in many ways, right?
521000	527000	Because it is possible that Lin Shuhao, although he is related to Taiwan,
527000	531000	but he does not necessarily feel that Taiwan is his home or something like that.
531000	534000	If this is also considered Taiwanese American?
534000	540000	This question depends on which context you are discussing.
540000	545000	For example, Lin Shuhao, his parents, his great-grandparents seem to still be in Taiwan, right?
546000	548000	So he will travel to Taiwan.
548000	550000	Then he will go fishing in Taiwan.
550000	553000	He will go to Taiwan to eat dumplings.
553000	556000	Fishing is a very open event.
556000	562000	He was not asked if he was Chinese or Taiwanese.
562000	564000	He just came to that place because of his great-grandparents.
564000	568000	So when he has a vacation, he will want to go to that place.
568000	573000	I think in that context, he is Taiwanese, there is no problem.
573000	576000	But if today is a very special occasion.
576000	580000	For example, he was asked if he was going to play in China.
580000	584000	Then you have to admit that you are Chinese American and he is Taiwanese American.
584000	587000	At that time, I think it is a totally different story.
587000	592000	And this kind of contradiction, this kind of entanglement is actually not just Taiwanese Americans.
592000	594000	Taiwanese people will also face this kind of problem.
594000	596000	Now there are 31 meetings in Taiwan.
596000	605000	I don't want to make any judgment.
605000	608000	Everyone has their own way to survive, right?
608000	613000	It's just that when he's on that occasion, he's bound to change his identity.
613000	616000	Then it won't be a topic for me to discuss.
616000	621000	Because when I say that Taipei people are a highly political issue.
621000	624000	It's because in my paper, I want to make an argument.
624000	629000	That is to say, my question, my paper has a very big problem.
629000	639000	Taiwanese Americans as a person who immigrated to the United States under a very special Taiwan-US relationship during the Cold War.
639000	644000	Their experience is very different from Chinese Americans.
644000	647000	If you have read the book Asian American History.
648000	655000	If you read Chinese American, his story, his argument is all the way from this 19th century.
655000	662000	Chinese workers came to the United States to help the plantation workers.
662000	664000	Then help to build the railway.
664000	667000	Then in the 20th century, it was a slum movement.
667000	669000	Then everyone is hiding in Chinatown.
669000	672000	Then they all have long braids and then they eat rat meat.
672000	674000	Very, very different image.
674000	684000	Then after the 1950s, the Chinese American image is that they are a group of refugees from the Communist Party of China to the free world.
684000	686000	Then I got to Taiwan.
686000	688000	Then I got to Hong Kong.
688000	693000	In that sense, Taiwanese immigrants were placed in this whole line from the 19th century.
693000	698000	Chinese workers, then the slum movement, then the refugees.
698000	701000	To understand Taiwan in this context.
701000	703000	I think it's very problematic.
703000	708000	Because the first thing is that in the 19th century, we didn't have anyone.
708000	712000	At that time, we were still in the Qing Dynasty.
712000	716000	We moved from China to Taiwan for the second time.
716000	720000	We are not discussing the context of Chinese Americans.
720000	725000	Then in the second to 20th century, the group of people who lived in Chinatown because of the Paihua Act.
725000	728000	Also with our impression, our memory is different.
728000	730000	Because in the 20th century, Taiwan was ruled by Japan at that time.
730000	732000	Most people want to immigrate.
732000	736000	For example, my grandfather went to Japan to study, not to the United States.
736000	738000	The United States is not the main immigration place in Taiwan.
738000	743000	The United States has become the most important place for Taiwanese immigrants.
743000	749000	And even in the 1960s, the most important immigration country.
749000	753000	It started after the Cold War.
753000	760000	So Taiwan's immigration to the United States is actually a very modern, very cold war story.
760000	765000	If you don't emphasize this, you will become a Taiwanese-American, Chinese-American.
765000	770000	I think a lot of people think that if you read the textbooks, or you read the textbooks.
770000	774000	A paradigm that has been established seems to be unbreakable.
774000	776000	You will take it for granted.
776000	778000	Yes, we are Chinese-Americans.
778000	779000	We are like that.
779000	781000	But I think this is the first thing.
781000	784000	The first thing is that he simplifies the story.
784000	786000	The story is not that simple.
786000	795000	Second, identity in American society is a self-claim.
795000	797000	You can say what you are not.
797000	798000	You can say what you are.
798000	802000	No one can force you to say who you are.
802000	805000	This is the case in American society.
805000	810000	So I think because we have this space, we should go even better.
810000	815000	Even if Taiwan and China are in a very complicated situation in Asia,
815000	817000	it doesn't mean that you are already in the United States.
817000	820000	You have become a Taiwanese-American citizen in the United States.
820000	824000	You have no right to say that you are a Taiwanese-American, not a Chinese-American.
824000	828000	So I think behind this, this Taiwanese-American,
828000	830000	he is what I want to use, my argument.
830000	832000	There is a very important argument in my paper.
832000	836000	I want to bring up the Taiwanese-American, independent of the Chinese-American.
836000	842000	And why can this Taiwanese-American be independent of the Chinese-American story or argument?
842000	848000	In fact, it is a very special experience of Taiwanese-Americans immigrating to the United States during the Cold War.
848000	850000	And what is that very special experience?
850000	857000	That is, under the martial law of Taiwan, many people came to the United States in order to oppose the Kuomintang.
857000	863000	Then, oh, no, it should be said that they came to the United States under the martial law of the Kuomintang.
863000	868000	After they accepted a lot of liberal ideas, progressive ideas,
868000	874000	they began to oppose that authoritarian rule and then to promote Taiwan's democracy.
874000	876000	The most obvious example is the Paris era.
876000	879000	After the Melita incident in 1979,
879000	884000	where can those refugees like Xu Xinliang be accommodated?
884000	886000	Most of them came to the United States.
886000	890000	Then you can also know that every time something happens,
890000	895000	money and international aid are mainly provided in the United States and Canada.
895000	903000	One argument is that because of the experience of Taiwanese-Americans immigrating to the United States,
903000	906000	there is a connection with the opposition to authoritarian rule.
906000	911000	After you connect them together, you will find that this is very different from the Chinese-American context.
911000	914000	You should not mix them together and say that they are all Chinese-American.
914000	918000	Then the second one is that when studying the democratization movement in Taiwan,
918000	924000	in fact, the role of overseas Taiwanese is not given enough attention.
924000	927000	It seems to be just a side story.
927000	930000	But I don't think so. I think it is actually very important.
930000	934000	And this importance, especially after the Democratic Progressive Party came to power,
934000	938000	I think it should be emphasized more.
938000	942000	Yes, I'm a little far away now.
942000	946000	OK. Hello, is everyone still there?
946000	948000	We are all still there.
948000	949000	OK, OK, OK.
949000	951000	Are there any more questions?
951000	955000	I would like to ask if you are sharing the screen now or have not started yet?
955000	957000	I haven't started yet.
957000	959000	OK.
959000	962000	If you want to share the screen, you can confirm it.
962000	965000	Because I'm afraid you won't be able to share it.
965000	973000	OK, I'll press share first and then press my screen.
975000	977000	Can you see it like this?
977000	979000	Not yet.
979000	981000	But I'm already on my screen.
981000	984000	Now you...
984000	986000	Let me think.
986000	991000	My computer is now on my screen.
991000	997000	Then you jump back to BlueJeans.
997000	1002000	Then BlueJeans, you slide down from the middle.
1002000	1005000	You should see a share screen at the bottom.
1005000	1008000	A rectangular blue button.
1008000	1009000	Yes.
1009000	1010000	OK.
1010000	1012000	Then...
1012000	1014000	You should be able to choose after you press it.
1014000	1015000	Yes.
1015000	1017000	1 or 2?
1017000	1019000	Now we can see it.
1019000	1021000	Then you can press play.
1021000	1022000	OK.
1022000	1023000	OK.
1023000	1024000	I'm recording.
1024000	1025000	Is it recording now?
1025000	1026000	Yes, yes, yes.
1026000	1027000	OK.
1027000	1032000	So the topic I'm going to talk about today is Taiwanese traditional porridge.
1032000	1034000	My PowerPoint is actually very simple.
1034000	1036000	Just four pages.
1036000	1040000	So you're welcome to ask any questions you have.
1040000	1042000	My structure is also very simple.
1042000	1045000	What I'm going to talk about is...
1045000	1050000	What is Taiwanese traditional porridge?
1050000	1053000	And why is it important?
1053000	1061000	Before we start, I'd like to ask if anyone has participated in a traditional porridge event in the U.S.?
1062000	1066000	We have three people here.
1066000	1068000	Hello?
1068000	1071000	I'm going to help with the traditional porridge next week.
1071000	1073000	Where are you going to help?
1073000	1077000	There's a circus troupe coming from Ann Arbor.
1077000	1083000	Are you going to Chicago or Michigan?
1083000	1086000	They're probably going to perform in Chicago.
1086000	1094000	But the elders have brought them to Ann Arbor for a one-night show.
1094000	1097000	So there's a show in your city, too?
1097000	1101000	Yes, there's a vacancy here.
1101000	1108000	So you're going to see it and help with the venue?
1108000	1112000	I'm going to help with the venue.
1112000	1114000	Oh, OK.
1114000	1121000	I interviewed Professor Li Xianglan from your city.
1121000	1126000	I think he's in charge of the committee in Chicago.
1126000	1130000	He told me about the event in your city.
1130000	1133000	I haven't participated in it myself.
1133000	1135000	I'm going to participate this year.
1135000	1140000	I'll post a link to the event in LA.
1140000	1145000	Let's take a look at the event.
1148000	1150000	This is the LA schedule.
1150000	1155000	You can see from April 21st to June 16th.
1155000	1158000	It's been over a month.
1158000	1163000	LA is special because it has the most Taiwanese in the U.S.
1163000	1166000	So there are a lot of circus troupes here.
1166000	1169000	If there are a lot of circus troupes, there will be a lot of shows.
1169000	1173000	So you can compare it to Chicago.
