start	end	text
0	14000	Hello everyone, and welcome to our Terra Talks on Wednesday afternoon.
14000	22000	Our speaker today is from Germany. Her name is Candice Zhu.
22000	28000	She is going to talk about two topics today.
28000	34000	The first topic is related to the American medical education and training system,
34000	40000	including some information related to hospitalization and doctor application, and some background.
40000	48000	The second topic is her personal doctor's course main research topic, which is related to the topic of chronic kidney disease.
48000	58000	Please feel free to type your questions in the chat box.
58000	68000	I will check the chat box to see if there are any questions.
68000	78000	Before we get started, I would like to introduce our speaker Candice Zhu.
78000	88000	Her personal bio is from the University of Taiwan,
88000	98000	and she has a Ph.D. degree from the Institute of Biological Sciences,
98000	108000	and she has already passed her candidacy.
108000	118000	She has a Ph.D. degree from the Institute of Biological Sciences,
118000	128000	and she has a Ph.D. degree from the Institute of Biological Sciences,
128000	136000	and she has a Ph.D. degree from the Institute of Biological Sciences.
136000	144000	Thank you Candice for being here today.
144000	152000	My original topic was to share one of my Ph.D. projects,
152000	160000	but I realized that most of the members of TARA are related to engineering or engineering,
160000	166000	so I wanted to talk about a more interesting topic,
166000	172000	which is veterinary education.
172000	180000	First, I will talk about my Ph.D. project,
180000	188000	which is a program called DVM, Doctor of Veterinary Medicine.
188000	196000	Then, I will talk about my Ph.D. research.
196000	204000	Let's get started.
204000	212000	First of all, veterinary education in the U.S. is different.
212000	220000	We apply for a veterinary degree after graduating from high school.
220000	228000	In the U.S., you need to go to a four-year university,
228000	236000	take a course, and apply for a veterinary degree.
236000	244000	After four years, you can take a national exam.
244000	252000	If you want to pursue further training,
252000	260000	you can spend a year as an intern.
260000	268000	Intern is a term used to refer to a student who is already a veterinarian.
268000	276000	After the internship,
276000	284000	some people choose to apply for a veterinary doctorate.
284000	292000	Some people choose to apply for a veterinary doctorate.
292000	300000	After the internship,
300000	308000	you can apply for a veterinary doctorate.
308000	316000	There are 30 veterinary medical schools in the U.S.
316000	324000	There are only one veterinary medical school per state.
324000	332000	Some states have more than one veterinary medical school per state.
332000	340000	Texas A&M is the only veterinary medical school in Texas.
340000	348000	Here is the ranking of veterinary medical schools in the U.S.
348000	356000	There are different rankings.
