start	end	text
0	6000	Hello, everyone. Welcome to today's Tera Talk.
6000	9000	We're honored to have Lin Weikai with us today.
9000	12000	Lin Weikai has been a good friend of mine for many years.
12000	17000	Lin Weikai is now a third-year PhD student at Cornell,
17000	19000	majoring in Computer Science.
19000	22000	Lin's research focuses on cryptography.
22000	26000	His main focus is on Oblivious algorithm.
26000	33000	This allows the algorithm to store data without revealing the content.
33000	38000	He majored in Chemistry when he was a college student.
38000	43000	He majored in Computer Science when he was a master's student.
43000	49000	He majored in Computer Science when he was a master's student.
49000	53000	Before his PhD,
53000	57000	he worked as a software engineer at Chengxin.
57000	60000	He also worked as a research assistant at the Central Academy of Sciences.
60000	66000	What Lin is going to talk about today is the concept of Oblivious algorithm.
66000	70000	But today, he's going to talk about a new definition of
70000	75000	the fairness of multiparty coin tossing.
75000	77000	Let's give him a round of applause.
77000	80000	By the way, remember to turn on the microphone when you clap.
80000	83000	Let's give him a round of applause.
88000	92000	Thank you for such a wonderful introduction.
92000	96000	The title is complicated,
96000	102000	but I assume most of you have heard of the theorem of the game.
102000	106000	Today's topic is
106000	112000	the concept of coin toss.
112000	117000	I'm going to talk about the relationship between coin toss and the theorem of the game.
117000	122000	This work was done by Zhong Kaimin at the Central Academy of Sciences.
122000	127000	Guo Yue, Rafael, and I are both at Cornell.
127000	134000	Cornell Tech is a campus at NYC.
135000	141000	Cornell has a new campus at NYC.
141000	147000	Let's talk about the topic of coin toss today.
147000	155000	The motivation of this research is very realistic.
155000	159000	Although I usually do theoretical research,
159000	162000	our motivation is very realistic.
162000	164000	What is the motivation?
164000	169000	Trump and Xi want to hold a summit.
169000	172000	Where will it be held?
172000	174000	Trump wants to hold it in DC.
174000	176000	Xi wants to hold it in Beijing.
176000	181000	If these two people can't get along,
181000	182000	what should they do?
182000	185000	The easiest way is to make a decision by tossing a coin.
185000	188000	If these two people can't get along,
188000	190000	how can they toss a coin?
190000	194000	This is a tricky question we are going to discuss today.
194000	197000	If these two people can't get along, how can they toss a coin?
197000	201000	Let's not talk about whether the coin toss will be fair or not.
201000	203000	If they can't get along,
203000	206000	if Trump tosses a coin here,
206000	208000	Xi won't believe it even if he doesn't see it.
208000	211000	So what should they do?
212000	215000	If I have a way to toss a coin,
215000	217000	a way to toss a coin remotely,
217000	219000	if the coin tosses out,
219000	220000	Xi is in DC,
220000	221000	Xi is in Beijing.
221000	224000	If the coin tosses out remotely is fair,
224000	226000	everyone will be happy.
226000	228000	Half and half chance.
228000	229000	In the game,
229000	232000	someone will tell you that there is a payoff.
232000	234000	What is the coin toss?
234000	240000	Which side has how many payoffs or utilities?
240000	243000	But let's not talk about this.
243000	247000	In history,
247000	251000	there is a hotline between the United States and the Soviet Union.
251000	253000	Maybe there is also a hotline between Trump and Xi.
253000	256000	If they don't meet, they can talk on the phone.
256000	259000	If there is a question in the middle,
259000	261000	you can interrupt me at any time.
261000	266000	I hope everyone can understand what I am talking about today.
266000	268000	If you don't understand,
268000	270000	don't be afraid.
270000	272000	Try to ask.
272000	276000	The purpose of the hotline is that
276000	278000	you say one sentence, I say one sentence,
278000	281000	and the other party can hear what I say.
281000	283000	Then there is nothing else.
283000	286000	So the hotline can't help you directly
286000	288000	toss a coin.
288000	290000	It's not such a good thing.
290000	292000	But what can the hotline do?
