start	end	text
0	8000	Hi, I'm Yen-Yung Chang, the host of Tera.
8000	12000	We are going to have the second lecture of Tera this year.
12000	16000	Today's speaker is...
16000	20000	Wait a minute, I have to scroll up first.
20000	24000	Today's speaker is Bi-Yao Zhuang.
24000	28000	She is from DC's George Washington University.
28000	32000	She is a fourth-year doctor of mechanical engineering.
32000	40000	She specializes in fluid dynamics and numerical simulation.
40000	44000	She is going to talk about...
44000	50000	Flux Reconstruction Correlation Procedure via Reconstruction in Computational Fluid Dynamics.
50000	54000	Let's welcome her.
54000	60000	Hi, I'm Bi-Yao Zhuang.
60000	64000	I'm a fourth-year doctor of George Washington University.
64000	70000	I specialize in fluid dynamics and numerical simulation.
70000	74000	I specialize in fluid dynamics and numerical simulation.
74000	78000	I specialize in fluid dynamics and numerical simulation.
78000	84000	I recently learned about a new numerical method called Flux Reconstruction.
84000	86000	Oops, I accidentally typed the wrong title.
86000	88000	Never mind.
88000	90000	It's called...
90000	92000	It doesn't have a Chinese name.
92000	96000	It was first proposed in 2007.
96000	100000	The second paper was published in 2009.
100000	104000	Other groups joined the field in 2012 and 2013.
104000	110000	So, it doesn't have a Chinese name.
110000	112000	It's called Flux Reconstruction.
112000	116000	As you can see, there is a typo in the title.
116000	118000	It's a reconstruction.
118000	122000	Some groups thought the name was bad.
122000	128000	So, they renamed it to Correction Procedure via Reconstruction.
128000	132000	It's basically the same.
132000	136000	There are two groups in the UK.
136000	138000	There are three groups.
138000	140000	One group is in NASA.
140000	142000	One group is in Stanford.
142000	144000	One group is in the UK.
144000	148000	In the UK and Stanford, they are called FR, Flux Reconstruction.
148000	156000	In NASA, they are called CPR, Correction Procedure via Reconstruction.
156000	158000	I recently learned about this.
158000	160000	I think it can be used for my doctoral research.
160000	162000	It just started in computational physics.
162000	164000	There is still a lot of room for development.
164000	168000	I just finished learning this.
168000	170000	I read a lot of papers and learned a lot.
170000	172000	So, I have some insights.
172000	174000	I'm here to make a progress report.
174000	178000	I'm here to share with you what this numerical method is doing.
180000	182000	What I'm going to talk about today is...
182000	184000	First, let me introduce some basic concepts of numerical methods.
184000	190000	I'm not sure what your background is.
190000	192000	So, there will be some basic introduction of numerical methods.
192000	196000	To avoid some people who are not doing numerical simulation and don't understand.
196000	202000	Next, I will introduce how to introduce Flux Reconstruction.
202000	206000	Basically, the first part is like a math class.
206000	208000	It's a mathematical introduction.
208000	214000	The last part is how I want to apply it to incompressible flow.
214000	218000	Because my main research is to do incompressible flow.
218000	222000	The group that proposed Flux Reconstruction, like Stanford or the UK.
222000	226000	They are all doing compressible flow.
226000	230000	So, at least so far, if you look for Literature Review.
230000	234000	I haven't seen any group using this method in incompressible flow.
234000	238000	So, I plan to do my research in this direction.
238000	242000	So, I will briefly talk about my future plan.
246000	250000	First, I want to introduce a very important concept in numerical methods.
