start	end	text
0	8000	Welcome to this week's Tera Talk. I'm your host, Yu-Wei Lin.
8000	11000	I'm pleased to welcome our speaker today, Louis.
11000	15000	He is currently a Ph.D. student at St. Louis University of Washington.
15000	21000	His main research projects include intellectual property rights, law, anti-Thorax law, and economic analysis.
21000	27000	Before he was a Ph.D. student, he was an intern at Winston & Stone, a law firm in Taiwan and abroad.
27000	34000	He also analyzed the legal behavior of Taiwanese clients and non-independent individuals in the U.S. and East Germany.
34000	38000	Louis is also very interested in entrepreneurship.
38000	42000	He is a member of the China Entrepreneurship and International Exchange Association,
42000	48000	and regularly holds meetings and talks in Taiwan to promote entrepreneurship.
48000	51000	Today's topic is about his background in law and entrepreneurship.
51000	61000	Louis, please turn on your microphone.
61000	80000	Thank you, Yu-Wei, and thank you, Tera, for inviting me.
80000	96000	Last year, I also talked about the topic of streaming, which is the issue of copyright for online streaming videos.
96000	104000	If you are interested, please go to Tera's website and click on the link.
104000	111000	Today's topic is completely different. It has nothing to do with copyright, but is related to patents.
111000	122000	This topic has a little to do with my graduate thesis, but it is not all of my graduate thesis.
122000	128000	Instead, I use different angles to analyze the case study of my graduate thesis.
128000	144000	As you can see on the screen, my graduate thesis was co-written with a friend from Shanghai Fudan University's Administration College.
145000	157000	The main part of my thesis is to study whether the use of bundling in the market,
157000	164000	or the use of bundling in the market, or the use of bundling in the market,
164000	167000	or the use of bundling in the market, and some economic analysis.
167000	174000	The main details of the content will allow me to talk about it for about 30-40 minutes.
174000	184000	It should not be too long, because this is a bit of a background, so I have to talk about it in detail.
184000	191000	I'm just curious about which background friends are coming to listen to my speech today.
192000	198000	I don't know who will respond, so I'll turn off the full screen to see.
203000	206000	There are those with a deep background, welcome.
206000	210000	Then there are those with physics, mechanical.
210000	212000	So none of them are from the Academy of Social Sciences.
213000	216000	Okay, very good. Then I will talk about it in detail.
216000	223000	In fact, the things in the Academy of Social Sciences or the law are not so complicated.
223000	232000	Today we will use some mathematical things, but I will not show you the whole process of deduction.
232000	238000	I think there is no need to show off, just to show you what our results are.
238000	240000	I don't have much to say.
240000	245000	The things I study have some background knowledge that needs to be understood by everyone.
245000	255000	If some of you are interested in this industry or already know it very well, please add it if I say something wrong.
255000	260000	What I want to talk about today is actually related to modern chip.
260000	264000	Modern chip is the so-called communication chip industry.
264000	269000	In fact, I found this Samsung Galaxy S4 on the Internet.
269000	274000	Its structure looks like this.
274000	277000	One of them is modern chip.
277000	279000	What are the benefits of modern chip?
279000	284000	The advantage is that after the modern chip is installed in the mobile phone today,
284000	295000	For example, we all know that the communication standards of 2G, 3G, and 4G will not have so-called problems that cannot be used in different countries.
295000	301000	Just imagine that if you buy an iPhone today, whether it is iPhone 4, iPhone 5, or iPhone 6,
301000	308000	The result may be that your communication standards are different today, or your communication bandwidth is different.
309000	314000	In fact, this is very blind.
314000	320000	How to solve this difference in bandwidth or communication standards?
320000	323000	Modern chip plays a very important role.
323000	326000	Another example is that everyone is in the United States.
326000	331000	I assume that everyone is in the United States.
331000	341000	If you take your mobile phone and go to some remote places, it is not 4G that covers the range, but 3G or even 2G.
341000	347000	But you can still make calls and you can still go online.
347000	349000	It's just that it's very slow.
349000	351000	How is this function done?
351000	353000	In fact, this is the function of modern chip.
353000	359000	It can still operate under different standards and under different levels.
359000	361000	However, its operating function is limited.
361000	363000	This is the function of modern chip.
363000	372000	It can be seen that a mobile phone has a lot of functionality.
372000	378000	But the value of a smart phone is to be online.
378000	382000	Modern chip plays a very important role.
383000	389000	What I want to discuss today is a small communication chip problem.
389000	394000	Let's take a look at the situation of this industry.
394000	399000	This is a total of 1.2 years.
399000	405000	From 2007 to 2012, there were several leading companies in the modern chip industry.
405000	415000	We can probably see that Qualcomm has been playing a leading role in this field.
415000	423000	Qualcomm has been playing a leading role since the 3G in 2007 to the 4G in 2012.
423000	427000	Later, I will show the state of the 5G patent layout.
427000	431000	In fact, Qualcomm has been playing a leading role.
431000	438000	Qualcomm has been playing a leading role since Samsung, Intel, and Huawei.
438000	440000	Huawei has not written here yet.
440000	444000	Huawei started to layout from 4G to 5G.
444000	448000	This is the current state of the industry.
