start	end	text
0	10000	Yes, Project Terra is an international platform for sharing information.
10000	16000	We hope that scholars from all over the world can share with us
16000	20000	the results of our current research and development,
20000	24000	and more importantly, what is the trend of development.
24000	30000	This is not something you can easily find in Taiwan.
30000	36000	Project Terra can also provide people who are doing research
36000	38000	with opportunities to exchange and collaborate.
38000	42000	So we hold a seminar like this every week.
42000	46000	The speakers are basically all members,
46000	51000	and they will share their new ideas and research trends.
51000	57000	Project Terra is a self-releasing organization
57000	60000	that is dedicated to public service.
60000	66000	We have no intention of making any profit.
66000	72000	All of our members are very enthusiastic doctoral students and post-doctoral students.
72000	79000	You can see our website.
79000	83000	If you are interested in Project Terra,
83000	89000	you can take a look at our website.
89000	93000	If you are interested in Project Terra,
93000	98000	and would like to keep in touch with us,
98000	108000	you can join our membership.
108000	112000	If you can find other people to work with,
112000	119000	we will be happy to help you.
119000	124000	If you have any questions,
124000	127000	you can ask us directly.
127000	131000	We are usually very free to talk.
131000	134000	Sure, no problem.
134000	137000	I would like to remind you that
137000	140000	when we have more and more listeners,
140000	143000	we will set the volume to silent.
143000	147000	So if you remember to click on the microphone icon
147000	149000	before speaking,
149000	152000	you can ask questions or
152000	155000	if you have any questions,
155000	159000	you can directly talk to the speaker, Beta.
159000	164000	Okay, Beta, let's get started.
189000	203000	For some reason, I can't share the screen.
203000	206000	Let me re-join.
233000	243000	Okay, thank you, Ted.
243000	246000	My name is Chengxinda.
246000	248000	My Chinese name is Ergongcheng.
248000	250000	My surname is Daoda.
250000	255000	Today, I would like to thank Ted and Terra
255000	257000	for giving me the opportunity to introduce
257000	260000	a method we are developing.
260000	262000	This is a new method.
262000	265000	The main purpose of this method is to deal with
265000	267000	the interaction between light and matter.
267000	269000	We hope to provide a new way
269000	272000	to do this.
272000	275000	The method we propose is called
275000	278000	Mixed Quantum Classical Electrodynamics.
278000	280000	In English, it should be called
280000	284000	Quantum-Fixed Mixed Electrodynamics.
284000	287000	I will introduce to you in detail
287000	290000	what kind of method it is.
291000	295000	Okay, let me introduce myself.
295000	297000	My name is Chengxinda.
297000	301000	My background is that when I was in Taiwan,
301000	305000	I was studying math and physics in college.
305000	307000	I majored in math and physics.
307000	309000	Later, for some reason,
309000	311000	when I applied to go to college,
311000	313000	I saw that there was a program called
313000	314000	Chemical Physics in Columbia.
314000	319000	I thought it was very similar to what I was doing.
319000	321000	It was also something I was interested in.
321000	323000	So I applied to this program.
323000	325000	I was very lucky to apply to this program.
325000	326000	I found out that when I came to the United States,
326000	328000	I became a chemical physicist.
328000	331000	I have been used as a chemical physicist from beginning to end.
331000	333000	Because of this reason,
333000	336000	I am now working as a chemical physicist
336000	339000	at Penn University.
339000	342000	To sum up,
342000	345000	I use the theory of physics
345000	348000	and the computational method developed in physics
348000	351000	to study the problem of chemistry.
351000	353000	My professional field is
353000	356000	studying dynamics,
356000	358000	which is the theory of dynamics
358000	360000	and the computational method of dynamics.
360000	363000	Specifically,
363000	365000	my Ph.D. is in Columbia.
365000	367000	I am doing chemical dynamics,
367000	369000	that is,
369000	373000	electromagnetic dynamics in a chemical environment.
373000	374000	My postdoc,
374000	376000	what I am doing now
376000	378000	is a little different from my Ph.D.
378000	381000	I am doing the interaction of light and matter.
381000	382000	Today,
382000	384000	my talk will focus on
384000	387000	my postdoc work.
387000	389000	OK.
389000	390000	First of all, what is light?
390000	392000	We often say that light is an object.
392000	394000	Basically,
394000	398000	light is a very important thing in everyday life.
398000	400000	Light is basically an electromagnetic wave.
400000	402000	Electromagnetic waves
402000	405000	are basically the source of all our information.
405000	407000	We see things in this world.
407000	409000	From the greatest extent,
409000	411000	how do we know
411000	413000	what happens on other planets
413000	415000	or on Mars, for example?
415000	417000	We can
417000	420000	reflect the light of the sun from Mars
420000	423000	and see from the spectrum of sunlight
423000	426000	what kind of matter there is on Mars.
426000	429000	How much of this matter is there?
429000	431000	Then,
431000	433000	there are more possibilities
433000	436000	in the development of modern science.
436000	438000	These are no longer visible light.
438000	441000	We have different kinds of light
441000	445000	from low energy to high energy.
445000	447000	Then, from the low energy range,
447000	449000	we have NMR
449000	452000	to Raman
452000	454000	or IR spectrum.
454000	455000	These things are
455000	458000	lower than visible light.
458000	461000	Within the range of higher than visible light,
461000	463000	there is UV,
463000	465000	which is ultraviolet,
465000	467000	and
467000	469000	X-ray spectroscopy, which is more powerful.
469000	471000	Basically, our feature is that
471000	473000	basically,
473000	475000	this
475000	477000	spectroscopy
477000	479000	shows that
479000	481000	the stronger the energy,
481000	483000	the deeper we can see.
483000	486000	Just like in the form of X-ray,
486000	488000	we can see that it can
488000	490000	reflect the electrons in the inner layer.
490000	493000	So you can know what the behavior of the electrons in the inner layer is.
493000	495000	This is one of the functions
495000	497000	of light and matter interaction.
500000	501000	In recent years,
501000	504000	because of the development of nanotechnology,
504000	506000	we can make our devices
506000	508000	in a smaller scale.
508000	511000	So we can even use light,
511000	513000	the quality of light,
513000	515000	to manipulate matter,
515000	517000	to change the nature of matter.
517000	519000	For example,
519000	521000	we can put
521000	523000	a chemical reaction
523000	525000	in a cavity,
525000	527000	and the nature of the chemical reaction
527000	529000	may be changed.
529000	531000	Or we can put this chemical reaction
531000	533000	on a crystal.
533000	535000	This chemical reaction may have
535000	537000	different behavior.
537000	539000	There are other
539000	541000	different nanostructures,
541000	543000	nanostructures,
543000	545000	which can have different
545000	547000	effects on light-matter interaction
547000	549000	and change the nature of matter.
549000	551000	Another very important example
551000	553000	is that in recent years,
553000	555000	there is a very popular
555000	557000	study
557000	559000	on how we use
559000	561000	light-matter interaction
561000	563000	to change,
563000	565000	for example,
565000	567000	this paper
567000	569000	is a paper
569000	571000	about
571000	573000	the conductivity
573000	575000	of organic semiconductors.
575000	577000	They put a very thin
577000	579000	membrane structure,
579000	581000	and there is a circle
581000	583000	above it,
583000	585000	and attach it
585000	587000	to the organic semiconductor.
587000	589000	It can change
589000	591000	the conductivity of the semiconductor.
591000	593000	It can change it
593000	595000	from a bad conductor
595000	597000	to a better conductor.
597000	599000	But these
599000	601000	modern developments
601000	603000	all use the nature of light-matter.
603000	605000	When we need
605000	607000	to understand the nature of light-matter,
607000	609000	we need to discuss
609000	611000	what is light
611000	613000	and what is the difference
613000	615000	between classical light and light-matter.
615000	617000	The classical light
617000	619000	is in the left panel.
619000	621000	We regard classical light as an electromagnetic wave,
621000	623000	and the development
623000	625000	of the electromagnetic wave
625000	627000	is based on
627000	629000	the Maxwell's equation,
629000	631000	which is
631000	633000	the Maxwell's equation.
633000	635000	This is a Maxwell's equation
635000	637000	without a source.
637000	639000	This is a
639000	641000	propagate,
641000	643000	a electromagnetic wave moving forward
643000	645000	without any source.
645000	647000	This is the classical view
647000	649000	of light.
649000	651000	In quantum mechanics,
651000	653000	we regard light as a group
653000	655000	of energy.
655000	657000	Its energy
657000	659000	is discretized.
659000	661000	You may have heard of
661000	663000	the Uncertainty Principle,
663000	665000	which is
665000	667000	the Uncertainty Principle.
667000	669000	The Uncertainty Principle
669000	671000	in light
671000	673000	corresponds to
673000	675000	the distribution of energy.
675000	677000	The energy may not be
677000	679000	only one energy,
679000	681000	but a distribution of probability.
681000	683000	How does quantum mechanics
683000	685000	evolve light?
685000	687000	It is based on
687000	689000	the Heisenberg equation.
689000	691000	The H is an operator
691000	693000	in quantum mechanics.
693000	695000	The H is an operator
695000	697000	in quantum mechanics.
697000	699000	The H is an operator
699000	701000	in quantum mechanics.
701000	703000	This is a description
703000	705000	of how light
705000	707000	evolves
707000	709000	in a space.
711000	713000	What is the difference
713000	715000	between classical
715000	717000	and quantum mechanics?
717000	719000	Let's take a look
719000	721000	at the matter part.
721000	723000	We can also see
723000	725000	what classical matter
725000	727000	and quantum matter are.
727000	729000	Classical matter
729000	731000	is a particle
731000	733000	or many particles.
733000	735000	Many particles
735000	737000	follow
737000	739000	Newton's law
739000	741000	in quantum mechanics.
741000	743000	We all know
743000	745000	classical mechanics.
