start	end	text
0	5000	All right, so today's speaker is Fang Sichun, MD.
8240	11200	So Fang Sichun is actually one of my friend
11200	15280	back to college from entomology department.
15280	20280	And he's doing PhD in University of Texas, Austin.
21840	26760	And he's going to introduce some story about ants to us.
26760	30720	So just give the time to Andy now.
31880	32720	All right.
34080	35000	Thank you, Oscar.
35000	36720	Thanks for the introduction.
36720	41720	So today I have four things that I want to share with you.
42200	46000	The main idea is to show you the embryo development
46000	49760	of one of the live callers, one of the antennae ants,
49760	51600	and we also call it live callers.
51600	54360	The species name is Ada texana.
54400	59400	And since my childhood,
59840	61880	I bet everybody watched Lion King before.
61880	64040	And this is one clip from that movie.
65560	67000	That scene was fascinating.
67000	68880	That was actually the first time I knew,
68880	70800	oh, there are some ants with a couple leaves
70800	72200	and bring them back.
72200	75120	But at that moment, I didn't know what they were doing
75120	79000	or not even saying what is the social insects.
79000	83240	So I'm going to show you
83240	88120	what are the typical, like a true social insects around us.
89440	93160	Termites, honeybees, ants, and wasps.
93160	96920	So the typical pictures for social insects
96920	100320	is that they have hierarchical level.
100320	105320	For example, they have workers, they have queens.
106640	109120	Sometimes they will have big soldiers,
109120	111240	like a larger body size.
111240	114560	And also all of the characters I mentioned,
114560	115640	they're all females.
116600	120360	For those sexual reproductive system social insects,
120360	121680	they do have males.
123120	127360	So how do we distinguish the male and the female
127360	128280	social insects?
128280	132680	Oh, by the way, termites, it's kind of awkward.
132680	135760	The sexual determination for termites,
135760	140240	it's different as honeybees, wasps, or ants.
140240	142600	And we're not going to explore too much
142600	144480	about termites today.
144480	149480	Okay, so when we talk about the sex determination
149600	153960	for use of social insects, let's take ants as the example.
154760	156720	This is the word that people will see.
156720	158760	We call the haploid diploidy.
158760	163320	So haploid means one set of chromosome
163320	166200	and diploid means like two sets of chromosome.
166200	168600	Take us human being as the example,
168640	170160	we are diploid.
170160	173480	Okay, that means we have two sets of chromosome.
173480	177640	And the way that human being decides the sex
177640	180960	is based on X or Y chromosome.
180960	183720	But the story is different in ants world.
184840	186960	For the males, for the male ants,
186960	189840	they actually only have one set of chromosome,
189840	191320	which is haploid.
191320	196240	And for the females, including queens or workers,
196240	198800	they do have two sets of chromosome.
198800	202200	So let's say if the egg got fertilized,
202200	205320	that will become a future queen or future worker,
205320	207880	which is a female, right?
207880	210840	If the egg didn't get fertilized successfully,
210840	215280	can be a trophic egg or it can be a male, right?
215280	220280	So as I mentioned that Disney influenced me a lot
220760	222240	since my childhood,
222240	225000	but actually sometimes they make some mistakes.
225000	230000	So this is the clip from the Bugs Life by Pixar Disney.
233240	235120	The left hand side,
235120	239280	that's supposed to be a male worker in that movie,
239280	240680	his name is Flick.
240680	243600	And the right hand side is the princess Ada,
244880	248720	a female version queen that Flick fall in love with.
251240	254840	One thing, the first thing Pixar made like wrongly
255680	258280	is Flick can never be a male worker.
258280	260480	There's no male worker, okay?
260480	264120	And a second, if we consider the real situation
264120	266080	in the field, talking about Ada,
266080	268120	this genus, Ada Texana,
268120	269880	the queen, the size of the queen
269880	272560	is way bigger than the worker.
272560	277560	So if we want to correct Pixar in the movie,
277720	279000	it should be like this.
279960	284280	So that's a queen and a worker, okay?
284320	286120	And what's the real situation?
287560	292000	Here is the Ada queen and here is the worker, okay?
292000	293840	So how do you decide?
293840	298840	How does the egg decide to be a queen or a worker?
299640	300560	Since both of them,
300560	303600	they are deployed like a fertilized eggs.
304520	307000	It's still a mystery, okay?
307000	312000	So here I have a simple cartoon figure to show you.
312320	316600	Question marks on the slides means
316600	318880	there's still something like the mechanism
318880	320560	that we don't know.
320560	325560	So back to 1990s, Diana Wither and other groups,
326240	330280	they thought juvenile hormone plays an important role
330280	333240	at the late level stage to determine
333240	336120	whether that individual will become a future queen
336120	337640	or just a worker.
337640	340440	The more juvenile hormone got expressed,
340480	343480	the higher possibility that individual
343480	345880	will become a queen, okay?
345880	349640	And till 2015, another group, they figured out,
349640	353320	oh, EGFR, which is the epidermal growth factor receptor,
353320	356200	gene, plays another important role
356200	358040	during late level stage,
358040	361720	may involve in caste determination.
362880	367560	But the other group from Canada, Ahab's lab,
368520	373520	they published a series of paper back to 2008 and 2010,
373760	376680	and they brought up really interesting
376680	380400	and important finding as they thought
381320	384000	the caste determination may be determined
384000	387960	at a very, very early stage during oogenesis, okay?
387960	392960	Oogenesis means before the egg being laid,
393160	396800	i.e. the egg still in the ovary.
396800	398880	Due to some gene regulation,
399760	404040	their final character, like either queen or worker,
404040	407160	will be determined, okay?
408320	410840	And how about the embryo development?
410840	414800	Do people know anything about embryo development?
414800	419520	The answer is no before I start to have my PhD.
420320	424160	And that was actually quite surprising
425040	428200	because people study ants a lot.
428200	431200	For example, like fire ants, like how to kill them, right?
431200	435640	But or some interesting ecological concepts
435640	437240	or behavioral studies,
437240	441120	like ants are one of the hottest species
441120	444480	when you study insects
444480	446560	that people will just use as a material.
446560	449680	But surprisingly, we don't know too much
451360	454040	during the egg stage or the larva stage
454840	455680	or the pupa stage, okay?
455680	459840	People apparently care more about the later on stage
459840	462160	like the adult, like what's their behavior.
463040	465600	So when I look back to those references,
465600	469080	we left so many question marks, okay?
469080	472600	No matter like how many people study ants,
472600	475360	we still don't know too much about egg stage.
476560	481560	And there was the paper back to 2006
481920	486800	and they show some footage
486800	490000	of the embryo development of two ants.
490000	493320	The left-hand side, this one is Argentine ants,
493320	494760	which is the huge pest.
494760	496480	And this one is the Ferroni ants,
496480	498800	also a pest and it's quite common.
498800	500240	We also have that in Taiwan.
503480	507400	In the whole paper, there's only six figures
508280	513640	to show how does the embryo grow,
513640	518640	but to me, it's not informative enough, right?
518760	522080	Because I want to see like the start and the end.
523520	526720	Based on the figure, people thought like,
526720	530160	maybe the ants embryo development
530160	535160	is similar to Drosophila based on figure D.
535440	537720	Okay, why do people think like that way?
539080	543760	So there are three types of the embryo,
543760	545840	the insect embryos, okay?
545840	549320	Based on the size of the germ band,
549320	552480	we call it insect fate map, okay?
553400	557960	Here represents three types of the embryo,
557960	561120	long, intermediate and short, okay?
561120	563560	The color part is the germ band,
563560	568520	which will become a future embryo, a future larva, okay?
570080	571720	For the long germ band species,
571720	575440	you will have the head, thorax and abdomen part, okay?
575440	577720	If you are not too familiar with insects,
577720	581520	that's one, the three of the majority part of the body
582680	584760	of insects, head, thorax and abdomen,
584760	588360	well, and wings and legs.
588360	591520	For the intermediate germ band species like beetles,
