start	end	text
0	10000	Okay, let's start the game.
10000	20000	Wait a minute, someone told me that he wanted to come in, but he couldn't.
20000	30000	Wait a minute, someone told me that he wanted to come in, but he couldn't.
30000	40000	Wait a minute, someone told me that he wanted to come in, but he couldn't.
40000	50000	Wait a minute, someone told me that he wanted to come in, but he couldn't.
50000	60000	Wait a minute, someone told me that he wanted to come in, but he couldn't.
60000	70000	Wait a minute, someone told me that he wanted to come in, but he couldn't.
70000	80000	Wait a minute, someone told me that he wanted to come in, but he couldn't.
80000	90000	Wait a minute, someone told me that he wanted to come in, but he couldn't.
90000	100000	Wait a minute, someone told me that he wanted to come in, but he couldn't.
100000	120000	Examining Transfer Credit Mobility and Baccalaureate Degree Attainment
120000	132000	Before we start, do you have anything you want to share with us?
132000	138000	Do I need to speak in English or Chinese?
138000	144000	You can speak in English.
144000	148000	But I think most people will speak in Chinese.
148000	154000	I know some people will speak in Japanese, but you can also speak in Chinese.
154000	164000	I know some people will speak in Japanese, but you can also speak in Chinese.
164000	168000	We'll give you some time to speak in Chinese.
168000	170000	Let's start.
170000	172000	Thank you.
172000	176000	Can I share my screen now?
176000	178000	Can I share my screen now?
178000	180000	Can I share my screen now?
180000	182000	Can I share my screen now?
182000	184000	Can I share my screen now?
184000	186000	Can I share my screen now?
186000	190000	Hello everyone, I'm Shelly.
190000	196000	I'm very happy to have this opportunity to share my research with everyone.
196000	202000	My research is related to my current work.
202000	212000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
212000	222000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
222000	232000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
232000	242000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
242000	252000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
252000	262000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
262000	272000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
272000	282000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
282000	292000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
292000	302000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
302000	312000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
312000	322000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
322000	332000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
332000	342000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
342000	352000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
352000	362000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
362000	372000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
372000	382000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
382000	392000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
392000	402000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
402000	412000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
412000	422000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
422000	432000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
432000	442000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
442000	452000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
452000	462000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
462000	472000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
472000	482000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
482000	492000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
492000	502000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
502000	512000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
512000	522000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
522000	532000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
532000	542000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
542000	552000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
552000	562000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
562000	572000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
572000	582000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
582000	592000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
592000	602000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
602000	612000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
612000	622000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
622000	632000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
632000	642000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
642000	652000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
652000	662000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
662000	672000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
672000	682000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
682000	692000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
692000	702000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
702000	712000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
712000	722000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
722000	732000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
732000	742000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
742000	752000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
752000	762000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
762000	772000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
772000	782000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
782000	792000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
792000	802000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
802000	812000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
812000	822000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
822000	832000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
832000	842000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
842000	852000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
852000	862000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
862000	872000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
872000	882000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
882000	892000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
892000	902000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
902000	912000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
912000	922000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
922000	932000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
932000	942000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
942000	952000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
952000	962000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
962000	972000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
972000	982000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
982000	992000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
992000	1002000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1002000	1012000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1012000	1022000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1022000	1032000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1032000	1042000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1042000	1052000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1052000	1062000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1062000	1072000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1072000	1082000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1082000	1092000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1092000	1102000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1102000	1112000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1112000	1122000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1122000	1132000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1132000	1142000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1142000	1152000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1152000	1162000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1162000	1172000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1172000	1182000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1182000	1192000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1192000	1202000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1202000	1212000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1212000	1222000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1222000	1232000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1232000	1242000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1242000	1252000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1252000	1262000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1262000	1272000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1272000	1282000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1282000	1292000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1292000	1302000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1302000	1312000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1312000	1322000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1322000	1332000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1332000	1342000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1342000	1352000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1352000	1362000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1362000	1372000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1372000	1382000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1382000	1392000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1392000	1402000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1402000	1412000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1412000	1422000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1422000	1432000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1432000	1442000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1442000	1452000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1452000	1462000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1462000	1472000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1472000	1482000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1482000	1492000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1492000	1502000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1502000	1512000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1512000	1522000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1522000	1532000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1532000	1542000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1542000	1552000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1552000	1562000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1562000	1572000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1572000	1582000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1582000	1592000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1592000	1602000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1602000	1612000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1612000	1622000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1622000	1632000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1632000	1642000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1642000	1652000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1652000	1662000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1662000	1672000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1672000	1682000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1682000	1692000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1692000	1702000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1702000	1712000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1712000	1722000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1722000	1732000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1732000	1742000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1742000	1752000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1752000	1762000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1762000	1772000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1772000	1782000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1782000	1792000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1792000	1802000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
1802000	1812000	I'm discussing transfer students from 2nd year colleges to 4th year colleges in California.
