start	end	text
0	19000	Welcome everyone to today's TerraTalk. We are approaching the end of the year, so we may not have a speech next week.
20000	28000	Today, we are honored to invite Dr. Yang Yaolun to tell us about his doctoral research.
28000	33000	Dr. Yang Yaolun is now a doctoral candidate for the Department of Astronomy at UT Austin.
33000	36000	In fact, he is about to graduate.
36000	42000	When he was in college, he graduated from the Department of Astronomy at UT Austin, and then came to the United States to study astronomy.
42000	55000	His specialties and research interests include early-phase star formation, including observations and simulations.
56000	66000	In his doctoral research career, he has used various telescopes such as Herschel, ALMA, and SOFIA to do his research.
66000	72000	What is interesting is that he is also the host of Astronomy on Tap at UT Austin.
72000	74000	What kind of event is this?
74000	85000	They will regularly give speeches to the public on astronomy at the bar.
85000	90000	They have now grown to more than 250 people attending each time.
90000	96000	Dr. Yang Yaolun is the host of Astronomy on Tap at UT Austin.
96000	109000	Today, he will talk about the topic of the birth of solar-like stars and the inseparable entanglement of dynamics and chemistry.
110000	120000	Let's welcome Dr. Yang Yaolun to give a speech.
120000	126000	Thank you.
126000	129000	I have been involved in this project for a long time.
129000	132000	I am very happy to have the opportunity to talk to you.
132000	141000	Over the past few years, I have been doing research on star formation at UT Austin.
141000	147000	I am a 6th-year PhD student at UT Austin.
147000	150000	My main advisor is Neil Evans.
150000	156000	We mainly do various observations on star formation.
156000	167000	We use models to explain the physical and chemical phenomena observed in early star formation.
167000	171000	Dr. Yang mentioned SOFIA observations.
171000	180000	What is SOFIA?
180000	186000	SOFIA stands for Stratospheric Observations for Infrared Astronomy.
186000	192000	It is an astronomical observatory for infrared.
193000	196000	Why do we use SOFIA for infrared observation?
196000	199000	Because there are a lot of water vapors in the atmosphere.
199000	202000	These water vapors emit a lot of infrared rays.
202000	207000	When we observe on the ground, we only observe the water vapors on the earth.
207000	217000	So, many times, we use a telescope, such as Spitzer or Hubble, to observe infrared rays.
217000	228000	If I remember correctly, we can avoid 95% to 99% of water vapors by using a telescope.
228000	235000	This is SOFIA.
235000	241000	You can see that SOFIA is a modified Boeing 747.
241000	249000	You can see that there is a bulge in the middle section of the tail of the plane.
249000	250000	It is not very clear here.
250000	253000	It is a hole in the middle section.
253000	257000	A 2.7-meter telescope is placed in the hole.
257000	260000	When the telescope flies up, the door will open.
260000	261000	This is how it is observed.
261000	280000	Astronomers and technicians discuss how to make the observation easier to achieve and adjust the strategy in time.
280000	285000	This is how my advisor and I are going to get on the plane.
285000	287000	It is very different.
287000	289000	This is a military airport.
289000	294000	When you enter the airport, you will go up the stairs.
294000	301000	There is a B-2 bomber in the same airport.
301000	306000	This is the inside of SOFIA.
306000	313000	The blue part is the instrument.
314000	319000	The other side of the closed cabin is the telescope.
319000	321000	The other side of the telescope is the mirror.
321000	323000	The other side is the instrument.
323000	326000	There is a balance on the weight on both sides.
327000	342000	Different instruments, telescopes, and mission operators monitor the observation on these stations.
342000	345000	This is a very complicated task.
345000	360000	NASA considers every flight of SOFIA as a mission.
360000	362000	There is a mission director.
362000	367000	There is a mission briefing before departure.
367000	371000	This is the route we flew that day.
371000	376000	We flew from Palmdale, California, about an hour and a half north of LA.
376000	379000	You can see that the route is very strange.
379000	387000	Basically, the route is determined by each arc.
387000	390000	One arc is for a target.
390000	392000	Here we have six or seven targets.
392000	397000	The longer, the longer you stay on the celestial body.
398000	400000	Let's move on to today's topic.
400000	403000	Today's topic is mainly about star formation.
403000	414000	How do we understand the dynamics of early planetary orbits and the corresponding chemical changes?
414000	419000	This is a picture of our galaxy.
419000	424000	You can see a lot of these black irregularities in the middle.
424000	426000	This is what we call Darkland.
426000	429000	It has a lot of dust.
429000	431000	It is also a higher density place.
431000	434000	It is also an area where stars are forming.
434000	440000	If we zoom in to one of them, the Molecular Cloud,
440000	444000	It is mainly a star-forming place.
445000	449000	These black areas are also the so-called dust gathering areas.
449000	452000	It is a place where stars form early.
452000	456000	If we switch to infrared light,
456000	465000	You can see that there are a lot of these pillars or even what we call filamentary structures.
465000	473000	These are from what we imagine as a celestial sphere on Earth.
473000	477000	It's like a sphere in the sky, but it's not a ball or even a block here.
477000	481000	It's more like a texture or a filamentary structure.
481000	483000	Then through these filaments,
483000	489000	The gas and dust will be pulled to the middle through this filament.
489000	491000	The gas and dust will be pulled to the middle through this filament.
491000	495000	Then pull to the middle and then reach a high enough density.
495000	499000	Then trigger the activity of this star formation.
499000	505000	This is when the star formation occurs.
505000	507000	You will have a lot of.
507000	513000	Basically, the density will be from 10 to 3 or 10 to 5.
513000	517000	This is the mole per cubic centimeter.
517000	521000	It will be quickly multiplied by 10 to the power of 9 to the power of 10 to the power of 4.
521000	523000	This is a very large number of changes.
523000	527000	In the process, if you have, um.
527000	530000	At the beginning, um.
530000	532000	When the collapse, um.
532000	534000	You're going to have a little bit of, uh.
534000	536000	The angular momentum is in the outermost part.
536000	542000	If you have this smaller angular momentum, it's in a very small area.
542000	544000	It's going to be a lot of rotation.
544000	546000	It's going to be a lot of rotation.
546000	550000	At this time, the degree of rotation is likely to make this.
550000	554000	The collapse of the star formation is not very effective.
554000	556000	That is to say, your, uh.
556000	559000	The gas becomes itself to rotate there, not to continue.
559000	561000	Continue, uh.
561000	563000	It's sucked into the middle of the star.
563000	565000	In the process, there will be a lot of.
565000	567000	We call outflow, and then go.
567000	569000	Go to these, um.
569000	571000	The high-speed rotation of the matter is released.
571000	573000	And then go in to reduce.
573000	575000	The angular momentum of the whole system.
575000	577000	You see the green ones here.
577000	579000	The matter that looks like a jet is the outflow.
581000	583000	Now, this is a simulation.
583000	585000	That is, um, a simulation.
585000	588000	Roughly describe that we are from a filament.
588000	591000	And then slowly, uh, develop into.
591000	593000	It will start with a filament, and then zoom in.
593000	596000	And then you'll see a star.
596000	599000	The early shape of the star.
599000	601000	The situation is a lot of molecules.
601000	603000	Very, very fatal molecules.
603000	605000	How to be in that state.
605000	607000	And then, um.
607000	609000	Collapse and then erupt.
609000	611000	That's what you saw in the picture just now.
611000	613000	This kind of outflow.
618000	620000	OK, so you can see this whole process.
620000	622000	Is very, very.
622000	624000	Very big change, and then, um.
625000	627000	It's going to take a lot, a lot, a lot.
627000	629000	Irregular structure.
629000	631000	So.
631000	633000	We also found in observation.
633000	635000	That's what it is.
635000	637000	You can see here, this one.
637000	639000	The picture behind this black and white picture is.
639000	641000	Uh, the distribution of molecules.
641000	642000	This is.
642000	644000	And then the different symbols in front of it.
644000	647000	It means that we are directly observed.
647000	648000	Early star.
