start	end	text
0	10000	Welcome to the Terra Talks on September 8th.
10000	17000	Today's topic is Non-Verbal Applications of Hyperbolic Metamaterials.
17000	27000	We are honored to have Dr. Lin Hong-Yi, a Ph.D. student at NTU.
27000	30000	Let me briefly introduce Dr. Hong-Yi's background.
30000	35000	Dr. Hong-Yi is a Ph.D. student at NTU.
35000	53000	She is a non-verbal application of hyperbolic metamaterials.
53000	57000	Dr. Hong-Yi is a Ph.D. student at NTU.
57000	65000	She is a Ph.D. student at NTU.
65000	74000	Dr. Hong-Yi is a Ph.D. student at NTU.
74000	84000	Dr. Hong-Yi is a Ph.D. student at NTU.
84000	94000	Dr. Hong-Yi is a Ph.D. student at NTU.
94000	107000	Dr. Hong-Yi is a Ph.D. student at NTU.
108000	111000	First, let me introduce what metamaterials are.
111000	116000	You may have heard of metamaterials before.
116000	125000	Metamaterials are objects in the natural world, such as invisible corks.
125000	135000	Metamaterials are objects in the natural world, such as invisible corks.
135000	143000	Metamaterials are objects in the natural world, such as invisible corks.
143000	149000	Some people even use the concept of positive reflection.
149000	158000	Some people even use the concept of positive reflection.
159000	165000	The concept of positive reflection is based on permissibility.
165000	171000	The concept of positive reflection is based on permissibility.
171000	178000	The concept of positive reflection is based on permissibility.
178000	182000	Metamaterials are objects in the natural world, such as invisible corks.
183000	187000	The direction I made is called Hyperbody Metamaterial.
187000	191000	It is a Metamaterial, another one of the branches.
191000	193000	What is Hyperbody?
193000	195000	Hyperbody is the color curve.
195000	197000	The Metamaterial color curve is like this.
197000	200000	You can see, like this, double-curve.
200000	203000	Up and down, or it is left and right.
203000	206000	If you open up and down, it is Type I.
206000	207000	Type I like this.
207000	211000	The circle is basically a general material.
211000	216000	My Hyperbody Metamaterial is this up and down, Type I or Type II.
216000	221000	How to achieve the color curve of this Type I material?
221000	223000	There are some simple ways.
223000	225000	Basically, there are two components.
225000	228000	The first one is metal, and the second one is a catalyst.
228000	233000	Metal is a metal nanofiber in a dielectric environment.
233000	236000	This metal nanofiber needs a regular arrangement.
236000	241000	If it is random, its color curve distribution will not be so uniform.
241000	243000	The distribution of Hyperbody.
243000	251000	So, like this metal nanofiber, it can be like a metal nanorod.
251000	256000	Or a metal nanorod in a dielectric, like a polymer environment.
256000	261000	I have seen some people say that this is also the Hyperbody Metamaterial of Type I.
262000	268000	Another Type II Hyperbody Metamaterial is like this multi-layer film.
268000	271000	Multi-layer film is like a multi-layer film of metal and catalyst.
271000	272000	Convex structure.
272000	275000	Then it needs a lot of pairs.
275000	279000	About three or four pairs, five or six pairs or more.
279000	282000	Of course, I have seen some people do more than ten or twenty pairs.
282000	288000	In this case, the quality of the coating is very good.
288000	295000	Otherwise, the coating is not the distribution of Hyperbody Metamaterial.
295000	301000	Basically, HMM is called Hyperbody Metamaterial.
301000	304000	HMM has these two structures.
304000	306000	I often do this kind of multi-layer film.
306000	307000	Because this is very simple.
307000	310000	We use thermal to coat.
310000	313000	Then coat some metal film and catalyst film.
313000	315000	This is a cross-layer film.
315000	319000	There are other ways to achieve this kind of multi-layer structure.
319000	322000	I will also introduce this thing in addition today.
322000	325000	What are the benefits of this HMM?
325000	326000	What are the features?
326000	328000	You can see that this is its Wave Vector.
328000	332000	So it will have a lot of Wave Vector Modes in it.
332000	339000	What are the benefits of having a Wave Vector Mode?
339000	342000	The biggest benefit is that its Density of State is very large.
342000	345000	You can take a look at the Fermi's Golden Rule.
345000	346000	I'll just mention it a little bit.
346000	352000	Fermi's Golden Rule's Transition Rate is proportional to my Density of State.
352000	354000	The Density of State is also proportional to my Wave Vector.
354000	357000	So my Wave Vector Mode is very high.
357000	359000	My Density of State is large.
359000	362000	If the Density of State is large, it means that my Transition Rate is high.
362000	364000	What does Transition Rate mean?
364000	366000	You can take a look at it.
366000	369000	It's like if my PO is a fluorescent molecule.
369000	371000	It can make my radiation more.
