start	end	text
0	11000	Thank you very much today, Zhang Fengxun, PhD candidate, can give us an online speech.
11000	17000	I am the host, Zhou Zhiqian, who is currently working at MD Anderson as a postdoc.
17000	28000	Let me introduce you a little bit about Zhang Fengxun's current education experience.
28000	39000	In 2009, Zhang Fengxun obtained his master's degree from the Department of Insectology at NTU.
39000	51000	In 2013, he obtained his master's degree from the Department of Ecology and Biochemistry at NTU.
51000	66000	Then, he spent a year at UC California Berkeley as a visiting student researcher at the Department of Environmental Science Policy and Management.
66000	72000	Then, he transferred to the University of Michigan to obtain his doctorate.
72000	77000	His major is the School of Nature Research and Environmental.
77000	81000	Now, he is already a PhD candidate.
81000	86000	We are very honored to invite him to give us an online speech.
86000	91000	The topic of his speech today is
91000	101000	How does Ominary influence the effects of consumer diversity on research prey consumption?
101000	106000	Now, let's invite Zhang Fengxun to give us a speech. Thank you.
106000	110000	Thank you for the host's introduction.
111000	112000	Thank you.
112000	120000	The topic of my speech today is mainly a framework for my PhD thesis.
120000	125000	And the results I have made recently.
125000	131000	It's almost done, so I hope I can get some feedback from everyone.
131000	134000	My overarching question is
134000	144000	How does Ominary influence the effects of consumer diversity on research prey consumption?
144000	156000	How many resources are consumed by different consumers?
156000	166000	Before answering this question, I would like to briefly explain to everyone that the topic I have made is
166000	171000	Biodiversity Ecosystem Functioning.
171000	175000	The question I want to answer in this subfield is
175000	180000	How does Ominary influence the functions of the entire system?
180000	183000	These functions are shown in this picture.
183000	187000	How many resources are consumed?
187000	190000	How many biomass are produced?
190000	196000	How are these functions influenced by the number of organisms in the system?
196000	201000	After many years of research,
201000	204000	we all think that
204000	208000	when there are more organisms in the system,
208000	212000	the function of the system will be higher and higher.
212000	217000	This is because different species have to live together at the same time.
217000	220000	They have to use different resources.
220000	225000	If the food I eat is different from the food you eat, we can live in harmony.
225000	229000	This is the concept of resource partitioning.
229000	231000	If it is a picture, you can look at it.
231000	237000	Assuming that the different X-axis on the right is a different resource.
237000	240000	For example, temperature or different pH of the soil.
241000	247000	The white circle in the middle is the resources needed by different organisms.
247000	250000	If different organisms occupy different resources,
250000	252000	they can live in harmony.
252000	257000	In addition to living in harmony, they can also use these resources more efficiently.
257000	263000	This is our consensus in the BEF subfield.
264000	265000	But there is a problem.
265000	270000	There are more than three-quarters of the research in this subfield.
270000	272000	It's all experimented with plants.
272000	274000	For example, in the picture on the left,
274000	278000	how many plants are there in the grass?
278000	280000	How many different kinds of grass?
280000	282000	How many organisms are there?
282000	286000	If it's in the animal community,
286000	288000	will we find the same thing?
288000	289000	The answer is,
289000	294000	Generally, we think that when the consumer diversity increases,
294000	297000	the ecosystem function should also increase.
297000	300000	But the pattern, the signal,
300000	304000	is not as obvious as in the plant community.
304000	307000	For example, in 2013, the Meta-Analysis
307000	313000	reported that it reviewed more than 40 studies.
313000	318000	More than half of them said that we did not see a positive correlation.
318000	323000	In other words, diversity does not have a positive impact on the function.
323000	326000	More than half of them said that we did not see a positive impact.
326000	328000	At this time, we will ask,
328000	329000	why is it like this?
329000	331000	Is it because animals and plants are different?
331000	335000	Don't they need to partition their resources to coexist?
335000	337000	Or are there other factors?
337000	341000	They don't need to partition to coexist.
341000	343000	This hypothesis is basically invalid.
343000	347000	Because it is impossible for two societies to use the same thing
347000	349000	and live well together.
349000	351000	It should be said that this case is very rare.
351000	354000	For example, in this study,
354000	356000	it is a very famous study.
356000	358000	It is in the seaweed bed.
358000	362000	The picture on the left is the seaweed bed in the sea.
362000	366000	There are different grazers on the seaweed bed.
366000	370000	You can think of it as different little prawns, little worms.
370000	372000	They will eat these seaweed.
372000	374000	They will also eat the algae on the seaweed.
374000	376000	As you can see,
376000	379000	when we have more grazers,
379000	383000	the overall biomass of the grazer can grow more.
383000	385000	We can also eat less algae.
385000	391000	For example, we still see diversity in the consumer community.
391000	393000	It has a positive impact on the function.
393000	398000	Especially the consumption of resources has a positive impact.
398000	400000	They also reported that
400000	402000	they saw this positive impact
402000	404000	because different grazers
404000	411000	tend to stay in different parts of the seaweed.
411000	414000	For example, this grazer will be in a shorter place.
414000	416000	This grazer will be in a straight place.
416000	418000	So they actually use different spaces.
418000	420000	In other words, they really use different resources.
420000	431000	So resource partitioning has a positive impact on diversity and function.
431000	435000	In other words, resource partitioning has a positive impact on function.
435000	436000	There is no problem.
436000	439000	But in fact, there are many experiments.
439000	447000	They said that animals not only eat the seaweed below.
447000	450000	Many animals actually eat other animals.
450000	452000	In other words, like humans,
452000	454000	we don't just eat plants.
454000	456000	We don't just eat meat.
456000	457000	We eat everything.
457000	459000	We are solid.
459000	462000	In other words, this meta-analysis
462000	464000	in the report of 2007,
464000	466000	it is a review of many food webs.
466000	470000	Many grazers measure their stomach content.
470000	472000	It really depends on what they eat.
472000	475000	They found that the vast majority of animals
475000	476000	are omnivores.
476000	478000	They are all solid.
478000	481000	The simplest example of a solid omnivore
481000	485000	is when we have a very simple food web.
485000	487000	Suppose there are only four species.
488000	490000	With two animals.
490000	492000	The simplest is called Intra-Cultivated.
492000	495000	For example, there is an animal that only eats
495000	499000	the resource below its stomach.
499000	501000	These species.
501000	502000	But there is another animal.
502000	504000	In addition to eating these resources,
504000	509000	it also ate the species that just ate the resource.
509000	515000	So this feeding link is the simplest omnivore.
515000	520000	So this is Intra-Cultivated IGP.
520000	523000	The simplest example of an omnivore.
