start	end	text
0	10000	Hello, everyone. Welcome to the Terra Talk on February 23rd.
10000	15000	We welcome our speaker today, Ms. Zhang Yan-yong.
15000	21000	Ms. Zhang is currently a Ph.D. student at the California Institute of Technology.
21000	26000	Let me briefly introduce Ms. Zhang's background.
26000	33000	Ms. Zhang took a Ph.D. course on spectroscopy at the University of Taiwan,
33000	39000	for which she chose to focus on fitting audiovisual instruments for her lab.
39000	48000	tabs into crystal and celestial physics,
48000	58000	as well as hardware devices.
58000	63000	Ms. Zhang is currently working on SuperCDMS at Caltech,
63000	68000	which aims to measure dark matter.
68000	73000	Ms. Zhang is currently working on SuperCDMS at Caltech,
73000	79000	which aims to measure dark matter.
79000	84000	Ms. Zhang is currently working on SuperCDMS at Caltech,
84000	89000	which aims to measure dark matter.
89000	94000	Ms. Zhang is currently working on SuperCDMS at Caltech,
94000	100000	which aims to measure dark matter.
130000	135000	Ms. Zhang is currently working on SuperCDMS at Caltech,
135000	140000	which aims to measure dark matter.
140000	144000	Ms. Zhang is currently working on SuperCDMS at Caltech,
144000	149000	which aims to measure dark matter.
149000	154000	Ms. Zhang is currently working on SuperCDMS at Caltech,
154000	159000	which aims to measure dark matter.
159000	163000	which aims to measure dark matter.
163000	168000	Ms. Zhang is currently working on SuperCDMS at Caltech,
168000	173000	which aims to measure dark matter.
173000	178000	Ms. Zhang is currently working on SuperCDMS at Caltech,
178000	183000	which aims to measure dark matter.
183000	188000	Ms. Zhang is currently working on SuperCDMS at Caltech,
188000	193000	which aims to measure dark matter.
193000	198000	Ms. Zhang is currently working on SuperCDMS at Caltech,
198000	203000	which aims to measure dark matter.
203000	208000	Ms. Zhang is currently working on SuperCDMS at Caltech,
208000	213000	which aims to measure dark matter.
213000	218000	Ms. Zhang is currently working on SuperCDMS at Caltech,
218000	223000	which aims to measure dark matter.
223000	228000	Ms. Zhang is currently working on SuperCDMS at Caltech,
228000	233000	which aims to measure dark matter.
233000	238000	Ms. Zhang is currently working on SuperCDMS at Caltech,
238000	243000	which aims to measure dark matter.
243000	248000	Ms. Zhang is currently working on SuperCDMS at Caltech,
248000	253000	which aims to measure dark matter.
253000	258000	Ms. Zhang is currently working on SuperCDMS at Caltech,
258000	263000	which aims to measure dark matter.
263000	268000	Ms. Zhang is currently working on SuperCDMS at Caltech,
268000	273000	which aims to measure dark matter.
273000	278000	Ms. Zhang is currently working on SuperCDMS at Caltech,
278000	283000	which aims to measure dark matter.
283000	288000	Ms. Zhang is currently working on SuperCDMS at Caltech,
288000	293000	which aims to measure dark matter.
293000	298000	Ms. Zhang is currently working on SuperCDMS at Caltech,
298000	303000	which aims to measure dark matter.
303000	308000	Ms. Zhang is currently working on SuperCDMS at Caltech,
308000	313000	which aims to measure dark matter.
313000	318000	Ms. Zhang is currently working on SuperCDMS at Caltech,
318000	323000	which aims to measure dark matter.
