start	end	text
0	5000	Welcome to today's Taira Talk.
5000	10000	Today is February 16, 2019.
10000	13000	Our speaker is Professor Kong Lingjie.
14000	31000	Professor Kong Lingjie is a Vice-Professor of Information Management at National Taiwan University.
31000	35000	He was a Ph.D. student at Berkley University in the U.S.,
35000	40000	and a master's and master's student at National Taiwan University.
40000	44000	His research focuses on competition theory and professional research,
44000	49000	and discusses decision-making in the business sector.
49000	53000	We are delighted to welcome Professor Kong Lingjie.
53000	58000	Let's welcome Professor Kong Lingjie.
58000	66000	Let's give a round of applause to welcome Professor Kong Lingjie.
66000	70000	Thank you all.
70000	72000	Can I start now?
72000	74000	Yes, you can.
74000	80000	Thank you all for coming to this talk.
80000	90000	This is a rare opportunity for me.
90000	94000	When I was a Ph.D. student or when I started teaching,
94000	96000	I would like to listen to all kinds of strange talks.
96000	100000	The so-called strange talk is different from my own field.
100000	103000	From a certain perspective, it is very necessary for people like us.
103000	106000	Because we study information management.
106000	109000	Let me briefly introduce information management.
109000	112000	We study information technology at the Department of Management.
112000	118000	We want to use information technology to see if we can do something in the field of management.
118000	124000	Basically, it is a cross-field field.
124000	127000	So we often listen to all kinds of other talks,
127000	130000	and we can get a lot of inspiration.
130000	132000	Sometimes it doesn't inspire at all, but it doesn't matter.
132000	134000	Just treat it as a broad text.
134000	136000	So when I was a Ph.D. student,
136000	139000	Jason often introduced me to some physics-related knowledge.
139000	141000	Although I almost forgot everything,
141000	145000	I still feel very happy about this exchange.
145000	150000	Today, I will use this opportunity to introduce my research field to you.
150000	154000	This is of course one of the studies, but I personally quite like it.
154000	159000	It was done by a student of my previous master's class named Liu Qiwei.
159000	161000	This is actually his master's thesis.
161000	164000	Of course, we did it together in the process.
165000	171000	As a result, I think this study is still quite good in terms of academic results.
171000	177000	So a Ph.D. student from NTU or a Ph.D. student who is serious can really achieve quite good results.
177000	181000	Okay, what is this study about?
181000	186000	The theme of this study is called Job Allocation with a Consideration of Fairness.
186000	190000	It is a work allocation problem that considers fairness.
190000	193000	Let's take a look at what this is about.
193000	199000	Today, when we want to do job allocation, we usually have to consider a lot of issues.
199000	204000	For example, let's assume that the job is a toy car.
204000	206000	In general, I am a worker.
206000	208000	I make a toy car.
208000	211000	If I make a toy car that takes two hours,
211000	213000	I sell it to the buyer, the consumer.
213000	215000	The buyer will pay me.
215000	220000	So the job is to spend time to make something, sell it, and change the money.
