start	end	text
0	2000	You can see it.
2000	4000	Okay, I'll start.
4000	6000	You know my name,
6000	8000	my name is Wang Zhu Yi.
8000	10000	The easier way to remember is
10000	12000	the sound of Zhu Yi and the chair made by Zhu.
12000	14000	I graduated from
14000	16000	the University of South California
16000	18000	last year
18000	20000	with a Ph.D. in Mechanical Engineering.
20000	22000	Today, I want to talk about
22000	24000	something related to my thesis
24000	26000	and my current research.
26000	28000	We have a framework
28000	30000	called Innovative Design Thinking.
30000	32000	It guides
32000	34000	designers
34000	36000	on how to design.
36000	38000	Today, I'll focus on
38000	40000	conceptual design.
42000	44000	I'll introduce
44000	46000	its background.
46000	48000	Conceptual design
48000	50000	has two phases.
50000	52000	One is concept generation,
52000	54000	the other is concept improvement.
54000	56000	I'll talk about it.
56000	58000	First,
58000	60000	I'll briefly introduce
60000	62000	my background.
62000	64000	Then, I'll talk about
64000	66000	some of the main
66000	68000	terms we're talking about
68000	70000	and what they are.
70000	72000	This is how I write
72000	74000	in Chinese.
74000	76000	It may look
76000	78000	difficult to read.
78000	80000	This is Zhu Yi, Wang Zhu Yi.
80000	82000	I graduated
82000	84000	from the University of South California
84000	86000	with a Ph.D. in Mechanical Engineering.
86000	88000	Previously,
88000	90000	I studied
90000	92000	light design
92000	94000	at the University of Taiwan.
94000	96000	When I was in college,
96000	98000	I studied
98000	100000	electrical engineering.
100000	102000	It may look
102000	104000	a bit complicated
104000	106000	but
106000	108000	it is
108000	110000	related to
110000	112000	system integration
112000	114000	and system design.
118000	120000	What I'm doing now
120000	122000	is a post-Ph.D.
122000	124000	research.
124000	126000	I'm working with
126000	128000	my co-director,
128000	130000	Stephen Lu,
130000	132000	who is doing
132000	134000	post-Ph.D. research
134000	136000	at USC.
136000	138000	I'd like to thank
138000	140000	Taiwan and USC
140000	142000	for their cooperation.
142000	144000	This is one of the
144000	146000	funding
146000	148000	for my post-Ph.D.
148000	150000	fellowship.
150000	152000	I can continue
152000	154000	my post-Ph.D. research at USC.
154000	156000	I also did
156000	158000	some administrative work.
158000	160000	The title sounds better.
160000	162000	It's about
162000	164000	designing product design
164000	166000	for students
166000	168000	and
168000	170000	maintaining
170000	172000	communication and
172000	174000	program.
174000	176000	I also had
176000	178000	a chance to teach
178000	180000	at USC.
180000	182000	I taught
182000	184000	two classes.
184000	186000	The first class
186000	188000	was
188000	190000	about
190000	192000	product development
192000	194000	and engineering.
194000	196000	The second class
196000	198000	was about
198000	200000	market
200000	202000	direction
202000	204000	and
204000	206000	how to
206000	208000	design.
208000	210000	The third class
210000	212000	was about
212000	214000	conceptual design.
214000	216000	I didn't teach this class
216000	218000	at USC,
218000	220000	but I'm going to
220000	222000	teach this class
222000	224000	at USC.
226000	228000	This is
228000	230000	today's topic.
230000	232000	Today's topic is
232000	234000	innovative design
234000	236000	thinking.
236000	238000	I'm going to focus on
238000	240000	conceptual design.
240000	242000	This is also
242000	244000	my specialty.
244000	246000	The so-called design framework
246000	248000	is a framework
248000	250000	that
250000	252000	doesn't tell you
252000	254000	how to do it.
254000	256000	If you follow
256000	258000	this framework
258000	260000	to design,
260000	262000	you can get
262000	264000	better results.
264000	266000	When we
266000	268000	talk about the framework,
268000	270000	we say it's
270000	272000	a prescriptive.
272000	274000	It's a bit like
274000	276000	the doctor's prescription.
276000	278000	It's based on your symptoms
278000	280000	and his experience.
280000	282000	He thinks this way
282000	284000	and you can follow
284000	286000	this and get better
286000	288000	results.
288000	290000	So we say it's
290000	292000	a framework,
292000	294000	not a prescriptive.
294000	296000	In this framework,
