start	end	text
0	18000	Welcome everyone to today's Terra Talk, we are very honored to invite our speaker, Mr. Huang Shengfeng, to tell us about today's topic, Taiwan's international law positioning, the past, the present and the future.
18000	27000	I am very happy, because we have a long time in fact, there are no humanities or social science-related speeches.
27000	36000	Today, it is easy to invite Mr. Shengfeng, and Mr. Shengfeng is now in Edinburgh, he is 12 o'clock in the middle of the night to speak for everyone, so thank him very much.
37000	50000	First, let me introduce the background of Shengfeng. Shengfeng is the founder of Taipeng International Law, the founder of the Taiwan Voter Alliance.
50000	70000	He previously studied law at Taipei University and the Law Department of Taipei University, and then studied international law at the University of London, and now studies international law at Edinburgh University.
70000	80000	He is going to talk to us about the topic of Taiwan's international law positioning, the past, the present and the future.
80000	93000	A small reminder, if you don't turn on the microphone, you can't hear the applause, so let's turn on the microphone together, and thank Shengfeng for bringing us today's speech.
100000	112000	Hello everyone, I am Huang Shengfeng. Today I am very happy to have this opportunity to share with you some of the results of my research so far.
112000	120000	My research topic is Taiwan's international law positioning, the past, the present and the future.
120000	134000	At the beginning of the speech, I would like to share a sentence with everyone. This is what Albus Dumbledore said in Harry Potter.
134000	138000	Sometimes we must choose between what is right and what is easy.
164000	177000	In the end, it created today's situation. When we want to solve some problems in the future, we must continue to face many choices.
177000	188000	I don't know if the Taiwanese will choose the right choice or the simple and easy choice. I think this may determine our future.
188000	196000	At the beginning of this speech, I hope everyone can keep this sentence in mind.
196000	205000	Later, when I talk about the content, you can take this sentence out from time to time and think about it.
205000	215000	At that time, what did the Taiwanese think or what choices did the Taiwanese make in the end? What should we do in the future?
215000	220000	There are three main topics I want to share today. The first is the background knowledge of international law.
220000	226000	The second is the past and present of international law. The last is the future.
226000	240000	The background knowledge of international law is because most of the people who come to listen to my presentation today are not legal background.
241000	248000	So they may not know much about this aspect. I want to do some basic background explanation first.
248000	253000	Then I will start to talk about our internal topics.
253000	257000	First of all, we need to understand what international law is.
257000	266000	International law is the basic rule of law between political entities.
266000	269000	What is the political entity on international law?
269000	275000	Basically, it includes the so-called sovereign state.
275000	283000	The second is the so-called international organization, such as the United Nations, WHO, and WTO.
283000	285000	These are also political entities on international law.
285000	291000	The other is the implementation of autonomous units, such as Taiwan or Somaliland.
291000	298000	I put Taiwan in the implementation of autonomous units, not in the country.
298000	312000	This means that at least so far, under the definition of international law, Taiwan has not yet been recognized as a sovereign state.
312000	314000	Of course, everyone may have different ideas.
314000	320000	But from the perspective of international law, Taiwan is not yet.
320000	322000	Of course, I will say why it is not.
322000	331000	In addition, international law is the principle that determines the rights and obligations of the political entity on international law and its right to carry out its obligations.
331000	334000	The scope of international law is actually very wide.
334000	343000	Generally, when people hear international law, they sometimes feel that it is related to a place, a country, or diplomacy.
343000	349000	In fact, the scope of international law is very wide, including political, economic, military, and human rights.
349000	353000	For example, international relations, diplomacy, and business.
353000	359000	Then there is economic, import-export trade, currency exchange, financial transactions, and securities transactions.
359000	365000	In fact, today some people say that international law does not seem to have any effect.
365000	375000	In fact, if we want to implement import-export trade, or even if we want to study abroad,
375000	380000	or when you go sightseeing and need to exchange foreign currency, this is also related to international law.
380000	389000	Even now, some people may be in the United States, and then you can buy and sell securities and goods from other countries.
389000	393000	These financial transactions are all related to international law.
393000	401000	Then, for example, the military part, such as hand-to-hand combat, stop-and-go, how to end the war, military occupation.
401000	405000	Then, for example, the restrictions on nuclear and biological weapons.
405000	412000	For example, recently, the US withdrew the Semiconductor Missile Agreement.
412000	416000	These are all related to the military.
416000	423000	Then, for example, the human rights part, such as the right to freedom, the right to self-determination, the right to life, the right to transport, and the human rights law.
423000	438000	In fact, basically, we can say that as long as you have a connection with other countries, no matter what form of connection it is, it will be related to international law.
438000	446000	Hearing international law, there is often a reaction that international law is bigger and more powerful than fist.
446000	451000	However, it must be emphasized here that international law is not only bigger than fist.
451000	457000	Because if it is really bigger than fist, I believe that the biggest fist in the world now is the United States.
457000	462000	But even if the United States has such a big fist, it can't stop it.
462000	466000	That is, the wife of Palestine, she was born in front of the United Nations.
466000	472000	The United States is only one vote in the United Nations, in the General Assembly, and in the Security Council.
472000	478000	So it can't decide everything, although its fist may be the biggest in the world.
478000	485000	In addition, for example, China, of course, can't prevent the International Court of Justice from making a judgment against it.
485000	493000	Of course, at this time, some people will say that although it is said that it is not conducive to its judgment, China is still my heart and my tree.
493000	496000	But we have to think a little bit, that is, yes, that's right.
496000	508000	Although the Philippine was against the South China Sea part of the International Court of Justice, and then the International Court of Justice put China on it.
508000	518000	Later, the International Court of Justice made some of China's claims that there was no legal effect, that is, it did not have those rights.
518000	529000	Although China later decided not to recognize these things, other countries made such a decision because of the International Court of Justice.
529000	538000	So other countries, such as the United States, claimed that since the International Court of Justice believed that the right to claim did not exist,
539000	544000	then I followed the rules of the International Court of Justice, such as the International Ocean Law, and I exercised my freedom of navigation.
