start	end	text
0	12000	Hello, I'm Ted. I'm very happy to be here today. I'd like to welcome Chen Junjia from the University of Amsterdam.
12000	17000	This is his last year at Pomeranian. Yay!
17000	24000	I've known him since he was in university. He's also a student at the Electrical Engineering Department.
24000	29000	I'm very happy to have someone with me to talk about physics.
29000	34000	Junjia is studying Atomic Physics.
34000	41000	I've done a little bit of it in the beginning, but it's a lot different from what I did in IELTS and BEC.
41000	45000	I think BEC is very cool in physics.
45000	54000	You've been in this field for over 20 years now, right? How long have you been in BEC?
54000	58000	It's been over 20 years since 1995.
58000	61000	Yeah, okay.
61000	66000	But it's been a long time since people wanted to do it. It was only made in 1995.
66000	77000	Junjia's topic for today is Steady-State Ultracold Cesium Near Quantum Degeneracy.
77000	84000	He's talking about the application in CW atom lasers and clocks.
84000	91000	His lab is one of the latest quantum flagships in Europe.
92000	101000	So maybe we can hear some new things and see what Europe plans to do in this area.
101000	107000	I won't say much more. Junjia, please get ready to start your speech.
107000	111000	Thank you.
111000	120000	First of all, I'd like to thank Jianyuan for giving me the opportunity to introduce the topic I'm doing.
120000	125000	First of all, I'd like to make a correction. What I'm doing is Strontium, not Cesium.
125000	130000	Strontium is a 2A element.
130000	138000	The purpose of our experiment is, as I said in the title, to achieve a steady-state.
138000	146000	In principle, the ultimate goal is to achieve a continuous atomic laser.
146000	156000	Of course, before you reach that ultimate goal, you have to reach the Bose-Einstein connection in the first phase.
156000	163000	This is something that hasn't been achieved yet.
163000	167000	In principle, our lab hopes to challenge it.
168000	173000	In principle, our lab hopes to challenge it.
173000	178000	As I mentioned in the title, the ultimate goal is to achieve a steady-state.
178000	184000	In principle, we are already very close to quantum degeneracy.
184000	187000	Of course, we haven't reached it yet.
187000	190000	But in principle, I will briefly report on our current progress.
190000	201000	Of course, I will also mention some applications of CW, Atom Laser, and CLOX on the technology we have developed.
201000	208000	The title is of course our lab, our overall experimental setup.
208000	210000	Let's take a look.
210000	220000	Of course, we have a step on the experiment.
220000	224000	In principle, we have used some of the cooling mechanisms of CISPOS.
224000	227000	I will briefly introduce it in the next speech.
227000	231000	First of all, this is the outline of my talk today.
231000	235000	I will briefly explain who we are, where we are, and why we want to do these things.
236000	243000	Next, I will briefly mention the technologies we use, such as laser cooling and BEC.
243000	251000	In principle, I will mention two applications that I am more interested in.
251000	256000	Atomic clock and atomic interferometer.
256000	260000	I will introduce STROMCM.
260000	270000	In principle, I will also introduce the so-called laser cooling STROMCM to Bose-SanSan condensate.
270000	280000	Next, I will introduce our entire experimental setup.
280000	290000	The three main results are, for example, Ultra High Phase Space Density MOD.
290000	298000	And how do we achieve the principle of Steady State Unity Phase Space Density.
298000	305000	Next, of course, I will introduce one of the cooling technologies we have developed, CISPOS Optical Lattice Decelerator.
305000	307000	Next, I will give Outlook.
307000	310000	First of all, let me introduce myself.
310000	314000	My master's thesis was originally done in Taiwan.
314000	317000	My master's thesis experiment.
317000	325000	In principle, my experiment is to achieve a full optical Rubidium Bose-SanSan condensate.
325000	332000	It is also because of this factor that I am interested in laser cooling.
332000	336000	So when I applied for a doctorate class,
336000	342000	Because when I was a soldier, the English exam preparation was not going well.
342000	346000	For example, I did not pass the TOEFL exam.
346000	348000	Then I thought I would come to Europe to do it.
348000	352000	At that time, I read some papers when I was studying in the master's class.
352000	358000	I know that there is a good team in Innsbruck, Australia.
359000	362000	At that time, I thought I would try to apply.
362000	366000	Then I applied to Rudy Green's lab.
366000	370000	At that time, the group I applied to was originally a strong team.
370000	373000	But then my little boss,
373000	376000	In principle, it is our actual boss, Florian.
376000	380000	He later applied for a teaching position to move to Amsterdam.
380000	382000	So I will come to Amsterdam to do it.
382000	386000	There is a very interesting historical source in Amsterdam.
386000	390000	This person is called Joke Worven.
390000	394000	In principle, at the beginning of BC,
394000	398000	When you want to achieve the Bose-Einstein condensation,
398000	402000	Ordinary people have not yet considered the elements of the EA group.
402000	406000	They want to achieve the Bose-Einstein condensation in hydrogen.
406000	410000	Joke Worven, in principle, his lab in Amsterdam
410000	413000	Is to do hydrogen cooling.
413000	415000	Then I want to achieve the Bose-Einstein condensation.
415000	418000	So, in principle, we have some in Amsterdam.
418000	422000	This kind of laser cooling historical source is right.
422000	426000	Of course, we moved from Australia to Amsterdam.
426000	430000	It's also a toss.
430000	436000	In principle, this is our good team in Amsterdam.
436000	440000	First of all, let me introduce what Bose-Einstein condensation is.
440000	443000	We all know that in principle, W1 material,
443000	447000	In principle, you can have the nature of the wave,
447000	449000	You can also have the nature of the particles.
449000	453000	Of course, it depends on your temperature conditions.
453000	457000	To determine some of the characteristics of your wave field.
457000	462000	Of course, we know that under higher temperature conditions,
462000	468000	In principle, O-nitrogen behaves more like a particle.
468000	470000	When the temperature drops,
470000	473000	The relationship between W1 and O-nitrogen tells you that
473000	475000	Its wavelength will gradually increase.
475000	478000	Then you start to use some fluctuations
478000	482000	To describe some of the behavior of your particles.
482000	486000	Of course, the closer you get to your condensation temperature,
