start	end	text
0	8000	Hi, everyone. Welcome to TerraTalk.
8000	20000	Today, we are honored to invite Wu Xinmei, who is studying in Yanhu City, Utah, to talk about today's topic.
20000	30000	Today's topic is Studying the Recharge Cycle of the Old-Faith Geyser with GANS Seismic Arrays.
30000	35000	Xinmei is currently studying Geology at Utah State University.
35000	40000	She graduated from the University of Utah and came to the U.S. for her Ph.D.
40000	50000	Last year, or this year, she received her Ph.D. from the University of Utah.
50000	60000	Today's topic is Studying the Recharge Cycle of the Old-Faith Geyser with GANS Seismic Arrays.
60000	70000	Today's topic is a little bit different from the previous one.
70000	80000	This time, we are going to talk about the introduction of the previous topic.
80000	90000	Our lab mainly uses seismic data.
90000	100000	In recent decades, earthquakes have not been the main source of data.
100000	110000	Today, we are going to use seismic data to study the Old-Faith Geyser.
110000	120000	The Old-Faith Geyser is located in Yellowstone, Utah.
120000	128000	The Old-Faith Geyser is a periodic geyser.
128000	138000	The Old-Faith Geyser is a periodic geyser.
138000	148000	The Old-Faith Geyser is a periodic geyser.
148000	158000	Today's presentation will focus on the Old-Faith Geyser.
158000	168000	Today's presentation will focus on the Old-Faith Geyser.
168000	178000	Today's presentation will focus on the Old-Faith Geyser.
178000	188000	Today's presentation will focus on the Old-Faith Geyser.
188000	198000	The Old-Faith Geyser is located in Yellowstone, Utah.
198000	208000	The Old-Faith Geyser is located in Yellowstone, Utah.
208000	218000	The Old-Faith Geyser is located in Yellowstone, Utah.
218000	228000	The Old-Faith Geyser is located in Yellowstone, Utah.
228000	238000	The Old-Faith Geyser is located in Yellowstone, Utah.
238000	248000	The Old-Faith Geyser is located in Yellowstone, Utah.
248000	258000	The Old-Faith Geyser is located in Yellowstone, Utah.
258000	268000	The Old-Faith Geyser is located in Yellowstone, Utah.
268000	278000	The Old-Faith Geyser is located in Yellowstone, Utah.
278000	288000	The Old-Faith Geyser is located in Yellowstone, Utah.
288000	298000	The Old-Faith Geyser is located in Yellowstone, Utah.
298000	308000	The Old-Faith Geyser is located in Yellowstone, Utah.
308000	318000	The Old-Faith Geyser is located in Yellowstone, Utah.
318000	328000	The Old-Faith Geyser is located in Yellowstone, Utah.
328000	338000	The Old-Faith Geyser is located in Yellowstone, Utah.
338000	348000	The Old-Faith Geyser is located in Yellowstone, Utah.
348000	358000	The Old-Faith Geyser is located in Yellowstone, Utah.
358000	368000	The Old-Faith Geyser is located in Yellowstone, Utah.
368000	378000	The Old-Faith Geyser is located in Yellowstone, Utah.
378000	388000	The Old-Faith Geyser is located in Yellowstone, Utah.
388000	398000	The Old-Faith Geyser is located in Yellowstone, Utah.
398000	408000	The Old-Faith Geyser is located in Yellowstone, Utah.
408000	418000	The Old-Faith Geyser is located in Yellowstone, Utah.
418000	428000	The Old-Faith Geyser is located in Yellowstone, Utah.
428000	438000	The Old-Faith Geyser is located in Yellowstone, Utah.
438000	448000	The Old-Faith Geyser is located in Yellowstone, Utah.
448000	458000	The Old-Faith Geyser is located in Yellowstone, Utah.
458000	468000	The Old-Faith Geyser is located in Yellowstone, Utah.
468000	478000	The Old-Faith Geyser is located in Yellowstone, Utah.
478000	488000	The Old-Faith Geyser is located in Yellowstone, Utah.
488000	498000	The Old-Faith Geyser is located in Yellowstone, Utah.
498000	508000	The Old-Faith Geyser is located in Yellowstone, Utah.
508000	518000	The Old-Faith Geyser is located in Yellowstone, Utah.
518000	528000	The Old-Faith Geyser is located in Yellowstone, Utah.
528000	538000	The Old-Faith Geyser is located in Yellowstone, Utah.
538000	548000	The Old-Faith Geyser is located in Yellowstone, Utah.
548000	558000	The Old-Faith Geyser is located in Yellowstone, Utah.
558000	568000	The Old-Faith Geyser is located in Yellowstone, Utah.
568000	578000	The Old-Faith Geyser is located in Yellowstone, Utah.
578000	588000	The Old-Faith Geyser is located in Yellowstone, Utah.
588000	598000	The Old-Faith Geyser is located in Yellowstone, Utah.
598000	608000	The Old-Faith Geyser is located in Yellowstone, Utah.
608000	618000	The Old-Faith Geyser is located in Yellowstone, Utah.
618000	628000	The Old-Faith Geyser is located in Yellowstone, Utah.
628000	638000	The Old-Faith Geyser is located in Yellowstone, Utah.
638000	648000	The Old-Faith Geyser is located in Yellowstone, Utah.
648000	658000	The Old-Faith Geyser is located in Yellowstone, Utah.
658000	668000	The Old-Faith Geyser is located in Yellowstone, Utah.
668000	678000	The Old-Faith Geyser is located in Yellowstone, Utah.
678000	688000	The Old-Faith Geyser is located in Yellowstone, Utah.
688000	698000	The Old-Faith Geyser is located in Yellowstone, Utah.
698000	708000	The Old-Faith Geyser is located in Yellowstone, Utah.
708000	718000	The Old-Faith Geyser is located in Yellowstone, Utah.
718000	728000	The Old-Faith Geyser is located in Yellowstone, Utah.
728000	738000	The Old-Faith Geyser is located in Yellowstone, Utah.
738000	748000	The Old-Faith Geyser is located in Yellowstone, Utah.
748000	758000	The Old-Faith Geyser is located in Yellowstone, Utah.
758000	768000	The Old-Faith Geyser is located in Yellowstone, Utah.
768000	778000	The Old-Faith Geyser is located in Yellowstone, Utah.
778000	788000	The Old-Faith Geyser is located in Yellowstone, Utah.
788000	798000	The Old-Faith Geyser is located in Yellowstone, Utah.
798000	808000	The Old-Faith Geyser is located in Yellowstone, Utah.
808000	818000	The Old-Faith Geyser is located in Yellowstone, Utah.
818000	828000	The Old-Faith Geyser is located in Yellowstone, Utah.
828000	838000	The Old-Faith Geyser is located in Yellowstone, Utah.
838000	848000	The Old-Faith Geyser is located in Yellowstone, Utah.
848000	858000	The Old-Faith Geyser is located in Yellowstone, Utah.
858000	868000	The Old-Faith Geyser is located in Yellowstone, Utah.
868000	878000	The Old-Faith Geyser is located in Yellowstone, Utah.
878000	888000	The Old-Faith Geyser is located in Yellowstone, Utah.
888000	898000	The Old-Faith Geyser is located in Yellowstone, Utah.
898000	908000	The Old-Faith Geyser is located in Yellowstone, Utah.
908000	918000	The Old-Faith Geyser is located in Yellowstone, Utah.
918000	928000	The Old-Faith Geyser is located in Yellowstone, Utah.
928000	938000	The Old-Faith Geyser is located in Yellowstone, Utah.
938000	948000	The Old-Faith Geyser is located in Yellowstone, Utah.
948000	958000	The Old-Faith Geyser is located in Yellowstone, Utah.
958000	968000	The Old-Faith Geyser is located in Yellowstone, Utah.
968000	978000	The Old-Faith Geyser is located in Yellowstone, Utah.
978000	988000	The Old-Faith Geyser is located in Yellowstone, Utah.
988000	998000	The Old-Faith Geyser is located in Yellowstone, Utah.
998000	1008000	The Old-Faith Geyser is located in Yellowstone, Utah.
1008000	1018000	The Old-Faith Geyser is located in Yellowstone, Utah.
1018000	1028000	The Old-Faith Geyser is located in Yellowstone, Utah.
1028000	1038000	The Old-Faith Geyser is located in Yellowstone, Utah.
1038000	1048000	The Old-Faith Geyser is located in Yellowstone, Utah.
1048000	1058000	The Old-Faith Geyser is located in Yellowstone, Utah.
1058000	1068000	The Old-Faith Geyser is located in Yellowstone, Utah.
1068000	1078000	The Old-Faith Geyser is located in Yellowstone, Utah.
1078000	1088000	The Old-Faith Geyser is located in Yellowstone, Utah.
1088000	1098000	The Old-Faith Geyser is located in Yellowstone, Utah.
1098000	1108000	The Old-Faith Geyser is located in Yellowstone, Utah.
1108000	1118000	The Old-Faith Geyser is located in Yellowstone, Utah.
