start	end	text
0	7000	Thank you everyone for coming to this talk.
7000	15000	We are very happy to invite Dr. Lin Shujing from the University of Columbia, UBC, Canada.
15000	24000	Dr. Lin was trained at the University of Zhongshan Medical University,
24000	29000	in the Department of Radiation Science and Imaging.
29000	31000	After graduating from this university,
31000	35000	he obtained the qualification of a Radiologist of the Republic of China.
35000	39000	However, he was very interested in academic research,
39000	46000	so he later completed a master's degree from the Institute of Brain Science at the University of Columbia.
46000	47000	After the master's degree,
47000	52000	he also served as a research assistant at the University of Yangming,
52000	56000	Rongzhong, Taipei City Hospital, and Jiaotong University.
56000	61000	In 2012, he went to the University of Columbia, UBC, Canada,
61000	64000	to start his doctorate in Neuroscience.
64000	68000	He graduated in 2018.
68000	75000	Today's talk is mainly about his doctoral thesis.
75000	79000	I am very happy and grateful that he is here to share with us.
79000	86000	This talk is about the connection between the functions of the brain and neurodegenerative diseases,
86000	89000	as well as the connection between cognitive functions.
89000	100000	Let's welcome him with a round of applause.
100000	103000	Can you turn up the volume?
103000	107000	If not, let me know in the chat.
107000	108000	I can do it here.
108000	110000	You can? Okay.
110000	112000	Thank you for the introduction.
112000	117000	What I am going to talk about today is basically what I did in my PhD thesis.
117000	128000	The structure of today's talk will be based on the order of the chapters in my thesis.
128000	130000	The title is a bit long.
130000	133000	Let me explain.
133000	138000	The title of my thesis is called Advanced Neural Analysis of Resin-stained Functional Connectivity
138000	142000	to Probe Exactive Functions in Parkinson's Disease and Multiple Sclerosis.
142000	150000	In simple terms, it is a way to look at the connection between the functions of the brain and cognitive functions
150000	155000	in neurodegenerative diseases.
155000	158000	Let's move on.
158000	161000	I wrote seven chapters in total.
161000	167000	The presentation will follow the order of the chapters.
167000	171000	In the first part, I will put the first and second chapters together.
171000	175000	The purpose of putting the first and second chapters together is to give you a brief introduction,
175000	179000	including the symptoms of these two diseases and their clinical symptoms.
179000	181000	I will also put the second chapter together
181000	185000	because the second chapter is purely about behavioral studies.
185000	191000	So it will give you a more comprehensive introduction.
191000	195000	The third and sixth chapters are related to fMRI.
195000	200000	In short, we used different methods to analyze Resin-stained fMRI data.
200000	205000	We got different measurements.
205000	211000	On the one hand, we want to see if these different measurements can be used as biomarkers
211000	214000	to clearly distinguish between patients and normal people.
214000	219000	On the other hand, we want to see if these measurements are related to fMRI.
219000	222000	The seventh chapter is summary.
222000	227000	Let's move on to the first and second chapters.
227000	233000	In the first chapter, we will briefly introduce Parkinson's disease and multiple sclerosis.
233000	237000	These two neurodegenerative diseases are the main structure of the whole paper.
237000	241000	Parkinson's disease is more familiar to Taiwanese people.
241000	243000	It is a neurodegenerative disease,
243000	247000	which is common in men and older patients,
247000	249000	for example, about 50 or 60 years old.
249000	254000	Another type of multiple sclerosis is called multiple sclerosis,
254000	259000	but it is more common in slightly younger women.
260000	265000	It is more common in Europe and the United States,
265000	270000	such as the United States, Canada, and North Europe.
270000	274000	It is also common in Taiwan, but relatively rare.
274000	278000	The picture on the right is a brief introduction.
278000	284000	The basic cause of multiple sclerosis is that the nerve on the left is a nerve tree,
284000	287000	and there is a bulge on the outside called the myelin.
287000	292000	The structure of the myelin is attacked by a killer T cell,
292000	296000	so it is a kind of autoimmune disease.
296000	302000	This attack will cause the transmission of the nerve signal to slow down or cause some errors.
302000	306000	On the clinical table, we can see that there is a problem with the coordination between the head and the eyes,
306000	311000	and the patient's walking will be more unbalanced.
311000	315000	There are also a lot of visual problems,
315000	317000	and the patient often says,
317000	319000	oh, I'm very tired. This is called fatigue.
319000	321000	There are also some cognitive function disorders.
321000	325000	Another Parkinson's disease is more common.
325000	330000	The main cause of the disease is that the neurotransmitter in the brain is not enough,
330000	333000	and this neurotransmitter is called dopamine or dopamine.
333000	336000	In normal people's brains, you can see this picture.
336000	341000	This black part is a neurotransmitter that produces dopamine,
341000	345000	and this part is called the subcentral nigra.
345000	348000	You can see that it's very dark here,
348000	352000	but in Parkinson's disease patients, these black things are gone,
352000	355000	which is the death of neurotransmitters that produce dopamine,
355000	359000	which leads to insufficient concentration of neurotransmitter.
359000	366000	For example, we often hear tremor,
366000	370000	and there is a problem with sleep, and there is a problem with walking balance.
370000	374000	In addition, there are also some cognitive function disorders.
374000	379000	So you can see that PD and MS are two very different diseases,
379000	384000	but they both produce cognitive impairment.
384000	388000	According to clinical evidence and previous literature review,
388000	393000	MS produces the most cognitive functions,
393000	396000	including executive function,
396000	399000	and Parkinson's disease visual memory.
399000	402000	PD is also an executive function,
402000	405000	and most people will have these problems,
405000	409000	as well as walking memory and visual spatial abilities.
409000	414000	In addition to the clinical evidence and literature review,
414000	419000	we are also very interested in whether these cognitive function disorders
419000	425000	are related to the severity of their clinical disease or other factors.
425000	430000	So in the second part, we did a simple analysis.
430000	433000	We use Canonical Correlation Analysis,
433000	435000	abbreviated as CCA,
435000	438000	to see if their cognitive function performance
438000	442000	is related to other clinical data.
442000	444000	Let me briefly introduce what CCA is.
444000	447000	It is a multivariate statistical approach.
447000	451000	The main purpose of CCA is to find two pieces of data.
451000	454000	Let's say we have two pieces of data, U and V.
454000	458000	The purpose of CCA is to find these so-called weights.
458000	461000	These weights will let us know
461000	466000	what kind of linear combination will make U and V the most relevant.
466000	469000	In other words, CCA finds this weight,
469000	472000	and then we can infer
472000	475000	whether X1 is the most relevant,
475000	478000	or whether Y2 is the most relevant.
478000	481000	In the second part of the study,
481000	485000	one of the data is the demographic on clinical data,
485000	488000	such as the severity of the disease or age.
488000	491000	The other piece of data is the performance of cognitive function.
491000	492000	We did some tests,
492000	496000	and then we took their scores to make a set of data.
496000	500000	Let's take a look at the results on PD.
500000	504000	As we said, the purpose of CCA is to find linear combinations
504000	507000	to make these two pieces of data the most relevant.
507000	509000	So here you can see that
509000	512000	these two pieces of data are indeed very relevant.
512000	515000	The relevant factor is 0.9.
515000	519000	One of them is demographic on clinical data,
519000	521000	and the other is cognitive function.
521000	523000	Because we put gender in it,
524000	527000	all the variables are...
527000	530000	Wait a minute, it's not out yet.
530000	533000	All the variables are positive,
533000	537000	and the positive loading is related to the male.
537000	541000	All the negative loading is related to the female.
541000	545000	And then, if all the variables are the same,
545000	548000	for example, positive loading,
548000	550000	they are both positive.
550000	553000	If negative loading occurs,
553000	555000	they are both positive.
555000	558000	This means that if this number goes up,
558000	561000	the other numbers related to it will also go up.
561000	564000	So let's take a look now.
564000	567000	In general, the result tells us that
567000	569000	in the case of PD patients,
569000	575000	if the male is also in a more serious state of depression,
575000	579000	it has nothing to do with cognitive function.
579000	582000	But let's take a look at the following.
582000	585000	In other words, women with higher education
585000	588000	have a longer period of education,
588000	592000	which has a lot to do with most of the better cognitive functions.
592000	596000	These are a series of tests we tested.
596000	598000	Actually, this is not what we tested.
598000	601000	This is a database called PPMI.
601000	604000	If you are interested, we can discuss it later.
604000	608000	They tested a lot of different cognitive domains.
608000	611000	In principle, the higher the number,
611000	614000	the better the cognitive function and the better the response.
614000	617000	So you can see that women with higher education
617000	619000	have better cognitive performance.
619000	622000	As for MS, let's take a look.
622000	625000	This is the data we received.
625000	626000	The same thing.
626000	630000	The positive loading is related to the male.
630000	633000	If the negative loading is related to the female.
633000	635000	Let's take a look at the cognitive function part.
635000	638000	These two are TMT, trial making test A and B.
638000	641000	Basically, it's a test of attention,
641000	644000	and executive function.
644000	647000	What you can find is that in women,
647000	649000	you can see that if it's a woman,
649000	650000	negative loading,
650000	654000	these two tests will perform better on women.
654000	661000	At the same time, we have another set of different cognitive functions.
661000	664000	Here, you can see that if it's a male,
664000	667000	it will be related to EDS.
667000	671000	EDS is an indicator on MS Clinical.
671000	673000	The higher the EDS value,
673000	675000	the more serious the disease.
675000	676000	On the other side,
676000	678000	it's the Wisconsin Consultant Error.
678000	681000	In other words, the higher the EDS value,
681000	682000	the more serious the disease,
682000	684000	the more mistakes it makes.
684000	686000	On the other hand,
686000	687000	for women,
687000	689000	their performance will be better.
689000	699000	You can see that these two tests are closely related.
699000	701000	So,
701000	704000	here is a conclusion.
704000	707000	We have categorized the same and different cognitive functions
707000	710000	of PD and MS.
710000	711000	For the same function,
711000	715000	we find that gender is a very important factor,
715000	717000	whether it's PD or MS.
717000	719000	Especially for women,
719000	722000	their cognitive functions seem to be better.
722000	724000	On the other hand,
724000	726000	for PD,
726000	729000	the higher the EDS value,
729000	732000	the better the cognitive function.
732000	735000	We can use the so-called Cognitive Research Theory
735000	737000	to explain this.
737000	739000	In this theory,
739000	746000	the longer the EDS value,
746000	750000	the more protective it is.
750000	753000	So, if a person has been educated for a long time,
753000	757000	he may get sick later in life.
757000	759000	The early education
759000	762000	may not be able to protect his cognitive function.
762000	763000	In addition,
763000	764000	we also found that
764000	766000	in the case of PD,
766000	768000	at first,
768000	769000	we were surprised to find that
769000	772000	the clinical indicators of PD
772000	774000	are not related to cognitive functions.
774000	776000	One possibility is that
776000	778000	the clinical indicators of PD,
778000	780000	which is similar to MS EDSS,
780000	782000	but we call it UPDRS,
782000	786000	are actually evaluated
786000	789000	based on the symptoms of the action.
