start	end	text
0	10000	Hello everyone, and welcome to the Terra Talks on April 27th, 2019.
10000	13000	Our speaker today is Dr. Zhang Changming,
13000	20000	who is currently working as a postdoc at Technical University of Munich in Germany.
20000	28000	Today's theme is Photoelectrochemical Solar Field Production, Progress and Prospects.
28000	33000	Changming did his undergraduate degree in Technical University of Munich,
33000	37000	and then went to UC Berkeley to do his Ph.D. and postdoc.
37000	40000	He is now doing his second research in Germany.
40000	46000	We are very happy to welcome Changming to give us his latest speech. Thank you.
46000	50000	Thank you, Yu-Tung. Hello everyone.
50000	54000	Can I speak like this?
54000	55000	Yes.
55000	62000	Sorry if my speech is a bit laggy today.
62000	66000	It's 5 a.m. in Europe,
66000	69000	and I'm having my first cup of coffee,
69000	71000	so it might be a bit slow.
71000	75000	If you have any questions,
75000	78000	please feel free to interrupt me.
78000	84000	Looking back at the previous theme,
84000	86000	it seems a bit too broad,
86000	90000	but basically today I want to share with you
90000	98000	some of the results of the past two or three years.
98000	105000	From our perspective,
105000	109000	we need to use a lot of energy.
109000	112000	According to statistics,
112000	122000	the average energy consumption per year is 18 terawatts.
122000	127000	Of course, as technology advances, the number will continue to increase.
127000	130000	It is estimated that in about 30 years,
130000	132000	this number will increase to 60 terawatts.
132000	136000	This means that we need to find a source of new energy.
136000	142000	So far, most of this energy has come from so-called fossil fuels.
142000	145000	Of course, we have been burning fossil fuels,
145000	150000	which means that we keep putting carbon dioxide into the atmosphere every year.
150000	157000	We can also see that this is a project by UC San Diego.
157000	165000	They started tracking the concentration of carbon dioxide in the atmosphere from Hawaii in the 1950s.
165000	167000	We can see that in 2015,
167000	171000	this concentration has officially broken through the 400ppm level.
171000	175000	Of course, this also causes the so-called global warming problem.
175000	179000	In order to solve this problem,
179000	183000	it means that we need to find a source of new energy at the same time,
183000	188000	and at the same time avoid creating more carbon dioxide.
188000	193000	This means that we need to find some energy that does not emit carbon dioxide.
193000	198000	A very ideal choice, of course, is solar energy.
198000	202000	For example, here we can see that on the surface of the earth every year,
202000	210000	the input energy of solar energy is 120,000 terawatts.
210000	215000	This is far more than what we need.
215000	218000	So in recent years,
218000	223000	we also know that solar energy devices are increasing all over the world.
223000	226000	But so far, it's about 300 to 400 gigawatts.
226000	232000	So there is still some time to go on the energy of the device.
