start	end	text
0	20000	🦋 subs by bunbunruo 🦋
30000	54000	🦋 subs by bunbunruo 🦋
54000	62000	🦋 subs by bunbunruo 🦋
62000	64000	Oh, he said the recording is on.
64000	66000	I'm the host for today, Zhang Lian-Ping.
66000	70000	I just graduated last winter.
70000	74000	I graduated from UNC and did research in social psychology.
74000	77000	I just graduated, so I'm a no-name now.
77000	81000	Before we start today's talk,
81000	86000	I'd like to introduce Project TIRA to you.
86000	94000	As our website says,
94000	97000	our goal is to build a timely,
97000	99000	cross-national academic information sharing platform
99000	102000	to connect Taiwan's academic talents from all over the world
102000	104000	to exchange academic results and trends in various fields
104000	106000	in the overseas and Taiwan academic circles,
106000	110000	and to provide a platform for effective communication.
110000	111000	To put it simply,
111000	113000	we want to build a platform
113000	116000	to help Taiwan researchers from all over the world
116000	118000	communicate with each other.
118000	122000	We hold a weekly online video conference like this.
122000	124000	The speakers are basically our members,
124000	126000	and the topic is research results,
126000	129000	field review,
129000	132000	future development predictions,
132000	134000	sharing new ideas,
134000	135000	sharing new ideas,
135000	137000	and opportunities for cooperation.
137000	139000	TIRA is a fully self-funded,
139000	140000	volunteer organization.
140000	145000	Our staff are mainly PhD students and post-doctorate students,
145000	147000	or people like me,
147000	151000	who is in the limbo between a PhD student and a post-doctorate student.
151000	158000	You can see more details on our website.
158000	162000	If you want to see more,
162000	163000	you can go to our website.
163000	169000	I think the key point of a project like this
169000	173000	is to have open cooperation and opportunities for sharing.
173000	176000	The more people can join us and help each other,
176000	179000	the stronger we will be,
179000	181000	and the closer we will get to our goal.
181000	184000	If you are interested,
184000	186000	you are welcome to join our members
186000	188000	and support this idea
188000	195000	and share our research results.
195000	197000	We also have a Facebook page,
197000	199000	which I'm sure you all know.
199000	202000	This is a non-profit platform
202000	208000	for sharing.
208000	211000	I hope you can support us.
211000	212000	This is TIRA,
212000	214000	and this is Housekeeping.
214000	217000	Let's get started.
217000	222000	Today's speaker is Joey Hsiao-Qiao Ying.
222000	227000	Joey graduated from the University of Michigan,
227000	230000	and is now studying Information Science
230000	233000	at the University of Michigan.
233000	239000	He will give a more in-depth introduction later,
239000	241000	so I will be brief.
241000	244000	What he is interested in
245000	248000	is how to use
248000	255000	new technology to help immigrants.
255000	257000	I think this is US immigrant,
257000	260000	immigrants to the US.
260000	263000	How to help them adapt
263000	269000	to the new society.
270000	274000	Then there is a website.
274000	275000	If you are interested,
275000	276000	you can check it out.
276000	279000	It's beautiful.
279000	281000	There are a lot of details
281000	283000	about his current projects,
283000	288000	presentations, papers, publications.
