start	end	text
0	10000	Thank you everyone for participating in this talk, this time we are very happy to invite Dr. Wu Qixing,
10000	16000	Dr. Wu Qixing is currently the director of psychiatry at NTU Hospital,
16000	25000	he has a PhD and MD degree, his doctorate was obtained from NTU's Department of Epidemiology and Preventive Medicine.
26000	34000	He is currently doing research at Harvard Medical School,
34000	42000	I am very happy that he can bring a medical research that everyone cares about,
42000	55000	how to use machine learning to help us make breakthroughs in personalized psychiatric diagnosis.
55000	60000	Please give a round of applause to welcome Dr. Wu.
61000	73000	Thank you everyone, I am very happy to have this opportunity to come here today to explain the results of the research.
73000	82000	Because the results of this research have not been officially released, the follow-up recording will probably be released to everyone in about half a year.
82000	90000	I graduated from medical school and got a doctorate in epidemiology,
90000	94000	but later I found out that the field of machine learning is actually quite important,
94000	99000	so this year I had the opportunity to come to Harvard University to study further.
99000	104000	I think everyone is very clear about the mental illness, especially the recent public television program,
104000	109000	the distance between us and evil, this drama received a lot of response.
109000	113000	Friends overseas may not necessarily be able to see this drama,
113000	118000	but in Taiwan, in fact, this drama has caused quite a lot of response.
118000	123000	We can see that the main character, Yin Sichong,
123000	128000	this patient is actually a young man,
128000	134000	but because of his illness, we can see that he seems to have become bald and no beard,
134000	139000	and because he was quite excited, he was tied to the bed with his limbs restrained.
139000	143000	So this is when you get a relatively serious mental illness,
143000	146000	he may face a change in his whole life.
146000	149000	Originally, he may be like us, a young man studying and learning,
149000	154000	but because of his illness, he interrupted the whole learning process.
154000	159000	If everyone's age is similar to mine, you may remember this movie called Beauty and the Beast.
159000	163000	It talks about the process of American mathematician John Nash.
163000	169000	He was also a very smart person, but when he was young, he had a visual impairment,
169000	173000	so his entire academic career was interrupted for a while.
173000	176000	This movie and book can be seen.
176000	182000	So the main disease I'm talking about today is probably schizophrenia.
182000	185000	In Chinese, it means a visual impairment.
185000	188000	His past name was schizophrenia.
188000	192000	But because of this name, there was some misunderstanding,
192000	195000	so it was later changed to a visual impairment.
195000	200000	This disease is mainly studied for two reasons.
200000	203000	The first is that it is the most serious mental illness.
203000	206000	The second is that this disease itself,
206000	210000	we think it is a biological disease,
210000	214000	not because of a psychological defect or a psychological problem,
214000	217000	but because the brain is sick due to this disease.
217000	221000	The expression of this disease itself is that there are some delusions,
221000	225000	such as that someone wants to harm me,
225000	228000	and then some people will have some hallucinations.
228000	231000	Obviously there is no sound next to him, but he keeps hearing someone talking to him,
231000	233000	and he keeps hearing a lot of sounds.
233000	236000	Or when the whole brain is in a mess,
236000	239000	he will have some lost language and behavior,
239000	243000	and he will stammer, speechless, and so on.
243000	246000	There are also some so-called negative symptoms.
247000	252000	For example, if an ordinary person is locked in a room without a book or a computer,
252000	255000	he may feel bored soon.
255000	258000	But when the negative symptoms are more serious,
258000	261000	he will become uninterested in everything and don't want to do anything.
261000	264000	You may just want to stare blankly,
264000	267000	and then slowly become less and less words and less and less expressions.
267000	269000	This is the so-called negative symptoms.
269000	271000	The vitality that ordinary people have,
271000	273000	the things they want to do will slowly disappear.
273000	275000	This is the negative symptom.
275000	277000	Generally speaking, the diagnosis of negative symptoms
277000	281000	is to make a diagnosis based on these statements.
281000	287000	The probability of survival is about 1% in the whole population.
287000	290000	The probability of survival is about 1% in the whole world.
290000	292000	So we think this is a disease of the brain.
292000	296000	It won't have too much impact because of cultural differences.
298000	300000	For such a disease,
300000	304000	in fact, we should choose the so-called antipsychotic treatment.
304000	307000	We will use this antipsychotic drug for treatment.
307000	309000	There are two meanings of this treatment.
309000	311000	One is the control of symptoms.
311000	314000	When your brain has a lot of delusions and hallucinations,
314000	317000	we need to rely on this drug to let our delusions and hallucinations
317000	319000	be under control.
319000	322000	When the symptoms get better,
322000	323000	in fact, we still have to take medicine.
323000	326000	What we need to do is relapse prevention,
326000	328000	which is to prevent relapse.
328000	329000	In some past studies,
329000	330000	people who stop taking medicine,
330000	332000	compared to those who continue to take medicine,
332000	335000	the chance of relapse is about five times.
