start	end	text
0	12000	Thank you, Dr. He Wei-Ching, for giving us an online lecture.
12000	16000	My host today is me, I am Jay Chou.
16000	20000	I am currently working as a postdoc at MD Anderson Cancer Center.
20000	26000	Today I will introduce some of Dr. He Wei-Ching's background.
26000	36000	Dr. He Wei-Ching received her master's degree from the Department of Life Sciences, National Taiwan University, from 2004 to 2008.
36000	46000	She then received her master's degree from the Institute of Zoology, National Taiwan University, from 2008 to 2010.
46000	54000	After receiving her master's degree, she worked as a research assistant at the Department of Life Sciences for one year.
54000	66000	From 2011 to 2017, she received her Ph.D. degree from the Department of Ecology and Evolutionary Biology at the University of Michigan.
66000	76000	After receiving her Ph.D. degree, she is currently working as a postdoc research associate at the Center for the Mechanism of Evolution,
76000	84000	and a postdoc research associate at the Biodesign Institute, Arizona State University.
84000	90000	Today, I am honored to invite Dr. He Wei-Ching to give us an online lecture.
90000	98000	Her topic is Understanding Biology by Replaying the Type of Life, Experimental Evolution of the E. coli as an Example.
98000	102000	Let's welcome Dr. He Wei-Ching to give us an online lecture.
106000	113000	Thank you for the introduction, and thank you, Tara, for giving me the opportunity to share my recent research with you.
114000	129000	I am a biophysicist, and my main concern is to study the diversity of life, how it evolves, and how we can predict the evolution of life.
129000	138000	Today, I am going to share with you some of the experiments that I am doing in the lab, using E. coli as a model species.
139000	142000	I am a postdoc at Arizona State University.
142000	158000	We all know that biodiversity is very diverse in this world.
158000	163000	This problem also confuses many biophysicists.
163000	168000	How do these biodiversity evolve?
168000	185000	Normally, many biophysicists go to the wild to observe these different forms of life, and then try to find some similarities with the different environmental factors in the wild.
185000	190000	Can you explain how these diversities evolve?
191000	201000	However, such research is usually difficult because there are too many environmental factors in the wild, so sometimes the researchers do not know which one to look at.
201000	212000	Therefore, it would be easier for everyone to study the evolution of biodiversity in a situation where there is a better control of mutations.
213000	231000	In this situation, the famous ancient biologist Stephen Jay Gould wrote the book Wonderful Life.
231000	242000	This book mainly talks about the evolution of biodiversity related to the Cambrian explosion in the Berger scale.
242000	248000	More importantly, he proposed an experimental idea in this book.
248000	264000	In other words, if you can see so many diversities on Earth, we will begin to think about whether the biodiversity in the biological world is a natural result of evolution or just a random result.
264000	271000	To distinguish whether it is a natural result or a random result, an experiment may be helpful to explain this.
271000	285000	If you can press a button to wash away the previous biological evolution process to the very, very beginning stage, then you keep pressing the play button,
285000	291000	and every time you press the play button, you will see if the biological evolution will have the same result.
291000	300000	If this happens repeatedly, it means that the diversity we see is a natural result of evolution, not a random result.
300000	315000	At the time of this idea, he said in the book that he was very sad, because in fact this kind of experiment can only be thought of, and there is no way to do it.
315000	330000	However, in recent years, due to the development of experimental technologies in the laboratory and the progress of various molecular technologies, many people have tried to do so-called experimental evolution in the laboratory.
330000	340000	In the process of experimental evolution, we can repeat many times of evolution and do it in a better environment.
340000	353000	The most famous experimental evolution is Richard Alensky's E. coli long-term experimental evolution.
354000	362000	This is Richard Alensky and his E. coli long-term population.
363000	371000	He started doing this experiment in 1988, and so far there have been more than 60,000 generations.
372000	383000	He put the E. coli in the Glucose Minimum Media and passed it on to the new media every day.
384000	400000	When he started this experiment, he had a total of 12 parallel populations, so he repeated the evolution process 12 times.
401000	415000	Over the course of more than 20 years of evolution, his laboratory sent a lot of documents to introduce what happened to his E. coli.
416000	425000	In his reports on different phenotypes and genotypes, he also found different levels of repetition.
425000	433000	For example, in all of his populations, he saw an increase in fitness and even an increase in cell size.
433000	436000	He argued that this may be related to nutrient acquisition.
437000	445000	However, in all of his populations, he only observed that half of the population would evolve to a higher rate of mutation.
446000	466000	What he found more novel was that in all 12 populations, there was one population that evolved to use another chemical in the environment, citrate, as a carbon source of nutrient composition.
467000	479000	At the same time, he also observed some parallelism on genotypes, which means that some mutations are easier to detect than other mutations.
480000	485000	At the same time, he also saw that within this population, they began to form population structures.
486000	497000	However, after these discoveries, we have to ask, because he was only doing this in the same environment.
498000	510000	If we want to fully understand how to predict the results of a mutation, we are not sure whether the phenomena he observed only occurred in the environment he started or in the bacteria he used.
510000	518000	What is more important is that there are many different types of evolutionary forces in the process of mutation.
519000	527000	Different evolutionary forces have different types, some of which will lead to de-mutation, some of which will lead to evolution, and so on.
527000	542000	If we want to better understand the predictability of mutation, we will want to understand that these different evolutionary forces are related to different types of mutations.
542000	546000	In the process of evolution, there are many different forces that will result in evolution.
546000	558000	The most famous is the natural selection. The natural selection will lead to deterministic results, and the deterministic results will lead to deterministic results.
558000	573000	In the process of evolution, there are many different forces that will result in evolution. The most famous is the natural selection.
573000	592000	The natural selection will lead to deterministic results, because if your genotype is higher than the fitness of other genotypes, the genotype will spread faster in the population.
593000	603000	However, evolution is not only the natural selection of a force. Many other forces are also very important, and they play a random role.
603000	615000	For example, mutation is the most basic force of evolution. Without mutation, it is basically impossible to produce a new shape.
616000	627000	Another force is recombination. Recombination allows different species to get a new combination of genetic material.
627000	635000	Another force, genetic drift, will also cause random changes.
636000	642000	Here are some examples of genetic drift.
642000	658000	Basically, genetic drift is the change in the frequency of genetic material in the evolution process of life.
659000	671000	You can imagine that there are some unpredictable factors in the evolution process, such as natural disasters that cause population size changes.
672000	683000	Interestingly, if the population size is smaller in the genetic drift effect, the genetic drift effect will be stronger.
683000	688000	Sometimes it will be so strong that the natural selection effect is overshadowed.
688000	696000	The following two graphs are simulation results.
697000	713000	This graph simulates the frequency of genetic mutations as the number of generations increases.
713000	731000	If there are only 20 individuals in this group, you will see that after the 10th and 20th generations, the mutation may jump from the original 0.5 frequency to 1.
731000	741000	This means that the entire population has this variation, or this variation is gone when the frequency of its variation becomes 0.
742000	749000	However, if the population size is 2000, you will see that the frequency of its variation is very small.
749000	756000	What is the significance of this in evolution?
756000	772000	It is because sometimes, as we just said, in the evolution process of the population, it may encounter some natural disasters or other environmental changes that cause the decline in the population size.
773000	780000	So there is a very famous example of genetic drift called the bottleneck effect.
780000	795000	As shown in this graph, if the population size is very large at the very beginning on the far left, then the balls of different colors seem to be different genetic variations.
795000	799000	At the beginning, the genetic composition may be very consistent.
799000	810000	However, when the population size begins to decline, you can imagine that only a small number of balls are drawn from many, many balls.
810000	813000	At this time, the genetic composition will change significantly.
813000	824000	When the population size decreases more and more, the frequency of genetic variation will change even more.
824000	832000	For example, in the end, you will find that the red part has gone from 20% to 70%.
843000	856000	Because there are different forces in the evolution process, we have carried out a lot of different experiments in the Lynch Lab where I am now.
856000	863000	We want to test whether the evolution forces of different species will change the evolution results.
864000	872000	In particular, we pay special attention to the impact of the mutation rate and the population bottlenecks.
874000	889000	In addition, we also want to try to see what would happen if the experimental evolution was carried out in a more complex environment.
889000	898000	In the previous Lynch Lab evolution process, the environment was relatively monotonous, with only glucose as its carbon source.
898000	917000	In our experimental design, we first chose a more complex cultivator, the LB cultivator.
918000	926000	In the LB cultivator, there are many different amino acids that can be used as the source of carbon.
927000	933000	In addition, we do not use the tracing bottle for experiments, but use the lynch lab for experiments.
933000	945000	When doing experiments in the lynch lab, you can imagine that there may be some differences in the degree of T in the entire lynch lab.
945000	950000	For example, the concentration of oxygen may be higher at the top and lower at the bottom.
950000	955000	We use this method to make the experimental environment more complex.
