start	end	text
0	7000	Hello, everyone. I'm Jason Hong.
7000	10000	I'm the host for today.
10000	24000	Today, we're honored to have two postdocs from the Japanese Institute of理化學研究所, RIKEN.
24000	30000	One is the founder of TAIRA, Ted Chang.
30000	35000	The other is Xu Chengxuan.
36000	45000	Ted Chang is a postdoctoral researcher at the Center for Emerging Sciences.
45000	55000	His research focuses on the interaction between light and light-emitting ions.
55000	59000	Chengxuan focuses on theory.
59000	76000	His research focuses on the interaction between spin-orbital interaction and Latin geoliquid effects on nanostructure.
76000	83000	We're honored to have them here today.
83000	103000	Today's topic is 2-Dimensional Electron Gas, 2DEC, Electronic and Application.
103000	118000	I'd like to ask Ted Chang to introduce 2-Dimensional Electron Gas.
118000	125000	Can you hear me?
133000	147000	Most of the audience is muted.
147000	152000	If you have any questions, please turn on the microphone.
153000	163000	There's a line on the right side of the screen, which means you're muted.
163000	172000	You can also leave a comment in the chat box on the right.
172000	179000	Hello, I'm Ted Chang.
179000	186000	Today I'm going to talk about 2DEC.
186000	189000	2DEC stands for 2-Dimensional Electron Gas.
189000	199000	We use semiconductors to generate different heterostructure materials.
199000	205000	We can also do some interesting experiments by adding some processes.
205000	228000	Later on, Ted Chang will talk about how to use 2DEC to generate heterostructure materials.
228000	237000	I'm going to talk about how to generate 2DEC.
237000	242000	We're going to talk about how to generate quantum dots.
242000	247000	In quantum dots, we can trap a single electron.
248000	259000	In this experiment, we're going to measure the direction of polarization of light.
259000	265000	The result is a single electron.
265000	270000	We can also generate entangled photons.
270000	274000	This is a technology that has been around for 20 years.
274000	282000	We can generate entangled photons and spins.
282000	288000	Let's talk about 2DEC.
288000	293000	Why do we want to enter 2DEC?
293000	306000	In fact, in 3D life, the phenomenon is different in 2D.
306000	309000	This is a very special example.
309000	319000	In 2D space, it is not possible for an animal to live in 2D space.
319000	321000	Why?
321000	326000	Because this dog will be separated by its digestive tract.
326000	334000	Dogs in 2D space are not likely to exist in 2D space.
334000	344000	Because the physical conditions in 2D space are different, there will be different phenomena.
344000	352000	What method do we use to observe 2DEC?
352000	359000	Let's talk about how 2DEC is generated.
359000	364000	We will also introduce some basic characteristics of 2DEC.
364000	380000	If we have different semiconductor materials, which phenomenon is the most important to characterize the good or bad of these materials?
381000	395000	From 2DEC, we will introduce how to control the production of electrons or even a single electron in the material.
395000	410000	How does 2DEC interact with a single electron?
410000	428000	This is a diagram of 3 different materials.
428000	435000	The left bottom corner is the material of gallium arsenide and aluminum gallium arsenide.
435000	440000	The band structure of these two materials is different.
440000	463000	The band structure on the left is the material of gallium arsenide, and the band structure on the right is the material of aluminum gallium arsenide.
463000	471000	When the two materials are stacked together, a quantum well is generated.
471000	486000	In the middle of the quantum well, the Fermi energy, which occupies the highest electromagnetic field, can be adjusted.
486000	515000	The material of gallium arsenide can move freely in the 2D space.
515000	522000	At the same time, different materials can be used to make similar 2DEC.
