start	end	text
0	9000	Hello, everyone. I'm the host of Taira, Hong Shih-an.
9000	18000	We're honored to invite Hong Wei to give a speech.
18000	26000	Hong Wei is now at North Carolina University.
26000	31000	He graduated from the Department of Chemistry at the National University of Transportation.
31000	35000	He entered North Carolina University in 2015.
35000	41000	He is mainly engaged in the study of light chemistry, energy materials, and nanoparticles.
41000	48000	He is interested in scientific writing and serves the science communication group in and out of the university.
49000	56000	The topic of his speech today is Near Field Optical Spectroscopy.
56000	61000	This is a very popular topic recently.
61000	64000	Let's invite him to give a speech.
64000	71000	Now you can turn on the microphone and give our speaker a round of applause.
71000	73000	Remember to turn on the microphone.
73000	75000	Let's start.
79000	83000	Thank you, everyone.
83000	86000	Thank you, Jason and Project Taira for giving me this opportunity.
86000	91000	Today, I would like to share the Near Field Optical Spectroscopy.
91000	96000	Sometimes, we also call it NAMI optical nanospectroscopy.
96000	104000	Today, I would like to introduce to you why we do this technology and how it is done.
104000	112000	NAMI optical nanospectroscopy is an application of NAMI 경찰institute for light.
112000	117000	For NAMI optical nanospectral?
118000	125000	We consider ourselves NAMI optical nanosceptical
125000	135000	We are located at the University of North Carolina,
135000	140000	at the campus of the church.
140000	145000	Our lab focuses on the development of NAMI optical nanospectral.
145000	150000	This is our program host, Dr. Joanna Atkin.
150000	160000	NAMI optical nanospectral is a heterogeneity.
160000	165000	The concept is like a chocolate wall.
165000	170000	If you look far away, you may only see a piece of green.
170000	175000	But if you look closely, you will find that it is a round chocolate wall.
175000	180000	And if you look closer, you may find that each shape is different.
180000	185000	Even the angle of each array is different.
185000	190000	This heterogeneity is often used in research materials.
190000	195000	We define it as a mesoscale structure.
195000	200000	This is the structure of the mesoscale structure.
200000	205000	This is the structure of the mesoscale structure.
205000	210000	The distribution is about nanometer to micrometer length scales.
210000	215000	Sometimes we deliberately introduce these heterogeneous structures for specific needs.
215000	220000	But sometimes it is inevitable.
220000	225000	When you generate molecules or materials, there will be heterogeneous structures.
225000	230000	This is a sample of a semiconductor with a molecule.
230000	235000	This is a sample of a semiconductor with a molecule.
235000	240000	This molecule generates two heterogeneous structures.
240000	245000	This molecule is a very chaotic structure.
245000	250000	This molecule is a very chaotic structure.
250000	255000	And the generation preference of the accelerator called hydrogen acetate is not available.
255000	260000	Most applications use hydrogen acetate for...
260000	265000	Most applications use hydrogen acetate for...
265000	270000	Some applications use hydrogen acetate for..
270000	275000	Some applications use hydrogen acetate for..
335000	340000	Long-distance scanning.
340000	345000	Long-distance scanning.
345000	350000	Long-distance scanning.
350000	355000	Long-distance scanning.
355000	360000	Long-distance scanning.
360000	365000	Long-distance scanning.
365000	370000	Long-distance scanning.
370000	375000	Long-distance scanning.
375000	380000	Long-distance scanning.
380000	385000	Long-distance scanning.
385000	390000	Long-distance scanning.
390000	395000	Long-distance scanning.
395000	400000	Long-distance scanning.
400000	405000	Long-distance scanning.
405000	410000	Long-distance scanning.
410000	415000	Long-distance scanning.
415000	420000	Long-distance scanning.
420000	425000	Long-distance scanning.
425000	430000	Long-distance scanning.
430000	435000	Long-distance scanning.
435000	440000	Long-distance scanning.
440000	445000	Long-distance scanning.
445000	450000	Long-distance scanning.
450000	455000	Long-distance scanning.
455000	460000	Long-distance scanning.
460000	465000	Long-distance scanning.
465000	470000	Long-distance scanning.
470000	475000	Long-distance scanning.
475000	480000	Long-distance scanning.
480000	485000	Long-distance scanning.
485000	492000	Optical Range
492000	501000	Optical Range.
501000	506000	Optical Range.
506000	511000	Optical Range.
511000	521000	Optical Range.
521000	531000	Optical Range.
531000	551000	Optical Range.
551000	561000	Optical Range.
561000	571000	Optical Range.
571000	581000	Optical Range.
581000	591000	Optical Range.
591000	601000	Optical Range.
601000	611000	Optical Range.
611000	631000	Optical Range.
631000	641000	Optical Range.
641000	651000	Optical Range.
651000	671000	Super Resolution Microscopy
671000	699000	Super Resolution Microscopy.
699000	709000	Super Resolution Microscopy.
709000	719000	Super Resolution Microscopy.
719000	739000	Super Resolution Microscopy.
739000	759000	Super Resolution Microscopy.
759000	779000	Super Resolution Microscopy.
779000	799000	Super Resolution Microscopy.
799000	809000	Super Resolution Microscopy.
809000	819000	Super Resolution Microscopy.
819000	839000	Super Resolution Microscopy.
839000	849000	Super Resolution Microscopy.
849000	859000	Super Resolution Microscopy.
859000	879000	Super Resolution Microscopy.
879000	899000	Super Resolution Microscopy.
899000	909000	Super Resolution Microscopy.
909000	919000	Super Resolution Microscopy.
919000	939000	Super Resolution Microscopy.
939000	959000	Super Resolution Microscopy.
959000	969000	Super Resolution Microscopy.
969000	979000	Super Resolution Microscopy.
979000	989000	Super Resolution Microscopy.
989000	999000	Super Resolution Microscopy.
999000	1009000	Optical Antenna.
1009000	1019000	Optical Antenna.
1019000	1039000	Optical Antenna.
1039000	1059000	Optical Antenna.
1059000	1069000	Optical Antenna.
1069000	1079000	Optical Antenna.
1079000	1099000	Optical Antenna.
1099000	1119000	Optical Antenna.
1119000	1139000	Optical Antenna.
1139000	1159000	Optical Antenna.
1159000	1169000	Optical Antenna.
1169000	1179000	Optical Antenna.
1179000	1199000	Optical Antenna.
1199000	1219000	Optical Antenna.
1219000	1229000	Optical Antenna.
1229000	1239000	Optical Antenna.
1239000	1259000	Super Resolution Microscopy.
