start	end	text
0	7000	Hello, everyone. Welcome to today's TerraTalk.
7000	12000	We are very honored to have Wang Chenghe in Germany to give us a speech.
12000	19000	The topic of today's speech is Coupling Cell-Cell Adhesion to Cell Polarization.
19000	24000	It is mainly a research on biophysics.
24000	36000	First, let me introduce our speaker today.
36000	40000	Our speaker today is Wang Chenghe.
40000	42000	He is currently in Germany.
42000	44000	He graduated from the University of Taiwan Institute of Technology.
44000	49000	When he was a master's thesis, he did a preliminary personalized breast cancer drug test.
49000	57000	After graduation, he served in Taiwan for three years in the light company.
57000	60000	The main thing is to do 3D laser imaging development.
60000	66000	After graduation, he did a measurement study of cell grafting in the Institute of Medical Sciences.
66000	72000	Then, from his previous field in the Institute of Medical Sciences, he switched to the field of biophysics.
72000	79000	Currently, he is a doctoral student at the Max Planck Institute of Cell Biology and Genetics in Germany.
79000	83000	What he is studying now is what he is going to tell us today.
83000	89000	It is the early cell-cell adhesion study of cell polarization.
89000	96000	We remind everyone that we have to turn on the microphone to applaud our speaker.
96000	99000	Let's applaud to welcome our speaker.
99000	104000	Thank you all. Please start.
104000	106000	Thank you all.
106000	110000	I just introduced myself. I am Wang Chenghe.
110000	113000	I am now in the third year of my doctoral studies.
113000	118000	I am going to share with you my research in the past three years.
118000	123000	If you have any questions later, you can interrupt me.
123000	126000	You can interrupt me and ask questions directly.
126000	128000	We can discuss at the same time.
128000	131000	If you have any questions, please say a phrase first.
131000	133000	Then ask your question.
133000	135000	Otherwise, I may continue to talk at once.
135000	138000	Because there is a lag, I am afraid that this will be interfered with.
138000	142000	I am currently a doctoral student in Germany.
142000	149000	My research is actually looking at the connection between cells and the relationship between cell polarization.
149000	152000	This is a very big topic.
152000	155000	I don't know what the background is today.
155000	158000	So I prepared a simple general introduction.
158000	162000	The main thing is to connect cells.
162000	167000	You should know that we have learned from high school students that cells are composed of organs.
167000	172000	So cells have a regular arrangement in the animal body.
172000	176000	It can be arranged into different organs or organs with different functions.
176000	179000	One of the organs is called the epithelium.
179000	182000	In Chinese, it is the upper arm cell.
182000	186000	It basically consists of cells in the animal body.
186000	190000	It is a cell organ that surrounds these cells.
190000	195000	For example, like your kidney or your stomach.
195000	198000	These cells will have such a cell on top.
198000	201000	As you can see, this is my mouse.
201000	202000	It doesn't matter.
202000	206000	Anyway, one of the features of this cell is that when it forms a cell,
206000	209000	it is mainly a simple single cell.
209000	213000	Then go around this cell to form such a structure.
213000	215000	You can see that the lower right corner is a multi-layer cell.
215000	219000	But most of them are actually single cells that form such a structure.
219000	223000	Why does this cell form such a structure?
223000	224000	And what mechanism do they have?
224000	227000	In fact, this has been studied for a very, very long time.
227000	232000	Such a single cell is connected to a single cell.
232000	236000	They actually have some common features to share.
236000	241000	One of the features is that there is a tree on top of it.
241000	247000	It is an epithelial membrane that does not connect to anything.
247000	248000	We call it epithelial membrane.
248000	251000	There is nothing on this cell.
251000	253000	It can be said that there is no contact with any cell
253000	254000	or this kind of epithelial membrane.
254000	256000	It is epithelial membrane.
256000	259000	Then there will be some connections between cells.
259000	260000	Because you know that these cells are linked together.
260000	263000	So it is very intuitive to think that they form a connection.
263000	265000	This connection is what we call a lateral membrane.
265000	268000	The third membrane is the basal membrane.
268000	271000	The basal membrane is the membrane that the cell connects to the external environment,
271000	277000	the ECM, or the reflection environment of the cell.
277000	278000	Basal membrane.
278000	284000	So there are only three main membranes in this cell.
284000	288000	Everyone is very curious about how the cell controls each cell
288000	292000	so that these three membranes can be placed well
292000	294000	and form a connection at the same time.
294000	296000	Then it will not form a strange shape,
296000	299000	but a slightly organized shape.
299000	303000	So this matter, whether in biophysics or biophysics,
303000	306000	is actually a problem that has been studied for a very long time.
306000	310000	To do this kind of research, you can use a lot of different materials.
310000	312000	You can do mouse experiments.
312000	313000	You can do things.
313000	314000	You can do anything.
314000	315000	You can do cell lines.
315000	318000	Like me, I focus on using cell lines.
318000	320000	So I don't do animal experiments.
320000	323000	The cell line I use is a cell called MDCK.
323000	325000	MDCK cells are mainly...
325000	328000	The origin of MDCK cells is the sacral tube of the dog.
328000	331000	So it will form a wall.
331000	333000	It will form a tube.
333000	334000	Let's say a tube.
334000	337000	But in fact, in a lot of research, it just forms a sphere.
337000	338000	OK, anyway, I don't care.
338000	341000	Our study model,
341000	344000	it looks for two cells from one cell.
344000	345000	Everyone knows the cell division.
345000	348000	After the division, it will form a cell-cell connection at the beginning.
348000	350000	Let me find a reference here.
350000	351000	Its label is green.
