start	end	text
0	7000	Hello, everyone. Good evening. Welcome to today's Tower Talk.
7000	12000	Today, we are very honored to have our speaker, Lucas Peng,
12000	17000	to talk to us about this. Basically, he just graduated from his doctorate thesis.
17000	21000	Clocked atom delivery to a photonic crystal waveguide.
21000	25000	And then there's the simulation part, and then there's the experimental part.
25000	31000	And then he used to be in the Kimball Group at the California Institute of Technology, doing quantum optics.
31000	36000	So let me introduce the background of Lucas Peng.
36000	45000	Wait a minute, I'll turn it off.
45000	65000	Lucas Peng's doctoral research is mainly focused on the quantum simulation platform by trapping atoms close to the surface of photonic crystal waveguide.
65000	71000	And then after he got his doctorate, he went to a company in North Carolina called AO Sensing,
71000	75000	which is currently developing quantum sensing technology.
75000	78000	Lucas Peng is actually a senior at the California Institute of Technology.
78000	81000	He was originally a biophysicist at the University of Taiwan.
81000	85000	And then after graduation, he went to Caltech and got his doctorate.
85000	88000	And now he's in North Carolina.
88000	90000	He's going to talk to us about the topic I just talked about.
91000	94000	If you want to applaud, you have to turn on the microphone.
94000	96000	Otherwise, our speakers won't be able to hear you.
96000	100000	So let's applaud and welcome Lucas Peng to give us today's speech.
100000	104000	Thank you.
104000	106000	Okay, you can start.
106000	110000	Thank you, Mr. Zhang, for giving me the opportunity to share my research.
110000	115000	If you have any questions during my presentation, please feel free to interrupt me at any time.
116000	120000	The topic I'm going to talk about today is my Ph.D. research.
120000	127000	It's mainly about how to put color atoms near the photonic crystal waveguide.
127000	134000	The main purpose is that if you can successfully capture the atoms near the photonic crystal waveguide,
134000	137000	you can use it as a quantum simulation platform.
138000	144000	First, I'm going to talk about our experimental system.
144000	149000	This is the transparent photonic crystal waveguide.
149000	155000	The atoms are trapped in the gap between the two waveguides.
155000	159000	So let me first explain why this system is different from other systems,
159000	163000	such as nanofiber or cavity QED.
163000	166000	What's the difference? What's the advantage?
166000	170000	And of course, what challenges will it bring?
170000	176000	Next, I'm going to introduce a simulation program I developed.
176000	183000	It simulates how atoms move near the photonic crystal waveguide.
183000	189000	And it calculates a 2D spectrum using these simulations.
189000	194000	After getting this spectrum, we can understand the behavior of atoms near the waveguide.
194000	200000	Finally, it will show some experiment results and compare them with the simulation results.
200000	205000	Then we can see what conclusions we can get from it.
205000	213000	First of all, the purpose of this research is to achieve a very strong interaction between light and atoms.
213000	215000	Why is this important?
215000	222000	In the study of quantum technology, such as quantum mechanics or quantum information,
222000	226000	we usually use light to transmit quantum information.
226000	232000	When the quantum information is transmitted, we hope it will be transferred to another system.
232000	235000	Because these systems have a longer lifetime,
235000	240000	the quantum information can be kept longer to do more processing.
240000	249000	In the field of ML, one of the research directions is to transfer quantum information from light to atoms.
249000	253000	To do this, we need a very strong interaction between light and atoms.
253000	259000	Of course, the simplest way is to focus light on a very small area,
259000	261000	which is about a wavelength.
261000	266000	Then put an atom in the focal length to interact with light and atoms.
266000	275000	The limitation of this method is that the area of light is ultimately limited by the wavelength.
275000	281000	In this way, the probability of interaction between light and atoms is very low.
281000	284000	How to make this probability higher?
284000	288000	One way is to put the atom in a cavity.
288000	292000	You can imagine that the light is reflected in the cavity.
292000	296000	Every time the light passes through the atom, it will have one more chance to interact with the atom.
296000	301000	In this way, the probability of interaction between light and atoms can be greatly increased.
301000	311000	In addition to using a cavity, you can also use a resonator structure like this microtoray.
311000	313000	In fact, it is a bit like a cavity.
313000	315000	The light will keep circling in this circle.
315000	319000	Every time the light passes through the atom, it will have one more chance to interact with the atom.
320000	323000	Another way is to increase the number of atoms.
323000	325000	For example, the Rieper atom.
325000	328000	As long as one of the atoms interacts with the light,
328000	335000	it will move to a high quantum number state.
335000	339000	In this way, it can block other atoms and continue to interact with the light.
339000	346000	So it seems that one atom can be equivalent to a huge atom.
347000	354000	What I just said is that the light is reflected back and forth in the cavity.
354000	361000	Another way is to imagine that the cavity changes the density of light.
361000	364000	So the atoms can have more states to interact with.
364000	368000	This is another way to look at it.
369000	375000	In addition to the cavity QED, there is another system called waveguide QED.
375000	383000	The waveguide QED is a model that can be seen as a very thin fiber and an atom.
383000	386000	When the light moves in this fiber,
386000	390000	you can imagine that it has an input capacitor,
390000	398000	a transmittance and a reflection capacitor.
398000	408000	You can calculate the reflection formula of this system.
408000	410000	The most important number in it is gamma1d.
410000	420000	Gamma1d is the probability that the light will move to the fiber after the atom decays.
420000	424000	Because we want a very strong interaction between light and atoms,
424000	426000	the higher the probability, the better.
426000	434000	Gamma' is the probability that the light decays to other unnecessary states in space.
435000	443000	The research of strong atom-photon coupling is to make gamma1d higher and better.
443000	445000	How to make it higher?
445000	448000	There are several ways to do it.
448000	452000	One way is to reduce the molar area.
452000	457000	The smaller the area, the higher the probability of interaction between light and atoms.
457000	462000	Another way is to reduce the proof velocity.
462000	466000	Proof velocity means that the slower the light moves in the fiber,
466000	469000	the more chance it has to interact with the atoms.
474000	478000	An important figure of merit is gamma1d to gamma'.
478000	482000	The light decays to the state you want,
482000	484000	which is the state in the fiber.
484000	489000	The light decays to the state you want, which is the state in the fiber.
493000	497000	The system we made in the lab is a finite crystal waveguide.
497000	500000	What is the difference between a finite crystal waveguide and a normal light fiber?
500000	509000	The point is that the distance from the light fiber to the atom is limited by the wavelength.
509000	516000	The ratio of gamma1d to gamma' is about 4% in the current experiment.
516000	523000	90% of the light does not interact with the atom, but only passes through the atom.
523000	529000	In theory, if the light can be captured very close to the finite crystal waveguide,
529000	533000	gamma1d over gamma' can be increased to about 20.
533000	541000	In this way, only 0.2% of the light will interact with the atom.
543000	548000	Why is gamma1d over gamma' so high?
548000	555000	The reason is that the finite crystal waveguide allows you to control the group velocity.
555000	559000	For example, if the light is very close to the finite crystal band edge,
559000	561000	the group velocity becomes very low.
561000	568000	For example, in our system, the group velocity can only be 1 tenth of the light.
568000	574000	Another reason is that the finite crystal waveguide can be made into a variety of shapes.
574000	579000	You can design this shape to limit the light in a very small range.
579000	585000	For example, the system we use allows the light to be concentrated in the middle gap.
586000	591000	This allows the light to be limited to a smaller area than the wavelength.
591000	594000	This can greatly improve the interaction between light and atoms.
597000	602000	In this system, light is an atom, and it can reflect almost all light.
602000	605000	You can imagine it as a quantum mirror.
606000	613000	Waveguide QED, in addition to the finite crystal waveguide called Alligator,
613000	615000	also has a variety of applications.
615000	619000	For example, you can extend the heat of the light,
619000	623000	and it will become a very thin light, the nano fiber.
623000	627000	You can also put some trees in it.
627000	631000	It will form some traps in the environment.
631000	636000	This will capture the atoms around the light.
636000	641000	Another system, like Huffle's Looking Group,
641000	644000	is also a finite crystal waveguide.
644000	648000	They use an optical tweezer to hold the atom,
648000	652000	and drag it near the finite crystal waveguide.
652000	657000	This allows it to interact with the guided mode in the finite crystal waveguide.
658000	662000	At Purdue University, they also have a system
662000	667000	that uses an optical tweezer to capture the atoms
667000	673000	near the finite crystal waveguide.
677000	681000	Another special feature of the finite crystal waveguide is...
681000	683000	One more question.
683000	685000	This is a general question.
685000	688000	What kind of material do you use for structures like this?
688000	695000	It depends on what kind of waveguide you want to transmit the light.
695000	699000	You want it to be as transparent as possible.
699000	705000	For example, the CZM waveguide we use is 890nm.
705000	708000	We use Zirconitride.
714000	716000	Got it. Thank you.
716000	722000	So you can choose the material you want based on the wavelength you want.
722000	725000	For example, we often use Telecom Waveband.
725000	729000	You can also use materials like Silica.
732000	734000	A special feature of the waveguide
734000	736000	is that you can design your waveguide
736000	742000	to have different wavelengths in different frequencies.
742000	745000	For example, this is a bandstructure graph.
745000	748000	The horizontal axis is the wave number,
748000	751000	and the vertical axis is the frequency.
751000	753000	You can see that at this frequency...
753000	756000	For example, at a certain frequency, the light can't fall inside.
756000	759000	This is a concept called bandgap.
759000	763000	At the edge of the bandgap,
763000	767000	you can see that the dΩdk is equal to 0.
767000	770000	This means that the group velocity is very small.
770000	774000	So in this case, the density of states is very high.
774000	778000	So if the frequency of the original wave is around here,
778000	782000	you can imagine that it can interact with many states.
782000	785000	This can greatly increase the probability of decaying to the state.
