start	end	text
0	6000	Hello, everyone. Welcome to today's Chara Talk.
6000	10000	Today, we are honored to invite Dr. Wu Jiazhen,
10000	13000	who is currently at Winstead University,
13000	15000	to share his research with us.
15000	17000	Today's topic is
17000	20000	MicroBioEcology of Activated Carbon Block
20000	23000	Point-of-Use Drinking Water Filters.
23000	26000	There are several special terms here,
26000	28000	which he will introduce to us later.
28000	30000	Before we get started,
30000	33000	I would like to introduce Jiazhen's background.
33000	39000	Jiazhen is an Environmental Microbiologist.
39000	43000	He got his Ph.D. from the University of Michigan.
43000	45000	Before he got his Ph.D.,
45000	48000	he studied Public Health at NTU,
48000	51000	and his Master's Degree was Environmental Engineering.
51000	55000	Before that, he did research on tap water in Taiwan.
55000	59000	So it makes sense that he started to focus on this direction.
59000	65000	He is currently at the Institute of Environmental Health Science
65000	68000	at Winstead University, Detroit, Michigan.
68000	73000	The main topic he will share with us today is his research.
73000	79000	In addition to his research,
79000	83000	of course, I believe that research is also one of your interests.
83000	85000	In addition to his research,
85000	90000	Jiazhen is also a pianist and a hiker.
90000	97000	Let's give him a round of applause.
97000	101000	Let's give him a round of applause.
109000	111000	Thank you for the introduction.
111000	115000	Jiazhen just gave a very complete introduction.
115000	118000	When I was at NTU,
118000	122000	I did research on microorganisms.
122000	125000	When I entered the Institute of Environmental Engineering,
125000	128000	I studied microorganisms in tap water.
128000	131000	Because of these past experiences,
131000	137000	I started to read my Ph.D. at the University of Michigan in 2013.
137000	145000	I read a lot of books about the microorganisms in tap water.
145000	152000	I will use Chinese and English to introduce my Ph.D. thesis.
152000	156000	The topic I want to talk about today is
156000	166000	the study of biochemical and biological microorganisms in tap water.
166000	170000	The so-called activating carbon block point-of-view
170000	174000	drinking water filter is actually a very common filter
174000	177000	that can be seen in the market.
177000	184000	This filter uses carbon dioxide to remove some chemicals.
184000	190000	In fact, from my past research on microorganisms in water
190000	192000	or in tap water,
192000	195000	I gradually discovered that
195000	199000	the changes in microorganisms in tap water
199000	204000	and the chemical reaction between microorganisms and tap water
204000	208000	are very complicated and change a lot.
208000	212000	Since my background is not in the field of environmental engineering,
212000	216000	I will briefly introduce tap water.
217000	220000	Tap water enters the water supply system
220000	223000	through the water supply system.
223000	226000	This diagram shows that
226000	229000	in the water supply system,
229000	233000	there are various reactions in the process of
233000	236000	delivering tap water to various households
236000	239000	or buildings in large water pipes.
239000	242000	In fact, there are a variety of reactions
242000	247000	or various interactions in the process of delivering tap water.
247000	255000	For example, the bacteria may live in the liquid.
255000	261000	There may be competition between different bacteria,
261000	266000	and they may grow more or less.
266000	268000	At the same time,
268000	278000	they may also be inactivated by the disinfectant in the tap water.
278000	281000	So there will be growth and death.
281000	284000	There may also be absorption of
284000	287000	some particles in the tap water,
287000	290000	or absorption on the tap water pipe,
290000	293000	and then form a biofilm.
293000	298000	This biofilm may also be re-returned to the tap water
298000	303000	through the purification of the tap water.
303000	306000	In fact, in our household,
306000	309000	if you open your chest,
309000	312000	the water that flows out of the chest,
312000	315000	and the other bacteria,
315000	318000	there is a lot of water in the tap water.
318000	323000	There may be more than 10,000 to more than 10 million bacteria per liter.
323000	326000	There is a word in our topic just now,
326000	329000	Point of Use.
329000	332000	It is simply the meaning of the word.
332000	335000	The so-called point of use.
335000	339000	We don't just look at the water quality after the tap water comes out.
339000	342000	We are looking at the water quality
342000	345000	through the tap water system.
345000	348000	We are looking at the water quality
348000	351000	through the tap water system.
351000	354000	It may be one day, it may be several days,
354000	357000	or it may be a few hours.
357000	360000	At this time,
360000	363000	when it comes to our household,
363000	366000	our company, and our school,
366000	369000	after opening the tap,
369000	372000	that place is called the point of use.
372000	375000	This is the concentration when it first comes out.
375000	378000	There are tens of thousands of bacteria per liter.
378000	381000	There are tens of thousands of bacteria per liter.
381000	384000	It sounds terrible,
384000	387000	but in fact, most of the bacteria are not necessarily harmful to the human body.
387000	390000	Traditionally,
390000	393000	the so-called bacteria that are more concerned
393000	396000	the so-called bacteria that are more concerned
396000	399000	are related to intestinal or feces pollution.
399000	402000	Like intestinal fungus,
402000	405000	like intestinal fungus,
405000	408000	like Shigella,
408000	411000	which is the most traditionally recognized bacteria
411000	414000	for decades.
414000	417000	So there are rules to regulate the concentration
417000	420000	of more than one CFU per liter.
420000	423000	of more than one CFU per liter.
423000	426000	The other type of opportunistic pathogen
426000	429000	of the disease
429000	432000	may not necessarily harm everyone.
432000	435000	may not necessarily harm everyone.
435000	438000	Opportunistic means
438000	441000	the population that is more sensitive.
441000	444000	For example, the elderly,
444000	447000	the people with chronic diseases,
447000	450000	or people who are addicted to alcohol.
450000	453000	For people like this,
453000	456000	if they encounter such a pathogen,
456000	459000	if they encounter such a pathogen,
459000	462000	they may get sick.
462000	465000	These pathogens include
465000	468000	lupus,
468000	471000	leukemia,
471000	474000	and mycobacteria.
474000	477000	Because of the advancement of technology,
477000	480000	we slowly found that they can still be detected in the water.
480000	483480	These pathogens may be
483480	486000	more than one CFU
486000	489000	or ten CFU
489000	492000	per liter,
492000	495000	in epidemic areas.
495000	497000	...
497000	500000	for disinfectants
500000	503000	and chemicals.
503000	506000	...
506000	509000	Third,
509000	512000	bacteria resistant bacteria.
512000	515000	...
515000	518000	...
518000	521000	...
521000	524000	...
524000	527000	...
527000	530000	...
530000	533000	...
533000	536000	...
536000	539000	...
539000	542000	...
542000	545000	...
545000	548000	...
548000	551000	...
551000	554000	...
554000	557000	...
557000	560000	...
560000	563000	and
563000	566000	...
569000	572000	...
572000	575000	...
577000	580000	...
583000	586000	...
586000	589000	...
589000	592000	...
592000	595000	...
597000	600000	...
600000	603000	...
603000	606000	...
606000	609000	...
612000	615000	...
615000	618000	...
618000	621000	...
621000	624000	...
625000	628000	...
630000	633000	...
633000	636000	...
636000	639000	...
639000	642000	...
642000	645000	...
645000	648000	...
648000	651000	...
651000	654000	...
654000	657000	...
657000	660000	...
660000	663000	...
663000	666000	...
666000	669000	...
669000	672000	...
672000	675000	...
675000	678000	...
678000	681000	...
685000	688000	...
688000	691000	...
691000	694000	...
694000	697000	...
697000	700000	...
700000	703000	...
703000	706000	...
706000	709000	...
709000	712000	...
712000	715000	...
715000	718000	...
718000	721000	...
721000	724000	...
724000	727000	...
727000	730000	...
730000	733000	...
733000	736000	...
736000	739000	...
739000	742000	...
742000	745000	...
745000	748000	...
748000	751000	...
751000	754000	...
754000	757000	...
757000	760000	...
760000	763000	...
763000	766000	...
766000	769000	...
769000	772000	...
772000	775000	...
775000	778000	...
778000	781000	...
781000	784000	...
784000	787000	...
787000	790000	...
790000	793000	...
793000	796000	...
796000	799000	...
799000	802000	...
802000	805000	...
805000	808000	...
808000	811000	...
811000	814000	...
814000	817000	...
817000	820000	...
820000	823000	...
823000	826000	...
826000	829000	...
829000	832000	...
832000	835000	...
835000	838000	...
838000	841000	...
841000	844000	...
844000	847000	...
847000	850000	...
850000	853000	...
853000	856000	...
856000	859000	...
859000	862000	...
862000	865000	...
865000	868000	...
868000	871000	...
871000	874000	...
874000	877000	...
877000	880000	...
880000	883000	...
883000	886000	...
886000	889000	...
889000	892000	...
892000	895000	...
895000	898000	...
898000	901000	...
901000	904000	...
904000	907000	...
907000	910000	...
910000	913000	...
913000	916000	...
916000	919000	...
919000	922000	...
922000	925000	...
925000	928000	...
928000	931000	...
931000	934000	...
934000	937000	...
937000	940000	...
940000	943000	...
943000	946000	...
946000	949000	...
949000	952000	...
952000	955000	...
955000	958000	...
958000	961000	...
961000	964000	...
964000	967000	...
967000	970000	...
970000	973000	...
973000	976000	...
976000	979000	...
979000	982000	...
982000	985000	...
985000	988000	...
988000	991000	...
991000	994000	...
994000	997000	...
997000	1000000	...
1000000	1003000	...
1003000	1006000	...
1006000	1009000	...
1009000	1012000	...
1012000	1015000	...
1015000	1018000	...
1018000	1021000	...
1021000	1024000	...
1024000	1027000	...
1027000	1030000	...
1030000	1033000	...
1033000	1036000	...
1036000	1039000	...
1039000	1042000	...
1042000	1045000	...
1045000	1048000	...
1048000	1051000	...
1051000	1054000	...
1054000	1057000	...
1057000	1060000	...
1060000	1063000	...
1063000	1066000	...
1066000	1069000	...
1069000	1072000	...
1072000	1075000	...
1075000	1078000	...
1078000	1081000	...
1081000	1084000	...
1084000	1087000	...
1087000	1090000	...
1090000	1093000	...
1093000	1096000	...
1096000	1099000	...
1099000	1102000	...
1102000	1105000	...
1105000	1108000	...
1108000	1111000	...
1111000	1114000	...
1114000	1117000	...
1117000	1120000	...
1120000	1123000	...
1123000	1126000	...
1126000	1129000	...
1129000	1132000	...
1132000	1135000	...
1135000	1138000	...
1138000	1141000	...
1141000	1144000	...
1144000	1147000	...
1147000	1150000	...
1150000	1153000	...
1153000	1156000	...
1156000	1159000	...
1159000	1162000	...
1162000	1165000	...
1165000	1168000	...
1168000	1171000	...
1171000	1174000	...
1174000	1177000	...
1177000	1180000	...
1180000	1183000	...
1183000	1186000	...
1186000	1189000	...
1189000	1192000	...
1192000	1195000	...
1195000	1198000	...
1198000	1201000	...
1201000	1204000	...
1204000	1207000	...
1207000	1210000	...
1210000	1213000	...
1213000	1216000	...
1216000	1219000	...
1219000	1222000	...
1222000	1225000	...
1225000	1228000	...
1228000	1231000	...
1231000	1234000	...
1234000	1237000	...
1237000	1240000	...
1240000	1243000	...
1243000	1246000	...
1246000	1249000	...
1249000	1252000	...
1252000	1255000	...
1255000	1258000	...
1258000	1261000	...
1261000	1264000	...
1264000	1267000	...
1267000	1270000	...
1270000	1273000	...
1273000	1276000	...
1276000	1279000	...
1279000	1282000	...
1282000	1285000	...
1285000	1288000	...
1288000	1291000	...
1291000	1294000	...
1294000	1297000	...
1297000	1300000	...
1300000	1303000	...
1303000	1306000	...
1306000	1309000	...
1309000	1312000	...
1312000	1315000	...
1315000	1318000	...
1318000	1321000	...
1321000	1324000	...
1324000	1327000	...
1327000	1330000	...
1330000	1333000	...
1333000	1336000	...
1336000	1339000	...
1339000	1342000	...
1342000	1345000	...
1345000	1348000	...
1348000	1351000	...
1351000	1354000	...
1354000	1357000	...
1357000	1360000	...
1360000	1363000	...
1363000	1366000	...
1366000	1369000	...
1369000	1372000	...
1372000	1375000	...
1375000	1378000	...
1378000	1381000	...
1381000	1384000	...
1384000	1387000	...
1387000	1390000	...
1390000	1393000	...
1393000	1396000	...
1396000	1399000	...
1399000	1402000	...
1402000	1405000	...
1405000	1408000	...
1408000	1411000	...
1411000	1414000	...
1414000	1417000	...
1417000	1420000	...
1420000	1423000	...
1423000	1426000	...
1426000	1429000	...
1429000	1432000	...
1432000	1435000	...
1435000	1438000	...
1438000	1441000	...
