start	end	text
0	7000	Hello, everyone. Welcome to the last Tera Talk this year.
7000	13000	We are honored to have Dr. He Shuai-Pu at Princeton University.
13000	20000	He is going to talk about Large Millimeter Volumetric Array for CMB Observation.
20000	23000	Let me introduce Dr. He first.
23000	28000	He got his Ph.D. in Physics at Princeton in 2017.
28000	31000	He is now working as a postdoc at Princeton.
31000	39000	His main focus is Experimental Cosmology.
39000	44000	His main work is Detector and Readout Development.
44000	50000	He has participated in several flagship CMB experiments.
50000	62000	Such as ABS-Atacama BMO Search, ACT-POL, Advanced ACT, Simons Observatory, and CMBS-POL.
62000	68000	Before I start, I'd like to say that
68000	80000	our goal is to share our progress with Taiwanese students around the world.
80000	88000	We hope to increase the opportunities for cooperation and exchange.
88000	92000	If you are interested in participating in our project,
92000	96000	we hope you can sign up for our talk next year.
96000	100000	You can sign up for our talk on our Facebook page.
100000	105000	Without further ado, let's welcome Dr. He.
109000	111000	Hello, everyone.
111000	118000	I'm going to talk about Large Millimeter Volumetric Array for CMB Observation.
118000	125000	The topics I'm going to cover are mainly two experiments.
125000	131000	You can see ACT-POL on the right side of the page.
131000	133000	There are some collaborations.
133000	137000	They are mainly founded by NSF and Chile Conocet.
137000	142000	The other one is Simons Observatory.
142000	147000	You can see that the collaboration has become larger.
147000	151000	It's mainly founded by Simons Foundation.
151000	153000	Okay, let's move on.
153000	157000	There is a beautiful starry sky with our telescope.
157000	164000	You may be familiar with this picture.
164000	171000	On the left is the starting point, Big Ben.
171000	173000	Of course, there is an argument.
173000	175000	There is no Big Ben.
176000	183000	As time goes by, it becomes where we are now.
183000	189000	I mainly study cosmic background radiation, CMB.
189000	194000	It is the first light we can see.
194000	202000	It originated about 400,000 years ago.
202000	206000	Or 380,000 years ago.
206000	212000	What can we learn from this study?
212000	217000	When we look at CMB,
217000	225000	the first thing we look at is its intensity.
225000	232000	This is Planck's intensity map.
232000	236000	There are hot spots and cold spots.
236000	240000	It is a full sky observation.
240000	243000	In addition to intensity,
243000	250000	there is a weak signal, polarization.
250000	256000	It is mainly from electrons and photons.
256000	258000	There is Thomson scattering,
258000	260000	which causes linear polarization.
260000	264000	When we observe this polarization directly,
264000	270000	you will see a cross mark on the left.
270000	275000	There is a 45-degree cross mark on the right.
275000	278000	This is called Q and U.
278000	283000	This is the map we can observe most directly.
283000	287000	This means that we have observed polarization.
287000	296000	We usually convert it into E mode and B mode.
296000	315000	You can see that E mode has symmetry and B mode does not.
316000	326000	This is the map we can observe most directly.
326000	329000	We usually convert it into E mode and B mode.
329000	347000	You can see that the temperature of the power spectrum is 10³µKv².
347000	351000	It is actually a very weak signal.
351000	354000	But the signal of polarization is smaller,
354000	357000	about one tenth or less.
357000	364000	So we can measure the temperature very precisely.
364000	367000	But when you want to measure polarization,
367000	373000	you need a more sensitive instrument to detect it more accurately.
374000	382000	This is a theory model.
382000	391000	And this is the data obtained from recent experiments.
403000	406000	This is a map of the universe.
406000	410000	If we look at the CMB directly,
410000	417000	we can know how old the universe is.
417000	421000	Although we know that the universe is more than 400,000 years old,
421000	423000	we want to know more precisely.
423000	427000	The shape of the universe and its structural formation.
427000	432000	But we also have more secondary anisotropy to understand.
432000	438000	Because light passes through so many things in the middle and reaches our eyes.
438000	445000	We can know some secondary effects from it.
445000	449000	For example, gravitational lensing or SZ effect.
449000	462000	We can also know that there are some stars or galaxies in the middle of the universe.
462000	472000	So why is it difficult to measure CMB?
472000	474000	As I said earlier,
474000	477000	just look at the temperature and anisotropy,
477000	482000	the temperature signal is about 10 to the 3 microKelvin squared.
482000	487000	You can see that there is a Cyan line here.
487000	494000	But in between CMB and our eyes,
494000	496000	there are many other things in the middle.
496000	504000	The main components of CMB are dust and synchrotron.
504000	509000	The red band and the green line.
509000	514000	When you see the polarization signal is weaker,
514000	519000	you can see that the impact of dust and synchrotron is deeper.
519000	527000	This means that we need a way to decompose the different components.
527000	538000	To understand the character of dust and synchrotron at different frequencies.
538000	544000	Then you can remove it to get pure CMB.
544000	551000	Therefore, when we develop instruments,
551000	553000	we need to have different frequency bands.
553000	556000	The more cover, the more frequency band.
556000	558000	The more cover, the more sky.
558000	565000	In this way, we can remove these extra signals to get pure CMB.
566000	571000	From the beginning,
571000	578000	of course, there are so many dust and synchrotron in the outer space.
578000	585000	You don't want to interfere with your observations from other sources.
585000	590000	So, the cleanest way is to transfer everything to outer space.
590000	598000	There is COBE satellite, WMAP, and Planck.
598000	601000	You can see that the sensitivity is getting higher and higher.
601000	610000	But sending everything to outer space is a very expensive thing.
611000	621000	Another way is to build a telescope on the earth.
621000	626000	But that requires a longer period of time.
626000	630000	And your instrument needs to be more sensitive.
631000	640000	So, there are two main places where we build telescopes to observe CMB.
640000	642000	One is Atacama Desert, Chile.
642000	644000	The other is Antarctica.
644000	648000	In Atacama Desert and Chile,
648000	651000	there are ACT, Polar Bear, and Klaus.
651000	655000	They are mainly focused on CMB observation.
655000	659000	In Antarctica, there are mainly SPT, BICEP, and Keck Array.
659000	670000	So, in the five ground-based experiments we just talked about,
670000	677000	the technology we use is called Transition Edge Sensor, or TES.
677000	681000	TES is a barometer.
681000	685000	When the photon comes in,
686000	692000	the barometer has a weak thermal path to the T bath.
692000	695000	When the photon comes in,
695000	700000	the temperature of TES will rise.
700000	704000	TES is a very sharp transition.
704000	709000	When the temperature of TES rises,
709000	712000	the resistance of TES also rises.
713000	719000	The dual power of TES will decrease.
719000	723000	TES is in a stable state.
723000	727000	How do you read the signal of TES?
727000	732000	We use a coupler to an inductor.
732000	736000	The inductor is coupled to the screen to amplify the signal.
736000	740000	The inductor is coupled to the screen to amplify the signal.
