start	end	text
0	8000	Hello everyone, welcome to the 7th of March, this week's Tara Talk.
8000	15000	We are very honored to invite Dr. Jason Hong to tell us about his research.
15000	20000	The topic he is going to talk about today is Exploring Graphic Physics for Optical Sensing.
20000	24000	He said that this is his work when he was studying for his doctorate degree at UC Berkeley.
25000	28000	Let me introduce Dr. Jason Hong.
28000	30000	He graduated from the Department of Physics in Taiwan.
30000	36000	He later studied for his doctorate degree at UC Berkeley and Lawrence Berkeley National Lab.
36000	39000	After his doctorate degree, he is now working as a doctor in Michigan.
39000	43000	His field of expertise is super-fast light in physical and physical applications.
43000	58000	His main field of expertise is optical sensing, two-dimensional semiconductor exciton and cavity exciton polariton.
58000	63000	He is going to talk about his work in his doctorate degree, Graphic Optical Sensing.
63000	65000	We are going to give him a round of applause.
65000	69000	But we need to turn on the microphone so that our speakers can hear our applause.
69000	72000	Let's welcome Dr. Jason Hong to give us a speech.
78000	79000	Thank you, everyone.
79000	89000	I am going to focus on optical sensing in graphic physics.
89000	93000	I won't talk too much about super-fast light.
93000	100000	If you want to know more about super-fast light, you can go to my previous talk at TerraTalk.
100000	103000	Hello, everyone. I am Jason Hong.
103000	106000	This is today's outline.
106000	111000	First of all, I am going to talk about motivation.
111000	118000	I am going to tell you why we need to use graphene or, more broadly, two-dimensional materials to make optical sensors.
118000	120000	What are the advantages of using them?
121000	124000	What are the side effects of using them?
124000	132000	I am going to give you two examples of what I am doing.
132000	139000	One is to use graphene to observe electrochemistry.
139000	153000	Electrochemistry is the chemical reaction that occurs between a solid state and a liquid state.
153000	162000	We can use graphene as an optical sensor to observe these electrochemistry reactions.
163000	170000	This is because we developed a method called Diffrational Vibrational Spectroscopy.
170000	180000	We can see the signals of the small molecules on the graphene.
181000	189000	Another example is that we want to observe neurotransmitters on graphene.
189000	192000	Neurotransmitters produce electrical signals.
192000	198000	These electrical signals are the methods of transmitting information in our brain.
198000	208000	We put neurotransmitters on graphene and use graphene to observe these neurotransmitters.
208000	214000	This is because we developed a method called Waveguide-Based Imaging.
214000	217000	We will introduce this method in detail later.
217000	221000	Let's start with Motivation.
221000	230000	Before talking about Motivation, let's learn about what is a two-dimensional material.
231000	236000	Can you see the figure on the left?
236000	240000	Can you see my mouse?
240000	246000	Yes, I can see it.
246000	253000	This is graphite.
253000	258000	The structure of graphite is a layer of carbon atoms.
258000	266000	When a layer of graphite is separated, it is called graphene.
266000	274000	When a layer of graphite is rolled up, it is called carbon nanotube.
274000	279000	When a layer of graphite is rolled up, it is called fullerene.
280000	298000	Historically, we first discovered the structure of carbon nanotube.
298000	301000	We have never discovered the structure of graphene.
301000	306000	Of course, we know that graphene exists in the structure of graphite.
306000	311000	But we have never seen the existence of graphene alone.
311000	314000	What is the reason?
314000	327000	In order to calculate the properties of graphene, nanotube, and fullerene,
327000	334000	the theorists already know the properties of graphene.
334000	340000	The properties of electricity and light are already known.
341000	353000	Before the discovery of graphene, there was a theory.
353000	361000	When the two materials of graphene exist separately, they are thermodynamically unstable.
362000	374000	The thermodynamic effect causes ripples on the surface of the two materials.
374000	380000	In the end, the two materials will stick together and become a bunch of wrinkles.
380000	387000	Therefore, the previous theorists thought that the two materials alone could not exist.
387000	397000	In 2004, the two Nobel Prize winners, Andrew Gamm and Novoselov,
397000	402000	discovered that they could use a very simple method.
402000	409000	They put graphene on a tape and peeled it off layer by layer.
409000	413000	Finally, they put it on the silicon wafer.
413000	419000	They observed that a single layer of graphene could exist.
419000	426000	The main reason is that it is not an isolated 2D material.
426000	429000	It also has some ripples.
429000	435000	But because there is a substrate underneath,
435000	443000	you can put the two materials on the substrate to make them exist in the world.
443000	449000	At that time, many people were trying similar things.
449000	452000	There are many strange methods.
452000	461000	In the end, they found that the most effective way was to use tape.
462000	466000	In fact, there are many interesting stories.
466000	468000	We can share them later.
472000	475000	After the discovery of graphene,
475000	482000	we know that the two-dimensional material can exist alone on the substrate.
482000	487000	Later, a series of two-dimensional materials were developed.
487000	493000	Today, we focus on two-dimensional materials related to light.
493000	495000	In fact, there are many different materials,
495000	502000	such as two-dimensional superconductors or two-dimensional magnetic materials.
502000	508000	For light, the most important thing is the bandgap of this material.
508000	518000	You can see that there is no bandgap between graphene and molybdenum and molybdenum disulfide.
518000	522000	Graphene is a semi-metal,
522000	526000	and there is basically no bandgap.
526000	533000	Molybdenum and molybdenum disulfide are two-dimensional superconductors,
533000	535000	and there is a bandgap.
535000	538000	Graphene is an insulator,
538000	540000	and there is a very large bandgap.
540000	544000	We have all kinds of two-dimensional materials,
544000	550000	which can cover the entire spectrum of light.
550000	555000	In fact, in each spectrum,
555000	560000	in each region from microwave to visible,
560000	563000	people use two-dimensional materials to do something.
563000	568000	The interesting thing is that two-dimensional materials give you a lot of new degrees of freedom.
568000	570000	For example, you can change the number of layers,
570000	574000	you can change the doping of electrons in the two-dimensional material,
574000	579000	and usually the two-dimensional material is a hexagonal structure,
579000	583000	so it has two different values.
583000	588000	There are two minima on the bandstructure.
589000	594000	And these two-dimensional materials are very easy to integrate.
594000	597000	What we can do now is that
597000	607000	we can use some methods to pick up these two-dimensional materials,
607000	613000	and then we can stack them layer by layer to the place we want.
613000	618000	The important thing is that
618000	623000	you have to match the lattice.
623000	627000	For example, in the past, the structure was used to grow.
627000	630000	The way to grow is to make sure that
630000	636000	the lattice of the base and the thing you want to grow is the same.
636000	642000	Otherwise, you will have a lot of strain.
642000	647000	It will lead to a lot of constraints for these devices.
647000	649000	But the two-dimensional material does not have this problem.
649000	652000	You can put it wherever you want.
652000	656000	So we can do a lot of things that we couldn't do before.
656000	664000	These two-dimensional materials have a very strong effect on light.
664000	668000	We will see these effects later.
669000	676000	When you have this two-dimensional material toolbox,
676000	679000	and there are so many new degrees of freedom,
679000	681000	we can do a lot of different things.
681000	687000	For example, someone is studying how to use two-dimensional materials to make photodetectors and modulators.
687000	690000	There are LEDs and lasers for light.
690000	698000	There are also people doing nonlinear optics or single photon emission.
698000	703000	In short, I think this field is quite developed.
703000	709000	And there are a lot of new ideas that need to be tried.
709000	714000	And none of them have been tried.
714000	718000	So we don't know what will happen.
721000	727000	Why do I choose graphene as a light sensor?
727000	733000	What are the advantages of graphene sensors?
733000	735000	From the perspective of two-dimensional materials,
735000	738000	the first is that it has very good sensitivity.
738000	744000	The second advantage is that because it is a two-dimensional material,
744000	748000	we can easily change its electron doping.
749000	754000	From the perspective of optics,
754000	756000	when you want to make a sensor,
756000	759000	you need to pay attention to the light.
759000	763000	If you use light to detect or compare to other methods,
763000	767000	such as electromagnetic or other hardware,
