start	end	text
0	8000	Hello, everyone. Welcome to this week's TerraTalk.
8000	10000	I'm your host, Emma Lin.
10000	17000	I'm currently working on CO2 reduction in Caltech.
17000	20000	Welcome to our talk today.
20000	24000	First, I'd like to introduce our speaker for today, Du Yixiu.
24000	28000	Du Yixiu is a doctoral student at Stanford University.
28000	31000	She graduated from the University of Taiwan's Department of Physics.
31000	33000	During her time at the university,
33000	36000	she worked as a postdoctoral student at the Zhu Shiwei Laboratory.
36000	41000	She did research on silicon photonics.
41000	44000	During her time at the university,
44000	47000	she went to Berkeley Department of Physics for a year.
47000	51000	At the time, she did research on graphene synthesis.
51000	55000	Yixiu is currently in the Department of Physics at Stanford.
55000	58000	She did her Ph.D. in physics for a year.
58000	65000	She is currently doing her Ph.D. rotation in Professor Gao Sunhong's lab.
65000	68000	The lab she is currently working on is
68000	71000	sound imaging and neuroscience-related research.
71000	74000	Her next interest in the doctoral program
74000	78000	is to combine nanophotonics and neuroscience
78000	80000	to do applications.
80000	83000	The topic of her presentation today is
83000	90000	the research she did with Professor Zhu Shiwei at the university.
90000	94000	The topic of this presentation is
94000	101000	about the rapid development of silicon memory circuits.
101000	105000	People have always wanted to combine silicon
105000	110000	and nanoparticles in a chip
110000	114000	to achieve a real photonical IC.
114000	118000	However, silicon components are relatively large,
118000	121000	so they want to understand
121000	124000	whether they can reduce the magnitude to nanometers
124000	126000	to achieve greater density
126000	129000	while maintaining the nature of nonlinear light.
129000	132000	The topic of this presentation is
132000	135000	the great enhanced photothermal nonlinearity
135000	138000	in a silicon nanoresonator.
138000	141000	Let's give a round of applause
141000	144000	to welcome our speaker today, Du Yixiu.
144000	147000	Thank you for having me.
147000	150000	I'm Du Yixiu.
150000	153000	I don't think there are a lot of people here,
153000	156000	so if you have any questions,
156000	159000	please feel free to ask.
159000	162000	I'm Du Yixiu.
162000	165000	I don't think there are a lot of people here,
165000	168000	so if you have any questions,
168000	171000	please feel free to ask.
171000	174000	I'm Du Yixiu.
174000	177000	I don't think there are a lot of people here,
177000	180000	so if you have any questions,
180000	183000	please feel free to ask.
183000	186000	I'm Du Yixiu.
186000	189000	I'm Du Yixiu.
189000	192000	I don't think there are a lot of people here,
192000	195000	so if you have any questions,
195000	198000	please feel free to ask.
198000	201000	I'm Du Yixiu.
201000	204000	I don't think there are a lot of people here,
204000	207000	so if you have any questions,
207000	210000	please feel free to ask.
210000	213000	I'm Du Yixiu.
213000	216000	Nowadays,
216000	219000	there are some people writing their article
219000	222000	in 2010 called
222000	225000	''The Logical Next Step of an Optical Transistor''.
225000	228000	Now this person publishes his article in 2010 called
228000	231000	''The Logical Next Step of an Optical Transistor''.
231000	234000	The article talks about
234000	237000	two important points
237000	240000	for nano photonics devices.
240000	242000	We want great density
242000	245000	to match the electrical IC.
245000	248000	We also want a good enough functionality.
248000	251000	This functionality is like
251000	254000	an electrolyte.
254000	257000	We want a good enough electron-electron interaction.
257000	260000	Through this electron-electron interaction,
260000	263000	we can control the device.
263000	266000	Can optical do the same?
266000	269000	Let's take a look.
269000	272000	Recently, there is a very popular field
272000	275000	called Silicon Photonics.
275000	278000	You can see the timeline.
278000	281000	In 2003,
281000	284000	it was Silicon Nanophotonics' birthday.
284000	287000	That day, everyone thought about
287000	290000	how to combine
290000	293000	nanoscale silicon waveguide
293000	296000	and micronscale optical fiber
296000	299000	through a technique called
299000	302000	tapping.
302000	305000	Then we can extend
305000	308000	the optical fiber technology
308000	311000	to silicon waveguide technology.
311000	314000	I want to emphasize that
314000	317000	in the past 10 years,
317000	320000	Silicon Photonics' field
320000	323000	has developed rapidly.
323000	326000	Looking back to modern science,
326000	329000	it is hard to see such a rapid development
329000	332000	in 10 years.
332000	335000	Silicon Photonics is
335000	338000	a very popular field.
338000	341000	Next,
341000	344000	I want to talk about
344000	347000	why everyone wants to
347000	350000	use silicon
351000	354000	to realize electronics.
354000	357000	First,
357000	360000	we know that there is a lot of silicon in nature,
360000	363000	so it is very natural abundance.
363000	366000	On the other hand,
366000	369000	silicon has very mature fabrication technology,
369000	372000	so we can make very small devices,
372000	375000	but we can also make a lot of devices.
375000	378000	For various reasons,
378000	381000	electronics has developed rapidly,
381000	384000	so people want to
384000	387000	expand it to the photonics platform.
387000	390000	The reason is that
390000	393000	if we expand to the photonics platform,
393000	396000	we may have
396000	399000	very high speed potential.
399000	402000	We can potentially reach
402000	405000	a very high speed switch.
406000	409000	I want to show you
409000	412000	the technology that combines
