start	end	text
0	10000	Hello, everyone. Welcome to today's Project Terra talk.
10000	14000	I'm the host today. Just call me Ted.
14000	20000	Today's speaker is Don Yen-Yong from Caltech.
20000	23000	He works at NASA JPL in Caltech.
23000	31000	Today's topic is Connected Inductance Detector for Next-Generation Dark Matter Search.
31000	35000	So, Yen-Yong, it's your turn.
35000	37000	Hi, everyone.
37000	41000	Today's talk is more like an update on the latest situation.
41000	45000	I think I've talked about what I've done a year ago.
45000	49000	Actually, the content is pretty much the same, but there's a new progress.
49000	55000	Some parts of the talk might be fast, and some parts might not be clear.
55000	57000	If you have any questions, feel free to ask.
57000	61000	To be honest, I've been very busy lately, so I've only started this morning.
61000	65000	So if you don't ask questions, it'll be over soon.
65000	67000	Today's topic is connected...
67000	73000	Let me add that when you come in, you don't have a microphone on.
73000	78000	So if you want to ask a question, you have to turn on the microphone.
78000	80000	So you can ask the question and hear it.
80000	87000	At the same time, you can also ask the question in the chat next to you.
87000	89000	Okay, sorry. Yen-Yong, let's get started.
89000	91000	Okay, I have another question.
91000	94000	Can you see my mouse?
94000	96000	Can you see it?
96000	97000	You can see it, right?
97000	101000	Because I might talk about this and that a lot, so I need a mouse.
102000	110000	Okay, so today's topic is Kinetic Inductance Detector for Next Generation Dark Matter Search.
110000	113000	So as you can see, there are two parts to the topic.
113000	119000	One part is that we're thinking about looking for dark matter.
119000	122000	At this stage, we're going to look at future development.
122000	128000	The other part of this talk is that we think we can apply this.
128000	131000	We call it KIT, K-I-T, Kinetic Inductance Detector.
131000	136000	As the next main, we think it's going to be very competitive.
136000	138000	This technology to do this.
138000	143000	Okay, and then this work is mainly from where I am.
143000	146000	Caltech and NASA JPL, which is the Jet Propulsion Laboratory.
146000	151000	Of course, this whole work is actually based on a bigger project called Super CDMS.
151000	152000	I'll talk about it later.
152000	156000	But I want to emphasize that KIT is not a CDMS project yet.
156000	158000	So it's more like our own R&D.
158000	161000	But we're doing it in a big collaboration.
161000	164000	Okay, so now you see this first page.
164000	167000	The first page is our current prototype.
167000	170000	That gives you a sense of the size.
170000	172000	This circle is 3 inches.
172000	173000	Its diameter is 3 inches.
173000	176000	It's about the same size as a palm.
176000	180000	So now you see this little rectangle.
180000	183000	It's about a half to one millimeter in size.
183000	186000	And then there are 80 little islands on it.
186000	188000	I'll explain what it is.
188000	190000	Okay, and then this box.
190000	197000	It's basically hanging on a dilution refrigerator.
197000	203000	So it can be lowered to the temperature of the mini Kelvin level.
203000	206000	So I'll explain why we're doing this.
206000	210000	Okay, first of all, today's outline is why.
210000	213000	Because we don't have a particle physics background today.
213000	214000	And there seems to be a problem, right?
214000	215000	So I'm going to explain a little bit today.
215000	217000	Why do we think there's dark matter?
217000	219000	What the hell is dark matter?
219000	221000	So I'm going to use an association here.
221000	223000	What's more important is that this is our focus.
223000	228000	Why do we think this low-quality, low-mass dark matter is an important topic now?
228000	229000	So we want to do this.
229000	231000	Okay, this is an opening.
231000	237000	And then I'll talk about the super CDMS detector called HVEV.
237000	239000	HVE is high voltage.
239000	241000	EV is the electron volt.
241000	246000	He's actually talking about what we're doing in a high voltage mode.
246000	249000	Under this operation, we can have EV resolution.
249000	253000	Okay, so I'm going to start by saying that this is a CDMS project.
253000	255000	What did we learn from this?
255000	256000	So what did we get?
256000	258000	So where's our sensitivity?
258000	262000	So from here, I'm going to motivate.
262000	267000	So why the third part, the kinetic inductance detector, this thing.
