start	end	text
0	2000	They can do this.
2000	6000	Bacteria can get energy source.
6000	8000	So they can do thermotaxis.
8000	11000	This is the result we just showed.
11000	15000	Bacteria will gather at intermediate temperature.
15000	17000	But the temperature they like,
17000	18000	which is the temperature they reject,
18000	20000	will change with the temperature gradient.
20000	22000	Will change with the temperature gradient.
22000	24000	This is our main result.
24000	26000	Of course, we have some control results.
26000	27000	What is the result of control?
27000	28000	For example,
28000	31000	How do we know that bacteria change their preferences
31000	37000	because of temperature gradient?
37000	39000	Maybe they change their preferences
39000	42000	because of temperature range.
42000	45000	The range is different from the gradient.
45000	46000	So we have to make sure
46000	47000	that they don't change their preferences
47000	49000	because of temperature range.
49000	51000	Then we do the following experiment.
51000	52000	For example,
52000	55000	the temperature gradient is originally 59 to 19 degrees.
55000	56000	We change the temperature range,
56000	58000	but maintain the same temperature gradient.
58000	61000	To see if the bacteria are concentrated at a similar temperature.
61000	62000	How do we do it?
62000	63000	We put them at 5 degrees.
63000	66000	From 59 to 19 degrees to 54 to 14 degrees.
66000	68000	In this way, the temperature gradient is still the same.
68000	70000	It's all about 40 degrees difference.
70000	72000	But the average temperature drops.
72000	73000	Right?
73000	75000	Let's see the result.
75000	79000	The red one represents 31 to 48 degrees.
79000	81000	The blue one is 26 to 43 degrees.
81000	82000	Their temperature gradient is the same.
82000	84000	But the temperature range is different.
84000	86000	We will find that the temperature of the bacteria
86000	88000	in the red curve
88000	90000	is about 37 degrees.
90000	91000	37.5 degrees.
91000	94000	The blue one is 37 degrees.
94000	95000	36 to 37 degrees.
95000	96000	So we claim that
96000	98000	although they are not completely overlapping,
98000	101000	their preferences for temperature are similar.
101000	102000	You will find that
102000	104000	there are some systematic differences
104000	106000	on the left and right.
106000	108000	Mainly because
108000	110000	we surround the wall.
110000	113000	These parts are close to the wall.
113000	115000	If they are close to the wall,
115000	117000	there will be a non-linear force
117000	119000	in theory.
119000	121000	But we don't discuss it here.
124000	125000	OK.
125000	126000	Finally,
126000	127000	we have to make sure that
127000	128000	although in theory,
128000	129000	we have calculated that
129000	131000	bacteria need 300 seconds
131000	133000	to complete the environment exploration
133000	135000	in this size.
135000	136000	But it's still a theory.
136000	138000	How do you know it's actually like this?
138000	139000	Right.
139000	141000	So we did one thing.
141000	143000	Before we take data at the end,
143000	145000	we take data in the middle first.
145000	147000	What does it mean to take data in the middle?
147000	149000	After the bacteria enter the temperature
149000	151000	from the beginning,
151000	153000	it takes about 240 seconds
153000	155000	to reach the middle.
155000	156000	That is to say,
156000	157000	let's take a look at
157000	159000	the time given to the bacteria
159000	161000	in 240 seconds.
161000	163000	Is the specific temperature
163000	165000	the same as 360 seconds?
165000	166000	If it's the same,
166000	167000	we claim that
167000	169000	at least between 240 to 360 seconds,
170000	172000	the selection of temperature
172000	173000	has been fixed.
173000	174000	That is, it has reached
174000	176000	the equilibrium state.
176000	177000	This proves that
177000	179000	although there is no complete overlap,
179000	181000	it is qualitatively the same.
181000	183000	At 240 seconds,
183000	185000	they like 31, 32 degrees.
185000	187000	At 360 seconds,
187000	188000	they like 31, 32 degrees.
188000	190000	We choose the steepest temperature
190000	192000	for this temperature gradient.
195000	196000	OK.
196000	197000	That's about it.
197000	198000	Conclusion.
198000	199000	In our device,
199000	200000	because the people before
200000	201000	did a lot of experiments,
201000	202000	but those devices
202000	204000	may not be well-defined.
204000	205000	We want to provide
205000	207000	a well-defined experiment
207000	209000	to make sure
209000	210000	or improve
210000	212000	the research on thermotaxis.
212000	214000	We can create
214000	215000	a very linear
215000	216000	and one drop,
216000	217000	that is to say,
217000	218000	a gradient from left to right,
218000	219000	which is a very simple
219000	221000	temperature gradient.
221000	222000	And this temperature gradient
222000	224000	is very steep.
224000	225000	The nutrients we use
225000	226000	are bacteria that
226000	228000	cannot grow inside.
228000	229000	That is to say,
229000	231000	there is no chemo-attractant.
231000	232000	So there will be less
232000	234000	confounding factors.
235000	236000	Then,
236000	237000	the time we take,
237000	238000	the bacteria need to reach
238000	239000	the equilibrium time
239000	240000	is relatively short
240000	241000	and reasonable,
241000	242000	about 300 to 400 seconds.
244000	245000	Finally,
245000	246000	because of the H-filter,
246000	248000	all the bacteria we take
248000	250000	are all mobile bacteria.
252000	253000	Our conclusion is that
253000	254000	bacteria can be
254000	255000	concentrated in
255000	256000	intermediate temperature.
256000	257000	So it's different from
257000	258000	the previous research.
258000	259000	The previous research found that
259000	260000	bacteria will only be concentrated
260000	261000	in the hottest place.
262000	263000	No matter how you increase the temperature,
263000	265000	it is concentrated in the hottest place.
265000	266000	Because of the relationship
266000	268000	between pseudo-thermotaxis.
268000	269000	But we found that
269000	271000	it can actually be concentrated in the middle.
271000	272000	However,
272000	273000	what is more surprising is that
273000	274000	the temperature they concentrate,
274000	275000	that is, the temperature they like,
275000	276000	will change
276000	277000	with the temperature gradient.
279000	280000	OK, that's it.
280000	281000	Thank you.
281000	282000	Now,
283000	285000	let's see if there are any questions.
286000	287000	Wait a minute.
291000	293000	Let's see if there are any questions.
296000	298000	OK, do you have any questions
298000	299000	for the audience?
313000	315000	Then I have a question here.
315000	316000	Please ask.
316000	318000	I just want to ask
318000	320000	why this experiment
320000	322000	is done with E. coli,
322000	324000	instead of other bacteria.
324000	326000	Oh, that's actually
326000	327000	the reason.
327000	329000	In 1976,
329000	331000	the reason is a bit
332000	333000	very simple.
333000	334000	Because in 1976,
334000	335000	when Maeda did the experiment,
335000	336000	he used E. coli.
336000	337000	And then people
337000	338000	might just want to learn it,
338000	339000	so they used E. coli.
339000	341000	Then I personally
341000	342000	as far as I know,
342000	343000	the other reason is that
343000	344000	E. coli
344000	346000	moves at the fastest speed.
346000	347000	So,
347000	348000	in the same scale
348000	350000	and size environment,
350000	352000	E. coli takes less time
