start	end	text
0	11720	Hello everyone, good morning, good afternoon or good evening. I am in California now, so I am very early now. Welcome to today's TerraTalk.
11720	28320	If you have participated in TerraTalk, you will know that we actually have an academic speech every week. The academic speech is actually for all our members to come up and share their research progress, but we are more special today, so there are more people.
28520	32940	Our topic today is what to do after Ph.D.
32940	35860	Youth Researchers Post-Graduate Development Conference
36420	39180	I will say it again, what to do after Ph.D.
39180	41820	Youth Researchers Post-Graduate Development Conference
42000	46980	Today is not a single speaker's speech.
47400	61940	The three speakers we mentioned today are Dr. Zhang Mujie, Dr. Zhou Yuxun, and Dr. Su Haowei. They are now distributed around the world in Taiwan, Israel, and Boston, USA, so they are also distributed in various cities.
61940	70400	Come and share with us that they are looking for their teeth, this change, and the new path of different positions now.
70700	77200	Let's not say much, let's invite the three speakers to introduce themselves separately.
79440	85000	At the beginning, I will use the name first, so that everyone does not know who to start with.
86000	89500	Can we first ask Mujie to introduce himself?
90780	97600	Hello everyone, I am Zhang Mujie, and I am now a assistant professor at the University of Taiwan's Department of Chemistry.
97600	112940	I returned to NTU in August last year, so it's been about a year, so if you have any questions, especially those related to Taiwan, you are welcome to ask.
115760	122500	Can you talk about your university, master's degree, and doctoral degree?
122500	132260	My university and research institute are both in NTU Department of Chemistry, and after I graduated from my master's degree, I worked as a research assistant for a little over a year.
132260	148400	Then I went to the University of Hollingham in the Netherlands to study for my doctorate, and after graduating from my doctorate in 2016, I went to Chicago University in the United States to do post-doctoral research, and came back in 2018.
148400	157360	So I did post-doctoral research for about two years, a little more than two years, and that's about it.
157700	163720	OK, let's ask Haowei to introduce himself.
165160	184240	Hello everyone, my name is Su Haowei, and I am now at Fitbit in Boston. We are a company that makes wearable devices called Fitbit, and I have been working here for about four years, and I have been in Boston for almost nine years.
184640	195840	I studied in Taiwan when I was in college, and then I came to the United States to study for my master's degree after I graduated from my doctorate, and then I stayed to work after I finished my studies.
196720	219200	In the field of work, I studied imaging in college, such as ultrasound and MRI, and then came here to do research in microfluidics. Now I mainly write algorithms and do some human experiments at work.
219520	234960	A small question, so you said that you have been in this company for about four years, and you have been in Fitbit for four years, but you have been there for almost ten years, right? So basically your PhD is in the best school in the world, is that right?
235280	242240	Yes, because I am talking about this from Caltech now, so I think it should be quite persuasive.
242880	247120	Don't be in school, don't be in school, really the best school.
247120	261440	Okay, so today we have three speakers, and Hao Wei is one of them in the industry. So if you have any questions about the industry, or want to go to the industry in the future, or want to do more applications, you can also ask questions.
261440	266000	Thank you, Hao Wei. Next, Yuxun, please speak.
292000	296000	I am completing my PhD.
304000	306000	It is a marriage proposal.
314000	316000	I am doing research in Israel.
322000	334000	Sorry, I am interrupting, because it seems like a lot of people can't hear Yuxun's voice.
336000	338000	I am not sure if Yanyong can hear you.
338000	340000	I can hear a little bit.
340000	348000	I can't hear you well here, and sometimes there is no sound at all, and sometimes there is a little bit.
348560	352560	Let me turn up the battery.
352560	354560	Can you hear me now?
354560	356560	Yes, I can hear you well now.
356560	358560	That's good.
358560	360560	Okay, let me quickly introduce myself.
360560	362560	I am an assistant professor at Caltech.
362560	370560	I finished my master's degree in physics at Caltech, and then I went to the National University of Transportation to do my research on nanoparticles.
371120	381120	After I finished my research, I went to the University of Michigan to do some physics-related research.
383120	389120	During this year and a half, I was very lucky to have a chance to go to Israel to do my research.
389120	393120	I got a fellowship and went to Israel to do my research.
393120	397120	During this time, I tried to join the so-called Einstein Project.
397680	401680	I was very lucky to get this project.
401680	409680	So today, I would like to share some details and skills needed to apply for the Einstein Project.
409680	419680	Also, I would like to share with my friends who are currently studying for a doctorate, what preparations they need to make in order to have a higher application rate for this project in the future.
420240	426240	Okay, so today...
426240	428240	Sorry, let me take a look.
428240	436240	So today, Yu-Hsuan will basically answer your questions about the process of applying for the Einstein Project and returning to Taiwan.
436240	440240	In fact, we have another speaker who has also applied for the Einstein Project.
440240	444240	So there should be different opinions, which you can discuss later.
444240	446240	Okay, give me a second.
446800	450800	I just opened a file and turned it off.
450800	456800	Okay, do you have any questions for the speaker about their background?
458800	464800	Is there anything you want to ask or would like to know more about?
466800	468800	Okay, so...
