start	end	text
0	9000	Hello, everyone. I'm your host, Sui-An.
9000	16000	I'm very happy to have you all here today.
16000	21000	I'm very happy to have you all here today.
21000	25000	The topic is Better Together, Gratitude in Romantic Relationships.
25000	29000	Before we start, I'd like to talk about two things.
29000	34000	First, I'd like to briefly talk about how we're going to do the presentation.
34000	39000	Dr. Zhang will have a few segments in the presentation.
39000	45000	If you have any questions, you can leave them in the chat box.
45000	52000	Or during the presentation, the speaker may pause a few times.
52000	55000	You can ask questions during that time.
55000	65000	During the presentation, because we're live, I'm going to mute everyone's microphones.
65000	67000	Please understand.
67000	71000	Today's presentation is hosted by TAIRA.
71000	73000	TAIRA is a non-profit organization.
73000	78000	We hope that young Taiwanese scholars all over the world
78000	81000	will have the opportunity to share their research online.
81000	84000	Whether you're in the same field or in a different field,
84000	87000	you'll have the opportunity to discuss and learn from each other.
87000	91000	If you're not a TAIRA member yet,
91000	99000	please go to the TAIRA Project website to sign up to become a member.
99000	101000	If you're already a member,
101000	104000	we're recruiting speakers for the second half of this year.
104000	109000	Please feel free to register to become a speaker for the second half of this year.
109000	115000	This is the agenda for today's presentation.
115000	120000	I'm going to briefly introduce Dr. Zhang's academic experience.
120000	125000	Dr. Zhang currently serves as a post-doctoral postdoc researcher
125000	127000	at the Central Institute of Sociology.
127000	130000	Her current research project is called
130000	134000	Unmanned Mobility-Affected Experimental Situations.
134000	137000	Her main field of research is psychology.
137000	141000	Her research topics include emotions, interpersonal relationships, and culture.
141000	145000	Before she returned to Taiwan to serve as a post-doctoral postdoc researcher,
145000	148000	she graduated from the Department of Psychology at the National Taiwan University
148000	149000	and obtained a bachelor's degree.
149000	152000	She then continued to study at the National Taiwan University Psychological Research Institute
152000	153000	and obtained a master's degree.
153000	158000	The topic of her master's thesis is actually a continuation of today's topic.
158000	161000	Her topic is how to express gratitude and adapt to a partner's lifestyle.
161000	163000	After graduating from her master's,
163000	166000	she went straight to the University of North Carolina in the United States
166000	169000	to study for a doctorate degree at the University of North Carolina.
169000	172000	I find her research topics very interesting.
172000	175000	There are several main parts.
175000	180000	For example, if we express gratitude in our daily lives,
180000	184000	does it mean that people from different cultures have different cultural differences?
