start	end	text
0	3500	Welcome everyone to the Taira Talk on April 11th.
3500	9000	We are honored to have Xiao Zhigang to give us a speech.
9000	12000	Today's topic is
12000	17000	Single Photon Emission from Single Electron Transport
17000	21000	in a Soul-Driven Lateral Light Emitting Diode.
21000	29000	It seems to be related to quantum computation.
30000	36000	Our speaker today studied in Hsinchu.
36000	42000	He went to a research institute in NTU.
42000	48000	He said that his research results were mainly in thermonuclear conduction.
48000	53000	After graduating from the institute, he studied in the UK.
53000	58000	Now he is doing his PhD in QTEC at Daft University in the Netherlands.
58000	64000	Before we start, let's give our speaker a round of applause.
64000	68000	Please remember to turn on your microphones first.
76000	80000	Let's give the floor to Xiao Zhigang.
80000	86000	Good morning, good afternoon, good evening.
86000	90000	No matter where you are, I hope you are all safe.
90000	97000	What I'm going to talk about today is mainly my work as a PhD in QTEC.
97000	102000	It was published in Nature Communication in February this year.
102000	106000	The citation is here.
106000	112000	If you are interested in more details, you can refer to this paper.
112000	118000	I'm not sure about the level of the audience today.
118000	121000	Or maybe everyone's field of expertise is different.
121000	124000	So I'm not going to go very deep today.
124000	130000	I will use some more straightforward methods to express.
130000	136000	If you have any questions, you can ask directly.
136000	142000	If you have questions online, it will be more interactive.
142000	157000	Today's main work is to introduce a new or a new way to produce single-ray.
157000	165000	We use a surface wave in a structure similar to an LED to produce a single-ray.
165000	174000	Today's topic is mainly about quantum communication.
174000	181000	Quantum computing is what I am studying and researching in QTEC in the Netherlands.
181000	186000	If I have a chance later, I will share it with you.
186000	193000	Anyway, today is mainly about quantum information technology.
193000	198000	What kind of applications does quantum information technology have?
198000	202000	I believe everyone has seen the movie.
202000	210000	Quantum technology can make people shrink or travel through time and space.
210000	215000	The Avengers tells you that quantum mechanics can achieve these things.
215000	220000	But here I can tell you that these are all nonsense.
220000	225000	These things have nothing to do with quantum mechanics.
225000	233000	Anyway, now the movie is that no matter what it is, if you can't explain it, just use quantum mechanics.
233000	237000	Okay, let's get serious now.
237000	242000	So today is mainly about quantum communication.
242000	251000	The main thing that quantum communication is doing is basically written very clearly in this review paper.
251000	258000	Quantum communication is basically the technology of transferring a quantum state from one place to another.
258000	270000	In quantum information, the traditional quantum state is carried by light.
270000	277000	The so-called light is the basic example of light.
277000	285000	In quantum communication, we use light to carry a quantum state.
