start	end	text
0	29980	OK, thank you all for participating in our speech today, I am the host today, Zhang Yanping, I represent everyone with a warm applause to welcome our speaker today, Li Xuanwei teacher, Li Xuanwei teacher, OK, are you shooting yourself?
29980	58960	OK, before I introduce Mr. Xuanwei, let me tell you about some of the events of today's housekeeping, because later when the speaker is speaking, his screen will be a projection of his own projection, so he may not be able to see the dialogue window, if you have any questions, if you want to stick to the dialogue window, if you do not know what the dialogue window is,
58960	85960	now everyone on the right hand side of the BlueJeans may be able to see a row of the audience, and then the second option chat can type, basically a chat window, if you have any questions, you can stick there, but because the speaker will not see, because he is looking at the powerpoint, so if you leave a message, it does not matter, everyone will leave, and then I will find a place to ask questions in time,
85960	112960	either to ask for everyone's behalf, or you can ask yourself, but just stay there, and then I will help the speaker to see, and then I will listen to the speaker today, this time is about 40 to 45 minutes, he will talk so much content, and then there will be 15 to 30 minutes of Q&A time in the back.
112960	142920	OK, so these are housekeeping, and then let me introduce today's speaker, I just said that Mr. Xuan Wei, he is called Li Xuan Wei, today's speaker is called Li Xuan Wei, and then his university is in the Taiwan University Department of State, and then he went to Zhengda Yingshu to read the master's degree, and then after reading the master's degree, his doctorate is in UNC,
143920	154920	the Department of Mathematics at the University of North Carolina, and then the specialized topic is Complex Network, and the topic of Social Network.
155920	169920	OK, after completing his doctorate in 2016, he went to the University of Nebraska-Lincoln to do postdoc, and did it until 2018. Oh, by the way, if I say something wrong, you can correct me directly.
170920	172920	No, this is all public information.
173920	174920	OK, thank you.
174920	176920	I actually saw it on your website.
176920	199920	OK, and then after finishing the postdoc, in 2019, he returned to Taiwan and started his career as an assistant professor and assistant researcher at NTU Politics, NTU Society, and NTU Central Academy of Sciences until now.
200920	204920	Your position should be in NTU Central Academy of Sciences, right?
204920	205920	Yes.
206920	214920	In NTU Central Academy of Sciences, however, there are also students and teachers, and often come and go, on both sides.
214920	222920	In NTU Central Academy of Sciences, Wayne is in the Society, and part of NTU is NTU Politics and Social Peace.
222920	231920	OK, this is the background of today's speaker.
231920	237920	A fun fact is that Wayne likes to eat strawberry cake.
238920	241920	You have to laugh out loud.
241920	243920	That's right, I can testify.
243920	248920	Didn't you get muted?
249920	252920	Actually, this is what we are talking about.
252920	258920	I don't know if he really likes to eat strawberry cake, but if you buy him a strawberry cake, he will be very happy.
258920	265920	OK, let's leave today's event to Wayne.
265920	268920	Let him introduce the topic to everyone.
268920	271920	Let me clap on behalf of everyone again.
272920	276920	OK, thank you Wayne for the introduction.
276920	282920	I am very happy to be able to come to Terra today to share some of the research I did before.
282920	290920	It is also a fun fact that Wayne invited me to give a speech about two or three months ago.
290920	295920	I have heard of Terra before, and now I am very happy to have the opportunity to give a speech here.
296920	299920	It is quite related to Wayne.
299920	306920	We all graduated from UNC Chapel Hill, and we are still colleagues at the Central Academy of Sciences.
306920	308920	We also wrote an article together.
308920	310920	I don't know where the article will be posted.
310920	313920	But I think the world is very small.
313920	318920	We have been in UNC Chapel Hill for three or four years.
318920	322920	I didn't expect to come back to Taiwan and still be in the same place, which is the upper and lower floors.
322920	324920	I can still write articles now.
324920	326920	So things are hard to predict.
326920	329920	There are also many cross-field collaborations now.
329920	333920	Maybe I will share my research here.
333920	339920	Maybe everyone here has a degree or is studying for a degree.
339920	341920	Maybe you are interested after seeing it.
341920	345920	Maybe we can also start some cross-field cooperation in the future.
346920	352920	The time I want to share today is about 45 minutes.
352920	355920	It may be about 11 o'clock in Taiwan time.
355920	360920	I will stay for about 15 to 30 minutes to discuss with you.
360920	364920	If you have any questions, you can come here to discuss.
364920	371920	Although I see 56 pages here, I should say that many of my videos are relatively fast.
372920	377920	Because this is a compilation of two articles.
377920	380920	What I want to share today is within two articles.
380920	385920	So if you are interested, you can go directly to see the two articles.
385920	393920	Whether it is model setting or mathematical inference, I only introduce the concept of these articles to everyone.
393920	396920	If you are interested, you can find articles to read directly.
396920	403920	You are welcome to ask questions, discuss, or write to me after reading the article.
403920	406920	I am looking forward to interacting with everyone.
406920	410920	Okay, let me start by introducing the title of this article.
410920	412920	The title of this article is ...
412920	416920	I have just been responded by two friends that my title is too long and I do not understand.
416920	419920	So I will slowly talk about what this title means.
419920	421920	Using Perceptual Tomography
421920	424920	We want to use something called Perceptual Tomography.
424920	429920	Perceptual is a perceptual thing.
429920	432920	Tomography is a segmented scan.
432920	435920	We will see later why we use the term Tomography.
435920	439920	Of course, we are not really using segmented scanning to do social science research.
439920	444920	We use this Perceptual Tomography to define later.
444920	446920	We want to build a network.
446920	448920	It is a subjective network.
448920	455920	It is not a traditional social network built by the majority of people.
455920	458920	It is a third-party recognition.
458920	460920	What should this group look like?
460920	462920	We ask other people.
462920	464920	We ask some people on the Internet.
464920	467920	Do you think that A and B are related?
467920	472920	If A and B are related, are they close or do not know or are not familiar?
472920	477920	Use this third-party recognition to restore a network.
477920	480920	It is the same as a general social network.
480920	482920	I am talking about the Internet and the Internet.
482920	484920	Sociologists like to talk about the Internet.
484920	486920	Maybe other field scientists like to talk about the Internet.
486920	488920	But it is the same.
488920	491920	We use this third-party recognition to restore a network.
491920	495920	We can try to compare this network in the future.
495920	503920	The way to restore the Internet is different from the traditional social network that everyone likes to use.
503920	508920	The second part is that we want to see if we are in a network environment.
508920	512920	Do some intervention in the network environment.
512920	515920	This intervention may be some policy promulgation.
515920	521920	Or what we are talking about here is a policy promulgation that promotes public health.
521920	526920	We want to measure how effective this intervention is.
526920	530920	Can we use quantification to see how effective it is?
530920	537920	It is in a social network environment.
537920	541920	We can only find some people to participate in this intervention.
541920	544920	It's like giving them some public health education.
544920	550920	But we want to know if these interventions have spread out.
550920	557920	We want to see how effective it is in a community level network.
557920	559920	Can we quantify it?
559920	562920	So this is probably the meaning of this topic.
562920	564920	Then I will continue to go down.
564920	568920	This is the outline of today's speech.
568920	570920	I still divide it into three parts.
570920	573920	The first part is because I received a letter.
573920	576920	I want to know that this may have nothing to do with the speech.
576920	579920	He wants to know why I went from mathematics to sociology.
579920	585920	So I will spend about five minutes to talk about what I am doing during my doctorate.
586920	590920	I originally studied mathematics as introduced by Yanping.
590920	593920	Then I turned to sociology.
593920	596920	I want to talk about the turning point in the middle.
596920	598920	So it will take about five to ten minutes.
598920	602920	The remaining two parts are the introduction of two articles.
602920	607920	The first part is how to go from mathematics to social science.
607920	611920	So I want to talk about two concepts in this part.
611920	613920	The first is social dynamics modeling.
613920	615920	This is social dynamics.
615920	620920	How do we use modelization or form logic to study this matter?
620920	625920	We know that in the real world, there are actually a lot of interactions with people.
625920	628920	Then it is very complicated, but it may be a lot of faces.
628920	635920	Of course, there are ways to study this thing in various fields.
635920	640920	Then we look at it from the perspective of mathematics and physics.
640920	643920	It is a very, very high-dimensional complex system.
643920	646920	Because it interacts too much and has a lot of impact.
646920	648920	Then the things you want to test can be infinite.
648920	650920	You can find things to test.
650920	652920	What should we do? How do we deal with this kind of thing?
652920	655920	We will try to model it.
655920	658920	The way to model is to do some simple simplifications.
658920	662920	You have to look at the most important thing in this system.
662920	666920	What are the driving forces that you care about?
666920	668920	We have to find it out.
668920	674920	The way we do it is to think of it as an atom.
674920	681920	Economists may be called agents or social scientists may be called agents.
681920	689920	We use this very simple simplification to think of it as some examples with the same characteristics or agents.
689920	692920	Then look at the interaction between these examples and agents.
692920	696920	At the same time, we also simplify a lot of things they can do.
696920	700920	For example, if it is an example, it may be left-handed or right-handed.
700920	704920	If it is an agent, it may be happy or unhappy.
704920	708920	This is a very simple two-point method, or it may be a lot of cutting.
708920	712920	We cut these examples.
712920	718920	If we present it in a complex system or on the Internet, it is a point.
718920	720920	We call nodes.
720920	722920	These nodes will have a state.
722920	726920	As I said, it may be a binary, or it may be a multi-state.
726920	732920	It may be that you are in a very bad mood today, and it is very good.
732920	740920	This kind of multi-state, or it may be continuous, may be a continuous change, may be a healthy state, may be a healthy state.
740920	742920	Of course, it can also be multi-dimensional.
742920	746920	It depends on what you are interested in.
746920	750920	The other part we value is the structure of this system.
750920	754920	What kind of relationship do these people have with each other?
754920	760920	You can think of it as a social relationship, such as a family or a workplace.
760920	762920	You can also think of it as geographical.
762920	766920	It may be that if the distance between people is very close, there may be a risk of infectious diseases.
766920	772920	We have to look at these modes, these social networks, and the structure behind them.
772920	776920	How will it affect each of us in the above example or people?
776920	780920	Of course, I listed some of the ways to form this structure.
780920	784920	Systematic is that it has a system.
784920	786920	What we understand here is that it is determined.
786920	788920	It's like a person.
788920	792920	You may know that the grid has four neighbors.
792920	794920	It's like a barbecue net.
794920	796920	One person has about four neighbors.
796920	798920	This may be a systematic network.
798920	800920	Or random.
800920	806920	You may have heard of a very simple random network model.
806920	810920	In the system, any two people have a certain probability of being linked together.
810920	812920	Or heterogeneous.
812920	814920	It may be heterogeneous.
814920	816920	Every point has a different way of being linked together.
816920	818920	Or it can also change over time.
818920	824920	We can study the dynamic system or time series of this system that changes over time.
824920	832920	Our new method is to build a simplified model in this complex system.
832920	838920	But this simplified model has to be able to capture one or two key things that we are most interested in.
838920	842920	As Einstein said, a model should be as simple as possible, but not simpler.
842920	846920	We have to simplify it to the point where we can no longer simplify it.
846920	854920	The tool I use is the network theory in the complex system.
854920	860920	Network theory is a method of expression.
860920	862920	It is also a method of learning.
862920	864920	It is different from the previous research.
864920	868920	It is an interaction phenomenon that attaches more importance to the medium-length.
868920	870920	What is medium-length?
870920	874920	It is a length between micro and macro.
874920	882920	At the macro level, you can see all people as being able to interact with others.
882920	886920	For example, in a group, we see that everyone is the same.
886920	890920	Let's say we have a class of students.
890920	894920	Then we have to study how COVID-19 spreads in this place.
894920	896920	Then we say that every student is the same.
896920	900920	And they can interact with other students at will.
900920	904920	This may be seen as a large group.
904920	908920	This is the macro level.
908920	910920	What about micro?
910920	914920	Micro is another part of the macro.
914920	916920	It just sees everyone differently.
916920	920920	You have to emphasize that its personal characteristics are like its height, age and weight.
920920	922920	It may be different for everyone.
922920	926920	What we do at the network level is not this thing.
926920	928920	At the network level, we assume that everyone is the same.
928920	930920	Unless you want to eat different types of points.
930920	932920	Of course, that can also be extended.
932920	934920	But our basic assumption is that everyone is the same.
934920	938920	What we care about is the structure of this system.
938920	940920	Who has a connection with whom?
940920	942920	Who will influence each other?
942920	944920	Or who will get the message from which side?
944920	950920	So what we see is that the network is a medium-length research method.
950920	952920	It is between large and small.
952920	956920	The subject of my research is social networks.
956920	960920	Of course, there are different kinds of social networks.
960920	962920	Of course, there may be a lot of networks.
962920	970920	In the natural world, there may be biological networks, food chains, bacterial networks, or virus networks.
970920	974920	It may also be artificial, such as computer networks.
974920	976920	Topology is how computers and birds are grouped together.
976920	978920	Or triple-W network.
978920	980920	Or some traffic networks.
980920	982920	In fact, there are many layers of network composition.
982920	984920	The main type of research I do is social networks.
984920	986920	What is the difference between social networks and other networks?
986920	988920	Here I have listed three.
988920	990920	The first is that it has a phenomenon called homophily.
990920	992920	Homophily is translated into Chinese as homogeneity.
992920	994920	You like people with the same characteristics as you.
994920	996920	You have this tendency.
996920	998920	You are also in a relationship with a person.
998920	1000920	You would like to say that you are in a relationship with a similar person.
1000920	1002920	So it is a tree of spines.
1002920	1004920	Or birds of a feather flock together.
1004920	1006920	This is the first phenomenon.
1006920	1008920	This may not be as common as other networks.
1008920	1010920	The second is high clustering.
1010920	1012920	What is the meaning of high clustering?
1012920	1014920	It is the ability to create or store data.
1014920	1016920	It can be classified as a network or a network.
1016920	1018920	It can be classified as a network or a network.
1018920	1020920	It can be classified as a network or a network.
1021920	1023920	The second is high clustering.
1023920	1025920	The second is high clustering.
1025920	1027920	Watch out for'homoplasticity'.
1027920	1029920	Watch out for'homoplasticity'.
1029920	1031920	It means that there may be many Gabrielian stars on the network.
1031920	1033920	It means that there may be many Gabrielian stars on the network.
1033920	1035920	What is small triangle?
1035920	1037920	Devil's friends.
1037920	1039920	It may be that you know B.
1039920	1041920	B knows C.
1041920	1043920	If the two are in a strong relationship,
1043920	1045920	If the two are in a strong relationship,
1045920	1047920	Usually there will be a relationship that is at least an identity of 3 to 4.
1047920	1049920	Usually there will be a relationship that is at least an identity of 3 to 4.
1049920	1051920	Therefore, in general social networks,
1051920	1053920	Therefore, in general social networks,
1053920	1055920	abc is very rich in the network ratio.
1055920	1057920	abc is very rich in the network ratio.
1057920	1059920	abc is very rich in the network ratio.
1059920	1061920	abc is very rich in the network ratio.
1061920	1063920	You can compare it with other networks of the public safe outside the movie.
1063920	1065920	You can compare it with other networks of the public safe outside the movie.
1065920	1067920	You can compare it with other networks of the public safe outside the movie.
1067920	1069920	There are many such small triangles.
1069920	1071920	There are many such small triangles.
1071920	1073920	Third, small world.
1073920	1075920	Most of people may have heard of the principle of 6-degree approximation.
1075920	1077920	Most of people may have heard of the principle of 6-degree approximation.
1077920	1079920	But in a system or in the world,
1079920	1081920	But in a system or in the world,
1081920	1083920	The distance between people may not be as far as you imagined.
1083920	1085920	The distance between people may not be as far as you imagined.
1085920	1087920	How?
1087920	1089920	How?
1089920	1092000	Influencers,
1092000	1092920	they come about 5 phase and 6 phase.
1092920	1094920	they come about 5 phase and 6 phase.
1094920	1096920	Although they may not be aware of the shortest way,
1096920	1098920	Although they may not be aware of the shortest way,
1098920	1100920	you can see the sky when you open your eyes.
1100920	1102920	you can see the sky when you open your eyes.
1102920	1104920	You and a person in Africa,
1104920	1105920	the distance doesn't exceed 20 steps.
1105920	1107920	the distance doesn't exceed 20 steps.
1107920	1109920	the distance doesn't exceed 20 steps.
1109920	1110920	So there are many shortcuts and quick ways in the system.
1110920	1112920	So there are many shortcuts and quick ways in the system.
1112920	1114920	So there are many shortcuts and quick ways in the system.
1114920	1116920	And that's why the world is much smaller than we thought.
1116920	1118920	And that's why the world is much smaller than we thought.
1118920	1120920	By small scale, I mean that your road is less long than you imagined.
1120920	1122920	By small scale, I mean that your road is less long than you imagined.
1122920	1124920	The way we talk here is the shortest way.
1124920	1126920	There are many shortcuts in the system.
1126920	1128920	Make it very easy to get close to the goal.
1128920	1130920	Make it very easy to get close to the goal.
1190920	1192920	And then we can see the state of the point.
1192920	1194920	Let's take a simple example.
1194920	1196920	Let's take a simple example.
1196920	1198920	You may see that your neighbor or friend
1198920	1200920	You may see that your neighbor or friend
1200920	1202920	has a high infectious disease.
1202920	1204920	has a high infectious disease.
1204920	1206920	People around him may need to stay away from him.
1206920	1208920	People around him may need to stay away from him.
1208920	1210920	You need to have social distancing.
1210920	1212920	You need to have social distancing.
1212920	1214920	Or you let him be isolated.
1214920	1216920	If he is sick today,
1216920	1218920	If he is sick today,
1218920	1220920	this limit to his surroundings.
1220920	1222920	This limit to his surroundings.
1222920	1224920	the overlapping network will be significantly changing.
1224920	1226920	the overlapping network will be significantly changing.
1226920	1228920	Because of the isolation,
1228920	1230920	for the time being, he has lost many connections.
1230920	1232920	His friends may have lost connections with his friend.
1232920	1234920	His friends may have lost connections with his friend.
1234920	1236920	His friends may find others to replace.
1236920	1238920	Or he has more resources and more time for socializing.
1238920	1240920	Or he has more resources and more time for socializing.
1240920	1242920	So when a person loses something,
1242920	1244920	Or when a person loses something,
1244920	1246920	he is isolated,
1426920	1428920	But in society,
1428920	1430920	But in society,
1430920	1432920	there are many real-life information.
1432920	1434920	But we need to reverse the model.
1434920	1436920	But we need to reverse the model.
1436920	1438920	What is it?
1438920	1440920	What is it?
1440920	1442920	I don't know if it's a problem with engineering.
1442920	1444920	reverse engineering
1444920	1446920	or inverse problem
1446920	1448920	How can we measure
1448920	1450920	We want to know
1450920	1452920	how can we measure
1452920	1454920	So I'm going back to my model
1454920	1456920	I think the process is interesting
1456920	1458920	good
1458920	1459920	The first one I want to talk about is
1459920	1460920	indians
1460920	1461920	perceptual tomography
1461920	1464920	both of them
1464920	1465920	He is in the research
1465920	1468920	Irish
1468920	1469920	aboriginal
1469920	1471920	He is looking for some
1471920	1472920	fishing village
1472920	1473920	some
1473920	1474920	small villages
1474920	1476920	That place
1476920	1477920	is Arab
1477920	1478920	them
1478920	1479920	That place is
1479920	1480920	next to the extreme
1480920	1482920	That is their Så
1482920	1483920	Is long in summer
1483920	1484920	Very short in winter
1484920	1485920	Maybe one or two months
1485920	1487920	Can't see the sun
1487920	1488920	That
1488920	1489920	Our team
1489920	1490920	I did not go
1490920	1491920	But we have some
1491920	1492920	Humanists
1492920	1493920	Squatting there
1493920	1494920	They are there
1494920	1495920	Visit these American aborigines
1495920	1497920	Looking at their social network
1497920	1498920	Just ask
1498920	1499920	Who are you familiar with
1499920	1500920	Then who is familiar with who
1500920	1501920	That
1501920	1502920	And some of them
1502920	1503920	Psychological research
1503920	1504920	because
1504920	1505920	We know that
1505920	1507920	People near the extreme
1507920	1509920	Their alcoholism rate is high
1509920	1510920	Then their
1510920	1512920	The suicide rate of adult males is high
1512920	1513920	So we want to see
1513920	1514920	These
1514920	1516920	Some negative features
1516920	1518920	Or healthy behavior
1518920	1519920	He will
1519920	1521920	Will it be affected by his social network
1521920	1522920	Or will he turn around
1522920	1524920	To affect his social network
1524920	1526920	So we are from
1526920	1528920	Humanists squatting to get information
1528920	1529920	To build a social network
1529920	1530920	Then look again
1530920	1531920	It's them
1531920	1532920	The health behavior of these people
1532920	1533920	Or some other behaviors
1533920	1535920	Like these people
1535920	1536920	Is there any resource
1536920	1537920	Willing to help others
1537920	1538920	Or
1538920	1540920	Willing to provide other people with knowledge
1540920	1541920	We look at it from the perspective of social networks
1541920	1542920	Look at the behavior of these people
1542920	1543920	it is good
1543920	1545920	The first thing to do
1545920	1546920	It's us
1546920	1547920	Of course it is
1547920	1548920	Get these people's network
1548920	1549920	We just ask
1549920	1550920	Who are you friends with
1550920	1552920	How familiar are you with him
1552920	1554920	Then this is usually
1554920	1556920	It's the way sociologists do it
1556920	1557920	In fact, social networks
1557920	1559920	From the perspective of sociologists
1559920	1560920	They started doing it very early
1560920	1562920	Started doing it in the 1930s
1562920	1564920	They will draw a social graph
1564920	1565920	They asked a person
1565920	1566920	Who are you familiar with
1566920	1567920	Who is not familiar with
1567920	1568920	That
1568920	1569920	Of course we did this part
1569920	1570920	The other way we did
1570920	1571920	Is we want
1571920	1573920	Look at it by sampling
1573920	1574920	Can I just draw
1574920	1576920	In this village
1576920	1578920	Maybe a part of the hundreds of people
1578920	1579920	Maybe 5%
1579920	1580920	Maybe 10%
1580920	1581920	Or 30%
1581920	1582920	If we only draw a part of the people
1582920	1583920	Then we ask him
1583920	1584920	Hey, you think
1584920	1586920	Who is familiar with whom in this network
1586920	1589920	Can we restore the entire network
1589920	1590920	I don't ask everyone
1590920	1591920	Who is he familiar with
1591920	1593920	And just do sampling
1593920	1594920	If you draw a sample
1594920	1596920	Can you restore the entire network
1596920	1597920	But this may not be the same
1597920	1599920	Because if you draw a sample
1599920	1600920	You may find people
1600920	1601920	He is to guess
1601920	1603920	Other people's networks
1603920	1604920	He is
1604920	1606920	He is a subjective recognition
1606920	1607920	Other people's
1607920	1609920	Exchange status or relationship status
1609920	1610920	Then we want to compare
1610920	1612920	Is the difference between these two networks
1612920	1613920	One is your subjective
1613920	1615920	Your own report
1615920	1617920	For example, I am with A or B
1617920	1618920	I am with these two people
1618920	1619920	Who is a friend
1619920	1620920	Who is not a friend
1620920	1621920	Another angle is
1621920	1623920	The angle we use here is
1623920	1625920	I went to see
1625920	1626920	The first three people
1626920	1628920	Then I went to see if they had a relationship
1628920	1629920	If there is a relationship
1629920	1630920	I report
1630920	1631920	If it doesn't matter
1631920	1633920	I also said they had nothing to do with it
1633920	1634920	So what we rely on is
1634920	1635920	Third party report
1635920	1637920	That third party report
1637920	1638920	He can tell us
1638920	1640920	Okay, these people are related
1640920	1641920	Or these people have nothing to do with it
1641920	1642920	He may be
1642920	1644920	Presence or absence of individual properties
1644920	1646920	And pairwise relationships
1646920	1647920	So he can tell us
1647920	1649920	These people are related or not
1649920	1650920	That
1650920	1652920	According to this third party report
1652920	1655920	We can build a network with direction
1655920	1657920	There are positive and negative networks
1658920	1661920	The positive network is the general social network
1661920	1662920	He is
1662920	1663920	Two have a relationship
1663920	1665920	Give him a positive connection
1665920	1667920	If it is a negative network
1667920	1669920	The two should have nothing to do with it
1669920	1671920	We'll give him a negative connection
1671920	1673920	And this negative connection is that we believe
1673920	1674920	These two people
1674920	1675920	From the perspective of the third party report
1675920	1677920	They should be relatively unrelated
1677920	1678920	So we call it robust
1678920	1680920	They don't have that
1680920	1682920	Connection
1682920	1685920	Okay, so this is how we do it
1685920	1687920	It's actually like I just said
1687920	1688920	We're on a network
1688920	1690920	We want to do sampling
1690920	1692920	Of course, there are many ways to do it
1692920	1693920	I have a few here
1693920	1694920	Like Respondent-Driven Sampling
1694920	1695920	Snowball Sampling
1695920	1696920	Or Convenient Sampling
1696920	1697920	Or Web-based Sampling
1697920	1699920	It's all a way of sampling
1699920	1701920	So our way of sampling is
1701920	1702920	We are
1702920	1704920	Uh, invite people to participate in the study
1704920	1706920	We're a little bit like a convenient sample
1706920	1707920	And then let these people come
1707920	1710920	Provide them with their knowledge
1710920	1711920	Of course
1711920	1713920	Of course there will be some
1713920	1716920	Problems with, uh, we're going to deal with
1716920	1718920	The first one is us
1718920	1720920	Uh, it could be incomplete data
1720920	1721920	It's just that he might
1721920	1723920	Uh, this guy, he's coming to us
1723920	1725920	Say he recognizes the social network
1725920	1727920	Maybe there is
1727920	1728920	There may be insufficient information
1728920	1730920	This person doesn't know
1730920	1732920	Uh, I, we asked him
1732920	1733920	Does D have anything to do with E?
1733920	1735920	He may not be familiar with D and E
1735920	1736920	He may not know
1736920	1738920	Does D have anything to do with E?
1738920	1740920	Or he may report errors
1740920	1741920	Is that maybe
1741920	1743920	D and E have nothing to do with it
1743920	1745920	And then from the third party's point of view
1745920	1746920	He may be related
1746920	1748920	Or he may be tired
1748920	1750920	He may have done too many of these questions
1750920	1751920	Then his quality of information
1751920	1753920	Or the concentration dropped
1753920	1755920	He might give us some wrong information
1755920	1757920	The other one we face
1757920	1759920	The main risk is
1759920	1761920	Everyone's perception may be much worse
1761920	1763920	So this kind of information may be
1763920	1764920	There is a lot of this variability
1764920	1766920	Then we have to deal with these problems
1766920	1768920	Okay, so what we're going to do is
1768920	1770920	Why are we called
1770920	1771920	Perceptual Tomography
1771920	1773920	Tomography is a segmented scan
1773920	1774920	Is that you see a object
1774920	1776920	Then you can go from different angles
1776920	1777920	To do projection on it
1777920	1779920	Then what you see may be different
1779920	1781920	So you see this object in the middle
1781920	1783920	It has four entities
1783920	1786920	Then you cut from the angle of S1 and S2
1786920	1788920	It has two different pictures
1788920	1790920	Then look at it from the angle of P
1790920	1791920	It also has different pictures
1791920	1792920	What we want to say
1792920	1794920	What we want to say is
1794920	1795920	In our hearts
1795920	1797920	Uh, we might be in this system
1797920	1799920	There is a possible
1799920	1801920	Real social network
1801920	1803920	A and B are related
1803920	1804920	B and C are familiar
1804920	1806920	Then A and C do not know
1806920	1808920	This kind of real social network is this
1808920	1809920	We see these four objects
1809920	1811920	It is real
1811920	1812920	but
1812920	1813920	No one knows
1813920	1814920	What does this real network look like
1814920	1816920	It's a bit like blind imaging
1816920	1818920	You just look at it from a certain angle
1818920	1820920	What you see is what you imagine
1820920	1822920	So what we're going to do is
1822920	1824920	Find a lot of people to see this thing
1824920	1825920	See what this social network looks like
1825920	1827920	Look at it from different social positions
1827920	1829920	Or look at it from different angles of the Internet
1829920	1830920	What does this object look like
1830920	1832920	Then look at it
1832920	1834920	Can we finally restore
1834920	1836920	The social network in everyone's mind
1836920	1837920	But this social network
1837920	1838920	It may be with
1838920	1840920	Uh, the real social network is not very similar
1840920	1841920	One is subjective construction
1841920	1843920	One is a collective subjective construction
1843920	1844920	This is our current way
1844920	1846920	He is one
1846920	1848920	Uh, a more subjective objective report
1848920	1850920	Because this is my own subjective
1850920	1852920	Okay, I'm with A
1852920	1854920	With A, with C, with D
1854920	1856920	This kind of subjective objective report
1856920	1858920	Then we want to compare these two ways
1858920	1860920	What's the difference in the network that was built
1860920	1866920	Okay, so we're going to, uh, find these, uh, in Alaska
1866920	1869920	These people in the village come to participate in our research
1869920	1872920	Then, uh, everyone comes to invite us
1872920	1874920	Uh, we were invited by us
1874920	1876920	He will go and see the photos of other people
1876920	1879920	Let's say there are about 400 people in this village
1879920	1882920	Then we will show him about 40 photos
1882920	1884920	Is a person to say
1884920	1885920	Do you know these 40 people
1885920	1887920	Can you call his name
1887920	1890920	Do you know the relationship between these 40 people
1890920	1893920	If you say these people don't know these 40 people
1893920	1895920	He might not judge
1895920	1897920	The social status of these people
1897920	1898920	If you know
1898920	1900920	Let's see how we should go
1900920	1903920	Sort out some of these people's social networks
1903920	1905920	See which people are more, uh, related
1905920	1907920	Some people are more irrelevant
1907920	1910920	Okay, so the way we use it
1910920	1912920	It's the way we use this
1912920	1915920	It's the way we put these people's photos
1915920	1918920	We invite the audience to put them in different baskets
1918920	1921920	What are the conditions in the basket
1921920	1924920	The condition in the basket is that the audience should think
1924920	1926920	These people are in the same group
1926920	1928920	He just put it in the same basket
1928920	1931920	So, uh, let's say we give him five baskets
1931920	1934920	We later, uh, said, okay, so you
1934920	1935920	Of these 40 people
1935920	1937920	You may know 30 of them
1937920	1939920	You put people you think are more familiar
1939920	1941920	Put it in the same basket
1941920	1943920	If you think it's not familiar
1943920	1946920	You have to separate these people into different baskets
1946920	1949920	So this is the main way we use
1949920	1950920	We give different people
1950920	1952920	Is to look at different 40 photos
1952920	1954920	And then ask them to put them in different baskets
1954920	1957920	Okay, so, uh, what are our advantages
1957920	1959920	The advantage is that this method is very fast
1959920	1961920	Is that we show them
1961920	1962920	A small part of the group
1962920	1964920	Maybe 40 photos out of 400 people
1964920	1966920	Then we don't have to let him judge
1966920	1967920	Two out of 400 people
1967920	1968920	Because that judgment doesn't matter
1968920	1972920	The function of the human brain processing capacity
1972920	1974920	Probably not so strong
1974920	1977920	Then we only show him a small part of the paper collection
1977920	1979920	These social relations
1979920	1981920	Then again, uh, he
1981920	1985920	It can be used in some, uh, more large-scale data collection
1985920	1988920	Because we actually don't have too much burden on people
1988920	1990920	If this group is hundreds of people
1990920	1993920	Uh, or, uh, thousands of people
1993920	1995920	Maybe you can do that
1996920	1997920	What are his shortcomings
1997920	2000920	One of his shortcomings is, uh, like I just mentioned
2000920	2002920	Is that everyone's perception may be much worse
2002920	2006920	Or they may have some mistakes in the middle
2006920	2007920	Is that he may know
2007920	2011920	What he knows is different from other people's subjective judgment
2011920	2014920	Like me, I might know, uh, the first one
2014920	2017920	But I don't think there's a link between D and E
2017920	2019920	They know, but they don't know
2019920	2020920	Maybe, but D and E
2020920	2022920	Maybe they actually know each other
2022920	2023920	I might make a mistake
2023920	2025920	That's another one
2025920	2028920	I'm from a lot of different, uh, participants
2028920	2030920	To report the relationship between D and E
2030920	2033920	There may be a lot of, uh, contradictions
2033920	2034920	Or it's inconsistent
2034920	2035920	Inconsistency may be very high
2035920	2038920	We have to find a way to, uh, create a model
2038920	2041920	To deal with these problems
2041920	2044920	Okay, so this is what we, uh, are doing
2044920	2045920	This real-life study
2045920	2048920	We have, uh, human scientists squatting
2048920	2051920	A few small villages in Alaska
2051920	2054920	Their characteristics are, uh, the summer sun is long
2054920	2055920	Winter sun is short
2055920	2057920	And then, uh, there's a lot of pressure
2057920	2059920	And then the alcohol problem is a little serious
2059920	2061920	And then their, uh, income
2061920	2063920	Uh, it's probably not very high
2063920	2065920	That's just the connection between people
2065920	2067920	It's very strong
2067920	2070920	Okay, we, uh, we found a village
