start	end	text
0	11000	Today, I am very honored to invite Dr. Yu Song-Huan, our speaker, to give us an online presentation.
11000	18000	Dr. Yu Song-Huan's school and research unit is the Max Planck Institute of Biochemistry.
18000	22000	His main research area is focused on bioinformatics.
22000	26000	Today, he is going to talk about the topic of
26000	34000	Energizing the Three-Arm Knife for RNA-Seq-Based Entotation of Bacterial Archaeogenomics.
34000	39000	Now, Dr. Yu Song-Huan, please introduce the topic to us.
39000	42000	Thank you for the introduction.
42000	48000	Basically, what I am going to talk about today is a tool for analyzing biological information.
48000	57000	This tool is mainly used in the analysis of large data, which is often used and very important.
57000	59000	It is mainly used in RNA sequencing.
59000	62000	Later, I will introduce the basic background.
62000	68000	We are focused on the providence of gene assistance for bacteria and fungi.
68000	74000	I believe that not all the audience comes from biology.
74000	79000	So, I will briefly introduce the background.
79000	85000	I believe that quite a few speakers have talked about the background.
85000	90000	If I am not clear enough, you can also go back and look at the part of the speakers.
90000	96000	They are all very good.
96000	104000	The whole organism needs to undergo a process of normal metabolism growth.
104000	110000	That is, all their genes need to function normally.
110000	118000	We all know that genetic material is actually stored in DNA, which is the gene we are talking about.
118000	121000	DNA is a structure of double-bone spiral.
121000	123000	You can see that there are two bones here.
124000	129000	When the DNA is copied, it will be like a zipper.
129000	131000	These two bones will be released.
131000	134000	Then one of them will be used as a template.
134000	139000	According to this template, we will have DNA polymerase.
139000	145000	It will read the genetic code above and then copy another bone to form a new DNA.
146000	151000	However, in order for the DNA to function properly,
151000	158000	in most cases, it still needs to reach the protein level.
158000	162000	There is a middle product called RNA in the middle.
162000	167000	From DNA to RNA, we call it transcription.
167000	169000	It's very simple.
169000	172000	DNA will decompose into a single bone.
172000	176000	RNA polymerase will be combined with the single-bone DNA.
176000	182000	It will read their genetic code and produce another single-bone structure.
182000	184000	We call it RNA.
184000	188000	RNA can interact with the ribosome.
188000	193000	This process is called translation.
193000	200000	These RNAs will be compared with the correct amino acid.
200000	203000	Then it will be combined into a functional protein.
203000	205000	This is the case in most cases.
205000	209000	A very important topic in recent years is that
209000	217000	biologists use big data to analyze some of the phenomena of biologics.
217000	219000	Or to understand the situation of biological manipulation.
219000	223000	We can also roughly divide it into these three levels.
223000	225000	DNA level, RNA level, and protein level.
226000	230000	These big data studies are called biologics.
230000	232000	In English, it's omics.
232000	236000	DNA can form genomics.
236000	238000	RNA has transcriptomics.
