start	end	text
0	13000	Hello everyone, I am the host of today's presentation. My name is Lu Haoran. I am currently studying for my doctorate degree at the University of Connecticut in the United States.
13000	17000	I am also a staff member of Project Terra.
17000	37000	Project Terra provides online presentations to young Taiwanese scholars from all over the world.
38000	43000	Today's speaker is Mark Du Youlin.
43000	50000	I would like to start by reminding Mark that what we are about to see is not his video.
50000	54000	Therefore, I would like to ask him to share his screen.
54000	72000	Mark's past experience is in social science and education. His major is artificial intelligence, which includes personality, creativity, and consumer behavior.
73000	83000	After his research on cognitive science, his current research is related to natural language.
83000	89000	He is now a research assistant at the Center for Cognitive Neuroscience at the University of Connecticut.
89000	92000	He also has a personal website.
92000	99000	You are welcome to visit Project Terra's website for more information.
99000	105000	Today's topic is Applied NLP to Understand Creativity.
105000	109000	Take Twitter and Kickstarter for example.
109000	115000	It focuses on the knowledge of reverse engineering and applied psychology.
115000	119000	I believe everyone is very interested in today's presentation.
119000	123000	Thank you for attending today's presentation.
123000	135000	Before Mark's presentation, I would like to ask everyone to leave a comment in the chat area.
135000	138000	I will pass this question to Mark.
138000	139000	Please reply.
139000	142000	Now I will give the floor to Mark.
142000	144000	Hello, everyone.
144000	148000	Thank you for attending today's online presentation.
149000	153000	Today's topic is about public knowledge.
153000	156000	My name is Du Youlin.
156000	158000	My English name is Mark.
158000	160000	I will jump to my self-introduction page first.
160000	162000	My name is Mark.
162000	167000	At first, I studied social science at the University of Connecticut.
167000	176000	Then I transferred to the adult education department at the University of Connecticut.
176000	180000	Then I stayed at the University of Connecticut.
180000	185000	I was a research assistant at CS.
185000	191000	Now I am a research assistant at the Center for Neuroscience Research at the University of Connecticut.
191000	198000	When I was in college, there was a professor who specializes in human resources management.
198000	201000	He was interested in creativity.
201000	205000	So I learned from him.
205000	209000	When I graduated from college, I worked on an AI project.
209000	212000	So I am also quite interested in computer science.
212000	216000	I will combine these two topics today.
216000	224000	If you are interested in psychology, computer science, computer science, or data science,
224000	227000	you are welcome to communicate with me.
227000	229000	Data science has three parts.
229000	232000	If you have seen the literature diagram,
232000	234000	The top left corner is computer science.
234000	236000	The top right corner is data science.
236000	238000	The bottom is domain knowledge.
238000	240000	It depends on which major you are majoring in.
240000	244000	This field is really fascinating.
244000	248000	I will share it now.
248000	254000	There are four parts to my outline today.
254000	256000	The second part is self-introduction.
257000	261000	The second part is about public knowledge.
261000	266000	In general, people think that creativity is good.
266000	269000	In theory, the public knowledge website is very popular.
269000	273000	If you are very creative, I will share my research results.
273000	279000	The third part is about behavioral economics.
