start	end	text
0	13000	Hello everyone, welcome to today's Tara Talk on May 9th. I am today's host, Hong Shi-an.
13000	18000	We are honored to invite Xu Ruifu to speak for us today.
18000	26000	Xu Ruifu is currently a research assistant at the Chinese Academy of Sciences.
26000	35000	He will be entering the PhD program at NTU in September.
35000	43000	His main research is on micro-fine-graining and material studies.
43000	53000	Today's topic is the Ultimate Challenge of Antenna Miniaturization.
53000	59000	Before we start, let's give the speaker a round of applause.
59000	64000	Before we start, please remember to turn on your microphones.
64000	74000	Let's give the floor to Ruifu.
74000	78000	Thank you for the introduction.
78000	82000	If you have any questions, please feel free to ask.
82000	94000	I graduated from the Department of Electrical Engineering in 2016.
94000	99000	I studied for a year and graduated from the Department of Electrical Engineering.
99000	104000	I used to work as a research assistant at the Chinese Academy of Sciences.
104000	108000	I was originally planning to go to UCLA, but decided to stay in Taiwan.
108000	117000	Part of the reason is that I am now organizing a group of people to discuss Taiwan's PhD policy.
117000	122000	Last year, I was elected to be the president of NTU.
122000	128000	Prior to that, I was also a consultant at the Executive Yuan.
128000	133000	I have been concerned about the current situation.
133000	139000	In the past 10 years, the number of PhD students in Taiwan has dropped from 20,000 to 15,000.
139000	141000	This is a three-fold decrease.
141000	153000	At this point in time, people will be thinking about whether there is a need to adjust the way we nurture PhD students.
153000	160000	Whether there is a need to gather more resources to nurture our young researchers.
160000	166000	In addition to doing academic research, I am also concerned about this public policy.
166000	177000	I will spend a lot of time introducing the basic knowledge of the frontline and why we need to study this topic.
177000	182000	Later, I will talk about some of the results of my previous research.
182000	188000	Perhaps most people are familiar with and have an impression of the frontline.
188000	191000	It is an electromagnetic textbook.
191000	197000	If there is an electron with an acceleration, it will produce electromagnetic radiation.
197000	200000	That is the basic definition of physics.
200000	213000	If the frontline is a circuit, it is more like a transition device.
213000	215000	What kind of transition is it?
215000	220000	It is a guided wave and a free space wave.
220000	233000	A guided wave is a wave that travels from the transmission line to the air.
233000	240000	There is a device in the middle that can transform the electromagnetic wave.
240000	250000	In the transition region, we can design structures or materials to achieve the desired effect.
250000	255000	If we look at this in a circuit-based way,
255000	266000	for example, in this picture, we have a voltage source with its own generator resistance.
266000	273000	It is transmitted through the transmission line to the antenna.
273000	276000	The RL stands for Loss.
276000	279000	It may be the loss of various sources.
279000	282000	For example, conductive loss.
282000	289000	The R stands for the place where the radiation is emitted.
290000	293000	For the whole system,
293000	296000	whether it is heat loss or radiation loss,
296000	302000	it is the dissipation of energy in the circuit.
302000	304000	It can be represented by this resistor.
304000	308000	It also has some conductive or electromagnetic properties.
308000	312000	If we express an antenna in a circuit, it is like this.
312000	318000	In our impression, there are various kinds of antennas in life.
318000	321000	For example, this is what we think of the most.
321000	322000	It is called an O-level antenna.
322000	325000	It can be seen in Wi-Fi AP.
325000	330000	It is rarely seen in Doraemon comics or our roof.
330000	332000	But sometimes we see this kind of antenna.
332000	335000	It is called Yagyuda.
335000	338000	It is called octagonal antenna.
338000	343000	There is also this kind called helical antenna.
344000	349000	It is characterized by high concentration and is cylindrical.
349000	351000	There is also this kind of horn antenna.
351000	356000	Or the simplest and most common is called patch antenna.
356000	361000	It has a ground and a metal plate.
361000	364000	Many people may have the impression of an antenna.
364000	366000	In addition to this, it is a long-standing mobile phone.
366000	371000	You can see that it is connected to a very simple O-level antenna.
371000	377000	Many people may wonder why our mobile phones do not have this.
377000	386000	In fact, the antenna of our mobile phones is usually integrated into its chip and its shape.
386000	390000	For example, there is a famous story.
390000	394000	It is the iPhone 4 antenna door incident.
394000	400000	When the user holds this place, it is called the death grip.
400000	403000	As long as you hold it, you will die.
403000	405000	This is a very famous incident.
405000	412000	It is because it integrates its metal frame with its received frequency.
412000	421000	Unfortunately, when it was designed, it did not consider that the user's hand would lead to the short circuit of the receiver.
421000	427000	In fact, the design of the antenna can be extended from an ancient physical problem
427000	436000	to the modern user experience, aesthetics, and system performance.
436000	443000	Next, I will talk about some of the most common design parameters of antennas.
443000	446000	The first one is called radiation pattern.
446000	454000	Radiation pattern is a mathematical expression expressed in an image.
454000	459000	Usually, it is used to express some of the characteristics of radiation,
459000	464000	such as the intensity of its power, the intensity of its magnetic field,
464000	469000	or its fragrance, or all kinds of characteristics.
469000	474000	Usually, when we look at the radiation pattern,
474000	479000	we call it the far-field region.
479000	483000	There are two main reasons for the far-field region.
483000	491000	One is that the radiation pattern is no longer related to its distance.
491000	494000	It can be a more independent reference parameter.
494000	497000	The other is that it will become a flat wave form.
497000	502000	So there are many characteristics of radiation,
502000	506000	whether it is your power flux or your field strength.
506000	508000	They are all described in this way.
508000	514000	For example, this image shows the radiation pattern of an antenna in the form of a spherical coordinate.
514000	523000	We can express it as its power or its field strength.
523000	525000	This is called the major lobe.
525000	531000	This is where the magnetic field is strongest.
531000	535000	One of the important parameters of antenna design
535000	543000	is how to design its radiation characteristics into the shape and shape you want.
543000	548000	The second important parameter is called directivity and gain.
548000	557000	Directivity is the intensity of the radiation of the antenna in a specific direction
557000	562000	and the average value of the antenna in all directions.
562000	571000	So it can be used to show how concentrated the intensity is in that place.
571000	575000	The difference between gain and directivity is that
575000	581000	it looks at how the antenna effectively converts the radiation it receives
582000	588000	into the intensity it can actually receive in another place.
588000	594000	So the relationship between the two is that there is a difference in radiation efficiency.
600000	606000	Radiation efficiency is usually the ratio of the power received by the antenna structure
606000	610000	to the actual radiation output.
610000	612000	It is between 0 and 1.
612000	616000	This radiation efficiency is something we care about.
616000	619000	For example, in the design of a mobile phone,
619000	625000	the radiation efficiency directly affects the performance of the battery.
625000	630000	Or some more important applications affect the power consumption.
633000	638000	Another parameter is more practical, called realized gain.
638000	643000	If we look at this circuit diagram,
643000	648000	when the transmission goes to the antenna end,
648000	651000	there is a problem with the resistance matching.
651000	655000	In other words, if the resistance cannot be matched,
655000	659000	some of the waves of energy will be reflected back.
659000	662000	In this case, it will be less efficient.
662000	668000	Realized gain is the ratio of the power received by the antenna
668000	673000	to the gamma-reflected value of the gain.
673000	679000	This is the most practical aspect of the performance of the antenna.
680000	682000	I have a question.
682000	684000	Hello, I'm sorry.
684000	686000	I have a very basic question.
686000	688000	I really don't know much about this.
688000	690000	For an antenna,
690000	695000	we know that it usually has amplitude modulation and phase modulation.
695000	698000	In your design,
698000	701000	or the parameters you are talking about now,
701000	708000	is there a difference between amplitude and phase modulation in AM?
708000	713000	Or do you just need to get the maximum signal?
713000	718000	If it is an antenna,
718000	723000	our main consideration is how to get the maximum signal.
723000	726000	At the end,
726000	731000	we can use circuit design or some mathematical theory to make some modifications.
731000	733000	In fact, the strength of the signal,
733000	735000	which I will talk about later,
735000	739000	the ultimate goal behind the strength of the signal is
739000	744000	how to make the data transmission rate of your communication system
744000	746000	higher and better.
746000	749000	The higher the data transmission rate,
749000	751000	in fact, it will have many aspects.
751000	753000	The strength of the signal is one.
753000	756000	But, for example, the AMFM I just mentioned
756000	758000	is actually a different modulation method.
758000	762000	It will also affect the transmission rate.
762000	766000	There are many different places that affect the transmission rate.
766000	772000	But our ultimate goal is to improve the transmission rate of the entire communication system.
772000	774000	The design of the antenna,
774000	777000	the main consideration is the strength of the signal.
777000	783000	Thank you.
783000	789000	Bandwidth is also an important indicator.
789000	792000	As I will talk about later,
792000	797000	there is a well-known basic communication company called Channel Capacity.
797000	802000	There is a well-known information theorist called Shannon.
802000	806000	In addition to the strength of the signal,
806000	811000	another thing that affects the transmission rate is bandwidth.
811000	817000	But bandwidth is actually a broader thing.
817000	820000	Bandwidth just means that
820000	823000	the characteristics of our antenna
823000	828000	can maintain the characteristics we want within a certain frequency range.
828000	831000	So it can indicate a lot of physical variables,
831000	833000	such as input resistance,
833000	839000	for example, the beamwidth of the radiation pattern I just mentioned,
839000	841000	or the polarization you want.
841000	845000	It can have a lot of physical variables.
845000	850000	But what we see most often is the bandwidth of resistance.
850000	854000	The reason why the antenna produces radiation
854000	859000	is because it produces resonance of the structure at a certain frequency.
859000	862000	When resonance occurs,
862000	869000	the resistance and the reactance will change drastically.
869000	875000	As long as you can match the impedance,
875000	881000	the energy will be absorbed.
881000	885000	So if we want to achieve a broad bandwidth,
885000	888000	where the impedance is bandwidth,
888000	890000	we often see a parameter,
890000	893000	which is the reflection factor I mentioned earlier.
893000	896000	How to make this bandwidth as wide as possible
896000	900000	will affect the transmission rate of the entire system.
902000	906000	After talking about some basic features of the antenna,
906000	910000	I will slowly move on to the part about antenna miniaturization.
911000	916000	Antenna miniaturization is a very old topic.
916000	921000	It was discussed at the beginning of World War II.
921000	926000	At the beginning, there was a person who had a lot to do with us.
926000	929000	He was a professor at MIT named Zhu Lancheng.
929000	932000	In fact, in the early years,
932000	936000	he also helped a lot with the teaching and teaching in Taiwan.
936000	938000	He was a professor at MIT.
938000	942000	In 1948, he proposed this concept for the first time.
942000	943000	What is it?
943000	948000	He said that the design of the antenna was a bit like a blind man's vision.
948000	953000	He felt that a certain design could achieve a target.
953000	956000	For example, what kind of radiation efficiency do I want?
956000	957000	What kind of gain do I want?
957000	959000	What kind of bandwidth do I want?
959000	963000	However, we often modify the east and the west.
963000	965000	Change a little bit here and there.
965000	970000	We want to see how we can get the best design target.
970000	974000	But there seems to be some kind of connection between them.
974000	977000	It seems that you can't change everything at the same time.
977000	979000	There will always be some kind of trade-off.
979000	989000	Professor Zhu Lancheng proposed the concept of how to describe the relationship between them for the first time in 1948.
989000	992000	His idea was not very complicated.
992000	999000	He used a sphere to wrap up the antenna structure.
999000	1003000	He used a sphere that could enclose the entire antenna structure.
1003000	1011000	He assumed that there are ideal characteristics in the sphere.
1011000	1014000	For example, there is no loss in it, and there is no storage of energy.
1014000	1018000	Assume that there is a vibrating mode in it.
1018000	1020000	It may be the simplest mode.
1020000	1023000	The vibrating mode is a general expression.
1023000	1025000	After assuming the vibration mode,
1025000	1030000	calculate the vibrating mode of the spherical wave.
1030000	1036000	The second step is to convert the vibrating mode of the spherical wave into an equivalent circuit.
1036000	1041000	Each Z represents a vibration mode in it.
1041000	1044000	Through the calculation of the equivalent circuit,
1044000	1068000	we can calculate how much energy is stored and how much energy is dissipated by the electromagnetic wave.
1068000	1070000	This is the quality factor.
1070000	1073000	I'd like to talk a little bit about the quality factor.
1073000	1076000	The concept of the quality factor that we first came across
1076000	1079000	was probably in the system of spring-force oscillation.
1079000	1083000	At that time, we were looking for the lower the loss, the better.
1083000	1086000	The higher the Q value, the better.
1086000	1089000	It means that the energy is not wasted,
1089000	1092000	and it is a high-efficiency oscillation.
1092000	1095000	But the opposite is true for the antenna.
1095000	1099000	We are not looking for the higher the Q value, the better.
1099000	1102000	Because for the circuit system,
1102000	1110000	Q also represents the energy that is lost and the energy that is radiated.
1110000	1112000	For the circuit system,
1112000	1116000	the energy that is lost and the energy that is radiated are both a kind of loss.
1116000	1119000	So if you want to have a wider frequency band,
1119000	1122000	the lower the Q value, the better.
1122000	1125000	But this involves another problem.
1125000	1128000	In the end, the lower the Q value, the better.
1128000	1131000	Is it that your energy is all used up in the circuit?
1131000	1133000	Or is it radiation?
1133000	1135000	This is another problem.
1135000	1137000	So it's possible that your...
1137000	1139000	My question is,
1139000	1142000	but if what we're doing today is all commercial circuits,
1142000	1144000	all communications,
1144000	1147000	you can't just choose a narrowband,
1147000	1149000	a transmission band,
1149000	1153000	and then you just need to make a very large Q,
1154000	1156000	the noise bandwidth will be very small.
1156000	1158000	So for the receiver,
1158000	1161000	you can still use a very large Q antenna.
