start	end	text
0	15000	Hello everyone, welcome everyone to today's Tire Talk, we are very honored to invite Dr. Hong Shaoming today, he is now a post-doctoral researcher at the California Institute of Technology, and he is my colleague.
15000	31000	He brought us today's speech topic is unconscious visual information processing, from sensory cells to language. If I'm not mistaken, most of the content of today's speech has been published recently.
31000	42000	First of all, let me introduce Shaoming to you. Dr. Shaoming got his medical school degree from Duke University and the University of Singapore.
42000	56000	When he was a doctor, his main job was to study the unconscious process. After he got his Ph.D., he came to Caltech.
56000	80000	His current boss is Shinsuke Okada. His main job is to continue his Ph.D. research on the unconscious process. His main tools are psychophysics, fMRI, EEG, and eye tracking.
81000	90000	One thing that is different from the usual speech is that we now applaud and thank Shaoming for bringing us the speech, but we have to turn on the microphone so that our speakers can hear everyone's applause.
90000	105000	Thank you for your introduction. I am Shaoming Hong. Thank you all for joining today's speech.
105000	113000	Today I want to talk about a research topic that I am very interested in, which is unconscious information processing. I will focus on the visual level.
113000	122000	As you can see from the title, there are two extremes, one is perception and the other is language. I want to tell you that unconscious language processing may cover a very large range.
122000	129000	From perception, from light information to telemetry information, that is the first level of our visual and external world interaction.
129000	144000	All the way to language, we usually think that language is a higher-level and more integrated message in the whole visual process. For example, you have to understand a sentence, you have to know the meaning of the words between them, and you have to know how different strokes work.
144000	155000	Today I want to convey a message to everyone, that is, unconscious information processing may exist in different levels of visual information processing, which may cover a very wide range.
156000	171000	What is consciousness? Until now, scientists have not been able to give a very good scientific definition. In this speech today, most people in the field of consciousness science use the definition that consciousness has sensory content.
171000	178000	For example, you can see the words on my slide now, which are in your visual consciousness. For example, you can hear my voice now, which is in your auditory sensory content.
178000	184000	We say that you are aware of these auditory or visual stimuli and have sensory content.
184000	193000	Is there any content? Do not be confused with the state of consciousness. What is the state of consciousness? For example, if you are too bored to talk about it, you may fall asleep and enter an unconscious state.
193000	199000	What we are talking about today is not the state. What I am talking about today is the state of unconsciousness without sensory content.
200000	208000	Is there any sensory content? You may often hear a metaphor. You can see the picture below. You may have seen it on the poster, which is a simple picture I drew myself.
208000	216000	Consciousness and unconscious processing seem to be just a corner of the iceberg. From the perspective of message processing, this may not be a big problem.
216000	225000	Because we receive a lot of messages every minute and every second, but only a small part of the message is really presented in our consciousness.
225000	231000	The rest of the messages that are not presented in our consciousness have always been a subject of research that I have been interested in.
231000	241000	What happened to these messages? Did our brain ignore these messages and ignore them? Or can these messages still affect our brain and further affect our behavior?
241000	248000	There are three main questions to discuss today. The first question I want to ask is the question that I have been interested in since I was a classmate.
248000	256000	What kind of information can be processed unconsciously? We can have a very simple paradoxical hypothesis.
256000	263000	The first is that simple, single-digit, and low-level messages can be processed in an unconscious situation.
263000	272000	On the contrary, another hypothesis may be more complex, integrated, and high-level messages. These messages are more difficult to process, so they cannot be processed in an unconscious situation.
272000	275000	Or they can be processed. These are two opposing hypotheses.
275000	280000	The second question I want to ask is whether unconscious processing is equivalent to automated processing.
280000	286000	What does this mean? Once this process starts, it will not be disturbed by other external processes.
286000	290000	We can have a very simple paradoxical hypothesis here.
290000	298000	The first is that unconscious processing will not be affected by the difficulty of what we do consciously, or how we use our attention.
299000	311000	On the contrary, another hypothesis may be that what we consciously process is more difficult, or what we do will interact with the unconscious message processing.
311000	313000	These are two different hypotheses.
313000	323000	Finally, I want to turn to a completely different angle and discuss with you the neural basis of unconscious processing with the study of nucleus resonance and brain imaging.
324000	326000	Without further ado, let's move on to the first study.
326000	331000	The first study I want to discuss with you is the integration relationship between sound and shape.
331000	335000	We want to know if this integration relationship can be produced in an unconscious situation.
335000	337000	If you look at the title, the title is actually a bit mysterious.
337000	346000	What we want to say is that this word can sound round or sharp before we understand it.
346000	347000	What does this mean?
347000	355000	If we want to answer this question, we may have to take a few steps back and think about what we originally wanted to ask.
355000	359000	What we want to know is how we name an object.
359000	367000	Imagine, for example, that 100,000 years ago, we may have some very basic language systems, but we do not have such complex grammar and structure as we do now.
368000	378000	When we go out to hunt, I see some objects, such as the stone on the left or the crystal on the right.
378000	385000	When I go back to the group, I want to tell my master that the two things I see today are object A and object B.
385000	389000	I must use two different sounds to express these two objects.
389000	393000	In this case, what sound should we use to express these objects?
393000	404000	A very famous contemporary linguist, Arthur Shearer, said that the process of using what sound or what object to express external objects is very likely to be arbitrary.
404000	412000	In other words, I use sound A to express the stone on the left, and sound B to express the crystal on the right.
413000	419000	Perhaps another possibility is that different tribes or people with different languages ​​have a common connection.
419000	428000	They all tend to use a certain type of sound to represent the round object on the left, and then use another sound to represent the pointed object on the right.
428000	434000	This means that there is a very strong connection between our sound and shape.
434000	439000	Does psychology have any evidence to support such a connection?
439000	448000	In fact, we have a very famous cross-sensory sound and visual correspondence called Bubakiki Effect or Bubakiki Phenomenon.
448000	449000	What is Bubakiki Phenomenon?
449000	451000	Those who have a background in psychology may be very familiar with it.
451000	454000	If you don't have a background in psychology, imagine that you are an experimenter today.
454000	459000	You walk into the lab and the experimenter tells you that what you are going to do today is very simple.
459000	463000	We will show you two pictures, the round picture on the left and the pointed picture on the right.
463000	469000	These two pictures are two words used by a remote African tribe.
469000	472000	One of the words is called Bubakiki and the other is called Kiki.
472000	473000	Your job is very simple.
473000	476000	Your job is to tell us which one is Bubakiki and which one is Kiki.
476000	488000	Even if you haven't heard of this phenomenon before, you may be able to guess what sound most people use to express the object on the left and what sound to express the object on the right.
488000	501000	In fact, the answer is that people use a softer sound to express the round object on the left and a sharper sound to express the pointed object on the right.
501000	504000	This is a phenomenon corresponding to sound and shape.
504000	507000	This phenomenon is highly consistent.
507000	508000	Why do I say it is highly consistent?
508000	511000	It is highly consistent that it can exceed the age.
511000	512000	What does this mean?
512000	517000	In an experiment, they took a group of adults and a group of children under the age of three.
517000	523000	They used different shapes on the right, round shapes, pointed shapes, and these words.
523000	525000	The homework is the same as the homework you just did.
525000	532000	They asked these children and adults to use these words to describe these shapes to name these shapes.
532000	539000	They found that children under the age of three have a very similar pairing pattern with us.
539000	547000	They also use a softer sound to describe these round shapes and a sharper sound to describe these pointed shapes.
547000	559000	This means that the corresponding time between sound and shape can be very early, even before these children have a complete language training or a complete cultural experience.
559000	561000	This is the first evidence.
561000	567000	The second evidence is that this phenomenon is even a cross-language phenomenon.
567000	568000	What does this mean?
568000	580000	It means that regardless of whether your mother tongue is Chinese or Mandarin, English or German, the results of the experiment on different species are very similar.
580000	584000	We use the sound of the round shape to represent the round shape, and vice versa.
584000	587000	The real problem of our research is here.
587000	589000	Why does this happen?
589000	594000	Here I provide two very intuitive hypotheses.
594000	598000	The first hypothesis is that this is a conscious association.
598000	602000	This consciousness is not the same as our whole speech to discuss consciousness.
602000	605000	This means that we intentionally connect some things together.
605000	606000	What does this mean?
606000	611000	It means that when I hear this thing, it sounds sharp and sharp.
611000	613000	So this pattern is also sharp.
613000	615000	I want to connect these two things together.
615000	616000	The original thing means the same.
616000	625000	In other words, the reason why there is a connection between sound and shape is because everyone intentionally connects sound and shape together.
625000	626000	This is a possibility.
626000	629000	But this possibility does not seem to be able to explain these past data very well.
629000	633000	Why are there such similar connections between children and adults?
633000	637000	Or why do people who cross-language have such a connection?
638000	647000	The second hypothesis is that perhaps the correspondence between sound and shape happened before these stimuli material entered our conscious state.
647000	651000	So it is a very early processing process.
651000	655000	This early processing process may be very common.
655000	661000	So it can explain that we have seen these studies in adults and children, or in different languages.
661000	663000	You can find this Bubakiki effect.
663000	671000	This whole study is used to test whether the Bubakiki effect can really occur in the unconscious state.
671000	676000	So at the beginning, our research question is very simple.
676000	679000	We want to know if the Bubakiki effect can occur in the unconscious state.
679000	682000	The first experiment we did was very easy.
682000	687000	We found some, for example, this round shape, and then paired with the word Bubu.
687000	689000	Then the pointed shape is paired with the word Kiki.
689000	694000	These are the pair or congruent pairs we talked about.
694000	704000	When you compare the word, the sound, and the shape, you will have an inconsistent pair.
704000	706000	The question we want to ask is very simple.
706000	711000	If we can make the receiver not see these pairs, and then we look at their reaction to these pairs.
711000	718000	If it's still different, does that mean that they can still deal with sound and shape when they can't see these pairs?
718000	723000	The next question is, how do we make the receiver unable to see these pairs?
723000	728000	Our approach is a technique called Continuous Flash Suppression.
728000	731000	The concept is like this.
731000	739000	In this case, if one eye shows you a very bright square, like these colorful squares, we call them Mondrians.
739000	745000	When one eye looks at this colorful square, if the other eye lets you see a very bright square,
745000	755000	it usually takes a few seconds for you to see the object on the other eye.
755000	762000	In these few seconds, the object is basically unconscious to you or the visual material to you.
762000	764000	What do we do at this time?
764000	771000	We put the congruent and incongruent pairs into your other eye.
771000	775000	Then we measure how long it takes for the receiver to see.
775000	784000	Our assumption is that if the congruence of sound and shape can be processed unconsciously or subconsciously,
784000	791000	the time when they see the higher congruence pair and the incongruence pair may be different.
791000	793000	This is our assumption.
793000	796000	I'll go into more detail about time.
796000	799000	You'll see three different visual representations later.
799000	807000	Basically, one corresponds to their non-priority vision, one is the priority vision, and the other is the image that is closer to what they really see.
807000	810000	At the beginning, there will be a random SOA.
810000	815000	After the end, we'll show him two colorful flickering squares.
815000	823000	What we're going to do is put a pair of congruence or incongruence in the other eye on the left or right.
823000	827000	What they're going to do on this assignment is when they see any part of this pair,
827000	830000	press a button and we'll record the time it responds.
830000	831000	So this is a detection task.
831000	834000	We measure the time and we call it suppression time.
834000	837000	It means that this pair can be suppressed.
837000	843000	How long can we keep it out of our consciousness?
843000	850000	Our assumption is that if the correspondence of sound and shape can exist before they enter our consciousness,
851000	856000	congruent pair and incongruent pair will spend different amounts of time.
856000	859000	In order to make sure that the receiver has a good time doing this,
859000	864000	they see the stimulation material and then react, not just press a button.
864000	868000	At the end of each trial, we also added a location task.
868000	869000	Basically, we just said,
869000	870000	Oh, you saw it.
870000	871000	Where did you see it?
871000	872000	Is it on the left or right?
872000	875000	That's just to make sure that our receiver is a good receiver.
876000	880000	You can see that the average accuracy rate is quite high here.
880000	886000	When we analyze, we only analyze the trials that respond correctly.
886000	890000	Back to the question, what exactly did we find?
890000	894000	This is the 20 receivers we received in this experiment.
894000	896000	There are a lot of things in this graph.
896000	899000	Let's look at the first column first.
899000	903000	You can see a orange dot, which means that this is one of the receivers.
903000	907000	The orange dot is the time it spends in incongruent pairs.
907000	911000	The dark blue dot at the bottom is the time it spends in congruent pairs.
911000	913000	The bar at the bottom is the difference between the two.
913000	914000	Its y-axis is on the right.
914000	915000	So in other words,
915000	918000	this receiver needs to spend more time to see incongruent pairs.
918000	920000	What we're doing here is very simple.
920000	924000	We put these individual data together and make an average.
924000	927000	Then we see that this is the average of all people's data.
927000	929000	Then it's a positive bar.
929000	931000	What does this mean?
931000	934000	We call it a congruency benefit.
934000	940000	When the shape of the word and the outer circle is more consistent,
940000	944000	they will enter the state of consciousness of our receivers earlier.
944000	947000	This means that the correspondence between the sound and the shape
947000	952000	seems to have been dealt with before entering the state of consciousness.
952000	954000	So in the first study,
954000	956000	we pointed out to some extent that
957000	961000	it seems to occur before or before consciousness.
961000	963000	Then we found something called congruency benefit.
963000	966000	When the sound and the shape are consistent,
966000	969000	it will enter our state of consciousness earlier.
969000	973000	For people who are more sensitive to experimental design or experiments,
973000	975000	they immediately feel that it doesn't seem right.
975000	980000	Let's take a step back and look at the relationship between the word and the shape.
980000	983000	What we've been claiming is that the sound of the word,
983000	987000	the phonology of the sound, and the shape will have a congruency effect.
987000	990000	When they are consistent, it's easier for you to see them.
990000	993000	But the relationship between the word, the shape, and the inner circle
993000	996000	is the relationship between the word's word form, orthography, and shape.
996000	1000000	So in other words, if you look at these congruent pairs in our first experiment,
1000000	1003000	they are not only correspondent between sound and shape,
1003000	1006000	they are also correspondent between shape and shape.
1006000	1010000	In other words, the congruent pair looks more like it visually.
1010000	1013000	In other words, we may have found some kind of integration phenomenon.
1013000	1016000	But this integration phenomenon may not be cross-sensory,
1016000	1019000	but only exists in the visual domain.
1019000	1022000	So in other words, when the word looks very similar to the shape of the outside,
1022000	1024000	the receiver will see it earlier.
1024000	1026000	When it's not, the receiver will see it later.
1026000	1032000	In order to prove that the sound really plays a very important role,
1032000	1035000	we made some changes in the next experiment.
1035000	1039000	We used some so-called neutral symbols or neutral text.
