start	end	text
0	17000	OK, thank you very much for being able to participate in the weekly speech of Taira today, and of course, thank you very much to our speaker today, Shen Mingxue, for sharing with us what she is going to talk about today.
17000	31000	Before we start, let me quickly introduce Ms. Mingxue. Mingxue is a master's degree in aerospace engineering at Tsinghua University.
32000	41000	Next, we will continue to read about the details of space science related to the CU Boulder.
41000	48000	But I think the most interesting thing is that when I look at her introduction, it looks like a Star Trek fan.
48000	58000	This is the technology required for space exploration, as well as the research that needs to be solved, which is very exciting.
58000	67000	Without further ado, let's give the time to Mingxue, and then let me warmly welcome today's speaker, Shen Mingxue.
67000	77000	Shen Mingxue is a master's degree in aerospace engineering at Tsinghua University.
77000	87000	She has a master's degree in aerospace engineering at Tsinghua University.
87000	114000	Today, I would like to introduce the measurement and exploration of cosmic dust.
114000	130000	If you can see my mouse on the right, we are using a lot of spacecraft.
130000	150000	What I do is related to space. When I was in college, I watched a lot of movies, so I wanted to know something about Star Trek.
150000	160000	There is a space engine in Star Trek, so I went to the teacher to ask him what kind of space engine could be used in space.
160000	170000	Later, I found that it was not practical, and when I was in the master's class, I was not good at it. There is an impulse drive on Star Trek, which is the so-called electric power engine.
170000	185000	So I went to the master's thesis and did an impulse drive. After doing it, I found that there were not many people using it in the world.
185000	198000	At that time, the propulsion in space was still a rocket or a coolant. My so-called rocket is only the chemical propulsion and combustion. This part is related to its propulsion or other things.
198000	205000	Another part is that you need to pay attention to the space environment where you are in the space when you are in space.
205000	215000	The space environment we are in today is very different from the one we are protected by the entire atmosphere. I went to do some research on the electric power layer later.
215000	227000	Now when I come here, we start to do star science and do some aspects related to cosmic dust. I have done some data analysis of Cassini.
227000	238000	What I have been doing recently is the Parker Solar Propeller and the Solar Orbiter. The one above is NASA, and the one below is a project mainly cooperated by ESA and NASA.
238000	250000	Both are orbiting within a solar unit within 1 AU near the sun. Why is it special? I want to mention this distance.
250000	265000	When we talk about cosmic dust later, the space environment is close to the distance of the sun, the position of the solar unit on the earth, and even the outer solar system.
265000	278000	The space environment is different. This will lead to the charging effect of our probe or spacecraft, that is, the charging effect on it or the position it is in is different.
278000	288000	It will have a different interaction with the surrounding background environment, which may lead to different things happening on both sides of cosmic dust.
288000	299000	The first thing we need to talk about is dust. When we go to the beach, there is also sand, or when you wipe the floor, there will be some dust. These are indeed called dust in Chinese.
300000	311000	But scientifically speaking, these dusts still have to start with the Big Bang, which is the large-scale theory we are talking about. After all, it is the source of all matter.
