start	end	text
0	5000	Recording has started.
5000	7000	All right.
30000	50000	In 2011 and 2015, he received his master's and Ph.D. degrees from the Narrow Engineering and Microsystems Institute of Tsinghua University.
50000	62000	He also served as a postdoc researcher at the University of Illinois's Urban Champion.
62000	73000	He is currently working as an assistant professor in the Department of Power and Mechanical Engineering at Tsinghua University.
73000	86000	Today, Prof. Ming-Huang will be giving a presentation on RF Microdevices Based on the ThinFILM Lithium NeoBit.
86000	101000	Prof. Ming-Huang, please give us a warm welcome and applause.
101000	106000	Thank you for your introduction. I am Prof. Ming-Huang Li.
106000	118000	I am currently working as an assistant professor in the Department of Power and Mechanical Engineering at Tsinghua University.
118000	122000	My background is the same as what I just introduced.
122000	125000	I received my master's degree in mechanical engineering from Tsinghua University.
125000	130000	After that, I completed my Ph.D. degree from Tsinghua University.
130000	136000	After completing my Ph.D. degree, I briefly served as a postdoc for a year in Taiwan.
136000	139000	I then looked for opportunities to work as a postdoc in the United States.
139000	144000	Later, I was able to successfully work as a postdoc in the ECE Department of UIUC.
144000	150000	My main research topics are divided into two directions.
150000	154000	The first one is a funding project for me.
154000	157000	It is a DAPA Amoeba project.
157000	166000	The goal is to develop a low-frequency mechanical rectifier that can be used in the military.
166000	169000	At the same time, we have another project under execution.
169000	173000	This is the topic I am going to talk about.
173000	178000	This is the topic I am going to talk about.
178000	183000	This is the topic I am going to talk about.
183000	186000	My research interests are these.
186000	190000	Whether it is a static power supply or a power supply,
190000	193000	As long as it is a microcomputing component or a supercomputer component,
193000	196000	They are all in my area of interest.
196000	202000	If you have any questions, please feel free to interrupt.
202000	205000	Thank you.
205000	208000	This is my outline today.
208000	212000	First, I will start with our motivation.
212000	214000	The motivation is divided into two parts.
214000	221000	The first part is why we want to apply the sound wave component to the RF system.
221000	224000	It has a very long history.
224000	226000	But maybe everyone doesn't know why.
226000	229000	So I will start from this point.
230000	240000	Next, I will explain why lithium niobate is now considered to have a chance to become a star of the day.
240000	248000	I will introduce a few classic components in the current field.
248000	251000	Then I will explain their characteristics one by one.
251000	253000	Finally, there are two simple case studies.
253000	256000	The latter two parts are what I am doing.
256000	260000	The first one is about the adjustment of the temperature coefficient.
260000	264000	And its theoretical calculation and simulation.
264000	267000	The second part is what I started to do after I returned to Taiwan.
267000	270000	Due to these small components,
270000	273000	Usually, you have to make it with a seamless device.
273000	276000	If the device is not so useful,
276000	280000	In fact, the performance of the components will not be so ideal.
280000	285000	So after returning to Taiwan, we hope to reduce the loading in the process as much as possible.
285000	290000	So we developed all the thin-shaped lithium niobate components.
290000	295000	After returning to Taiwan, we hope to use the same concept.
295000	299000	We use surface-to-surface components to make.
299000	301000	We have also achieved some results recently.
301000	306000	The first part is my motivation.
307000	316000	Just like all human life requirements,
316000	320000	We hope to obtain information quickly and conveniently.
320000	324000	This is why the communication system has been improving.
324000	332000	From 2G and 3G decades ago to 4G and 5G in recent years,
332000	338000	We all hope that the communication system can meet all our needs.
338000	345000	It also includes high-speed transmission, low latency, and high reliability.
345000	354000	Based on this requirement, 5G communication is divided into three categories.
354000	358000	The first is high-speed, the so-called ENBB part.
359000	363000	It mainly uses high frequency bandwidth.
363000	367000	Because when the center frequency is higher,
367000	374000	The same ratio of bandwidth allows you to accommodate more communication channels.
374000	378000	This can improve the transmission speed of your data.
378000	383000	On the other hand, we also hope to have a low latency network.
383000	392000	Low latency network is used for safety or special applications.
392000	394000	For example, the network of a self-driving car.
394000	403000	If the network is interrupted in the process of self-driving,
403000	406000	It may not be able to receive important information.
406000	410000	This will create some doubts about the safety of passengers.
410000	417000	Therefore, this low latency and uninterrupted network is also an important part of 5G.
417000	423000	In addition, in smart homes or smart cities,
423000	427000	In the future, we will hope to build an Internet of Things system.
427000	431000	Therefore, we also hope to have some low-power transmission
431000	436000	To meet the applications of these sensor nodes.
436000	441000	Since 5G divides our needs into three categories,
441000	444000	It is impossible for them to operate on the same frequency band.
444000	447000	Because the frequency band is limited,
447000	453000	The number of channels or users that can be accommodated within the frequency band is also limited.
453000	458000	So it is obvious that if we want to meet these three needs at the same time,
458000	463000	It must be distributed in different frequencies on the distribution of frequency bands.
463000	466000	So we can see at the bottom of this picture,
466000	472000	In fact, 5G is divided into three parts.
472000	475000	Low-band is less than 1GHz,
475000	478000	Mid-band is between 1GHz and 6GHz,
478000	485000	High-band is between 6GHz and 100GHz.
485000	490000	Generally, Low-band and Mid-band are divided into FR1,
490000	493000	And MW is divided into FR2.
496000	502000	Is there any difference between 5G frequency band, 4G and 3G?
502000	505000	In fact, there is a big difference.
505000	509000	The main difference is that 5G hopes to
509000	516000	Use the limited frequency left by the communication system.
516000	519000	And hope to give them a new mission.
519000	527000	So in addition to the existing 3G and 4G infrastructure in the 5G communication system,
527000	531000	It also needs to insert these new frequencies in addition.
531000	535000	The biggest challenge of these new frequencies is that
535000	541000	It is very different from the traditional 4G network or 3G communication.
541000	545000	The frequency range of some bands is very large.
545000	550000	For example, we have the so-called band N77 and band N79.
550000	556000	These two frequencies may account for more than 10% of the frequency range.
556000	560000	In terms of N77, it accounts for 24%.
560000	563000	For higher frequency bands, such as band 258,
563000	565000	Its frequency range is about 10%.
565000	571000	The size of the frequency range has a great impact on hardware design.
571000	576000	Because at present, most of the radio waves used in the current communication system,
576000	582000	Especially in mobile phones, are radio waves.
582000	586000	The frequency range of these radio waves is limited.
586000	591000	The frequency range of these radio waves is usually controlled by the characteristics of its voltage material.
591000	595000	So for the current frequency range of 10% to 20%,
595000	598000	It is very difficult to achieve with the current technology.
598000	604000	So this is a new challenge from the system to the hardware design.
604000	609000	We also believe that we can get some new opportunities in this new challenge.
610000	625000	This graph shows the communication system architecture used by 3G, 4G, EET, and 5G carriers.
625000	630000	Compared with the traditional 3G and 4G,
630000	636000	It is obvious that 5G wants to have more applications,
636000	639000	So it has more usable frequency bands.
639000	645000	In order to properly process these signals, we need more filters.
645000	651000	The filter is used to process a specific frequency band signal.
651000	656000	For example, if the center frequency band of my filter is 1GHz,
656000	659000	And the frequency band is 400MHz,
659000	665000	So I will probably go from 980MHz to 1020MHz.
665000	668000	The frequency in the middle is allowed to pass.
668000	673000	I will try to suppress the signal beyond this frequency band.
673000	679000	So I can use these filters alone to select the communication frequency band I want,
679000	683000	And erase other signals.
683000	688000	In this way, it will be more convenient for me to process the following signals,
688000	691000	And the error rate will be lower.
691000	694000	Since the frequency band keeps increasing,
694000	697000	As we described earlier,
697000	704000	When the frequency band increases, we need more filters.
704000	707000	These filters also hope to have large frequency bands.
707000	716000	Therefore, the characteristics of the filter and its size need to be precisely controlled.
716000	725000	Especially if we want the phone to be able to use 5G communication properly,
725000	730000	So many filters have to be stuffed into the phone.
730000	735000	Therefore, the size of the filter is very strict.
739000	745000	This brings us to the first topic today.
745000	749000	Why do we want to apply the frequency band software to 5G communication?
749000	754000	Especially 5G communication with strict size restrictions.
754000	760000	The reason is that the frequency band is lower than the battery band.
760000	765000	Therefore, the size of the frequency band will be smaller than the battery band.
765000	768000	In the above picture,
768000	773000	We can compare the EM duplexer in the form of a battery band,
773000	777000	And the duplexer produced by the frequency band software.
778000	784000	The size of the duplexer is 10 times smaller than the battery band.
784000	796000	Therefore, we can expect a frequency band to be 100 times smaller than the EM duplexer.
796000	803000	In the same space, we can put more frequency band filters to meet our communication needs.
803000	809000	The frequency band is a mechanical resonance component.
809000	819000	In general, the quality of mechanical resonance will be higher than that of the EM duplexer.
819000	823000	Therefore, it usually has the characteristics of low insertion loss.
824000	835000	The most important thing is that the EM duplexer still needs to go through the steps required by the general semiconductor manufacturing process.
835000	839000	For example, exposure, salinity, time, etc.
839000	842000	These technologies are very mature in the industrial world.
842000	852000	Therefore, the EM duplexer can also be mass-produced and maintain a very stable salinity.
852000	855000	Sorry, I have a question.
855000	856000	Please go ahead.
856000	857000	It's a bit of an outlandish question.
857000	860000	Because what I'm doing is resonator, but what I'm doing is superconductor.
861000	864000	So, I don't understand.
864000	867000	What is the reason for the fundamental physics?
867000	873000	The quality factor of the resonator will be higher and the loss factor will be lower.
873000	878000	Because it feels like it uses a lot of energy to vibrate something.
878000	883000	It has the effect of EM in a space.
883000	887000	I can't understand intuitively why its quality is better.
887000	896000	In my opinion, this wave can be limited to a certain range.
896000	899000	Because mechanical vibration can be understood as
899000	903000	For example, I take a beam and let it vibrate.
903000	905000	Its boundary is very clear.
905000	910000	Because my beam is a beam with a fixed length and height.
910000	916000	So when it vibrates, it's like it's in this object.
916000	918000	It produces a beam.
918000	928000	But if it's EM, I'm not sure if it has such a good boundary to limit its EM.
928000	933000	It's the distribution of electromagnetic waves in space that produces a beam.
933000	939000	But I do know that there are some high-quality EM resonators.
939000	941000	It's like some dielectric resonators.
941000	945000	It should be a transmission line mode.
945000	948000	Its Q can reach several hundred.
948000	951000	But in terms of deep wave components,
951000	954000	At present, commercial components,
954000	959000	We call it an amplifier component of a deep wave filter.
959000	962000	Its Q can reach about 4000 to 5000.
962000	967000	So I think it still has a difference of one or two quantities.
967000	972000	Oh, I see. Okay, thank you.
972000	975000	Okay, I'll go on.
975000	984000	At present, 4G LTE has a lot of communication frequency.
984000	991000	Usually, there are about 3 to 4 wireless modules in a mobile phone.
991000	993000	To meet the needs of different frequencies.
993000	998000	For example, Wi-Fi has 2.4G and 5G.
998000	1001000	These two may be a module.
1001000	1007000	The traditional GSM communication and CDMA communication may be another module.
1007000	1013000	In such a module, it will contain a lot of active and passive components.
1013000	1015000	For example, in terms of this package,
1015000	1020000	It contains 4 PA, which is the so-called power amplifier.
1020000	1025000	To generate enough energy for long-distance transmission.
1025000	1031000	It has 18 filters and 5 switch modules.
1031000	1033000	There is also a collective circuit for communication.
1033000	1038000	There is also a chip for impedance matching.
1038000	1042000	So in such a module, it actually contains 18 filters.
1042000	1048000	So we can imagine that if there are three such modules in our mobile phone.
1048000	1050000	It has more than 50 filters.
1050000	1056000	In the future, we hope that 5G can accommodate more bands.
1056000	1061000	So we can expect that the number of filters will continue to increase.
1061000	1070000	At the same size, we hope that these filters can be small and high-performance.
1070000	1075000	So this is also the main challenge of the current filter design.
1075000	1087000	The second part is to explain why we think that Li-Lian NIOBE is a material with a good prospect.
1087000	1098000	Before the introduction of this LN, we can briefly review the three common transmitters.
1098000	1104000	The first one on the left is the traditional transceiver.
1104000	1113000	Its material is usually Li-Lian NIOBE or Li-Lian TENTALATE.
1113000	1117000	These two materials are all man-made crystals.
1117000	1122000	So they generally do not appear in the normal environment.
1122000	1124000	Because they are man-made crystals.
1124000	1130000	Because the traditional transceiver uses a thicker base.
1130000	1137000	So when we use a very small indexing electrode to stimulate the sound wave on the surface.
1137000	1140000	It usually forms a surface wave.
1140000	1143000	There are many forms of surface waves.
1143000	1148000	But the most common ones are usually Rayleigh waves or Leaky waves.
1148000	1152000	The Leaky wave has the opportunity to get a relatively large magnetic resonance.
1152000	1155000	But its loss will also be relatively large.
1155000	1160000	In terms of Rayleigh waves, its typical magnetic resonance factor is about 7%.
1160000	1168000	In our field, we are used to using KT² or KEffective² symbols to represent magnetic resonance.
1168000	1171000	Its Q is about 1000.
1172000	1178000	The second one is also the most popular model of transceiver at present.
1178000	1180000	We call it FBAR.
1180000	1190000	It is a transceiver with a film buck acoustic wave resonator.
1190000	1194000	After a long search and research,
1194000	1203000	we finally determined that aluminum nitride is the most suitable commercial application for FBAR.
1203000	1207000	Because other materials have more or less other problems.
1207000	1213000	Its general magnetic resonance factor can give you about 6.5%.
1213000	1216000	Its Q is about 3000 in 2GHz.
1216000	1224000	But there are already some companies, such as Brokon, which is the predecessor of Avago.
1224000	1229000	In terms of Brokon, their Q should be able to do more than 45,000.
1229000	1234000	In order to strengthen its magnetic resonance feature,
1234000	1243000	some researches will use KONG element to dope it into aluminum nitride.
1243000	1247000	Generally, it is used to improve the transceiver.
1247000	1255000	When aluminum nitride is sputtered, KONG element is used to dope it into aluminum nitride.
1255000	1262000	The higher the content of KONG element, the higher its magnetic resonance factor will be.
1262000	1267000	However, due to the increase in the defect of KONG element,
1267000	1274000	KONG element's magnetic resonance factor will decrease as time goes by.
1274000	1278000	The third type is the so-called LAMP wave.
1278000	1283000	It is usually made from aluminum nitride.
1283000	1286000	It is a fairly good material now.
1286000	1289000	Its coupling is about 6.5%.
1289000	1293000	Because its thickness becomes very thin,
1293000	1296000	it is usually less than one wavelength.
1296000	1304000	You can see that its electrode configuration is very similar to that of SOHL.
1304000	1308000	However, what it triggers is not a surface wave, but a body wave.
1308000	1312000	The body wave will be described by another set of equations.
1312000	1316000	So it will have completely different characteristics from SOHL.
1316000	1321000	Since the coupling of aluminum nitride itself is not particularly strong,
1322000	1329000	and its coupling will change according to the direction of the electrode and the form of the wave,
1329000	1333000	its coupling will generally be between 1% and 4.5%.
1333000	1336000	The Q value is about 2000.
1336000	1340000	By combining the above three different components,
1340000	1344000	we can see that we are very concerned about its two characteristics.
1344000	1347000	The first is its magnetic resonance.
1347000	1349000	The second is the quality factor.
1349000	1359000	The definition of magnetic resonance is probably the ratio of mechanical energy to total energy.
1359000	1369000	Because we want to know how much energy is transferred from electricity to the mechanical field
1369000	1374000	when we give some energy to the electrode on the surface.
1374000	1378000	So we generally use KT square as a very important indicator.
1378000	1381000	The second indicator is the so-called quality factor.
1381000	1384000	Q has a lot of definitions,
1384000	1392000	but the most widely known one is the ratio of the energy stored in our system
1392000	1397000	and the energy lost by each cycle of movement.
1397000	1402000	So the higher the Q, the lower the energy loss.
1402000	1407000	When the energy loss is lower, I have a chance to make a green wave that has a lower energy loss.
1407000	1413000	Because KT square and Q are very important,
1413000	1418000	we will define our performance indicator,
1418000	1421000	which is to multiply Q by KT square.
1421000	1427000	So we can use F bar as an example.
1427000	1435000	Its performance indicator is probably between 100 and 200.
1435000	1438000	This graph shows...
1438000	1440000	Sorry, I have a question.
1440000	1442000	Can I go back to the last page?
1442000	1447000	You said that your excitation is at 2 GHz,
1447000	1449000	but my question is that,
1449000	1452000	for example, the受 is the surface wave,
