start	end	text
0	8000	Hello everyone, welcome to today's Tarot Talk. I am the host today, Zhang Yanyong.
8000	18000	We are very honored to invite Dr. Zeng Sihao, a colleague at my school, to tell us about the topic of his research on the Internet today.
18000	28000	His research focuses on the parallel and variable traffic engineering of re-adjusting latency.
28000	32000	Let me introduce Dr. Sihao.
32000	41000	Dr. Sihao majored in Electrical Engineering at NTU.
41000	47000	He then went to Cornell to study ECE, Electrical Engineering.
47000	56000	He then came to Caltech to study Computer and Mathematical Science.
56000	63000	He then studied Engineering and Applied Science.
63000	69000	Let's give the floor to Dr. Sihao.
69000	74000	Thank you, Yanyong, for the introduction.
74000	79000	This topic is actually a bit long and difficult to understand.
79000	84000	However, when Yanyong invited me to give a talk, I thought that since it is a talk,
84000	88000	why not talk about a topic that is actually related to my research?
88000	93000	So I took the ICMP paper that I submitted last year.
93000	98000	Today I will try to make it as simple as possible.
98000	102000	Although this topic looks very difficult, you don't have to worry too much.
102000	109000	Its English title is Perseverance-Aware Traffic Engineering in Rate-Adaptive Networks with Reconfiguration Delay.
109000	114000	So I just translated the English title into Chinese.
114000	119000	As for what each term means, we will see later.
119000	124000	If you have any questions in the middle, please feel free to interrupt me at any time and ask me questions.
125000	130000	In addition, Caltech has a special system called Computing and Mathematical Science.
130000	135000	This system is actually under Engineering.
135000	140000	Although C stands for Engineering, the department seems to be under it.
140000	145000	It seems that the relationship between division and department is not quite the same,
145000	150000	but it is actually not very important.
150000	153000	So why do we want to study this topic?
153000	156000	My research topic is mainly about the Internet.
156000	159000	What is the Internet? The Internet is actually a bunch of things connected together.
159000	161000	Why do we want to connect a bunch of things together?
161000	164000	Basically, we want to communicate with each other.
164000	167000	We send some things, some information from one end of the Internet,
167000	170000	and we hope to get this information on the other end.
170000	173000	Or we want to send some goods, such as a logistics network.
173000	178000	For example, we want to transport fruits from Chiayi to Taipei.
178000	180000	This is also a network.
180000	183000	In fact, most of my research is on the Internet of information,
183000	190000	that is, the Internet of communication between some electronic products or electronic devices using electronic signals.
190000	195000	How are these networks usually transmitted?
195000	198000	That is to say, how is this information transmitted on the Internet?
198000	202000	Usually, for example, we will have our own personal equipment.
202000	205000	For example, today's lecture is the same.
205000	209000	We may use a computer or a tablet or a mobile phone.
209000	211000	We will connect to the Internet.
211000	213000	What does it mean to connect to the Internet?
213000	220000	In fact, we are sending a piece of information to a place called an exchanger, a router.
220000	224000	Sometimes this router also has a wireless exchanger,
224000	227000	such as AP, Access Point.
227000	230000	This is for wireless networks.
230000	233000	Sometimes you will also use a base station to receive these things.
233000	236000	After these terminals receive the message,
236000	241000	they will send it through an exchanger to a space.
241000	244000	Then we will be on the other side of the space.
244000	249000	Maybe someone else uses another device to get this information.
249000	252000	This is basically how the whole network works.
252000	254000	In this case,
254000	259000	because we use an exchanger to connect a lot of different devices,
259000	263000	we may put our information into an exchanger
263000	267000	and then go to another place to get something else.
267000	272000	In order to get a specific thing,
272000	275000	we have to establish a point-to-point connection with it.
275000	277000	This is actually quite important.
277000	280000	In the early days, the Internet was a bit like a telephone line.
280000	282000	At that time, there was a connection god.
282000	284000	When the two of us wanted to communicate,
284000	287000	there must be a line in the middle to communicate with us.
287000	289000	But today, the Internet is not necessary.
289000	293000	Today, the Internet actually sends a lot of different traffic
293000	296000	in various ways, using this kind of exchanger,
296000	302000	one by one to our target destination.
302000	305000	These terminals can be various things.
305000	308000	For example, you can be a so-called cloud terminal,
308000	310000	a server at the far end.
310000	313000	Or when we play games with others,
313000	315000	we may have a server.
315000	318000	We may also receive messages from others.
318000	320000	For example, the 5G network, which is very popular recently,
320000	325000	is actually talking about the communication at the wireless terminal.
325000	330000	Obviously, no matter how we get the information at the far end,
330000	333000	we have to go through these exchangers in the middle
333000	335000	or through the network in the middle
335000	338000	to help us pass the information from one end to the other.
338000	341000	So even if we have 5G now,
341000	343000	5G means that
343000	348000	5G is very fast from our wireless device to our base station.
348000	349000	But after it gets to the base station,
349000	350000	no matter what you do,
350000	353000	you still have to go through the network in the middle to help you.
353000	360000	So this network is the main focus of my network research.
360000	362000	This is called the broadband network.
362000	363000	Broadband network means that
363000	370000	there is a great distance between the two terminals.
370000	373000	Relatively speaking, if we are only in a local area,
373000	376000	this is called LAN,
376000	382000	which stands for Local Area Network.
382000	383000	Actually, I don't know how to say it in Chinese,
383000	386000	but it's a local network.
386000	389000	So what's the problem with broadband networks?
389000	392000	Because these broadband networks are connected to very far places,
392000	394000	we know that
394000	396000	when we use telecommunications to send things,
396000	399000	electricity is actually very easy to consume.
399000	404000	So how do we send them?
404000	406000	We have to use a very special kind of wire.
406000	409000	We definitely can't use the kind of wire that we usually use to plug breadboards.
409000	413000	We must use a very special kind of wire to send.
413000	416000	So how do we send these things?
416000	418000	We will send them from one terminal to the other.
418000	420000	There must be a very special wire in the middle.
420000	421000	This actually requires cost.
421000	428000	But this cost is sometimes justifiable.
428000	430000	It can be accepted.
430000	432000	If the service I want to provide can make me earn more money,
432000	435000	then of course I am willing to spend a lot of money
435000	441000	to build this kind of expensive link.
441000	444000	You can think of it as these lines in the middle
444000	446000	to connect to two very far places.
446000	449000	For example, many big companies do this.
449000	453000	For example, Microsoft or Google.
453000	456000	Because they usually provide some cloud services.
456000	458000	For example, you may sometimes use
458000	460000	Google Sheets, Google Gmail,
460000	463000	or Microsoft Hotmail,
463000	464000	like this kind of thing,
464000	467000	or all kinds of different services,
467000	469000	such as YouTube.
469000	472000	They just store the data all over the world.
472000	475000	They will let you get the data very quickly.
476000	480000	For example, they will build their own broadband network.
480000	481000	What are the benefits of this?
481000	483000	If you have this broadband network,
483000	486000	I can effectively adjust
486000	489000	how I want to use these lines.
489000	492000	If I can effectively use these lines,
492000	494000	I have a better chance of reducing my costs
494000	496000	and making more money.
496000	497000	Basically like this.
497000	500000	So now most companies
500000	503000	are investing a lot in building their own network.
503000	508000	Instead of purely using some more traditional Internet.
508000	511000	For example, we may sign a contract with AT&T
511000	513000	or we sign a contract with Taiwan Cable.
513000	515000	They actually provide the network,
515000	518000	but the network is not under the control of these companies.
518000	522000	Sometimes you can't adjust
522000	525000	how to use your connection in the middle.
525000	527000	So these big companies usually
527000	529000	will build their own network,
529000	532000	and then they will operate these networks themselves
532000	534000	to achieve higher performance.
535000	537000	We just mentioned that
537000	540000	the network is so far away.
540000	542000	These lines in the middle are actually quite special.
542000	544000	What kind of lines are these lines?
544000	546000	They are not ordinary blue lines.
546000	548000	Of course there are ordinary blue lines,
548000	551000	but the amount of blue lines that can be passed is limited.
551000	552000	And it's more expensive.
552000	554000	So most of the time we use
554000	558000	cheaper blue lines with higher economic value.
558000	560000	This is actually not a blue line.
560000	563000	This is a blue line that uses optical technology
563000	566000	to transmit signals through this light wire.
566000	568000	This light wire is actually cheaper.
568000	571000	And then there is a lot of information that can be transmitted by the light wire.
571000	572000	Because you use light.
572000	573000	Compared to electrical signals,
573000	577000	you have all kinds of different frequencies.
577000	578000	It can also be used.
578000	579000	And the speed of light is also quite fast.
579000	582000	It doesn't need to use electronic signals
582000	584000	to receive it first and then transmit it.
584000	587000	They just enhance the strength of light
587000	588000	and then continue to transmit.
588000	590000	So it actually has a lot of benefits.
590000	591000	That is to say,
591000	596000	most of these big companies
596000	598000	will use some light wires
598000	600000	to transmit signals far away,
600000	602000	and then turn it into electrical signals
602000	603000	at the end point.
603000	605000	Then we communicate with electrical signals.
605000	607000	These light wires are actually
607000	612000	better than ordinary blue lines.
612000	614000	That is to say, it has a higher economic value.
614000	617000	But how do you say on this broadband network,
617000	619000	no matter how cheap it is,
619000	620000	you have to pull a few hundred kilometers,
620000	622000	it will be expensive right away.
622000	623000	So no matter,
623000	625000	and you are in maintenance,
625000	626000	or in operation,
626000	627000	it's actually not cheap.
627000	630000	So these light wires on the broadband network
630000	634000	are actually a kind of expensive equipment.
634000	637000	Usually we don't want to say
637000	640000	that our light wires can't be used.
640000	642000	What does it mean not to be used?
642000	645000	That is to say, light wires are actually usable.
645000	646000	That is to say,
646000	648000	my signal can go through this light wire.
648000	650000	That is to say, after I go through this light wire,
650000	652000	I can get my signal.
652000	654000	Let's use a simple example here.
654000	655000	How do we send a signal
655000	657000	from one end to the other?
657000	658000	You can imagine that
658000	660000	we are on both ends of the light wire.
660000	663000	We can actually send it,
663000	665000	we can send it at its frequency.
665000	666000	If we think of a white paper,
666000	668000	we can draw a dot on the white paper.
668000	670000	Then we put this paper through the light wire.
670000	672000	The light wire will pass this paper to the other side.
672000	673000	Then I look at this paper.
673000	675000	Ah, what is your signal?
675000	678000	If the other person can interpret your signal,
678000	681000	that means your signal has been successfully passed.
681000	683000	So let's use this simple example to see.
683000	685000	Suppose I have a big white paper now.
685000	687000	I can send this white paper to the other side.
687000	689000	Then I can tell the other person
689000	690000	a similar code.
690000	692000	Say, if you see me
