start	end	text
0	13000	Hello everyone, I am today's keynote speaker, Jason Hong.
13000	19000	I am now a Ph.D. student at the University of Michigan.
19000	23000	I am also a Project Taira staff member.
23000	32000	Project Taira stands for the Taiwanese Young Researchers Association.
32000	47000	The purpose of today's event is to provide suggestions and feedback.
48000	60000	We hope that Project Taira will continue to grow and improve.
60000	71000	At the beginning, I would like to talk about what Project Taira is currently doing,
71000	76000	and what questions we would like to ask.
76000	92000	This video is the summary of Project Taira.
92000	98000	We hope to establish a timely cross-national academic information sharing platform,
98000	101000	to connect with Taiwanese academics from all over the world,
101000	106000	to communicate about the development, results, and trends of overseas and Taiwan academic circles,
106000	111000	and to provide each other with an effective platform for communication.
111000	115000	This is basically the purpose of Project Taira.
115000	125000	We hope that young Taiwanese academics from all over the world can come to this platform,
125000	130000	and share information with each other.
130000	136000	Our organization currently has two websites.
136000	142000	The first is our blog, where we publish our weekly speeches.
142000	147000	The second is our Facebook page, where you can find our information.
148000	156000	Let me talk a little bit about what Project Taira has been doing in recent years.
156000	166000	The first thing we are doing is to prepare a regular speech every week.
166000	175000	We have been doing this speech from 2017 to now, about 4 to 5 years.
176000	191000	If you go to our blog, the page will tell you what the topic of our next week's speech is.
191000	197000	There are many topics, and it will tell you the main time.
197000	208000	We hope that the main time will be around 6 to 7 p.m. in the west coast of the United States.
208000	213000	This time will be around 10 a.m. and 9 p.m. in the east coast of the United States.
213000	220000	If you are in Taiwan, you may hear this speech at 10 a.m.
220000	225000	We mainly do this on weekends, such as Saturdays and Sundays.
226000	231000	We hope that you can take the time to listen to our speech.
231000	236000	We hope that you can take the time to listen to our speech.
239000	245000	Every week, our speech will be recorded and posted on our blog.
245000	249000	If you have listeners who want to find the previous speech,
249000	253000	you may find some important information in the previous speech,
253000	256000	and you may go there to find it.
256000	264000	We hope that every week we can record the speech and put it in this space.
265000	274000	Sometimes, if the speech has not been published yet,
274000	281000	we can postpone the upload time.
281000	286000	According to our previous results,
286000	293000	we have found speakers from various fields.
293000	298000	This is a small part.
298000	306000	This may be related to air pollution, biology, astronomy,
306000	312000	or computer science.
313000	323000	We will share the information of the speech every week.
323000	329000	We use e-mail and the blog I just mentioned.
329000	332000	We will share it on Facebook.
332000	339000	We will also share it on the Facebook page of major alumni associations.
342000	350000	Finally, if you are a speaker and you give a speech,
350000	359000	we will send you an Amazon gift card at the end of the year.
359000	364000	It depends on our budget.
364000	373000	The above is our regular talk.
373000	380000	The second important thing we do is the summer special activities.
380000	384000	In the summer, because everyone is on vacation,
384000	389000	there is usually less time in the middle to give a speech.
389000	394000	In the middle, we will invite some people from outside to give us some speeches.
394000	397000	Some special and interesting speeches.
397000	402000	In 2018, we invited Liu Junlin to tell us
402000	410000	how to use some academic speech or presentation software.
410000	414000	For example, how to use LaTeX, how to use DeepLeaf.
414000	416000	I don't know what these are.
416000	421000	In 2019, we made some changes.
421000	428000	Our main focus was the ZR development symposium.
428000	438000	We invited two professors and an industry person
438000	444000	to share with us their experience in finding a job.
444000	448000	I believe this is a topic that many people are interested in.
448000	453000	This symposium has a very high attendance rate.
453000	460000	In 2020, two weeks ago,
460000	466000	we continued to do academic work and development symposium.
466000	472000	This event is co-organized with the Professor Association of Taiwan in North America.
472000	474000	This year, we invited them to co-organize the symposium.
474000	483000	We hope that we can get more information from the professor.
483000	487000	This year, there are some other activities.
487000	490000	For example, the annual member's meeting.
490000	494000	Two or three weeks later,
494000	497000	there will be a research project on Taiwan's first rocket.
497000	504000	Finally, there will be a symposium on the reform of higher education.
504000	507000	I think this symposium is quite interesting.
507000	517000	We invited the former president of the Research Student Association,
517000	524000	as well as some legal assistants and researchers from the Policy Research Center.
524000	531000	I hope that more people can participate in this symposium.
531000	541000	This symposium is very hard-earned by Professor Yan Yong, one of our staff members.
541000	552000	There are two important things that Taira has done so far.
552000	559000	There is a weekly speech and a special symposium or speech in the summer.
559000	564000	Let's take a look at the growth data.
564000	568000	You can give us some suggestions for reference.
568000	574000	The first graph shows the number of members and the time.
574000	581000	As you can see, we had a member system since the end of 2017.
581000	584000	It has continued to grow.
584000	586000	It looks pretty linear.
586000	589000	I hope we can continue to maintain it in the future.
589000	593000	So far, we have almost 300 members.
594000	598000	We held a total of 122 speeches.
598000	604000	If you look at our Facebook page, there are more than 2,000 members.
604000	614000	The graph on the right is the breakdown of our speech.
614000	616000	I divided it into several categories.
617000	624000	Because the topic is very complicated and diverse, I roughly divided it into several categories.
624000	634000	It's probably math, physics, chemistry, biology, other sciences, engineering, and humanities.
634000	638000	You can take a look at it.
638000	642000	So far, physics and biology seem to be the most popular.
643000	647000	Engineering is also quite a lot.
654000	657000	The number of members is actually the most in these categories.
657000	659000	But the number of speeches is not very clear.
659000	662000	The number of speeches seems to be the most in biology.
662000	666000	Next, if you add physics, it is also the most.
666000	672000	This is our breakdown.
672000	686000	The following is the IP address of the audience.
686000	695000	70% of the audience is from the United States.
695000	701000	About 20% of the audience is from Taiwan.
701000	705000	The rest are from Japan and some European countries.
705000	716000	The number of people on the line seems to be smaller and more professional.
717000	723000	So the number of people on the line is about 10 people.
723000	733000	Unless there is a symposium, the number of people on the line may exceed 50 or 40.
733000	738000	These 40 or 50 people are usually in a symposium.
739000	741000	This is a special event in the summer.
746000	753000	Finally, I would like to mention that there are organizations that cooperate with us and support us financially.
753000	760000	As mentioned earlier, we have some financial support.
760000	770000	These funds come from the Ministry of Education and TACO.
770000	775000	We also found some partners.
775000	780000	This is the Taiwan University Graduate Association and the North American and Taiwanese Professor Association.
780000	785000	There are also some activities from the Ministry of Science and Technology.
785000	794000	Unfortunately, we can't hold activities with them this year, but we hope to hold activities with them in the future.
794000	800000	We would like to hear some opinions from the ministers and scientists.
807000	811000	I hope to leave more time for meeting discussion.
811000	820000	I have listed some things that we want to discuss with you.
820000	823000	There are four main parts.
823000	832000	Membership rights, PR team, seminar team, and IT team.
833000	842000	As for the membership rights, the priority is higher.
842000	846000	We hope to change some membership rights and obligations.
846000	851000	We also hope to change some conditions and frequency for speeches.
851000	854000	Let's take a look at the following slide.
855000	858000	You can take a look at it.
858000	863000	In our blog, we mentioned the membership rights.
863000	870000	This is for doctoral students and post-doctoral students working in public or private institutions.
870000	875000	The main problem is the membership obligations.
875000	886000	In our previous membership obligations, there is a rule that members should give a speech every two years and share recent research results.
886000	895000	This rule is because a long time ago, the TARA group was actually a very small organization.
895000	901000	There were more than ten people at that time, and we had to give speeches in turns.
902000	909000	But now there are too many members, and it has become a big organization.
909000	917000	We hope to discuss how we should upgrade our speeches in the future.
917000	925000	What rights should we have as members?
925000	929000	How should TARA upgrade its speeches?
929000	939000	One of our proposals is to eliminate this obligation.
939000	944000	We don't need to give a speech every two years.
944000	950000	Giving a speech is your right.
950000	958000	In the future, we will try to find members who have a membership status.
958000	963000	We will try to find speakers from the members so that you can share your speech.
963000	966000	It's also a chance to practice speaking.
966000	972000	This is a change.
972000	988000	In addition, there are some job openings opportunities in universities and Taiwan.
988000	994000	They will provide us with job openings information.
994000	997000	We will forward this information to the members.
997000	1001000	This is a new membership right.
1001000	1009000	According to these conditions, what we hope to do in the future is this.
1009000	1022000	If you are not a member and you are a non-member, you will go to a non-member registration form.
1022000	1024000	You need to fill out a form.
1024000	1028000	If you are a member, you will receive our letters on a regular basis.
1028000	1034000	You don't have to do anything. You just need to go online and participate in the speech.
1034000	1040000	In the future, we hope to change it to this.
1040000	1043000	We will make two Google Groups.
1043000	1048000	Basically, it's a group of non-members.
1048000	1053000	A group is responsible for the information of TeraTalks.
1053000	1059000	Every week, TeraTalks will be sent out by this letter.
1059000	1065000	You can freely choose whether you want to join or quit.
1065000	1069000	It's like a subscribe function.
1069000	1071000	You just need to subscribe.
1071000	1073000	It doesn't matter if you are a member or not.
