start	end	text
0	12000	Welcome everyone to participate in our presentation today.
12000	15000	I am the host today, Zhang Yuanping.
15000	22000	Our speaker today is very happy to invite Mr. Bojun to share his research with us.
22000	30000	As for the content, we will leave it to Mr. Bojun to share directly with everyone.
30000	33000	It will be about the熱傳熱導.
33000	36000	If I'm not mistaken, it should be like this, right?
36000	38000	Because it's not my major.
38000	41000	Everyone will know the details later.
41000	44000	Let's share the background of the teacher.
44000	46000	The teacher used to be Qingda Materials.
46000	49000	If I'm not mistaken, Qingda Materials.
49000	54000	After graduating, he went to Stanford to study materials.
54000	61000	Now, at the beginning of this year, he went to Duke.
61000	63000	At the beginning of last year.
63000	65000	At the beginning of last year, sorry.
65000	67000	At the beginning of last year, he went to Duke.
67000	71000	It's from the west coast to the east.
71000	75000	And it's almost a right-angled line.
75000	78000	It's not that right-angled, but a little bit.
78000	82000	Then I just missed the teacher.
82000	86000	Because I came back to Taiwan from UNC at that time.
86000	88000	And I came back to Qingda Materials.
88000	92000	So I just missed the teacher.
92000	96000	Otherwise, there should be a chance to meet in person.
96000	99000	I am very happy to have this opportunity today.
99000	102000	So let's not talk too much.
102000	107000	On behalf of everyone, I would like to warmly welcome the teacher to share with us today.
107000	110000	I'm going to take a picture.
110000	112000	OK.
112000	115000	You can share your screen.
115000	117000	It's at the top.
117000	118000	If you swipe over, there will be...
118000	120000	Do you know how to do it?
120000	123000	There are four buttons.
123000	126000	One of them is the share screen.
126000	129000	Then you do this.
129000	132000	OK, I saw it.
132000	133000	OK.
133000	135000	Then I'll turn off my microphone.
140000	142000	I...
142000	145000	OK, so you really can't see what I mean.
145000	148000	OK.
148000	149000	Thank you, Yen Ping.
149000	154000	Thank you for coming to listen to me.
154000	158000	Let me talk about the two little things I've been doing recently.
158000	159000	It's quite interesting.
159000	164000	It's mainly about how we can adjust our heat radiation.
164000	169000	And then let this building be more...
169000	171000	It's simple.
171000	172000	I just...
172000	176000	Yen Ping has already introduced my background.
176000	181000	Mainly, when I was at Stanford, I started doing nano.
181000	185000	And then I switched to doing some metal nanowires.
185000	188000	And then I started doing some textile research.
188000	195000	Textile, in my understanding, is actually related to energy.
195000	198000	Because...
198000	201000	I hope this slide will be clearer.
201000	205000	Because we actually spent a lot of energy
205000	210000	to provide us with a very comfortable hot environment.
211000	216000	In fact, most of the energy consumption in the United States
216000	220000	actually comes from fossil fuels.
220000	224000	That is to say, on the one hand, we have to push for renewable energy,
224000	228000	such as solar energy and wind energy.
228000	232000	On the other hand, if we can save the energy we use,
232000	236000	it will contribute a lot to reducing CO2 emissions.
236000	240000	The reason why I say that
240000	244000	textile and energy are closely related
244000	247000	is because if we look at...
247000	249000	This is also from the United States.
249000	250000	Let me ask everyone first.
250000	253000	Maybe I'll use a pointer.
253000	257000	Okay, yeah.
257000	259000	This is American consumption.
259000	262000	It's by different areas.
262000	265000	There's transportation, there's industry, and there's architecture.
265000	268000	Architecture is where we are now.
268000	271000	Just now, Yanping told me that
271000	274000	he's been looking for a parking lot for a long time.
274000	278000	We always go to a meeting place
278000	281000	to have a conference, class, and so on.
281000	283000	Even if you get off work, you go home.
283000	285000	So it's always in a building.
285000	287000	So it's not surprising that this building
287000	291000	takes up one-third of the energy consumption.
291000	293000	When we were young,
293000	295000	I think when we grew up in Taiwan,
295000	298000	we were taught to turn off the light
298000	300000	and turn off the faucet
300000	302000	to save electricity.
302000	304000	But in fact,
304000	305000	we didn't know until later that
305000	307000	most of the electricity
307000	309000	is consumed...
309000	311000	You're in this building.
311000	312000	You're consuming electricity.
312000	313000	Even if you don't turn on the light.
313000	314000	Because this building
314000	318000	needs to have a proper temperature.
318000	320000	You have to turn on the air conditioner in summer.
320000	322000	Taiwan doesn't need air conditioners in winter.
322000	324000	But in fact,
324000	325000	most places in the world
325000	327000	still have air conditioners in winter.
327000	330000	So HVAC is heating,
330000	331000	ventilation,
331000	333000	and AC is air conditioning.
333000	335000	This is a thermal air conditioner.
335000	336000	It basically takes up
336000	339000	17% of the energy in the United States.
339000	340000	You can imagine
340000	343000	if such a large amount of energy
343000	345000	is not consumed at all.
345000	347000	Because it is
347000	349000	the most basic living condition.
349000	351000	So the so-called textile
351000	353000	and energy-related places
353000	358000	are in this concept
358000	360000	called personal self-management.
360000	361000	In other words,
361000	363000	our traditional concept
363000	365000	is that we take this building,
365000	367000	the temperature of the whole building,
367000	370000	and make it very warm in winter.
370000	371000	Turn on the heater
371000	373000	and the whole building becomes very comfortable.
373000	375000	Personal self-management means
375000	376000	that we don't want to
376000	378000	make the whole building very warm.
378000	380000	Instead, we focus on
380000	383000	the environment around these people.
383000	384000	We try to make
384000	386000	these people feel warm.
386000	389000	After all, these tables and chairs
389000	391000	and decorations
391000	393000	don't really matter.
393000	395000	Textile is in this place.
395000	398000	We can make some new innovations
398000	400000	to achieve this goal.
400000	403000	Let's review
403000	405000	some of the past work
405000	407000	in personal self-management.
407000	410000	I mainly talk about radiative,
410000	413000	which is heat radiation.
413000	416000	In general, when we talk about a textile,
416000	418000	its cold or heat
418000	422000	is usually its flow
422000	423000	or evaporation,
423000	425000	how it is controlled.
425000	429000	Radiation is actually a very large piece,
429000	432000	but it has not been adjusted much.
432000	434000	So here we hope
434000	436000	that we can use some of the materials
436000	440000	and innovations to achieve different properties.
440000	442000	For example, we can
442000	445000	buckle the 7N wire
445000	450000	to the top of the clothes.
450000	455000	We can suppress the radiation.
455000	456000	In other words,
456000	458000	we can reduce our heat loss.
458000	459000	On the other hand,
459000	462000	we also made transparent clothes.
463000	466000	If you ask a physicist
466000	469000	how to make the coolest clothes,
469000	471000	the simplest answer is
471000	473000	not to wear it.
473000	475000	But obviously you can't do that.
475000	479000	So we can make clothes
479000	484000	that look colorful visually,
484000	485000	not transparent,
485000	487000	but don't seem to wear inside and outside.
