start	end	text
0	4000	Yes, okay.
4000	8000	Welcome to the first lecture after the New Year.
8000	12000	I'm glad to have Sui-An here today
12000	18000	to share with us about psychology and law.
18000	20000	Law? I don't think so.
20000	23000	The application of psychology in law
23000	27000	and the development of it.
27000	30000	Before we talk about the topic,
30000	32000	let's introduce our speaker today.
32000	37000	Sui-An is a law major in NTU.
37000	40000	She studied law in NTU.
40000	45000	Then she became a lawyer.
45000	47000	She did well in the exam.
47000	48000	In the process,
48000	52000	she participated in many research and activities in psychology.
52000	57000	After graduating from law school,
57000	60000	she interned in a law firm
60000	62000	and later became a professional lawyer.
62000	68000	She also studied psychology in NTU.
68000	70000	In the field of law,
70000	74000	she majored in the case of death
74000	78000	and the defense lawyer.
78000	80000	That's her major.
80000	82000	In the field of psychology,
82000	87000	she did a combination of law and psychology.
87000	94000	She studied the testimony of children
94000	96000	in the court.
96000	100000	How to do it accurately and accurately.
100000	103000	After graduating from law school,
103000	106000	she went to Cornell
106000	109000	to continue her research.
109000	112000	Her research is about
112000	115000	cognitive psychology,
115000	117000	psychological development,
117000	119000	and the combination of law.
119000	122000	We can hear more details today.
122000	127000	Sui-An will share the details with you.
127000	131000	Finally, I will share a fun fact with you.
131000	134000	Sui-An,
134000	136000	besides...
136000	138000	Did I tell you I wanted to say this?
138000	139000	I don't think I did.
139000	142000	Sui-An,
142000	148000	besides her extensive academic background,
148000	152000	she is interested in drama performance.
152000	155000	She is also passionate about it.
155000	158000	In my previous research,
158000	160000	I majored in social psychology.
160000	161000	In my previous research,
161000	165000	I needed an actor to play the victim.
165000	167000	I asked Sui-An to help me.
167000	169000	She is a professional actor.
169000	171000	Without further ado,
171000	173000	let's give the stage to Sui-An.
173000	175000	Let me give her a round of applause.
178000	180000	Thank you, Yen-Ping.
180000	182000	I feel a little shy.
182000	184000	Before we start,
184000	186000	let me give you a warning.
186000	188000	This is my first time
188000	190000	giving a live talk on the internet.
190000	190000	
190000	192000	This is my first time
192000	194000	giving a live talk on the internet.
194000	196000	I'm a little nervous.
196000	198000	Please bear with me if I make any mistakes.
198000	200000	Please bear with me if I make any mistakes.
200000	202000	I want to say that
202000	204000	the audience today
204000	206000	may be from different fields.
206000	208000	I want to say that
208000	210000	after the talk,
210000	212000	if you are interested in this field,
212000	214000	you can read a book
214000	216000	or watch a TED talk on the internet.
216000	218000	This talk will be divided into four parts.
218000	220000	This talk will be divided into four parts.
220000	222000	In the first part,
222000	224000	I will briefly introduce my background
224000	226000	and what is my relationship with this field.
226000	228000	I will also mention my relationship with Yen-Ping.
228000	230000	She is a great benefactor in my life.
230000	232000	She is a great benefactor in my life.
232000	234000	In the second part,
234000	236000	I will talk about the research topics
236000	238000	in the field of law and psychology.
238000	240000	In the second part,
240000	242000	I will talk about the research topics
242000	244000	in the field of law and psychology.
244000	246000	The last part is about my own research.
246000	248000	The last part is about my own research.
248000	250000	The last part is about my own research.
250000	252000	Sorry, I made a mistake.
252000	254000	I forgot to mention some housekeeping.
254000	256000	I forgot to mention some housekeeping.
256000	258000	Yen-Ping will talk to her PowerPoint.
258000	260000	Yen-Ping will talk to her PowerPoint.
260000	262000	She may not see
262000	264000	what you are talking about in the chat window.
264000	266000	If you have any questions,
266000	268000	you can leave a comment in the chat window.
268000	270000	I will read it for Yen-Ping.
270000	272000	Yen-Ping will find time
272000	274000	to answer the questions in the chat window.
274000	276000	to answer the questions in the chat window.
276000	278000	to answer the questions in the chat window.
278000	280000	Thank you.
280000	282000	Thank you.
282000	284000	Thank you.
284000	286000	Today's topic is
286000	288000	How can science help
288000	290000	establish a better legal system?
290000	292000	You can see three pictures here.
292000	294000	The left one
294000	296000	shows that although the legal world
296000	298000	is thought to be a humanistic
298000	300000	or socially scientific field,
300000	302000	the right one, the picture of DNA,
302000	304000	can help us
304000	306000	establish a better legal system.
306000	308000	The middle picture
308000	310000	is a classic
310000	312000	picture of legal psychology.
312000	314000	This is also a symbol of
314000	316000	American legal psychology.
316000	318000	It will also appear later.
318000	320000	It shows that psychology is a field
320000	322000	that studies human behavior.
322000	324000	that studies human behavior.
324000	326000	It shows that psychology is a field
326000	328000	that studies human behavior.
328000	330000	The picture on the bottom right
330000	332000	is a picture of the brain.
332000	334000	There are many researchers
334000	336000	in the field of neuroscience.
336000	338000	They are thinking about
338000	340000	how to help us
340000	342000	establish a better legal system
342000	344000	through their research.
344000	346000	I am Suyi An.
346000	348000	I am Suyi An.
348000	350000	I am a doctoral student
350000	352000	at Cornell University
352000	354000	Human Ecology
354000	356000	and Human Development.
356000	358000	Cornell University
358000	360000	has two different
360000	362000	fields of study
362000	364000	related to psychology.
364000	366000	One is psychology,
366000	368000	the other is human development.
368000	370000	I am in the field of human development.
370000	372000	There are three fields of study
372000	374000	related to human development.
374000	376000	I am in the field of
376000	378000	legal psychology and human development.
