start	end	text
0	8000	Okay, thank you all for being able to participate in our project today.
8000	10000	Tara's online speech.
10000	18000	Then we are very honored today to invite Dr. Shihai Long to ask us a question about lower back pain.
18000	24000	OK, please allow me to briefly introduce some of Dr. Shihai Long's experience.
24000	27000	He has a lot of experience, so I might just read it slowly.
27000	29000	OK, I hope everyone can understand.
29000	38000	His experience is that he used to be an assistant at Taiwan University's Motion Science Research Lab.
38000	44000	He was also a physical therapist in the Taiwan University's Sports and Fitness Team,
44000	48000	a physical therapist in the Taiwan University Women's Volleyball Team,
48000	50000	a physical therapist in the Taiwan University Medical School,
50000	53000	and a physical therapist in the Hsinchu Hospital.
53000	61000	In the end, he was also an assistant professor at the University of South Carolina's Motion Science and Physical Therapy Department.
61000	67000	His degree is from the University of South Carolina's Motion Science and Physical Therapy Doctorate.
67000	71000	He is about to participate in his graduation ceremony in August this year.
71000	78000	Today, it is a great honor for Dr. Shihai Long to introduce to us the potential impacts of lower back pain on the body.
78000	84000	How do we identify the problems that many middle-aged people face?
84000	88000	Dr. Shihai Long's topic today is the footprint of pain,
88000	94000	the investigating persistence of the outer trunk control in recurrent low back pain.
94000	98000	OK, now let's have Dr. Shihai Long give us a speech.
98000	99000	Thank you.
100000	101000	OK.
101000	102000	The floor is yours.
103000	104000	Hello?
104000	105000	OK.
106000	109000	OK, thank you for the introduction.
109000	115000	The topic we're going to talk about today is actually my paper research.
115000	120000	But I will try my best, because I know that the audience may not be in the same field,
120000	123000	so I will try to explain it in more detail.
123000	128000	I will also omit some of the more detailed parts, so if you have any questions, you can ask me later.
129000	139000	My paper research focuses on the recurrence of lower back pain.
139000	144000	Does it have anything to do with the way we change our posture after the pain occurs?
148000	151000	First of all, lower back pain is commonly referred to as back pain.
151000	155000	I'm sure many of you have had this experience.
155000	163000	In fact, it is a very common problem in modern life.
163000	170000	About 80% of people have experienced lower back pain at least once in their lives.
170000	175000	The main problem is that most of the lower back pain
175000	186000	can't be explained in terms of image or structural deformation.
186000	190000	So it's more difficult to diagnose and treat.
192000	199000	Research has shown that about 56% of people experience lower back pain once,
199000	202000	and the pain recurs within a year.
202000	205000	This is a long-term problem,
205000	212000	because the pain is constantly going up and down in the lower back.
212000	216000	So it's a long-term problem.
218000	223000	Now, in medical or physical therapy,
223000	227000	we can help people with lower back pain.
227000	237000	However, we haven't done a good job of preventing the recurrence of lower back pain.
237000	249000	The main reason is that we can't find the cause of the recurrence of lower back pain.
250000	256000	So if we can find the cause of the recurrence of lower back pain,
256000	259000	we can find a way to treat it.
259000	267000	We've found that people who have had lower back pain before
267000	271000	may have more episodes in the future.
271000	274000	This doesn't give us any information.
274000	280000	However, we have developed a set of hypotheses.
280000	286000	People who have had lower back pain before may have had episodes in the past,
286000	289000	so they may have changed their behavior.
289000	295000	This behavior may protect them from lower back pain in a short period of time,
295000	297000	or avoid the pain.
297000	301000	But will it have some negative effects in the long run?
301000	306000	Will it affect their symptoms?
306000	310000	Will it cause recurrent symptoms?
310000	314000	So my research is mainly about
314000	318000	treating people with lower back pain,
318000	321000	but first, when they have pain,
321000	324000	we measure their behavior.
324000	327000	When they don't have pain,
327000	331000	we bring them into the lab and do the same test again.
331000	333000	In this way, we can see
333000	340000	if there are behaviors that are different from those of healthy people without lower back pain.
340000	345000	Does this behavior continue to exist even when they don't have pain?
348000	352000	So I'm going to talk about two directions today.
352000	354000	There are two directions for the behavior model.
354000	356000	The first is the sectional control part.
356000	358000	The second is the attention part.
358000	364000	I'm going to explain why these two are important issues for patients with lower back pain.
364000	367000	The first is the sectional control.
367000	370000	There are two groups of people.
370000	374000	There are two groups of people.
374000	378000	The first group is people with lower back pain.
378000	381000	Their sectional control is relatively tight.
381000	383000	What is tight?
384000	389000	The muscles in their body continue to work hard.
389000	392000	In addition to working hard,
392000	396000	there may be some inefficient ways to work hard.
396000	402000	The muscles in the opposite direction may also exert force together.
402000	405000	In this case, it is more inefficient.
405000	410000	This may also lead to the separation of joints.
410000	414000	This may lead to the separation of joints.
414000	428460	Since there is
428460	431460	only one motion in the chewing motion,
431460	437000	there is less tension between the joints.
437000	459000	In other words, the motion may bring constrictions.
489000	499000	In other words, the joint will not move in the same way as before.
499000	519000	In other words, the joint will not move in the same way as before.
519000	529000	In other words, the joint will not move in the same way as before.
529000	539000	In other words, the joint will not move in the same way as before.
539000	549000	In other words, if we have limited attention at a certain time,
549000	559000	In other words, if we have limited attention at a certain time,
559000	569000	we may not be able to perform other tasks.
569000	579000	we may not be able to perform other tasks.
579000	589000	we may not be able to perform other tasks.
589000	599000	we may not be able to perform other tasks.
599000	609000	We may not be able to perform other tasks.
609000	619000	We may not be able to perform other tasks.
619000	629000	We may not be able to perform other tasks.
629000	639000	We may not be able to perform other tasks.
639000	649000	We may not be able to perform other tasks.
649000	659000	We may not be able to perform other tasks.
659000	669000	We may not be able to perform other tasks.
669000	679000	We may not be able to perform other tasks.
679000	689000	We may not be able to perform other tasks.
689000	699000	We may not be able to perform other tasks.
699000	709000	We may not be able to perform other tasks.
709000	719000	We may not be able to perform other tasks.
719000	729000	We may not be able to perform other tasks.
729000	739000	We may not be able to perform other tasks.
739000	749000	We may not be able to perform other tasks.
749000	759000	We may not be able to perform other tasks.
759000	769000	We may not be able to perform other tasks.
769000	779000	We may not be able to perform other tasks.
779000	789000	We may not be able to perform other tasks.
789000	799000	We may not be able to perform other tasks.
799000	809000	We may not be able to perform other tasks.
809000	819000	We may not be able to perform other tasks.
819000	829000	We may not be able to perform other tasks.
829000	839000	We may not be able to perform other tasks.
839000	849000	We may not be able to perform other tasks.
849000	859000	We may not be able to perform other tasks.
859000	869000	We may not be able to perform other tasks.
869000	879000	We may not be able to perform other tasks.
879000	889000	We may not be able to perform other tasks.
889000	899000	We may not be able to perform other tasks.
899000	909000	We may not be able to perform other tasks.
909000	919000	We may not be able to perform other tasks.
919000	929000	We may not be able to perform other tasks.
929000	939000	We may not be able to perform other tasks.
939000	949000	We may not be able to perform other tasks.
949000	959000	We may not be able to perform other tasks.
959000	969000	We may not be able to perform other tasks.
969000	979000	We may not be able to perform other tasks.
979000	989000	We may not be able to perform other tasks.
989000	999000	We may not be able to perform other tasks.
999000	1009000	We may not be able to perform other tasks.
1009000	1019000	We may not be able to perform other tasks.
1019000	1029000	We may not be able to perform other tasks.
1029000	1039000	We may not be able to perform other tasks.
1039000	1049000	We may not be able to perform other tasks.
1049000	1059000	We may not be able to perform other tasks.
1059000	1069000	We may not be able to perform other tasks.
1069000	1079000	We may not be able to perform other tasks.
1079000	1089000	We may not be able to perform other tasks.
1089000	1099000	We may not be able to perform other tasks.
1099000	1109000	We may not be able to perform other tasks.
1109000	1119000	We may not be able to perform other tasks.
1119000	1129000	We may not be able to perform other tasks.
1129000	1139000	We may not be able to perform other tasks.
1139000	1149000	We may not be able to perform other tasks.
1149000	1159000	We may not be able to perform other tasks.
1159000	1169000	We may not be able to perform other tasks.
1169000	1179000	We may not be able to perform other tasks.
1179000	1189000	We may not be able to perform other tasks.
1189000	1199000	We may not be able to perform other tasks.
1199000	1209000	We may not be able to perform other tasks.
1209000	1219000	We may not be able to perform other tasks.
1219000	1229000	We may not be able to perform other tasks.
1229000	1239000	We may not be able to perform other tasks.
1239000	1249000	We may not be able to perform other tasks.
1249000	1259000	We may not be able to perform other tasks.
1259000	1269000	We may not be able to perform other tasks.
1269000	1279000	We may not be able to perform other tasks.
