start	end	text
0	8000	Hello everyone, welcome to today's Tire Talk. I'm your host, Yen-Yong Zhang.
8000	16000	We're very honored to have Timothy here today. He's a professor at the Department of Electrical Engineering at Chengda University.
16000	21000	Today's topic is Recent Progress in Surface Plasmon Polariton Nanolasers.
21000	25000	Before we start, let me introduce Tim.
26000	32000	First of all, I want to say that Tim's introduction is so cool and short.
32000	34000	But I want to say that he only wrote a few words. He wrote,
34000	37000	Proud Kaohsiunger 666.
37000	43000	This was sent to me a few days before the election.
43000	48000	So I have to go to his personal website to see his self-introduction.
48000	52000	Yes, I have it now. You can take a look.
52000	54000	Okay, I have the website.
54000	56000	Let me introduce him.
56000	61000	Tim's background is physics.
61000	63000	He majored in physics at Chengda University.
63000	65000	He got his Ph.D. at Chengda University.
65000	73000	In addition to physics, he is also passionate about investment, hiking, philosophy, and social movements.
73000	77000	I know you got your Ph.D. at Chengda University.
78000	82000	No, I got my Ph.D. at NCT.
82000	84000	Oh, NCT. I misread it. Sorry.
84000	88000	Okay, you got your Ph.D. at Chengda University.
88000	96000	Did you go to Michigan and Tel Aviv to do a postdoc program for a period of time before returning to Taiwan?
96000	101000	No, I went to Michigan with a visa from the Ministry of Science and Technology.
101000	110000	My boss, Denghui, recommended me to go to the University of Israel.
110000	116000	I went to the University of Israel and did a postdoc program for about a year.
116000	119000	And then you went back to Chengda University.
119000	120000	Yes, that's right.
120000	128000	Okay, so this is the bio of Yuxun from the proud Kaohsiunger666.
129000	132000	Okay, let's get started.
132000	137000	Okay, today, considering that everyone has different backgrounds,
137000	140000	I'm going to talk a little bit about what we do in the light study department.
140000	145000	Roughly speaking, it can be shown as shown in the picture.
145000	149000	We will create light.
149000	158000	Then we will find a way to transmit light, detect light, and control light.
158000	160000	This is what we do in the light study department.
160000	171000	Our department covers all aspects of basic physics, including ray optics, wave optics, electronics, and quantum mechanics.
171000	178000	In the light study department, as you can see, we have a very wide range of applications.
178000	184000	For example, you can see the screen on your phone or the LED light for lighting.
184000	188000	There is also a solar panel that is currently out of energy,
188000	191000	as well as the light you need to use when you go online.
191000	197000	Some parts of your iPhone are cut off with high-power laser.
197000	201000	A more advanced application is the part of the collective light path.
201000	209000	So light basically covers a lot of subjects and applications.
209000	215000	These are the parts that are usually easier to see.
215000	218000	I would like to emphasize a little further here.
218000	226000	The part of the light study field basically contributed 30% of the Nobel Prize in Physics in the past half century.
226000	232000	This data was obtained from the OSA, the light study department.
232000	239000	In other words, the part related to light won the 30% physics award.
239000	244000	You can see that light technology is a very important subject.
244000	248000	It is a very worthwhile project for everyone to invest in.
248000	256000	Personally, I focus my research on how to create light.
256000	262000	If you want to create light, you must know that energy and matter are basically inseparable.
262000	268000	The creation of energy must involve matter, and the stability of matter must also involve energy.
269000	280000	Here, I mainly focus on the interaction between light and matter, especially the polariton part.
280000	285000	Polariton is basically a mixture of light and exciton.
285000	292000	Based on such a large structure, my current research topic is microcavity polariton laser,
292000	295000	and surface plasmon polariton laser.
295000	303000	In order to produce these components, I did some basic research on some novel materials.
303000	313000	Back to the laser part, as I mentioned earlier, my research focuses on the interaction between light and matter.
313000	319000	I hope to be able to produce light, because light is the most basic part of light science.
319000	326000	If you can't produce light, you won't be able to control light, guide light, or detect light.
326000	331000	Here, I want to talk about what a laser is.
331000	336000	The abbreviation for laser is LASER.
336000	345000	Its full name is Light Amplification by Stimulated Emission Radiation.
345000	352000	The concept of light amplification radiation was first proposed by Einstein around 1918.
352000	358000	At that time, he proposed the interaction between light and matter, which can be roughly divided into three categories.
358000	363000	Laser absorption, laser emission, and self-emission.
363000	368000	Now, let me talk about what laser emission is.
368000	373000	You will often see some animation characters on TV.
373000	378000	They will start to emit gas, and then release gas, or release some big waves.
378000	383000	A more famous example is the gas bomb in Dragon Ball.
383000	386000	Or like the famous character in the movie, Huo Ying Ren Zhe.
386000	389000	The concept is similar to the concept of gathering Chakra.
389000	394000	If you are watching a movie or anime, you can understand.
394000	397000	Laser is a bit similar to this concept.
397000	405000	Its principle is basically to amplify your signal, your energy.
405000	408000	The process is like this.
408000	411000	First, you will have a passive electron.
411000	412000	It is in the high-energy state.
412000	418000	Then, it is affected by a photon.
418000	422000	So that it goes from high-energy to low-energy.
422000	428000	As it goes from high-energy state to low-energy state, it will emit the same light.
428000	434000	The same light as the input signal, including its position and wavelength.
434000	438000	Through this process, one chakra pushes two chakras.
438000	440000	Two chakras pushes four chakras.
440000	444000	In this way, it can achieve the amplification of energy.
444000	449000	If we can effectively use this passive radiation,
449000	453000	we can create the so-called laser component.
453000	458000	The laser component is very similar to what you have experienced.
458000	462000	Those who have played laser pen or laser know that
462000	464000	the more famous properties of laser are
464000	470000	it is monochromatic, it has directivity, and it has very good tonality.
470000	472000	If you use these features,
472000	475000	the laser can be used as a detector,
475000	477000	it can be used as a scanner,
477000	479000	it can be used as a DVD player,
479000	483000	it can be used for surgery.
483000	485000	OK.
485000	487000	Here, you may think,
487000	490000	why do I put a picture of Einstein?
490000	492000	First of all, when it comes to laser,
492000	494000	for people my age,
494000	498000	the first thing that comes to mind is the Death Star in Star Wars.
498000	504000	The Death Star is a very iconic thing.
504000	509000	In Star Wars, it only took 17 seconds to destroy an entire planet.
509000	512000	Then you will see that it starts to gather laser light,
512000	515000	then it gathers a little more, and then it destroys a planet.
515000	519000	So when it comes to Star Wars,
519000	521000	I have to mention Einstein.
521000	524000	You may think, why?
524000	528000	First of all, in a recent interview,
528000	531000	a reporter asked George Lucas,
531000	535000	where did the image of Master Yoda come from?
535000	539000	Lucas said, it actually came from Einstein.
539000	542000	Because he needed someone who looked crazy,
542000	545000	but also very powerful, to be the prototype of his image.
545000	549000	So Einstein is basically the prototype of Master Yoda.
549000	553000	Einstein also inspired the development of laser.
553000	556000	He was the first to propose laser beam magnification.
556000	558000	After 40 years of hard work,
558000	561000	Tons and Shallow, these two excellent scientists,
561000	564000	in the 1950s or so,
564000	569000	proposed a truly feasible model of laser components.
569000	574000	Of course, at that time, they didn't really make laser beam.
574000	584000	This concept was learned by someone in the lab next door.
584000	587000	Then in the 1960s,
587000	591000	they made the first laser.
591000	595000	So from the 1960s to 2020,
595000	598000	it happened to be the 60th anniversary of laser.
598000	604000	In the past 60 years,
604000	609000	at least 7 Nobel Prizes were awarded to laser technology.
609000	612000	Why do I say directly?
