start	end	text
0	5000	Ok, let's start.
5000	15000	Ok, first I need to introduce myself.
15000	18000	Please introduce yourself, thank you.
18000	22000	Ok, I have prepared a few videos.
22000	26000	I will use them to introduce myself.
26000	32000	Today, I will talk about the simple introduction of metal solvents.
32000	41000	My name is Zeyu Lin, and I am a post-doctoral researcher in Japan.
41000	44000	First, I will give a brief self-introduction.
44000	52000	As I mentioned, I am a post-doctoral researcher in Japan.
52000	58000	My department is the National Research and Development Department of the Institute of Materials and Materials Research.
58000	61000	My main job here is...
61000	63000	Sorry, let me use the laser pointer.
63000	72000	My main job here is to connect the material's microstructure with its mechanical properties,
72000	80000	as well as its related performance characteristics.
80000	90000	At present, I am working on the development of high-strength and high-durability ferrous alloys,
90000	98000	as well as the microstructure of permanent magnets,
98000	103000	as well as the development of some raw materials.
103000	110000	Today, I would like to introduce my post-doctoral research...
110000	114000	No, I mean my work accumulated during my post-doctoral studies,
114000	118000	and my post-doctoral research in February this year,
118000	121000	which is about four years of work.
121000	125000	The field of research is mainly the solid-state integration of copper,
125000	128000	which is similar in nature, as well as liquid metal.
128000	132000	The integration technology used is a technology called ultrasonic integration.
132000	141000	Its principle is to use high-pressure and high frequency vibration to achieve the deformation of the material to form the node.
141000	149000	It can be used in steel, high-strength steel, or aluminum alloy, etc.
149000	150000	It can be used in...
150000	154000	The main scene that can be considered is that the composite structure of multi-materials,
154000	156000	such as the structure of the car body,
156000	161000	can achieve the goal characteristics of lightweighting and high strength.
166000	168000	Sorry, I just made a mistake.
168000	172000	I graduated from Tokyo University of Japan in 2019,
172000	174000	and majored in material engineering.
174000	181000	My other major is the Department of Chemical Engineering at Tsinghua University of China,
181000	185000	and the Department of Chemical Engineering at Tsinghua University of China.
185000	188000	That's all for the main self-introduction.
188000	195000	Next, I'm going to start introducing today's main speech topic,
195000	202000	which is mainly about the integration of solid-state and liquid metal materials that are similar in nature,
202000	207000	and then use ultrasonic integration to observe the strength of its interface.
208000	214000	First, I will give a simple background introduction.
214000	220000	In the engineering background,
220000	226000	listeners may be more familiar with the fact that
226000	232000	steel is a very solid base.
232000	235000	It is one of the basic and indispensable materials.
235000	239000	The picture on the left shows that
239000	248000	there are about 15% to 20% of steel in the world every year.
248000	250000	Because there are a lot of steel applications,
250000	254000	including architecture, general people, military facilities, transportation, etc.
254000	258000	It accounts for about 15% to 20% of transportation.
258000	264000	It is mainly applied to the construction of car parts and the structure of the car body.
264000	267000	There are a lot of types of steel used,
267000	275000	including soft steel, medium-strength, high-strength, and ultra-high-strength steel.
275000	278000	At present, the development field of materials is mainly focused on
278000	286000	how to improve its extensibility and high-strength, etc.
286000	292000	The picture on the lower left is called DynamoCurve,
292000	295000	which is a curve distribution like a banana.
295000	297000	Why is there such a distribution?
297000	300000	It is mainly derived from the fact that the strength of the material increases,
300000	302000	but the extensibility does not decrease.
302000	307000	Based on the background of traditional physics,
307000	311000	such strength and extensibility are indispensable.
311000	316000	However, many scientists are using various methods
316000	319000	to try to get out of this field.
320000	326000	The current research situation is to try to achieve the high strength and high extensibility of both, etc.
326000	330000	Why do we need such a high-strength steel development?
330000	334000	It is mainly used when the car body is hit by a heavy object.
334000	338000	High-strength steel can often provide stronger support
338000	343000	to avoid fatal damage to passengers.
343000	345000	In order to improve safety,
345000	350000	the current material development is mainly focused on high-strength and high extensibility, etc.
354000	358000	What kind of steel is used?
358000	361000	Different strengths of steel are used in different areas of the car body structure.
361000	364000	This is a simple introduction.
364000	366000	You can clearly see that
366000	369000	if the car is hit by a heavy object,
369000	375000	the stress and gravity come from the front and back, etc.
375000	379000	At this time, you need a high-strength structural material
379000	383000	to support the entire car body.
383000	389000	The current high-strength steel developed by traditional physics
389000	392000	has reached 780, 980, 1180, etc.
392000	394000	This represents the strength of steel,
394000	397000	which is about 550 MPa.
397000	400000	The current mainstream high-strength steel is
400000	403000	concentrated in the front and back of 1000 MPa.
403000	406000	This is the current situation in which the structural material is used.
406000	408000	On the other hand,
408000	411000	if we don't use steel,
411000	414000	and we use a high-strength material,
414000	419000	it will not be able to support the entire car body.
419000	421000	On the other hand,
421000	424000	if we don't use steel,
424000	430000	and we use a high-strength material,
430000	436000	such as aluminum, copper, and carbon fiber, etc.
436000	439000	If we use this material,
439000	441000	it can be made very lightweight
441000	445000	and has sufficient safety.
446000	449000	However, the price is also very high.
449000	452000	As you can see here,
452000	456000	for a good car like Audi R8,
456000	460000	the recommended price in 2020 is about $70,000.
460000	462000	This price is hard to meet for ordinary people.
462000	467000	So we mainly use traditional steel
467000	471000	and aluminum and carbon fiber.
471000	473000	In this respect,
473000	476000	you have to make a choice
476000	482000	in terms of cost and mechanical quality.
487000	493000	The name of the car body structure we often use in our industry
493000	496000	is a multi-material structure.
496000	498000	Multi-Material Structure
499000	502000	As you can see here,
502000	504000	in addition to steel,
504000	507000	it also has a lot of external body parts,
507000	510000	such as the door, engine cover, etc.
510000	512000	In order to make it lightweight,
512000	514000	we usually use aluminum alloy.
514000	516000	The main maintenance material is aluminum alloy.
518000	520000	In this respect,
520000	525000	when the car body is assembled,
525000	527000	we mainly use
527000	531000	high-strength steel
531000	533000	and aluminum alloy.
533000	535000	In this respect,
535000	537000	they need to be fixed and processed
537000	539000	to form a complete structure.
539000	542000	It is conceivable that
542000	545000	some processes need to be processed
545000	547000	to combine them together.
547000	549000	In recent years,
549000	553000	in addition to the emission of environmental regulations,
553000	557000	the demand for lightweighting is increasing.
557000	559000	On the right side of the slide,
559000	561000	there is a picture of
561000	564000	the materials used in the field of cars
564000	567000	in 2030,
567000	572000	including aluminum and high-strength steel.
572000	577000	HSF stands for High Strength Steel.
577000	579000	The ratio of these two materials
579000	582000	will increase from 29% to 57%.
582000	585000	In the near future,
585000	590000	in order to establish high strength
590000	592000	and lightweighting,
592000	594000	we will use more aluminum
594000	596000	and more high-strength steel.
596000	598000	Therefore, how to combine
598000	600000	iron and lightweighting alloy
600000	602000	in the manufacturing process
602000	606000	is quite important.
608000	610000	Now we will introduce
610000	612000	the traditional way
612000	614000	of combining materials
614000	616000	and manufacturing technology,
616000	618000	i.e. welding.
618000	620000	Traditionally,
620000	622000	we define welding
622000	624000	as a process
624000	626000	in which two separate materials
626000	628000	are heated
628000	630000	to a high temperature
630000	632000	and then combined
632000	634000	to produce
634000	636000	sufficient quality
636000	638000	welding.
638000	640000	In this process,
640000	642000	the defects
642000	644000	will gradually disappear.
644000	646000	At such a high temperature,
646000	648000	along with the change
648000	650000	in the structure
650000	652000	of the fibers
652000	654000	and the growth
654000	656000	of the center,
656000	658000	heat is also affected,
658000	660000	and so on.
660000	662000	In this regard,
662000	664000	the material itself
664000	666000	is mechanically affected
666000	668000	by the change
668000	670000	in the structure
670000	672000	of the fibers.
672000	674000	After the welding point
674000	676000	is formed,
676000	678000	all the fibers
678000	680000	around it
680000	682000	will undergo
682000	684000	huge changes.
684000	686000	Such changes
686000	688000	are sometimes not
688000	690000	completely positive.
690000	692000	How to prevent
692000	694000	low-performance
694000	696000	welding?
696000	698000	The first point
698000	700000	is to use
700000	702000	a high temperature
702000	704000	to melt steel
704000	706000	and aluminum.
706000	708000	There will be several problems.
708000	710000	The first is that
710000	712000	aluminum and steel
712000	714000	have very different melting points.
714000	716000	The melting point of aluminum
716000	718000	is about 600 degrees,
718000	720000	while that of steel
720000	722000	is about 1400 to 1500 degrees.
722000	724000	At high temperature,
724000	726000	it will generate
726000	728000	a huge
728000	730000	for aluminum,
730000	732000	at such a high temperature,
732000	734000	it will generate a huge
734000	736000	firepower,
736000	738000	and it will generate a lot of expansion.
738000	740000	Expansion will form
740000	742000	various compounds
742000	744000	between steel and aluminum
744000	746000	in the interface.
746000	748000	This compound
748000	750000	has a very poor mechanical performance.
750000	752000	Why?
752000	754000	Because the problem it encounters
754000	756000	is very brittle,
756000	758000	and it is very impenetrable.
758000	760000	After a little impact,
760000	762000	it will crack like ceramic
762000	764000	or glass.
764000	766000	That is to say,
766000	768000	the function of the melting point itself
768000	770000	will fail.
770000	772000	At the same time,
772000	774000	there will be cracks
774000	776000	in the interface
776000	778000	due to high temperature
778000	780000	.
780000	782000	This is quite disadvantageous
782000	784000	to mechanical manufacturing.
784000	786000	That is to say,
786000	788000	at high temperature,
788000	790000	it is quite disadvantageous
790000	792000	to combine steel and aluminum
792000	794000	with general combination technology.
794000	796000	In other words,
796000	798000	what we may consider next
798000	800000	is how to
800000	802000	reduce the temperature of the combination.
802000	804000	That is to say,
804000	806000	the combination technology at low temperature
806000	808000	can prevent
808000	810000	such a problem
810000	812000	to a certain extent.
812000	814000	That is to say,
814000	816000	we will focus on
816000	818000	how to combine steel and aluminum.
818000	820000	That is, we want to combine
820000	822000	at the melting point of steel and aluminum,
822000	824000	which is about 660 degrees.
824000	826000	Combining at this temperature
826000	828000	is called solidification.
828000	830000	That is to say, there is no
830000	832000	fusion between the two.
832000	834000	Next,
834000	836000	I will introduce
836000	838000	solidification.
838000	840000	As I mentioned earlier,
840000	842000	it can combine
842000	844000	two components
844000	846000	and
846000	848000	there will be no fusion
848000	850000	during the process.
850000	852000	Its heating is also
852000	854000	lower than the melting point of any material.
854000	856000	What we need
856000	858000	is to introduce more
858000	860000	sufficient deformation
860000	862000	in the material interface.
862000	864000	At sufficient temperature,
